Field,Topic,Keyword,Related Word,Weight
其他,嚴重社會動盪,社會,社會,1.0
其他,嚴重社會動盪,社會,造成,0.99492
其他,嚴重社會動盪,社會,導致,0.994862
其他,嚴重社會動盪,社會,安全,0.994424
其他,嚴重社會動盪,社會,成長,0.994325
其他,嚴重社會動盪,社會,商機,0.99417
其他,嚴重社會動盪,社會,加劇,0.994098
其他,嚴重社會動盪,社會,美國,0.994045
其他,嚴重社會動盪,社會,政局,0.993872
其他,嚴重社會動盪,社會,再起,0.993843
其他,嚴重社會動盪,社會,重建,0.99383
其他,嚴重社會動盪,社會,不安,0.993792
其他,嚴重社會動盪,社會,溫家寶,0.993747
其他,嚴重社會動盪,社會,年前,0.993741
其他,嚴重社會動盪,社會,關注,0.993651
其他,嚴重社會動盪,社會,銀行,0.993644
其他,嚴重社會動盪,社會,死刑,0.993558
其他,嚴重社會動盪,社會,趨勢,0.993547
其他,嚴重社會動盪,社會,投資人,0.993505
其他,嚴重社會動盪,社會,矛盾,0.993496
其他,嚴重社會動盪,社會,正視,0.993487
其他,嚴重社會動盪,社會,公民,0.993475
其他,嚴重社會動盪,社會,威脅,0.993473
其他,嚴重社會動盪,社會,攻擊,0.993436
其他,嚴重社會動盪,社會,學者,0.993432
其他,嚴重社會動盪,社會,不到,0.993431
其他,嚴重社會動盪,社會,崛起,0.993428
其他,嚴重社會動盪,社會,瞭望,0.993423
其他,嚴重社會動盪,社會,運動,0.993401
其他,嚴重社會動盪,社會,歐元,0.993386
其他,嚴重社會動盪,社會,衝擊,0.993351
其他,嚴重社會動盪,社會,歐盟,0.993349
其他,嚴重社會動盪,社會,沒有,0.993348
其他,嚴重社會動盪,社會,真相,0.993307
其他,嚴重社會動盪,社會,嚴重,0.993298
其他,嚴重社會動盪,社會,價值,0.993298
其他,嚴重社會動盪,社會,債務,0.993248
其他,嚴重社會動盪,社會,專家,0.993206
其他,嚴重社會動盪,社會,社評,0.993196
其他,嚴重社會動盪,社會,人民幣,0.993185
