Field,Topic,Keyword,Related Word,Weight
其他,國家間衝突，非政府行動者權力增加,民主化,民主化,1.0
其他,國家間衝突，非政府行動者權力增加,民主化,崛起,0.983072
其他,國家間衝突，非政府行動者權力增加,民主化,模式,0.975796
其他,國家間衝突，非政府行動者權力增加,民主化,困境,0.968712
其他,國家間衝突，非政府行動者權力增加,民主化,制度,0.968011
其他,國家間衝突，非政府行動者權力增加,民主化,觀察,0.965602
其他,國家間衝突，非政府行動者權力增加,民主化,劉曉波,0.96432
其他,國家間衝突，非政府行動者權力增加,民主化,如何,0.964176
其他,國家間衝突，非政府行動者權力增加,民主化,領導,0.963033
其他,國家間衝突，非政府行動者權力增加,民主化,統獨,0.962835
其他,國家間衝突，非政府行動者權力增加,民主化,緬甸,0.96235
其他,國家間衝突，非政府行動者權力增加,民主化,走向,0.961559
其他,國家間衝突，非政府行動者權力增加,民主化,世紀,0.961124
其他,國家間衝突，非政府行動者權力增加,民主化,分享,0.960427
其他,國家間衝突，非政府行動者權力增加,民主化,民族主義,0.959709
其他,國家間衝突，非政府行動者權力增加,民主化,北京,0.958126
其他,國家間衝突，非政府行動者權力增加,民主化,金馬,0.957237
其他,國家間衝突，非政府行動者權力增加,民主化,政黨,0.956802
其他,國家間衝突，非政府行動者權力增加,民主化,外交,0.956478
其他,國家間衝突，非政府行動者權力增加,民主化,超越,0.956418
其他,國家間衝突，非政府行動者權力增加,民主化,關鍵,0.956322
其他,國家間衝突，非政府行動者權力增加,民主化,有助,0.956227
其他,國家間衝突，非政府行動者權力增加,民主化,認同,0.955514
其他,國家間衝突，非政府行動者權力增加,民主化,人權,0.954311
其他,國家間衝突，非政府行動者權力增加,民主化,全球化,0.954004
其他,國家間衝突，非政府行動者權力增加,民主化,選擇,0.953458
其他,國家間衝突，非政府行動者權力增加,民主化,歐元區,0.952108
其他,國家間衝突，非政府行動者權力增加,民主化,治理,0.951914
其他,國家間衝突，非政府行動者權力增加,民主化,指數,0.950991
其他,國家間衝突，非政府行動者權力增加,民主化,世代,0.950645
其他,國家間衝突，非政府行動者權力增加,民主化,迷思,0.950289
其他,國家間衝突，非政府行動者權力增加,民主化,競爭力,0.949839
其他,國家間衝突，非政府行動者權力增加,民主化,趨勢,0.949646
其他,國家間衝突，非政府行動者權力增加,民主化,蔡衍明,0.949045
其他,國家間衝突，非政府行動者權力增加,民主化,核心,0.948875
其他,國家間衝突，非政府行動者權力增加,民主化,北韓,0.948752
其他,國家間衝突，非政府行動者權力增加,民主化,兩岸關係,0.947818
其他,國家間衝突，非政府行動者權力增加,民主化,綠色,0.947339
其他,國家間衝突，非政府行動者權力增加,民主化,百年,0.946868
其他,國家間衝突，非政府行動者權力增加,民主化,期待,0.945884
