Field,Topic,Keyword,Related Word,Weight
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,地緣,1.0
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,愛爾蘭,0.912968
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,下台,0.899119
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,確定,0.878754
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,熱點,0.876769
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,總理,0.853761
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,升高,0.844971
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,升溫,0.837891
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,衝突,0.83342
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,緊張,0.822238
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,不安,0.820938
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,登陸,0.819392
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,風暴,0.819185
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,周年,0.817034
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,脫歐,0.816757
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,面臨,0.814228
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,重要,0.808684
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,擴大,0.807231
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,性通,0.802752
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,兩韓,0.799584
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,行庫,0.799556
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,停滯,0.791631
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,外媒,0.790331
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,觀光,0.789813
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,恐攻,0.784089
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,中日,0.782142
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,西方,0.781748
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,巴馬,0.781567
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,關係,0.781505
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,合約,0.780995
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,韓元,0.78036
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,干擾,0.778519
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,緩和,0.777933
其他,地緣政治事件重塑許多區域的科學與技術發展,地緣,競爭,0.775792
