Field,Topic,Keyword,Related Word,Weight
政治,地緣經濟和地緣政治格局,本土化,本土化,1.0
政治,地緣經濟和地緣政治格局,本土化,研發,0.948487
政治,地緣經濟和地緣政治格局,本土化,台幹,0.914522
政治,地緣經濟和地緣政治格局,本土化,中心,0.914488
政治,地緣經濟和地緣政治格局,本土化,扎根,0.913662
政治,地緣經濟和地緣政治格局,本土化,本土,0.911182
政治,地緣經濟和地緣政治格局,本土化,二代,0.907699
政治,地緣經濟和地緣政治格局,本土化,推動,0.899042
政治,地緣經濟和地緣政治格局,本土化,台商,0.898387
政治,地緣經濟和地緣政治格局,本土化,富士康,0.89199
政治,地緣經濟和地緣政治格局,本土化,陸幹,0.890236
政治,地緣經濟和地緣政治格局,本土化,聯盟,0.886326
政治,地緣經濟和地緣政治格局,本土化,漢堡,0.883251
政治,地緣經濟和地緣政治格局,本土化,教育,0.88196
政治,地緣經濟和地緣政治格局,本土化,採購,0.879186
政治,地緣經濟和地緣政治格局,本土化,體壇,0.878376
政治,地緣經濟和地緣政治格局,本土化,零組件,0.878356
政治,地緣經濟和地緣政治格局,本土化,地化,0.868776
政治,地緣經濟和地緣政治格局,本土化,陸市,0.867949
政治,地緣經濟和地緣政治格局,本土化,登陸,0.86695
政治,地緣經濟和地緣政治格局,本土化,計畫,0.864745
政治,地緣經濟和地緣政治格局,本土化,服務,0.864689
政治,地緣經濟和地緣政治格局,本土化,行動,0.862999
政治,地緣經濟和地緣政治格局,本土化,雙雄,0.861648
政治,地緣經濟和地緣政治格局,本土化,系統,0.860636
政治,地緣經濟和地緣政治格局,本土化,故事,0.860004
政治,地緣經濟和地緣政治格局,本土化,落實,0.857006
政治,地緣經濟和地緣政治格局,本土化,認同,0.853133
政治,地緣經濟和地緣政治格局,本土化,中國,0.850397
政治,地緣經濟和地緣政治格局,本土化,實力,0.849651
政治,地緣經濟和地緣政治格局,本土化,簽署,0.848856
政治,地緣經濟和地緣政治格局,本土化,風電,0.847861
政治,地緣經濟和地緣政治格局,本土化,成立,0.845333
政治,地緣經濟和地緣政治格局,本土化,他們,0.844891
政治,地緣經濟和地緣政治格局,本土化,微軟,0.844699
政治,地緣經濟和地緣政治格局,本土化,社會,0.843741
政治,地緣經濟和地緣政治格局,本土化,逐步,0.842606
政治,地緣經濟和地緣政治格局,本土化,文化,0.842094
