Field,Topic,Keyword,Related Word,Weight
社會,學歷中心之競爭性教育,教育,教育,1.0
社會,學歷中心之競爭性教育,教育,論壇,0.99897
社會,學歷中心之競爭性教育,教育,校長,0.998938
社會,學歷中心之競爭性教育,教育,產業,0.99889
社會,學歷中心之競爭性教育,教育,學校,0.998874
社會,學歷中心之競爭性教育,教育,台灣,0.998871
社會,學歷中心之競爭性教育,教育,大學,0.99885
社會,學歷中心之競爭性教育,教育,企業,0.998847
社會,學歷中心之競爭性教育,教育,國際,0.998845
社會,學歷中心之競爭性教育,教育,家長,0.998833
社會,學歷中心之競爭性教育,教育,高中,0.998812
社會,學歷中心之競爭性教育,教育,教師,0.998777
社會,學歷中心之競爭性教育,教育,偏鄉,0.998748
社會,學歷中心之競爭性教育,教育,大陸,0.99874
社會,學歷中心之競爭性教育,教育,投資,0.99874
社會,學歷中心之競爭性教育,教育,全國,0.998735
社會,學歷中心之競爭性教育,教育,翻轉,0.998724
社會,學歷中心之競爭性教育,教育,創意,0.998689
社會,學歷中心之競爭性教育,教育,技職,0.99868
社會,學歷中心之競爭性教育,教育,青年,0.99865
社會,學歷中心之競爭性教育,教育,網路,0.998646
社會,學歷中心之競爭性教育,教育,創新,0.998636
社會,學歷中心之競爭性教育,教育,發展,0.998616
社會,學歷中心之競爭性教育,教育,扎根,0.998614
社會,學歷中心之競爭性教育,教育,成立,0.9986
社會,學歷中心之競爭性教育,教育,中原,0.998595
社會,學歷中心之競爭性教育,教育,科大,0.998584
社會,學歷中心之競爭性教育,教育,免費,0.998582
社會,學歷中心之競爭性教育,教育,教部,0.998542
社會,學歷中心之競爭性教育,教育,打造,0.998516
社會,學歷中心之競爭性教育,教育,商機,0.998511
社會,學歷中心之競爭性教育,教育,線上,0.99849
社會,學歷中心之競爭性教育,教育,老師,0.99849
社會,學歷中心之競爭性教育,教育,世代,0.998489
社會,學歷中心之競爭性教育,教育,師生,0.998469
社會,學歷中心之競爭性教育,教育,培育,0.998458
社會,學歷中心之競爭性教育,教育,學子,0.998444
社會,學歷中心之競爭性教育,教育,UNK,0.998442
社會,學歷中心之競爭性教育,教育,體驗,0.998432
社會,學歷中心之競爭性教育,教育,研討會,0.99843
社會,學歷中心之競爭性教育,教育,招生,0.998428
社會,學歷中心之競爭性教育,教育,科技,0.998412
社會,學歷中心之競爭性教育,教育,教育部,0.998404
社會,學歷中心之競爭性教育,教育,輔導,0.998391
社會,學歷中心之競爭性教育,教育,推動,0.998388
社會,學歷中心之競爭性教育,教育,績優,0.998372
社會,學歷中心之競爭性教育,教育,校友,0.998351
社會,學歷中心之競爭性教育,教育,環境,0.998344
社會,學歷中心之競爭性教育,教育,校園,0.998343
社會,學歷中心之競爭性教育,教育,兩岸,0.998336
社會,學歷中心之競爭性教育,教育,資訊,0.99832
社會,學歷中心之競爭性教育,教育,教學,0.9983
社會,學歷中心之競爭性教育,教育,未來,0.99828
社會,學歷中心之競爭性教育,教育,機會,0.99827
社會,學歷中心之競爭性教育,教育,移民,0.998269
社會,學歷中心之競爭性教育,教育,教長,0.998263
社會,學歷中心之競爭性教育,教育,課程,0.99826
社會,學歷中心之競爭性教育,教育,精神,0.998243
社會,學歷中心之競爭性教育,教育,UNK,0.998241
社會,學歷中心之競爭性教育,教育,世界,0.99823
社會,學歷中心之競爭性教育,教育,學習,0.998211
社會,學歷中心之競爭性教育,教育,攜手,0.998192
社會,學歷中心之競爭性教育,教育,基金,0.998175
社會,學歷中心之競爭性教育,教育,人才,0.998158
社會,學歷中心之競爭性教育,教育,人生,0.998114
社會,學歷中心之競爭性教育,教育,今年,0.998109
社會,學歷中心之競爭性教育,教育,理財,0.9981
社會,學歷中心之競爭性教育,教育,夢語,0.998088
社會,學歷中心之競爭性教育,教育,創業,0.998078
社會,學歷中心之競爭性教育,教育,平台,0.998064
社會,學歷中心之競爭性教育,教育,社會,0.998054
社會,學歷中心之競爭性教育,教育,數位,0.998039
社會,學歷中心之競爭性教育,教育,經濟,0.998031
社會,學歷中心之競爭性教育,教育,課綱,0.99802
社會,學歷中心之競爭性教育,教育,加入,0.998002
社會,學歷中心之競爭性教育,教育,中心,0.997997
社會,學歷中心之競爭性教育,教育,活動,0.997973
社會,學歷中心之競爭性教育,教育,華語,0.997971
社會,學歷中心之競爭性教育,教育,台大,0.997961
社會,學歷中心之競爭性教育,教育,學院,0.997853
社會,學歷中心之競爭性教育,教育,專業,0.997849
社會,學歷中心之競爭性教育,教育,免試,0.997827
社會,學歷中心之競爭性教育,教育,市場,0.997824
社會,學歷中心之競爭性教育,教育,董事長,0.997814
社會,學歷中心之競爭性教育,教育,學者,0.99781
社會,學歷中心之競爭性教育,教育,課師,0.997768
社會,學歷中心之競爭性教育,教育,中學,0.997737
社會,學歷中心之競爭性教育,教育,提升,0.997737
社會,學歷中心之競爭性教育,教育,應用,0.997734
社會,學歷中心之競爭性教育,教育,指標,0.997724
社會,學歷中心之競爭性教育,教育,落實,0.99772
社會,學歷中心之競爭性教育,教育,觀念,0.997694
社會,學歷中心之競爭性教育,教育,全球,0.99769
社會,學歷中心之競爭性教育,教育,開辦,0.997626
社會,學歷中心之競爭性教育,教育,少子化,0.9976
社會,學歷中心之競爭性教育,教育,合作,0.997586
社會,學歷中心之競爭性教育,教育,鐵人,0.99758
社會,學歷中心之競爭性教育,教育,政院,0.997572
社會,學歷中心之競爭性教育,教育,入學,0.997494
社會,學歷中心之競爭性教育,教育,台南,0.997432
社會,學歷中心之競爭性教育,教育,學生,0.997423
社會,學歷中心之競爭性教育,教育,金融,0.997398
社會,學歷中心之競爭性教育,教育,集團,0.99737
社會,學歷中心之競爭性教育,教育,模式,0.997349
社會,學歷中心之競爭性教育,教育,教改,0.997322
社會,學歷中心之競爭性教育,教育,培訓,0.997262
社會,學歷中心之競爭性教育,教育,全面,0.99726
社會,學歷中心之競爭性教育,教育,掃描,0.997175
社會,學歷中心之競爭性教育,教育,陸生,0.996984
社會,學歷中心之競爭性教育,教育,親子,0.996928
社會,學歷中心之競爭性教育,教育,生活,0.996657
社會,學歷中心之競爭性教育,教育,訓練,0.996647
社會,學歷中心之競爭性教育,教育,計畫,0.996635
社會,學歷中心之競爭性教育,教育,萬人,0.996573
社會,學歷中心之競爭性教育,教育,升學,0.996541
社會,學歷中心之競爭性教育,教育,最夯,0.996407
社會,學歷中心之競爭性教育,教育,因應,0.996349
社會,學歷中心之競爭性教育,教育,學童,0.996246
社會,學歷中心之競爭性教育,教育,快樂,0.996205
社會,學歷中心之競爭性教育,教育,地方,0.996201
社會,學歷中心之競爭性教育,教育,多元,0.996168
社會,學歷中心之競爭性教育,教育,智慧,0.996146
社會,學歷中心之競爭性教育,教育,啟用,0.996115
社會,學歷中心之競爭性教育,教育,明年,0.996107
社會,學歷中心之競爭性教育,教育,孩子,0.996084
社會,學歷中心之競爭性教育,教育,教室,0.995973
社會,學歷中心之競爭性教育,教育,能力,0.99595
社會,學歷中心之競爭性教育,教育,國中生,0.995927
社會,學歷中心之競爭性教育,教育,情報,0.995749
社會,學歷中心之競爭性教育,教育,成就,0.995732
社會,學歷中心之競爭性教育,教育,雲端,0.995728
社會,學歷中心之競爭性教育,教育,其他,0.995512
社會,學歷中心之競爭性教育,教育,大學校長,0.995422
社會,學歷中心之競爭性教育,教育,鴻海,0.995402
社會,學歷中心之競爭性教育,教育,互動,0.994875
社會,學歷中心之競爭性教育,教育,保險,0.99479
社會,學歷中心之競爭性教育,教育,不可,0.994588
社會,學歷中心之競爭性教育,教育,競爭力,0.993809
