Field,Topic,Keyword,Related Word,Weight
社會,性別問題加劇,重男輕女,重男輕女,1.0
社會,性別問題加劇,重男輕女,大陸,0.99581
社會,性別問題加劇,重男輕女,男女,0.995177
社會,性別問題加劇,重男輕女,社會,0.994394
社會,性別問題加劇,重男輕女,出生,0.994242
社會,性別問題加劇,重男輕女,父母,0.994135
社會,性別問題加劇,重男輕女,文化,0.994068
社會,性別問題加劇,重男輕女,男性,0.993998
社會,性別問題加劇,重男輕女,英雄,0.993922
社會,性別問題加劇,重男輕女,網友,0.993875
社會,性別問題加劇,重男輕女,廁所,0.993869
社會,性別問題加劇,重男輕女,篩檢,0.993863
社會,性別問題加劇,重男輕女,女人,0.99381
社會,性別問題加劇,重男輕女,男女比例,0.99379
社會,性別問題加劇,重男輕女,嚴重,0.993762
社會,性別問題加劇,重男輕女,失衡,0.993685
社會,性別問題加劇,重男輕女,一胎化,0.993646
社會,性別問題加劇,重男輕女,國家,0.993617
社會,性別問題加劇,重男輕女,危機,0.993615
社會,性別問題加劇,重男輕女,校園,0.993382
社會,性別問題加劇,重男輕女,人物,0.993312
社會,性別問題加劇,重男輕女,歧視,0.993297
社會,性別問題加劇,重男輕女,性別,0.993286
社會,性別問題加劇,重男輕女,老爸,0.993221
社會,性別問題加劇,重男輕女,巴馬,0.99321
社會,性別問題加劇,重男輕女,全球,0.993152
社會,性別問題加劇,重男輕女,產業,0.993145
社會,性別問題加劇,重男輕女,職場,0.993064
社會,性別問題加劇,重男輕女,集團,0.993035
社會,性別問題加劇,重男輕女,變性人,0.992969
社會,性別問題加劇,重男輕女,友善,0.992966
社會,性別問題加劇,重男輕女,教育,0.992943
社會,性別問題加劇,重男輕女,UNK,0.992925
社會,性別問題加劇,重男輕女,光棍,0.9929
社會,性別問題加劇,重男輕女,國際,0.992885
社會,性別問題加劇,重男輕女,經濟,0.992807
社會,性別問題加劇,重男輕女,故事,0.99278
社會,性別問題加劇,重男輕女,多元,0.992744
社會,性別問題加劇,重男輕女,研究所,0.992725
社會,性別問題加劇,重男輕女,平權,0.992693
社會,性別問題加劇,重男輕女,中國,0.992659
社會,性別問題加劇,重男輕女,孕婦,0.992656
社會,性別問題加劇,重男輕女,家庭,0.992652
社會,性別問題加劇,重男輕女,人口,0.992599
社會,性別問題加劇,重男輕女,兩岸,0.992596
社會,性別問題加劇,重男輕女,母親,0.992595
社會,性別問題加劇,重男輕女,女生,0.992588
社會,性別問題加劇,重男輕女,婚姻,0.992519
社會,性別問題加劇,重男輕女,保障,0.992493
社會,性別問題加劇,重男輕女,人權,0.99248
社會,性別問題加劇,重男輕女,短評,0.99247
社會,性別問題加劇,重男輕女,服務,0.992455
社會,性別問題加劇,重男輕女,議題,0.99244
社會,性別問題加劇,重男輕女,什麼,0.992331
社會,性別問題加劇,重男輕女,卡卡,0.992267
社會,性別問題加劇,重男輕女,工作,0.992243
社會,性別問題加劇,重男輕女,平等,0.99224
