Field,Topic,Keyword,Related Word,Weight
其他,文化創意經濟,創意,創意,1.0
其他,文化創意經濟,創意,城鄉,0.983911
其他,文化創意經濟,創意,小調,0.98323
其他,文化創意經濟,創意,報名,0.982589
其他,文化創意經濟,創意,開講,0.982517
其他,文化創意經濟,創意,文化,0.980294
其他,文化創意經濟,創意,彰銀,0.979527
其他,文化創意經濟,創意,人文,0.979087
其他,文化創意經濟,創意,從速,0.978669
其他,文化創意經濟,創意,設計師,0.978575
其他,文化創意經濟,創意,工藝,0.978436
其他,文化創意經濟,創意,成立,0.977948
其他,文化創意經濟,創意,美學,0.97688
其他,文化創意經濟,創意,今起,0.976143
其他,文化創意經濟,創意,藝術,0.97522
其他,文化創意經濟,創意,myfone,0.975174
其他,文化創意經濟,創意,推廣,0.975028
其他,文化創意經濟,創意,產品,0.974347
其他,文化創意經濟,創意,藝術家,0.973357
其他,文化創意經濟,創意,現代,0.973266
其他,文化創意經濟,創意,風格,0.972571
其他,文化創意經濟,創意,上網,0.972308
其他,文化創意經濟,創意,科大,0.971868
其他,文化創意經濟,創意,再造,0.971778
其他,文化創意經濟,創意,媽祖,0.971743
其他,文化創意經濟,創意,音樂,0.971735
其他,文化創意經濟,創意,公仔,0.971652
其他,文化創意經濟,創意,市集,0.971643
其他,文化創意經濟,創意,人物,0.971525
其他,文化創意經濟,創意,台南,0.971446
其他,文化創意經濟,創意,研討,0.971387
其他,文化創意經濟,創意,客家,0.971284
其他,文化創意經濟,創意,學術,0.971236
其他,文化創意經濟,創意,特色,0.971086
其他,文化創意經濟,創意,新書,0.971079
其他,文化創意經濟,創意,設計,0.971024
其他,文化創意經濟,創意,大賽,0.971016
其他,文化創意經濟,創意,演講,0.970921
其他,文化創意經濟,創意,管理,0.970864
其他,文化創意經濟,創意,加入,0.970697
其他,文化創意經濟,創意,賦予,0.970621
其他,文化創意經濟,創意,生命,0.970539
其他,文化創意經濟,創意,走廊,0.970535
其他,文化創意經濟,創意,青年,0.970399
其他,文化創意經濟,創意,創業家,0.970349
其他,文化創意經濟,創意,創作,0.970263
其他,文化創意經濟,創意,出版業,0.970256
其他,文化創意經濟,創意,元素,0.970251
其他,文化創意經濟,創意,情報,0.970045
其他,文化創意經濟,創意,刺繡,0.97
其他,文化創意經濟,創意,沒有,0.969998
其他,文化創意經濟,創意,來自,0.969922
其他,文化創意經濟,創意,農場,0.969893
其他,文化創意經濟,創意,學生,0.969882
其他,文化創意經濟,創意,開鑼,0.969857
其他,文化創意經濟,創意,經營,0.969846
其他,文化創意經濟,創意,優勢,0.969768
其他,文化創意經濟,創意,點子,0.969742
其他,文化創意經濟,創意,嘉南,0.969712
其他,文化創意經濟,創意,網路,0.969699
其他,文化創意經濟,創意,交趾,0.969521
其他,文化創意經濟,創意,媒合,0.969467
其他,文化創意經濟,創意,商品,0.969376
其他,文化創意經濟,創意,開麥拉,0.969369
其他,文化創意經濟,創意,達人,0.969358
其他,文化創意經濟,創意,聯盟,0.969328
其他,文化創意經濟,創意,消費者,0.969302
其他,文化創意經濟,創意,酒廠,0.969096
其他,文化創意經濟,創意,分享,0.968907
其他,文化創意經濟,創意,競爭,0.968895
其他,文化創意經濟,創意,年度,0.968824
其他,文化創意經濟,創意,埔里,0.968773
其他,文化創意經濟,創意,美術館,0.968708
其他,文化創意經濟,創意,精神,0.968697
其他,文化創意經濟,創意,系列,0.968577
其他,文化創意經濟,創意,青睞,0.968535
其他,文化創意經濟,創意,期待,0.968532
其他,文化創意經濟,創意,參加,0.968519
其他,文化創意經濟,創意,經驗,0.968502
其他,文化創意經濟,創意,提高,0.968493
其他,文化創意經濟,創意,成果展,0.968434
其他,文化創意經濟,創意,大學,0.968401
