Field,Topic,Keyword,Related Word,Weight
環境,核能安全問題,核一,核一,1.0
環境,核能安全問題,核一,中期,0.996221
環境,核能安全問題,核一,未過,0.995837
環境,核能安全問題,核一,廢料,0.995792
環境,核能安全問題,核一,提前,0.993908
環境,核能安全問題,核一,完工,0.99361
環境,核能安全問題,核一,建核,0.992827
環境,核能安全問題,核一,過關,0.992608
環境,核能安全問題,核一,如果,0.992311
環境,核能安全問題,核一,檔案,0.991892
環境,核能安全問題,核一,關廠,0.991636
環境,核能安全問題,核一,電廠,0.991626
環境,核能安全問題,核一,擬延役,0.991264
環境,核能安全問題,核一,延役,0.991226
環境,核能安全問題,核一,處理,0.991014
環境,核能安全問題,核一,運轉,0.990273
環境,核能安全問題,核一,出招,0.989857
環境,核能安全問題,核一,每天,0.989793
環境,核能安全問題,核一,林口,0.9896
環境,核能安全問題,核一,石門,0.989423
環境,核能安全問題,核一,縣府,0.989337
環境,核能安全問題,核一,訴願,0.988998
環境,核能安全問題,核一,廢場,0.988805
環境,核能安全問題,核一,團體,0.98844
環境,核能安全問題,核一,徵收,0.988348
環境,核能安全問題,核一,能否,0.987987
環境,核能安全問題,核一,歐美,0.987942
環境,核能安全問題,核一,抗議,0.987676
環境,核能安全問題,核一,核四商轉,0.987575
環境,核能安全問題,核一,核廢乾,0.987432
環境,核能安全問題,核一,再延,0.987026
環境,核能安全問題,核一,核燃料,0.986881
環境,核能安全問題,核一,CO,0.986772
環境,核能安全問題,核一,政院,0.986147
環境,核能安全問題,核一,用電,0.985913
環境,核能安全問題,核一,全力,0.985841
環境,核能安全問題,核一,核二廠,0.985783
環境,核能安全問題,核一,罰單,0.985704
環境,核能安全問題,核一,公投,0.985373
環境,核能安全問題,核一,核廢,0.985238
環境,核能安全問題,核一,院長,0.9848
環境,核能安全問題,核一,貯場,0.984783
環境,核能安全問題,核一,機組,0.984754
環境,核能安全問題,核一,封殺,0.984587
環境,核能安全問題,核一,周錫瑋,0.984567
環境,核能安全問題,核一,方案,0.98412
環境,核能安全問題,核一,反對,0.984026
環境,核能安全問題,核一,台東,0.983924
環境,核能安全問題,核一,當紅,0.983841
環境,核能安全問題,核一,林義雄,0.983586
環境,核能安全問題,核一,劉揆,0.983558
環境,核能安全問題,核一,萬靈丹,0.983554
環境,核能安全問題,核一,抗爭,0.983347
環境,核能安全問題,核一,民國,0.983323
環境,核能安全問題,核一,儲存,0.983133
環境,核能安全問題,核一,續建,0.983128
環境,核能安全問題,核一,減量,0.983062
環境,核能安全問題,核一,暫緩,0.982877
環境,核能安全問題,核一,設計,0.98271
環境,核能安全問題,核一,門檻,0.982617
環境,核能安全問題,核一,核一核,0.982158
環境,核能安全問題,核一,恢復,0.982006
環境,核能安全問題,核一,對岸,0.981653
環境,核能安全問題,核一,擴建,0.98129
環境,核能安全問題,核一,危機,0.981239
環境,核能安全問題,核一,承諾,0.980936
環境,核能安全問題,核一,成效,0.980768
環境,核能安全問題,核一,商轉,0.980714
環境,核能安全問題,核一,贊成,0.980685
環境,核能安全問題,核一,痛批,0.980308
環境,核能安全問題,核一,選擇,0.980246
環境,核能安全問題,核一,場址,0.980221
環境,核能安全問題,核一,風力,0.979849
環境,核能安全問題,核一,工商,0.979798
環境,核能安全問題,核一,水準,0.979756
環境,核能安全問題,核一,最快,0.979643
環境,核能安全問題,核一,吳再益,0.97927
環境,核能安全問題,核一,消失,0.978415
環境,核能安全問題,核一,反核,0.978257
環境,核能安全問題,核一,月底,0.977958
環境,核能安全問題,核一,供電,0.977807
環境,核能安全問題,核一,排放量,0.977501
環境,核能安全問題,核一,審查,0.977394
環境,核能安全問題,核一,衝擊,0.977383
環境,核能安全問題,核一,節能減碳,0.977182
環境,核能安全問題,核一,工作,0.977152
環境,核能安全問題,核一,學者,0.976202
環境,核能安全問題,核一,除役,0.976005
環境,核能安全問題,核一,減碳,0.976002
環境,核能安全問題,核一,決策,0.97599
環境,核能安全問題,核一,趨勢,0.975713
環境,核能安全問題,核一,啟動,0.975351
環境,核能安全問題,核一,目標,0.974919
環境,核能安全問題,核一,專家,0.974908
環境,核能安全問題,核一,再生能源,0.974835
環境,核能安全問題,核一,蘭嶼,0.974699
環境,核能安全問題,核一,電纜,0.974653
環境,核能安全問題,核一,澎湖,0.974589
環境,核能安全問題,核一,復活,0.974388
環境,核能安全問題,核一,限電,0.974334
環境,核能安全問題,核一,選址,0.974219
環境,核能安全問題,核一,停建,0.973988
環境,核能安全問題,核一,興建,0.973767
環境,核能安全問題,核一,過渡,0.973586
環境,核能安全問題,核一,爭議,0.973556
環境,核能安全問題,核一,研究所,0.973485
環境,核能安全問題,核一,政府,0.973264
環境,核能安全問題,核一,設施,0.973189
環境,核能安全問題,核一,深澳,0.972694
環境,核能安全問題,核一,經濟部,0.972545
環境,核能安全問題,核一,原能,0.972505
環境,核能安全問題,核一,發電量,0.972404
環境,核能安全問題,核一,情報,0.9724
環境,核能安全問題,核一,因應,0.97225
環境,核能安全問題,核一,新聞分析,0.972248
環境,核能安全問題,核一,條例,0.972223
環境,核能安全問題,核一,績效,0.971963
環境,核能安全問題,核一,通過,0.971899
環境,核能安全問題,核一,回饋,0.971636
環境,核能安全問題,核一,不斷,0.971549
環境,核能安全問題,核一,李遠哲,0.971523
環境,核能安全問題,核一,信心,0.971363
環境,核能安全問題,核一,時代,0.971279
