Field,Topic,Keyword,Related Word,Weight
環境,民眾作為研究與創新系統,社會轉型,社會轉型,1.0
環境,民眾作為研究與創新系統,社會轉型,如何,0.99914
環境,民眾作為研究與創新系統,社會轉型,紀錄,0.99914
環境,民眾作為研究與創新系統,社會轉型,價值,0.999114
環境,民眾作為研究與創新系統,社會轉型,專訪,0.999104
環境,民眾作為研究與創新系統,社會轉型,中共,0.999103
環境,民眾作為研究與創新系統,社會轉型,故事,0.99909
環境,民眾作為研究與創新系統,社會轉型,就職演說,0.999089
環境,民眾作為研究與創新系統,社會轉型,實力,0.999077
環境,民眾作為研究與創新系統,社會轉型,復興,0.999075
環境,民眾作為研究與創新系統,社會轉型,低碳,0.999067
環境,民眾作為研究與創新系統,社會轉型,開鑼,0.999064
環境,民眾作為研究與創新系統,社會轉型,什麼,0.99906
環境,民眾作為研究與創新系統,社會轉型,責任,0.999044
環境,民眾作為研究與創新系統,社會轉型,科技,0.999044
環境,民眾作為研究與創新系統,社會轉型,兩岸關係,0.999027
環境,民眾作為研究與創新系統,社會轉型,文創,0.999005
環境,民眾作為研究與創新系統,社會轉型,新聞,0.999004
環境,民眾作為研究與創新系統,社會轉型,展現,0.998989
環境,民眾作為研究與創新系統,社會轉型,鬆綁,0.998986
環境,民眾作為研究與創新系統,社會轉型,模式,0.998956
環境,民眾作為研究與創新系統,社會轉型,趨勢,0.99895
環境,民眾作為研究與創新系統,社會轉型,聚焦,0.998939
環境,民眾作為研究與創新系統,社會轉型,紀錄片,0.998933
環境,民眾作為研究與創新系統,社會轉型,建築,0.998933
環境,民眾作為研究與創新系統,社會轉型,不是,0.998926
環境,民眾作為研究與創新系統,社會轉型,大學,0.99891
環境,民眾作為研究與創新系統,社會轉型,全台,0.998904
環境,民眾作為研究與創新系統,社會轉型,族群,0.998903
環境,民眾作為研究與創新系統,社會轉型,自由,0.998894
環境,民眾作為研究與創新系統,社會轉型,發聲,0.998893
環境,民眾作為研究與創新系統,社會轉型,環境,0.998853
環境,民眾作為研究與創新系統,社會轉型,大學生,0.998844
環境,民眾作為研究與創新系統,社會轉型,作品,0.998843
環境,民眾作為研究與創新系統,社會轉型,發光,0.998836
環境,民眾作為研究與創新系統,社會轉型,人大,0.998827
環境,民眾作為研究與創新系統,社會轉型,周刊,0.998824
環境,民眾作為研究與創新系統,社會轉型,人潮,0.998823
環境,民眾作為研究與創新系統,社會轉型,提升,0.998816
環境,民眾作為研究與創新系統,社會轉型,關注,0.998807
環境,民眾作為研究與創新系統,社會轉型,垃圾,0.998794
環境,民眾作為研究與創新系統,社會轉型,訓練,0.998792
環境,民眾作為研究與創新系統,社會轉型,消費,0.99878
環境,民眾作為研究與創新系統,社會轉型,旅遊,0.998775
環境,民眾作為研究與創新系統,社會轉型,民間,0.998771
環境,民眾作為研究與創新系統,社會轉型,農村,0.998752
環境,民眾作為研究與創新系統,社會轉型,攜手,0.99875
環境,民眾作為研究與創新系統,社會轉型,必須,0.998736
環境,民眾作為研究與創新系統,社會轉型,雲林,0.99873
環境,民眾作為研究與創新系統,社會轉型,十大,0.998726
環境,民眾作為研究與創新系統,社會轉型,北京,0.998723
環境,民眾作為研究與創新系統,社會轉型,北港,0.998721
環境,民眾作為研究與創新系統,社會轉型,穩定,0.998718
環境,民眾作為研究與創新系統,社會轉型,董事長,0.998712
環境,民眾作為研究與創新系統,社會轉型,觀察,0.998709
環境,民眾作為研究與創新系統,社會轉型,福建,0.998705
環境,民眾作為研究與創新系統,社會轉型,確定,0.998699
環境,民眾作為研究與創新系統,社會轉型,永續,0.998686
環境,民眾作為研究與創新系統,社會轉型,法治,0.998684
環境,民眾作為研究與創新系統,社會轉型,選拔,0.998683
環境,民眾作為研究與創新系統,社會轉型,天下,0.998681
環境,民眾作為研究與創新系統,社會轉型,樂活,0.998675
環境,民眾作為研究與創新系統,社會轉型,戰略,0.99867
環境,民眾作為研究與創新系統,社會轉型,開始,0.99866
環境,民眾作為研究與創新系統,社會轉型,一種,0.998658
環境,民眾作為研究與創新系統,社會轉型,實踐,0.998657
環境,民眾作為研究與創新系統,社會轉型,石門,0.998653
環境,民眾作為研究與創新系統,社會轉型,女性,0.998649
環境,民眾作為研究與創新系統,社會轉型,設計,0.998649
環境,民眾作為研究與創新系統,社會轉型,胡錦濤,0.998644
環境,民眾作為研究與創新系統,社會轉型,走向,0.998642
環境,民眾作為研究與創新系統,社會轉型,一路,0.998638
環境,民眾作為研究與創新系統,社會轉型,創業,0.998638
環境,民眾作為研究與創新系統,社會轉型,表達,0.998636
環境,民眾作為研究與創新系統,社會轉型,跳脫,0.998636
環境,民眾作為研究與創新系統,社會轉型,成長,0.998629
環境,民眾作為研究與創新系統,社會轉型,方式,0.998627
環境,民眾作為研究與創新系統,社會轉型,個人,0.998627
環境,民眾作為研究與創新系統,社會轉型,植樹,0.998614
環境,民眾作為研究與創新系統,社會轉型,兒童,0.998607
環境,民眾作為研究與創新系統,社會轉型,成立,0.998606
環境,民眾作為研究與創新系統,社會轉型,老屋,0.998604
環境,民眾作為研究與創新系統,社會轉型,目標,0.998603
環境,民眾作為研究與創新系統,社會轉型,打破,0.998601
環境,民眾作為研究與創新系統,社會轉型,回歸,0.998598
環境,民眾作為研究與創新系統,社會轉型,經營,0.998596
環境,民眾作為研究與創新系統,社會轉型,觀點,0.998591
環境,民眾作為研究與創新系統,社會轉型,兩會,0.998589
環境,民眾作為研究與創新系統,社會轉型,DIY,0.998587
環境,民眾作為研究與創新系統,社會轉型,內容,0.998584
環境,民眾作為研究與創新系統,社會轉型,沒有,0.998578
環境,民眾作為研究與創新系統,社會轉型,我們,0.998577
環境,民眾作為研究與創新系統,社會轉型,只是,0.998571
環境,民眾作為研究與創新系統,社會轉型,風車,0.998564
環境,民眾作為研究與創新系統,社會轉型,品質,0.998563
環境,民眾作為研究與創新系統,社會轉型,管理,0.99856
環境,民眾作為研究與創新系統,社會轉型,讀者,0.998559
環境,民眾作為研究與創新系統,社會轉型,第二,0.998549
環境,民眾作為研究與創新系統,社會轉型,帶路,0.998547
環境,民眾作為研究與創新系統,社會轉型,最大,0.998544
環境,民眾作為研究與創新系統,社會轉型,聽證會,0.998544
環境,民眾作為研究與創新系統,社會轉型,人物,0.998543
環境,民眾作為研究與創新系統,社會轉型,香港,0.99854
環境,民眾作為研究與創新系統,社會轉型,感動,0.998538
環境,民眾作為研究與創新系統,社會轉型,好玩,0.998537
環境,民眾作為研究與創新系統,社會轉型,元旦,0.998526
環境,民眾作為研究與創新系統,社會轉型,尊重,0.998524
環境,民眾作為研究與創新系統,社會轉型,使用,0.998523
環境,民眾作為研究與創新系統,社會轉型,取代,0.998522
環境,民眾作為研究與創新系統,社會轉型,透過,0.998518
環境,民眾作為研究與創新系統,社會轉型,藝術家,0.998517
環境,民眾作為研究與創新系統,社會轉型,原民,0.998515
環境,民眾作為研究與創新系統,社會轉型,得獎,0.998507
環境,民眾作為研究與創新系統,社會轉型,一個,0.998505
環境,民眾作為研究與創新系統,社會轉型,建設,0.998504
環境,民眾作為研究與創新系統,社會轉型,縣府,0.998503
環境,民眾作為研究與創新系統,社會轉型,深圳,0.998502
環境,民眾作為研究與創新系統,社會轉型,精神,0.9985
環境,民眾作為研究與創新系統,社會轉型,機制,0.998498
環境,民眾作為研究與創新系統,社會轉型,優惠,0.99849
環境,民眾作為研究與創新系統,社會轉型,微評,0.998477
環境,民眾作為研究與創新系統,社會轉型,結合,0.998474
環境,民眾作為研究與創新系統,社會轉型,十二五,0.998472
環境,民眾作為研究與創新系統,社會轉型,布局,0.998467
環境,民眾作為研究與創新系統,社會轉型,氣候,0.998463
環境,民眾作為研究與創新系統,社會轉型,市集,0.998457
環境,民眾作為研究與創新系統,社會轉型,崛起,0.998457
環境,民眾作為研究與創新系統,社會轉型,年代,0.998457
環境,民眾作為研究與創新系統,社會轉型,邁向,0.998452
環境,民眾作為研究與創新系統,社會轉型,百年,0.998452
環境,民眾作為研究與創新系統,社會轉型,廣場,0.998449
環境,民眾作為研究與創新系統,社會轉型,經驗,0.998447
環境,民眾作為研究與創新系統,社會轉型,開講,0.998446
環境,民眾作為研究與創新系統,社會轉型,閉幕,0.998446
環境,民眾作為研究與創新系統,社會轉型,食品,0.998441
環境,民眾作為研究與創新系統,社會轉型,危機,0.998434
環境,民眾作為研究與創新系統,社會轉型,iVoting,0.998434
環境,民眾作為研究與創新系統,社會轉型,南山人壽,0.998431
環境,民眾作為研究與創新系統,社會轉型,快樂,0.99843
環境,民眾作為研究與創新系統,社會轉型,竹市,0.998429
環境,民眾作為研究與創新系統,社會轉型,慈善,0.998429
環境,民眾作為研究與創新系統,社會轉型,家園,0.998428
環境,民眾作為研究與創新系統,社會轉型,節目,0.998427
環境,民眾作為研究與創新系統,社會轉型,魅力,0.998424
環境,民眾作為研究與創新系統,社會轉型,書展,0.998422
環境,民眾作為研究與創新系統,社會轉型,遊客,0.998417
環境,民眾作為研究與創新系統,社會轉型,年度,0.998415
環境,民眾作為研究與創新系統,社會轉型,創作,0.998414
環境,民眾作為研究與創新系統,社會轉型,學者,0.998414
環境,民眾作為研究與創新系統,社會轉型,肯定,0.998412
環境,民眾作為研究與創新系統,社會轉型,事件,0.998412
環境,民眾作為研究與創新系統,社會轉型,獨立,0.998408
環境,民眾作為研究與創新系統,社會轉型,航空,0.998403
環境,民眾作為研究與創新系統,社會轉型,美麗,0.998396
環境,民眾作為研究與創新系統,社會轉型,劇團,0.998393
環境,民眾作為研究與創新系統,社會轉型,南水局,0.998393
環境,民眾作為研究與創新系統,社會轉型,指標,0.998388
環境,民眾作為研究與創新系統,社會轉型,新視界,0.998388
環境,民眾作為研究與創新系統,社會轉型,實質,0.998387
環境,民眾作為研究與創新系統,社會轉型,領導,0.998385
環境,民眾作為研究與創新系統,社會轉型,去年,0.998385
環境,民眾作為研究與創新系統,社會轉型,貼近,0.998381
環境,民眾作為研究與創新系統,社會轉型,看待,0.99838
環境,民眾作為研究與創新系統,社會轉型,群聚,0.998378
環境,民眾作為研究與創新系統,社會轉型,周末,0.998377
環境,民眾作為研究與創新系統,社會轉型,世紀,0.998376
環境,民眾作為研究與創新系統,社會轉型,公司,0.998373
環境,民眾作為研究與創新系統,社會轉型,今晚,0.998371
環境,民眾作為研究與創新系統,社會轉型,創造,0.998369
環境,民眾作為研究與創新系統,社會轉型,展開,0.998366
環境,民眾作為研究與創新系統,社會轉型,貨幣,0.99836
環境,民眾作為研究與創新系統,社會轉型,回饋,0.998359
環境,民眾作為研究與創新系統,社會轉型,競爭力,0.998357
環境,民眾作為研究與創新系統,社會轉型,街頭,0.998354
環境,民眾作為研究與創新系統,社會轉型,加速,0.998346
環境,民眾作為研究與創新系統,社會轉型,策略,0.998344
環境,民眾作為研究與創新系統,社會轉型,嘉市,0.998342
環境,民眾作為研究與創新系統,社會轉型,凝視,0.998334
環境,民眾作為研究與創新系統,社會轉型,回應,0.998328
環境,民眾作為研究與創新系統,社會轉型,年輕,0.998327
環境,民眾作為研究與創新系統,社會轉型,旺旺,0.998318
環境,民眾作為研究與創新系統,社會轉型,奧運,0.9983
環境,民眾作為研究與創新系統,社會轉型,票選,0.998296
環境,民眾作為研究與創新系統,社會轉型,中市,0.998295
環境,民眾作為研究與創新系統,社會轉型,發起,0.99829
環境,民眾作為研究與創新系統,社會轉型,不會,0.998288
環境,民眾作為研究與創新系統,社會轉型,世代,0.998286
環境,民眾作為研究與創新系統,社會轉型,微博,0.998283
環境,民眾作為研究與創新系統,社會轉型,思考,0.998282
環境,民眾作為研究與創新系統,社會轉型,寶島,0.998281
環境,民眾作為研究與創新系統,社會轉型,才能,0.99827
環境,民眾作為研究與創新系統,社會轉型,房屋,0.998266
環境,民眾作為研究與創新系統,社會轉型,尋找,0.998255
環境,民眾作為研究與創新系統,社會轉型,陸生,0.998255
環境,民眾作為研究與創新系統,社會轉型,推廣,0.998254
環境,民眾作為研究與創新系統,社會轉型,起跑,0.998253
環境,民眾作為研究與創新系統,社會轉型,社福,0.998253
環境,民眾作為研究與創新系統,社會轉型,法官,0.998252
環境,民眾作為研究與創新系統,社會轉型,有感,0.99825
環境,民眾作為研究與創新系統,社會轉型,燈會,0.998249
環境,民眾作為研究與創新系統,公民,公民,1.0
環境,民眾作為研究與創新系統,公民,推動,0.986355
環境,民眾作為研究與創新系統,公民,政治,0.985523
環境,民眾作為研究與創新系統,公民,社論,0.980948
