Field,Topic,Keyword,Related Word,Weight
其他,財政危機,財政危機,財政危機,1.0
其他,財政危機,財政危機,金援,0.980003
其他,財政危機,財政危機,財長,0.979167
其他,財政危機,財政危機,德國,0.979129
其他,財政危機,財政危機,恐陷,0.97884
其他,財政危機,財政危機,梅克爾,0.977778
其他,財政危機,財政危機,挑戰,0.977318
其他,財政危機,財政危機,歐洲,0.976467
其他,財政危機,財政危機,援助,0.976133
其他,財政危機,財政危機,同意,0.975692
其他,財政危機,財政危機,效應,0.975406
其他,財政危機,財政危機,IMF,0.975368
其他,財政危機,財政危機,官員,0.975048
其他,財政危機,財政危機,匈牙利,0.974884
其他,財政危機,財政危機,主張,0.974364
其他,財政危機,財政危機,爭取,0.974243
其他,財政危機,財政危機,艱困,0.974128
其他,財政危機,財政危機,公布,0.973834
其他,財政危機,財政危機,金融時報,0.973807
其他,財政危機,財政危機,縮減,0.973626
其他,財政危機,財政危機,特里,0.973594
其他,財政危機,財政危機,節流,0.973553
其他,財政危機,財政危機,會議,0.973168
其他,財政危機,財政危機,以來,0.973154
其他,財政危機,財政危機,要求,0.972991
其他,財政危機,財政危機,因應,0.972779
其他,財政危機,財政危機,措施,0.972446
其他,財政危機,財政危機,歐洲央行,0.972422
其他,財政危機,財政危機,奏效,0.972202
其他,財政危機,財政危機,一個,0.972185
其他,財政危機,財政危機,反對,0.972097
其他,財政危機,財政危機,達成,0.97192
其他,財政危機,財政危機,縮水,0.971689
其他,財政危機,財政危機,天下,0.971619
其他,財政危機,財政危機,正視,0.971516
其他,財政危機,財政危機,時代,0.971508
其他,財政危機,財政危機,挽救,0.971426
其他,財政危機,財政危機,退場,0.971117
其他,財政危機,財政危機,新高,0.971059
其他,財政危機,財政危機,抗議,0.971015
其他,財政危機,財政危機,加稅,0.970689
其他,財政危機,財政危機,後市,0.97067
其他,財政危機,財政危機,白宮,0.970561
其他,財政危機,財政危機,解決,0.97045
其他,財政危機,財政危機,在野黨,0.970191
其他,財政危機,財政危機,撙節,0.970163
其他,財政危機,財政危機,歷史,0.970016
其他,財政危機,財政危機,面臨,0.969909
其他,財政危機,財政危機,選民,0.969756
其他,財政危機,財政危機,才能,0.969652
其他,財政危機,財政危機,因斯,0.969649
其他,財政危機,財政危機,桑默斯,0.969511
其他,財政危機,財政危機,行動,0.969444
其他,財政危機,財政危機,緊急,0.969441
其他,財政危機,財政危機,回升,0.969332
其他,財政危機,財政危機,計畫,0.969201
其他,財政危機,財政危機,停止,0.969031
其他,財政危機,財政危機,地位,0.968923
其他,財政危機,財政危機,政策,0.968903
其他,財政危機,財政危機,歐美,0.968745
其他,財政危機,財政危機,開徵,0.968691
其他,財政危機,財政危機,財政赤字,0.968638
其他,財政危機,財政危機,準備,0.968552
其他,財政危機,財政危機,能力,0.968461
其他,財政危機,財政危機,加值,0.968459
其他,財政危機,財政危機,嚴苛,0.968432
其他,財政危機,財政危機,支持,0.968342
其他,財政危機,財政危機,引發,0.968314
其他,財政危機,財政危機,富國,0.968186
其他,財政危機,財政危機,攀高,0.968144
其他,財政危機,財政危機,喊話,0.968102
其他,財政危機,財政危機,陷入,0.968025
其他,財政危機,財政危機,統計,0.967964
其他,財政危機,財政危機,恐再,0.967825
其他,財政危機,財政危機,減稅,0.967814
其他,財政危機,財政危機,金改,0.967764
其他,財政危機,財政危機,先驅,0.967762
其他,財政危機,財政危機,衰退,0.967744
其他,財政危機,財政危機,延續,0.967707
其他,財政危機,財政危機,劉憶,0.967707
其他,財政危機,財政危機,布朗,0.967703
其他,財政危機,財政危機,出手,0.967687
其他,財政危機,財政危機,瞭望,0.967667
其他,財政危機,財政危機,論壇報,0.967633
其他,財政危機,財政危機,各國,0.967549
其他,財政危機,財政危機,兩年,0.967539
其他,財政危機,財政危機,通縮,0.967474
其他,財政危機,財政危機,二次,0.967472
其他,財政危機,財政危機,嚴峻,0.967311
其他,財政危機,財政危機,總理,0.967268
其他,財政危機,財政危機,施政,0.967245
其他,財政危機,財政危機,否認,0.967237
其他,財政危機,財政危機,創年,0.967217
其他,財政危機,財政危機,機制,0.967079
其他,財政危機,財政危機,懲罰,0.967066
其他,財政危機,財政危機,惡化,0.967015
其他,財政危機,財政危機,警告,0.966917
其他,財政危機,財政危機,德法,0.966901
其他,財政危機,財政危機,破產,0.966807
其他,財政危機,財政危機,關係,0.966793
其他,財政危機,財政危機,提出,0.966769
其他,財政危機,財政危機,加速,0.966744
其他,財政危機,財政危機,跌成,0.966726
其他,財政危機,財政危機,聯邦,0.966601
其他,財政危機,財政危機,恐爆,0.966582
其他,財政危機,財政危機,最大,0.966424
其他,財政危機,財政危機,葛老,0.966415
其他,財政危機,財政危機,恢復,0.966253
其他,財政危機,財政危機,破兆,0.966044
其他,財政危機,財政危機,不景氣,0.96604
其他,財政危機,財政危機,美債,0.965994
其他,財政危機,財政危機,後塵,0.965978
其他,財政危機,財政危機,貨幣,0.965958
其他,財政危機,財政危機,進入,0.965957
其他,財政危機,財政危機,通過,0.9658
其他,財政危機,財政危機,失衡,0.96575
其他,財政危機,財政危機,盧比,0.965682
其他,財政危機,財政危機,聚焦,0.965631
其他,財政危機,財政危機,英鎊,0.965587
其他,財政危機,財政危機,推動,0.96552
其他,財政危機,財政危機,財政紀律,0.965508
其他,財政危機,財政危機,國會,0.965465
其他,財政危機,財政危機,數據,0.965454
其他,財政危機,財政危機,困境,0.965417
其他,財政危機,財政危機,健保,0.965363
其他,財政危機,財政危機,強調,0.965348
其他,財政危機,財政危機,重建,0.965291
其他,財政危機,財政危機,削減,0.965158
其他,財政危機,財政危機,人口老化,0.964805
其他,財政危機,財政危機,富人,0.964736
其他,財政危機,財政危機,救不救,0.96473
其他,財政危機,財政危機,推出,0.964673
其他,財政危機,財政危機,考驗,0.964627
其他,財政危機,財政危機,美應,0.96444
其他,財政危機,財政危機,年度,0.964432
其他,財政危機,財政危機,點名,0.964407
其他,財政危機,財政危機,公共,0.964405
其他,財政危機,財政危機,力道,0.964405
其他,財政危機,財政危機,跌幅,0.964353
其他,財政危機,財政危機,增稅,0.964334
其他,財政危機,財政危機,逼近,0.964289
其他,財政危機,財政危機,布希,0.964253
其他,財政危機,財政危機,經建會,0.964164
其他,財政危機,財政危機,金融危機,0.964121
其他,財政危機,財政危機,過關,0.964113
其他,財政危機,財政危機,目標,0.964061
其他,財政危機,財政危機,連環,0.964018
其他,財政危機,財政危機,關卡,0.963989
其他,財政危機,財政危機,不振,0.963862
其他,財政危機,財政危機,經濟學,0.963853
其他,財政危機,財政危機,財務,0.963799
其他,財政危機,財政危機,導致,0.963762
其他,財政危機,財政危機,爆發,0.963662
其他,財政危機,財政危機,歐豬,0.963632
其他,財政危機,財政危機,上修,0.963593
其他,財政危機,財政危機,州政府,0.96348
其他,財政危機,財政危機,償債,0.963472
其他,財政危機,財政危機,成為,0.963462
其他,財政危機,財政危機,銀行,0.963452
其他,財政危機,財政危機,滾雪球,0.963445
其他,財政危機,財政危機,至少,0.963331
其他,財政危機,財政危機,不宜,0.963304
其他,財政危機,財政危機,拒絕,0.963235
其他,財政危機,財政危機,保證,0.96317
其他,財政危機,財政危機,發展,0.963162
其他,財政危機,財政危機,力促,0.963143
其他,財政危機,財政危機,兩難,0.963135
其他,財政危機,財政危機,建立,0.962981
其他,財政危機,財政危機,大跌,0.962951
其他,財政危機,財政危機,危機,0.962947
其他,財政危機,財政危機,義大利,0.962901
其他,財政危機,財政危機,經濟衰退,0.962845
其他,財政危機,財政危機,民調,0.962841
其他,財政危機,財政危機,開始,0.96278
其他,財政危機,財政危機,開支,0.962763
其他,財政危機,財政危機,每人,0.962742
其他,財政危機,財政危機,社福,0.962713
其他,財政危機,財政危機,穩健,0.962571
其他,財政危機,財政危機,財源,0.962528
其他,財政危機,財政危機,承諾,0.962507
其他,財政危機,財政危機,認為,0.96246
其他,財政危機,財政危機,加劇,0.96245
其他,財政危機,財政危機,投機,0.962422
其他,財政危機,財政危機,將成,0.962421
其他,財政危機,財政危機,每年,0.962275
其他,財政危機,財政危機,能源,0.962241
其他,財政危機,財政危機,年底,0.962213
其他,財政危機,財政危機,重挫,0.962183
其他,財政危機,財政危機,聯合,0.962178
