Field,Topic,Keyword,Related Word,Weight
經濟,超連結社會,網路,網路,1.0
經濟,超連結社會,網路,觀念,0.932216
經濟,超連結社會,網路,平台,0.92302
經濟,超連結社會,網路,合作,0.921812
經濟,超連結社會,網路,政府,0.920569
經濟,超連結社會,網路,觀點,0.916269
經濟,超連結社會,網路,軟體,0.914992
經濟,超連結社會,網路,阿里,0.913497
經濟,超連結社會,網路,旺報,0.908353
經濟,超連結社會,網路,蘋果,0.907456
經濟,超連結社會,網路,創新,0.907403
經濟,超連結社會,網路,社論,0.905722
經濟,超連結社會,網路,戰略,0.904989
經濟,超連結社會,網路,升級,0.904881
經濟,超連結社會,網路,發展,0.904107
經濟,超連結社會,網路,中心,0.901092
經濟,超連結社會,網路,健康,0.900429
經濟,超連結社會,網路,企業,0.898802
經濟,超連結社會,網路,聯手,0.897242
經濟,超連結社會,網路,加速,0.896734
經濟,超連結社會,網路,騰訊,0.896703
經濟,超連結社會,網路,天貓,0.896252
經濟,超連結社會,網路,論壇,0.89558
經濟,超連結社會,網路,業者,0.895222
經濟,超連結社會,網路,結盟,0.894619
經濟,超連結社會,網路,打造,0.894597
經濟,超連結社會,網路,中國,0.893141
經濟,超連結社會,網路,國際,0.891919
經濟,超連結社會,網路,集團,0.89049
經濟,超連結社會,網路,轉型,0.889977
經濟,超連結社會,網路,巨頭,0.887981
經濟,超連結社會,網路,力推,0.887424
經濟,超連結社會,網路,專欄,0.886892
經濟,超連結社會,網路,運用,0.886675
經濟,超連結社會,網路,英特爾,0.885188
經濟,超連結社會,網路,採用,0.884029
經濟,超連結社會,網路,成立,0.883652
經濟,超連結社會,網路,推動,0.883295
經濟,超連結社會,網路,時代,0.883271
經濟,超連結社會,網路,開發,0.882102
經濟,超連結社會,網路,監管,0.882002
經濟,超連結社會,網路,北電,0.881987
經濟,超連結社會,網路,契機,0.881939
經濟,超連結社會,網路,中小企業,0.881718
經濟,超連結社會,網路,供應鏈,0.881662
經濟,超連結社會,網路,名家,0.881474
經濟,超連結社會,網路,攻擊,0.881118
經濟,超連結社會,網路,模式,0.880955
經濟,超連結社會,網路,落後,0.88095
經濟,超連結社會,網路,公司,0.880925
經濟,超連結社會,網路,百度,0.880648
經濟,超連結社會,網路,ICT,0.880201
經濟,超連結社會,網路,三星,0.87918
經濟,超連結社會,網路,結合,0.878962
經濟,超連結社會,網路,趨勢,0.878728
經濟,超連結社會,網路,通訊,0.878505
經濟,超連結社會,網路,裝置,0.878468
經濟,超連結社會,網路,創造,0.878396
經濟,超連結社會,網路,市值,0.878087
經濟,超連結社會,網路,總經理,0.877403
經濟,超連結社會,網路,推出,0.877386
經濟,超連結社會,網路,Etu,0.87728
經濟,超連結社會,網路,引領,0.87697
經濟,超連結社會,網路,起飛,0.876957
經濟,超連結社會,網路,大會,0.876254
經濟,超連結社會,網路,肯定,0.876219
經濟,超連結社會,網路,大戰,0.876129
經濟,超連結社會,網路,觀光,0.875925
經濟,超連結社會,網路,經部,0.875911
