Field,Topic,Keyword,Related Word,Weight
其他,跨國金融防弊,金融交易,金融交易,1.0
其他,跨國金融防弊,金融交易,債券,0.983551
其他,跨國金融防弊,金融交易,英國,0.97443
其他,跨國金融防弊,金融交易,新興,0.971594
其他,跨國金融防弊,金融交易,課稅,0.970256
其他,跨國金融防弊,金融交易,報名,0.969828
其他,跨國金融防弊,金融交易,美股,0.967549
其他,跨國金融防弊,金融交易,利率,0.966825
其他,跨國金融防弊,金融交易,需求,0.966647
其他,跨國金融防弊,金融交易,大增,0.966239
其他,跨國金融防弊,金融交易,歐洲,0.966055
其他,跨國金融防弊,金融交易,企業,0.965966
其他,跨國金融防弊,金融交易,期貨,0.964741
其他,跨國金融防弊,金融交易,年薪,0.962134
其他,跨國金融防弊,金融交易,技術,0.961707
其他,跨國金融防弊,金融交易,資金,0.961655
其他,跨國金融防弊,金融交易,多頭,0.958367
其他,跨國金融防弊,金融交易,帶動,0.958291
其他,跨國金融防弊,金融交易,心法,0.95808
其他,跨國金融防弊,金融交易,總經理,0.958025
其他,跨國金融防弊,金融交易,投資,0.956332
其他,跨國金融防弊,金融交易,蘋果,0.956246
其他,跨國金融防弊,金融交易,台幣,0.955905
其他,跨國金融防弊,金融交易,課程,0.955626
其他,跨國金融防弊,金融交易,訂單,0.955127
其他,跨國金融防弊,金融交易,看好,0.954466
其他,跨國金融防弊,金融交易,高峰,0.954184
其他,跨國金融防弊,金融交易,減稅,0.95412
其他,跨國金融防弊,金融交易,交易稅,0.953725
其他,跨國金融防弊,金融交易,後市,0.953531
其他,跨國金融防弊,金融交易,籌資,0.952043
其他,跨國金融防弊,金融交易,熱錢,0.951952
其他,跨國金融防弊,金融交易,產品,0.95143
其他,跨國金融防弊,金融交易,當道,0.951417
其他,跨國金融防弊,金融交易,主管,0.951335
其他,跨國金融防弊,金融交易,旗下,0.950852
其他,跨國金融防弊,金融交易,成交量,0.950652
其他,跨國金融防弊,金融交易,指數,0.950289
其他,跨國金融防弊,金融交易,發債,0.950141
其他,跨國金融防弊,金融交易,改革,0.949481
其他,跨國金融防弊,金融交易,吸引,0.949448
其他,跨國金融防弊,金融交易,職場,0.948937
其他,跨國金融防弊,金融交易,走勢,0.948376
其他,跨國金融防弊,金融交易,集團,0.947803
其他,跨國金融防弊,金融交易,證基會,0.947564
其他,跨國金融防弊,金融交易,事業,0.947416
其他,跨國金融防弊,金融交易,股價,0.947208
其他,跨國金融防弊,金融交易,表現,0.946921
其他,跨國金融防弊,金融交易,賣壓,0.946817
其他,跨國金融防弊,金融交易,震盪,0.946508
其他,跨國金融防弊,金融交易,星展,0.946255
其他,跨國金融防弊,金融交易,擴增,0.945952
其他,跨國金融防弊,金融交易,前景,0.945813
其他,跨國金融防弊,金融交易,短線,0.945141
其他,跨國金融防弊,金融交易,交易,0.944953
其他,跨國金融防弊,金融交易,日盛,0.944875
其他,跨國金融防弊,金融交易,舉辦,0.944766
其他,跨國金融防弊,金融交易,增加,0.944608
其他,跨國金融防弊,金融交易,投資人,0.944506
其他,跨國金融防弊,金融交易,物聯網,0.943585
其他,跨國金融防弊,金融交易,證交所,0.943473
其他,跨國金融防弊,金融交易,競賽,0.943448
其他,跨國金融防弊,金融交易,元大,0.943236
其他,跨國金融防弊,金融交易,倫敦,0.942926
其他,跨國金融防弊,金融交易,強勁,0.942868
其他,跨國金融防弊,金融交易,維持,0.942844
其他,跨國金融防弊,金融交易,數據,0.942779
其他,跨國金融防弊,金融交易,元月,0.942261
其他,跨國金融防弊,金融交易,元大證,0.941874
其他,跨國金融防弊,金融交易,義大利,0.941428
其他,跨國金融防弊,金融交易,商品,0.941392
其他,跨國金融防弊,金融交易,加碼,0.94119
其他,跨國金融防弊,金融交易,股票,0.940648
其他,跨國金融防弊,金融交易,操盤,0.940159
其他,跨國金融防弊,金融交易,億美元,0.940144
其他,跨國金融防弊,金融交易,研習,0.939945
其他,跨國金融防弊,金融交易,脫歐,0.939921
其他,跨國金融防弊,金融交易,反彈,0.939917
其他,跨國金融防弊,金融交易,每股,0.939689
其他,跨國金融防弊,金融交易,元大金,0.939348
其他,跨國金融防弊,金融交易,發行,0.938108
其他,跨國金融防弊,金融交易,大昌,0.937669
其他,跨國金融防弊,金融交易,基本面,0.937172
其他,跨國金融防弊,金融交易,應用,0.936817
其他,跨國金融防弊,金融交易,利用,0.936285
其他,跨國金融防弊,金融交易,包括,0.936183
其他,跨國金融防弊,金融交易,統一,0.936061
其他,跨國金融防弊,金融交易,信用狀,0.936053
其他,跨國金融防弊,金融交易,衰退,0.93584
其他,跨國金融防弊,金融交易,亮眼,0.935659
其他,跨國金融防弊,金融交易,操作,0.935423
其他,跨國金融防弊,金融交易,上攻,0.935243
其他,跨國金融防弊,金融交易,投顧,0.935082
其他,跨國金融防弊,金融交易,EPS,0.934853
其他,跨國金融防弊,金融交易,稅後,0.934208
