Field,Topic,Keyword,Related Word,Weight
社會,傳統家族概念的轉變,婚姻觀,婚姻觀,1.0
社會,傳統家族概念的轉變,婚姻觀,撤離,0.997344
社會,傳統家族概念的轉變,婚姻觀,高齡,0.997333
社會,傳統家族概念的轉變,婚姻觀,樂活,0.997327
社會,傳統家族概念的轉變,婚姻觀,工作,0.997305
社會,傳統家族概念的轉變,婚姻觀,不能,0.99728
社會,傳統家族概念的轉變,婚姻觀,部落,0.997162
社會,傳統家族概念的轉變,婚姻觀,人士,0.997127
社會,傳統家族概念的轉變,婚姻觀,青年,0.997104
社會,傳統家族概念的轉變,婚姻觀,騎士,0.997066
社會,傳統家族概念的轉變,婚姻觀,兩岸,0.99695
社會,傳統家族概念的轉變,婚姻觀,退休,0.996944
社會,傳統家族概念的轉變,婚姻觀,日本,0.996886
社會,傳統家族概念的轉變,婚姻觀,進駐,0.996834
社會,傳統家族概念的轉變,婚姻觀,電視,0.996787
社會,傳統家族概念的轉變,婚姻觀,餐車,0.996783
社會,傳統家族概念的轉變,婚姻觀,默默,0.996767
社會,傳統家族概念的轉變,婚姻觀,熱門話題,0.99676
社會,傳統家族概念的轉變,婚姻觀,上路,0.996709
社會,傳統家族概念的轉變,婚姻觀,居民,0.996708
社會,傳統家族概念的轉變,婚姻觀,互動,0.996675
社會,傳統家族概念的轉變,婚姻觀,多元,0.996665
社會,傳統家族概念的轉變,婚姻觀,詐騙,0.996616
社會,傳統家族概念的轉變,婚姻觀,教育,0.996611
社會,傳統家族概念的轉變,婚姻觀,改造,0.996588
社會,傳統家族概念的轉變,婚姻觀,行動,0.996573
社會,傳統家族概念的轉變,婚姻觀,短打,0.996573
社會,傳統家族概念的轉變,婚姻觀,住宅,0.99657
社會,傳統家族概念的轉變,婚姻觀,營養,0.996567
社會,傳統家族概念的轉變,婚姻觀,免費,0.996538
社會,傳統家族概念的轉變,婚姻觀,終身,0.996525
社會,傳統家族概念的轉變,婚姻觀,新北,0.996524
社會,傳統家族概念的轉變,婚姻觀,安養,0.996505
社會,傳統家族概念的轉變,婚姻觀,選戰,0.996505
社會,傳統家族概念的轉變,婚姻觀,檢察官,0.99648
社會,傳統家族概念的轉變,婚姻觀,貼心,0.996475
社會,傳統家族概念的轉變,婚姻觀,環境,0.996472
社會,傳統家族概念的轉變,婚姻觀,送到,0.996472
社會,傳統家族概念的轉變,婚姻觀,快樂,0.996451
社會,傳統家族概念的轉變,婚姻觀,準備,0.996445
社會,傳統家族概念的轉變,婚姻觀,阿公,0.996439
社會,傳統家族概念的轉變,婚姻觀,當志工,0.996433
社會,傳統家族概念的轉變,婚姻觀,起訴,0.996428
社會,傳統家族概念的轉變,婚姻觀,團隊,0.996426
社會,傳統家族概念的轉變,婚姻觀,文化,0.996415
社會,傳統家族概念的轉變,婚姻觀,智慧,0.996412
社會,傳統家族概念的轉變,婚姻觀,國際,0.996376
社會,傳統家族概念的轉變,婚姻觀,機會,0.996364
社會,傳統家族概念的轉變,婚姻觀,趨勢,0.996362
社會,傳統家族概念的轉變,婚姻觀,孤獨,0.996359
社會,傳統家族概念的轉變,婚姻觀,圓夢,0.996355
社會,傳統家族概念的轉變,婚姻觀,持續,0.996346
社會,傳統家族概念的轉變,婚姻觀,城市,0.996314
社會,傳統家族概念的轉變,婚姻觀,營收,0.996265
社會,傳統家族概念的轉變,婚姻觀,回饋,0.996244
社會,傳統家族概念的轉變,婚姻觀,方案,0.99624
社會,傳統家族概念的轉變,婚姻觀,感謝,0.996226
社會,傳統家族概念的轉變,婚姻觀,樂觀,0.99622
社會,傳統家族概念的轉變,婚姻觀,中心,0.996218
社會,傳統家族概念的轉變,婚姻觀,人生,0.996214
社會,傳統家族概念的轉變,婚姻觀,子女,0.996213
社會,傳統家族概念的轉變,婚姻觀,全面,0.996209
社會,傳統家族概念的轉變,婚姻觀,沒有,0.996191
社會,傳統家族概念的轉變,婚姻觀,行善,0.996168
社會,傳統家族概念的轉變,婚姻觀,醫生,0.996163
社會,傳統家族概念的轉變,婚姻觀,人氣,0.996161
社會,傳統家族概念的轉變,婚姻觀,億元,0.996159
社會,傳統家族概念的轉變,婚姻觀,保全,0.996156
社會,傳統家族概念的轉變,婚姻觀,計畫,0.996144
社會,傳統家族概念的轉變,婚姻觀,安全,0.996141
社會,傳統家族概念的轉變,婚姻觀,老翁,0.996132
社會,傳統家族概念的轉變,婚姻觀,友訊,0.996127
社會,傳統家族概念的轉變,婚姻觀,產品,0.996109
社會,傳統家族概念的轉變,婚姻觀,津貼,0.996097
社會,傳統家族概念的轉變,婚姻觀,花蓮,0.996088
社會,傳統家族概念的轉變,婚姻觀,棉被,0.996086
社會,傳統家族概念的轉變,婚姻觀,送獨,0.996058
社會,傳統家族概念的轉變,婚姻觀,不遺餘力,0.996057
社會,傳統家族概念的轉變,婚姻觀,修女,0.996056
社會,傳統家族概念的轉變,婚姻觀,半導體,0.996051
社會,傳統家族概念的轉變,婚姻觀,提升,0.996051
社會,傳統家族概念的轉變,婚姻觀,所得,0.996029
社會,傳統家族概念的轉變,婚姻觀,重建,0.996018
社會,傳統家族概念的轉變,婚姻觀,離婚,0.996016
社會,傳統家族概念的轉變,婚姻觀,心靈,0.99601
社會,傳統家族概念的轉變,婚姻觀,故事,0.996
社會,傳統家族概念的轉變,婚姻觀,爺爺,0.995989
社會,傳統家族概念的轉變,婚姻觀,人物,0.995989
社會,傳統家族概念的轉變,婚姻觀,老闆,0.995977
社會,傳統家族概念的轉變,婚姻觀,單身,0.995962
社會,傳統家族概念的轉變,婚姻觀,長期,0.995943
社會,傳統家族概念的轉變,婚姻觀,博愛,0.995942
社會,傳統家族概念的轉變,婚姻觀,代表,0.995928
社會,傳統家族概念的轉變,婚姻觀,成立,0.995926
社會,傳統家族概念的轉變,婚姻觀,替代,0.995911
社會,傳統家族概念的轉變,婚姻觀,經濟,0.99591
社會,傳統家族概念的轉變,婚姻觀,一年,0.995906
社會,傳統家族概念的轉變,婚姻觀,竹市,0.995894
社會,傳統家族概念的轉變,婚姻觀,創意,0.995882
社會,傳統家族概念的轉變,婚姻觀,獅子會,0.995876
社會,傳統家族概念的轉變,婚姻觀,起來,0.995872
社會,傳統家族概念的轉變,婚姻觀,資源,0.995841
社會,傳統家族概念的轉變,婚姻觀,彩券,0.995838
社會,傳統家族概念的轉變,婚姻觀,政府,0.995834
社會,傳統家族概念的轉變,婚姻觀,探訪,0.995828
社會,傳統家族概念的轉變,婚姻觀,回收,0.995814
社會,傳統家族概念的轉變,婚姻觀,陪伴,0.995802
