Field,Topic,Keyword,Related Word,Weight
社會,克服絕症(百歲時代),老化,老化,1.0
社會,克服絕症(百歲時代),老化,人瑞,0.973083
社會,克服絕症(百歲時代),老化,長壽,0.957214
社會,克服絕症(百歲時代),老化,百歲,0.954913
社會,克服絕症(百歲時代),老化,治療,0.949647
社會,克服絕症(百歲時代),老化,生活,0.948626
社會,克服絕症(百歲時代),老化,研究,0.947734
社會,克服絕症(百歲時代),老化,可望,0.946927
社會,克服絕症(百歲時代),老化,生醫股,0.945946
社會,克服絕症(百歲時代),老化,社會,0.945657
社會,克服絕症(百歲時代),老化,患者,0.9455
社會,克服絕症(百歲時代),老化,健康,0.944761
社會,克服絕症(百歲時代),老化,趨勢,0.944599
社會,克服絕症(百歲時代),老化,維他命,0.944224
社會,克服絕症(百歲時代),老化,手術,0.943526
社會,克服絕症(百歲時代),老化,標靶,0.943402
社會,克服絕症(百歲時代),老化,研發,0.943301
社會,克服絕症(百歲時代),老化,保健,0.943144
社會,克服絕症(百歲時代),老化,延壽,0.943082
社會,克服絕症(百歲時代),老化,長庚,0.942442
社會,克服絕症(百歲時代),老化,不能,0.942366
社會,克服絕症(百歲時代),老化,老人,0.942216
社會,克服絕症(百歲時代),老化,癌症,0.942158
社會,克服絕症(百歲時代),老化,運動,0.941893
社會,克服絕症(百歲時代),老化,幹細胞,0.941699
社會,克服絕症(百歲時代),老化,長期,0.941659
社會,克服絕症(百歲時代),老化,加速,0.941334
社會,克服絕症(百歲時代),老化,診所,0.941323
社會,克服絕症(百歲時代),老化,系統,0.941284
社會,克服絕症(百歲時代),老化,人口,0.941186
社會,克服絕症(百歲時代),老化,人才,0.941123
社會,克服絕症(百歲時代),老化,人生,0.941078
社會,克服絕症(百歲時代),老化,養生,0.941076
社會,克服絕症(百歲時代),老化,技術,0.941006
社會,克服絕症(百歲時代),老化,成功,0.940931
社會,克服絕症(百歲時代),老化,擺脫,0.940825
社會,克服絕症(百歲時代),老化,造福,0.940787
社會,克服絕症(百歲時代),老化,今年,0.940667
社會,克服絕症(百歲時代),老化,救命,0.940504
社會,克服絕症(百歲時代),老化,突破,0.940464
社會,克服絕症(百歲時代),老化,另類,0.940436
社會,克服絕症(百歲時代),老化,醫師,0.940434
社會,克服絕症(百歲時代),老化,提升,0.940371
社會,克服絕症(百歲時代),老化,生命,0.940331
社會,克服絕症(百歲時代),老化,醫材,0.940287
社會,克服絕症(百歲時代),老化,地方,0.940116
社會,克服絕症(百歲時代),老化,銀髮族,0.939977
社會,克服絕症(百歲時代),老化,照護,0.939977
社會,克服絕症(百歲時代),老化,交流,0.939968
