Field,Topic,Keyword,Related Word,Weight
其他,全球創新競賽中的新驅動者與行動者,創客,創客,1.0
其他,全球創新競賽中的新驅動者與行動者,創客,青年,0.93695
其他,全球創新競賽中的新驅動者與行動者,創客,基地,0.913056
其他,全球創新競賽中的新驅動者與行動者,創客,創意,0.901335
其他,全球創新競賽中的新驅動者與行動者,創客,鼓勵,0.853406
其他,全球創新競賽中的新驅動者與行動者,創客,交流,0.850269
其他,全球創新競賽中的新驅動者與行動者,創客,列印,0.831921
其他,全球創新競賽中的新驅動者與行動者,創客,設計,0.797532
其他,全球創新競賽中的新驅動者與行動者,創客,中心,0.797421
其他,全球創新競賽中的新驅動者與行動者,創客,台青,0.795894
其他,全球創新競賽中的新驅動者與行動者,創客,創客營,0.791371
其他,全球創新競賽中的新驅動者與行動者,創客,團隊,0.790174
其他,全球創新競賽中的新驅動者與行動者,創客,共同,0.787608
其他,全球創新競賽中的新驅動者與行動者,創客,打造,0.782137
其他,全球創新競賽中的新驅動者與行動者,創客,教育,0.762239
其他,全球創新競賽中的新驅動者與行動者,創客,空間,0.754385
其他,全球創新競賽中的新驅動者與行動者,創客,物聯網,0.750518
其他,全球創新競賽中的新驅動者與行動者,創客,台開,0.745514
其他,全球創新競賽中的新驅動者與行動者,創客,競賽,0.745348
其他,全球創新競賽中的新驅動者與行動者,創客,智慧,0.744795
其他,全球創新競賽中的新驅動者與行動者,創客,啟用,0.739633
其他,全球創新競賽中的新驅動者與行動者,創客,活動,0.736163
其他,全球創新競賽中的新驅動者與行動者,創客,文創,0.729935
其他,全球創新競賽中的新驅動者與行動者,創客,登場,0.729564
其他,全球創新競賽中的新驅動者與行動者,創客,開幕,0.72919
其他,全球創新競賽中的新驅動者與行動者,創客,創新,0.727932
其他,全球創新競賽中的新驅動者與行動者,創客,大學生,0.726108
其他,全球創新競賽中的新驅動者與行動者,創客,博會,0.723276
其他,全球創新競賽中的新驅動者與行動者,創客,聚焦,0.723053
其他,全球創新競賽中的新驅動者與行動者,創客,實驗室,0.718823
其他,全球創新競賽中的新驅動者與行動者,創客,年輕人,0.718242
其他,全球創新競賽中的新驅動者與行動者,創客,贊助,0.717162
其他,全球創新競賽中的新驅動者與行動者,創客,舉辦,0.716408
其他,全球創新競賽中的新驅動者與行動者,創客,報名,0.715801
其他,全球創新競賽中的新驅動者與行動者,創客,新北市,0.714903
其他,全球創新競賽中的新驅動者與行動者,創客,設備,0.714708
其他,全球創新競賽中的新驅動者與行動者,創客,心法,0.714286
其他,全球創新競賽中的新驅動者與行動者,創客,運動,0.708529
其他,全球創新競賽中的新驅動者與行動者,創客,科大,0.706206
其他,全球創新競賽中的新驅動者與行動者,創客,北京,0.705019
其他,全球創新競賽中的新驅動者與行動者,創客,科技,0.702535
其他,全球創新競賽中的新驅動者與行動者,創客,海峽,0.701819
其他,全球創新競賽中的新驅動者與行動者,創客,提供,0.701489
其他,全球創新競賽中的新驅動者與行動者,創客,產學,0.699643
其他,全球創新競賽中的新驅動者與行動者,創客,服務,0.697565
其他,全球創新競賽中的新驅動者與行動者,創客,體驗,0.69253
其他,全球創新競賽中的新驅動者與行動者,創客,趨勢,0.690742
其他,全球創新競賽中的新驅動者與行動者,創客,節能,0.68816
其他,全球創新競賽中的新驅動者與行動者,創客,夢想,0.679401
其他,全球創新競賽中的新驅動者與行動者,創客,加強,0.67887
其他,全球創新競賽中的新驅動者與行動者,創客,圓夢,0.678618
其他,全球創新競賽中的新驅動者與行動者,創客,文化,0.678615
其他,全球創新競賽中的新驅動者與行動者,創客,培訓,0.678003
其他,全球創新競賽中的新驅動者與行動者,創客,雲端,0.677877
其他,全球創新競賽中的新驅動者與行動者,創客,遠東,0.676786
其他,全球創新競賽中的新驅動者與行動者,創客,計畫,0.67586
其他,全球創新競賽中的新驅動者與行動者,創客,成果,0.672171
其他,全球創新競賽中的新驅動者與行動者,創客,微型,0.671871
其他,全球創新競賽中的新驅動者與行動者,創客,研討會,0.671015
其他,全球創新競賽中的新驅動者與行動者,創客,發揮,0.66908
其他,全球創新競賽中的新驅動者與行動者,創客,深圳,0.66854
其他,全球創新競賽中的新驅動者與行動者,創客,落幕,0.668423
其他,全球創新競賽中的新驅動者與行動者,創客,城市,0.667485
其他,全球創新競賽中的新驅動者與行動者,創客,資訊,0.667392
其他,全球創新競賽中的新驅動者與行動者,創客,中山,0.664392
其他,全球創新競賽中的新驅動者與行動者,創客,經驗,0.663204
其他,全球創新競賽中的新驅動者與行動者,創客,電商,0.662874
其他,全球創新競賽中的新驅動者與行動者,創客,五軸,0.662417
其他,全球創新競賽中的新驅動者與行動者,創客,一點,0.662385
其他,全球創新競賽中的新驅動者與行動者,創客,董事長,0.662086
其他,全球創新競賽中的新驅動者與行動者,創客,自造,0.662005
其他,全球創新競賽中的新驅動者與行動者,創客,精密,0.661085
其他,全球創新競賽中的新驅動者與行動者,創客,生產,0.659615
其他,全球創新競賽中的新驅動者與行動者,創客,旗艦,0.659205
其他,全球創新競賽中的新驅動者與行動者,創客,輔導,0.656796
其他,全球創新競賽中的新驅動者與行動者,創客,空總,0.655548
其他,全球創新競賽中的新驅動者與行動者,創客,參與,0.654859
其他,全球創新競賽中的新驅動者與行動者,創客,應用,0.6536
其他,全球創新競賽中的新驅動者與行動者,創客,搭橋,0.653226
其他,全球創新競賽中的新驅動者與行動者,創客,台大,0.651639
其他,全球創新競賽中的新驅動者與行動者,創客,市長,0.651125
其他,全球創新競賽中的新驅動者與行動者,創客,大廠,0.649978
其他,全球創新競賽中的新驅動者與行動者,創客,補助,0.649201
其他,全球創新競賽中的新驅動者與行動者,創客,解決方案,0.648738
其他,全球創新競賽中的新驅動者與行動者,創客,學生,0.648595
其他,全球創新競賽中的新驅動者與行動者,創客,世家,0.648318
其他,全球創新競賽中的新驅動者與行動者,創客,論壇,0.647204
其他,全球創新競賽中的新驅動者與行動者,創客,催生,0.646088
其他,全球創新競賽中的新驅動者與行動者,創客,免費,0.645224
其他,全球創新競賽中的新驅動者與行動者,創客,新創,0.643129
其他,全球創新競賽中的新驅動者與行動者,創客,工業局,0.642321
其他,全球創新競賽中的新驅動者與行動者,創客,浪潮,0.640404
其他,全球創新競賽中的新驅動者與行動者,創客,吸睛,0.638444
其他,全球創新競賽中的新驅動者與行動者,創客,工具機,0.637762
其他,全球創新競賽中的新驅動者與行動者,創客,臥式,0.637594
其他,全球創新競賽中的新驅動者與行動者,創客,機械,0.637419
