Field,Topic,Keyword,Related Word,Weight
政治,全球治理,全球,全球,1.0
政治,全球治理,全球,國際,0.999404
政治,全球治理,全球,中國,0.999179
政治,全球治理,全球,世界,0.999131
政治,全球治理,全球,金融,0.999073
政治,全球治理,全球,治理,0.999058
政治,全球治理,全球,社論,0.999057
政治,全球治理,全球,論壇,0.999024
政治,全球治理,全球,挑戰,0.999015
政治,全球治理,全球,合作,0.998899
政治,全球治理,全球,科技,0.9988
政治,全球治理,全球,經濟,0.998765
政治,全球治理,全球,美國,0.998719
政治,全球治理,全球,夥伴,0.998708
政治,全球治理,全球,參與,0.998687
政治,全球治理,全球,台灣,0.998675
政治,全球治理,全球,大陸,0.99864
政治,全球治理,全球,觀念,0.998554
政治,全球治理,全球,平台,0.99852
政治,全球治理,全球,台北,0.998513
政治,全球治理,全球,實力,0.998457
政治,全球治理,全球,專欄,0.998427
政治,全球治理,全球,大會,0.998413
政治,全球治理,全球,擴大,0.998365
政治,全球治理,全球,品牌,0.998322
政治,全球治理,全球,建構,0.998313
政治,全球治理,全球,可望,0.998267
政治,全球治理,全球,風險,0.997967
政治,全球治理,全球,產業,0.997942
政治,全球治理,全球,各國,0.997886
政治,全球治理,全球,上海,0.997867
政治,全球治理,全球,奧運,0.997797
政治,全球治理,全球,方向,0.997788
政治,全球治理,全球,閉幕,0.997755
政治,全球治理,全球,行動,0.997711
政治,全球治理,全球,名家,0.997677
政治,全球治理,全球,中心,0.997647
政治,全球治理,全球,商機,0.997613
政治,全球治理,全球,創新,0.997578
政治,全球治理,全球,計畫,0.997523
政治,全球治理,全球,北京,0.997485
政治,全球治理,全球,學者,0.997465
政治,全球治理,全球,習近平,0.997461
政治,全球治理,全球,峰會,0.997382
政治,全球治理,全球,啟動,0.997379
政治,全球治理,全球,贊助,0.997354
政治,全球治理,全球,國家,0.99734
政治,全球治理,全球,世博,0.997263
政治,全球治理,全球,人民幣,0.997233
政治,全球治理,全球,解讀,0.997222
政治,全球治理,全球,供應鏈,0.997203
政治,全球治理,全球,亞洲,0.997116
政治,全球治理,全球,改革,0.997084
政治,全球治理,全球,歐盟,0.997079
政治,全球治理,全球,金磚,0.997005
政治,全球治理,全球,關鍵,0.996995
政治,全球治理,全球,銀行,0.996993
政治,全球治理,全球,和平,0.996954
政治,全球治理,全球,網路,0.996943
政治,全球治理,全球,企業,0.996659
政治,全球治理,全球,衝突,0.996637
政治,全球治理,全球,未來,0.996499
政治,全球治理,全球,行銷,0.996349
政治,全球治理,全球,積極,0.996243
政治,全球治理,全球,集團,0.996198
政治,全球治理,全球,雅虎,0.996122
政治,全球治理,全球,歐洲,0.996022
政治,全球治理,全球,關係,0.995921
政治,全球治理,全球,中信,0.9959
政治,全球治理,全球,產品,0.995787
政治,全球治理,全球,發展,0.995661
政治,全球治理,全球,市場,0.995652
政治,全球治理,全球,能源,0.995594
政治,全球治理,全球,通訊,0.995581
政治,全球治理,全球,服務,0.995556
政治,全球治理,全球,打造,0.995423
政治,全球治理,全球,總裁,0.995283
政治,全球治理,全球,政府,0.995189
政治,全球治理,全球,攜手,0.99516
政治,全球治理,全球,協議,0.995018
政治,全球治理,全球,EPS,0.99482
政治,全球治理,全球,政策,0.994751
政治,全球治理,全球,開放,0.994583
政治,全球治理,全球,華為,0.994331
政治,全球治理,全球,微軟,0.994301
政治,全球治理,全球,李克強,0.994114
政治,全球治理,全球,綠色,0.993972
政治,全球治理,全球,推動,0.993835
政治,全球治理,全球,億美元,0.993519
政治,全球治理,全球,成立,0.99351
政治,全球治理,全球,周小川,0.993442
政治,全球治理,全球,青年,0.993249
政治,全球治理,全球,投資,0.99313
政治,全球治理,全球,外交,0.992985
政治,全球治理,全球,兩岸,0.992917
政治,全球治理,全球,競爭力,0.992721
政治,全球治理,全球,股價,0.992101
政治,全球治理,全球,技術,0.991649
政治,全球治理,全球,歷史,0.991322
政治,全球治理,全球,電腦,0.991265
政治,全球治理,全球,指標,0.991193
政治,全球治理,全球,商用,0.99024
政治,全球治理,全球,通路,0.989677
政治,全球治理,全球,要聞,0.989629
政治,全球治理,全球,成長,0.989249
政治,全球治理,全球,政治,0.989191
政治,全球治理,全球,共同,0.988835
政治,全球治理,全球,新視界,0.988027
政治,全球治理,全球,各報,0.987168
政治,全球治理,全球,半導體,0.985034
政治,全球治理,全球,合資,0.982167
政治,全球治理,全球,電子,0.982113
政治,全球治理,全球,旺報,0.981984
政治,全球治理,全球,效能,0.980944
政治,全球治理,全球,目標,0.977713
政治,全球治理,全球,面對,0.975007
政治,全球治理,全球,策略,0.963757
政治,全球治理,全球,華電,0.962377
政治,全球治理,全球,穩定,0.961165
政治,全球治理,全球,鴻海,0.960783
政治,全球治理,全球,手機,0.947793
政治,全球治理,全球,今年,0.930222
政治,全球治理,全球,NB,0.92292
政治,全球治理,全球,美股,0.903648
政治,全球治理,全球,電腦設備,0.89797
政治,全球治理,全球,銷售,0.874942
政治,全球治理,全球,移動,0.870125
政治,全球治理,全球,雷射,0.810198
政治,全球治理,全球,土耳其,0.474602
政治,全球治理,全球,明年,0.314543
政治,全球治理,全球,宏達,-0.828372
政治,全球治理,全球,通信網,-0.951628
政治,全球治理,全球,銷量,-0.974779
政治,全球治理,全球,結盟,-0.976893
政治,全球治理,全球,漫遊,-0.984176
政治,全球治理,全球,壓縮機,-0.986111
政治,全球治理,全球,瑞智,-0.98681
政治,全球治理,全球,電機,-0.988057
政治,全球治理,全球,Vodafone,-0.989808
政治,全球治理,合作,合作,1.0
政治,全球治理,合作,國際,0.99891
政治,全球治理,合作,全球,0.998899
政治,全球治理,合作,夥伴,0.998811
政治,全球治理,合作,世界,0.998732
政治,全球治理,合作,中國,0.998661
政治,全球治理,合作,科技,0.99861
政治,全球治理,合作,台北,0.998463
政治,全球治理,合作,論壇,0.998436
政治,全球治理,合作,社論,0.99841
政治,全球治理,合作,金融,0.998356
政治,全球治理,合作,治理,0.99834
政治,全球治理,合作,美國,0.998322
政治,全球治理,合作,挑戰,0.998285
政治,全球治理,合作,參與,0.998256
政治,全球治理,合作,中心,0.998189
政治,全球治理,合作,產業,0.998171
政治,全球治理,合作,擴大,0.998163
政治,全球治理,合作,台灣,0.998135
政治,全球治理,合作,品牌,0.998076
政治,全球治理,合作,大陸,0.998061
政治,全球治理,合作,專欄,0.998
政治,全球治理,合作,可望,0.99798
政治,全球治理,合作,實力,0.997971
政治,全球治理,合作,奧運,0.997848
政治,全球治理,合作,觀念,0.997842
政治,全球治理,合作,大會,0.997835
政治,全球治理,合作,平台,0.997825
政治,全球治理,合作,經濟,0.997825
政治,全球治理,合作,建構,0.997644
政治,全球治理,合作,計畫,0.997441
政治,全球治理,合作,風險,0.997383
政治,全球治理,合作,閉幕,0.9972
政治,全球治理,合作,行動,0.997137
政治,全球治理,合作,方向,0.997127
政治,全球治理,合作,創新,0.997119
政治,全球治理,合作,各國,0.997086
政治,全球治理,合作,商機,0.997082
政治,全球治理,合作,名家,0.997072
政治,全球治理,合作,上海,0.996946
政治,全球治理,合作,學者,0.996945
政治,全球治理,合作,北京,0.996889
政治,全球治理,合作,改革,0.996855
政治,全球治理,合作,行銷,0.99684
政治,全球治理,合作,供應鏈,0.996833
政治,全球治理,合作,峰會,0.996779
政治,全球治理,合作,金磚,0.99677
政治,全球治理,合作,習近平,0.996683
政治,全球治理,合作,啟動,0.996641
政治,全球治理,合作,世博,0.99664
政治,全球治理,合作,贊助,0.996619
政治,全球治理,合作,亞洲,0.996615
政治,全球治理,合作,國家,0.996581
政治,全球治理,合作,解讀,0.996571
政治,全球治理,合作,關鍵,0.996405
政治,全球治理,合作,未來,0.996378
政治,全球治理,合作,歐盟,0.996377
政治,全球治理,合作,銀行,0.996261
政治,全球治理,合作,網路,0.996253
政治,全球治理,合作,總裁,0.996182
政治,全球治理,合作,衝突,0.996125
政治,全球治理,合作,人民幣,0.996054
政治,全球治理,合作,和平,0.99604
政治,全球治理,合作,企業,0.995993
政治,全球治理,合作,雅虎,0.995713
政治,全球治理,合作,積極,0.995694
政治,全球治理,合作,關係,0.995568
政治,全球治理,合作,集團,0.995433
政治,全球治理,合作,微軟,0.995432
政治,全球治理,合作,歐洲,0.995395
政治,全球治理,合作,通訊,0.99516
政治,全球治理,合作,市場,0.995143
政治,全球治理,合作,中信,0.994894
政治,全球治理,合作,協議,0.994891
政治,全球治理,合作,產品,0.994816
政治,全球治理,合作,發展,0.994733
政治,全球治理,合作,打造,0.994711
政治,全球治理,合作,攜手,0.994709
政治,全球治理,合作,服務,0.994686
政治,全球治理,合作,EPS,0.994667
