Field,Topic,Keyword,Related Word,Weight
政治,地緣經濟和地緣政治格局,本土化,實力,0.849651
政治,地緣經濟和地緣政治格局,本土化,西方,0.83529
政治,地緣經濟和地緣政治格局,本土化,模式,0.824451
政治,地緣經濟和地緣政治格局,本土化,機械,0.823932
政治,地緣經濟和地緣政治格局,本土化,報導,0.819555
政治,地緣經濟和地緣政治格局,本土化,一種,0.811829
政治,地緣經濟和地緣政治格局,本土化,社評,0.80771
政治,地緣經濟和地緣政治格局,本土化,百度,0.80559
政治,地緣經濟和地緣政治格局,本土化,人才,0.805566
政治,地緣經濟和地緣政治格局,本土化,結盟,0.803567
政治,地緣經濟和地緣政治格局,本土化,領風騷,0.803169
政治,地緣經濟和地緣政治格局,本土化,工作,0.80155
政治,地緣經濟和地緣政治格局,本土化,超市,0.801491
政治,地緣經濟和地緣政治格局,本土化,只有,0.800024
政治,地緣經濟和地緣政治格局,本土化,培育,0.798022
政治,地緣經濟和地緣政治格局,本土化,來時路,0.797713
政治,地緣經濟和地緣政治格局,本土化,建立,0.793822
政治,地緣經濟和地緣政治格局,本土化,雙方,0.792823
政治,地緣經濟和地緣政治格局,本土化,民進黨,0.788909
政治,地緣經濟和地緣政治格局,本土化,職棒,0.788124
政治,地緣經濟和地緣政治格局,本土化,工具機,0.78503
政治,地緣經濟和地緣政治格局,本土化,兩岸關係,0.784769
政治,地緣經濟和地緣政治格局,本土化,交流,0.783848
政治,地緣經濟和地緣政治格局,本土化,興農,0.782095
政治,地緣經濟和地緣政治格局,本土化,轉型,0.779301
政治,地緣經濟和地緣政治格局,本土化,天津,0.775568
政治,地緣經濟和地緣政治格局,本土化,版圖,0.770607
政治,地緣經濟和地緣政治格局,本土化,強化,0.764812
政治,地緣經濟和地緣政治格局,本土化,大廠,0.763414
政治,地緣經濟和地緣政治格局,本土化,真道,0.755425
政治,地緣經濟和地緣政治格局,本土化,書店,0.755125
政治,地緣經濟和地緣政治格局,本土化,研討會,0.754466
政治,地緣經濟和地緣政治格局,本土化,政經,0.753256
政治,地緣經濟和地緣政治格局,本土化,考量,0.75313
政治,地緣經濟和地緣政治格局,本土化,廠商,0.751738
政治,地緣經濟和地緣政治格局,本土化,電商,0.746887
政治,地緣經濟和地緣政治格局,本土化,抗戰,0.738826
政治,地緣經濟和地緣政治格局,本土化,製造,0.738753
政治,地緣經濟和地緣政治格局,本土化,對話,0.738384
政治,地緣經濟和地緣政治格局,本土化,周年,0.737339
政治,地緣經濟和地緣政治格局,本土化,改革,0.735406
政治,地緣經濟和地緣政治格局,本土化,中華文化,0.733415
政治,地緣經濟和地緣政治格局,本土化,星巴克,0.732863
政治,地緣經濟和地緣政治格局,本土化,總統,0.731787
政治,地緣經濟和地緣政治格局,本土化,王伯元,0.728421
政治,地緣經濟和地緣政治格局,本土化,富邦,0.727287
政治,地緣經濟和地緣政治格局,本土化,聲音,0.727133
政治,地緣經濟和地緣政治格局,本土化,話語權,0.724964
政治,地緣經濟和地緣政治格局,本土化,全球化,0.724541
政治,地緣經濟和地緣政治格局,本土化,提出,0.723599
政治,地緣經濟和地緣政治格局,本土化,台灣應,0.719383
政治,地緣經濟和地緣政治格局,本地化,運動,0.965172
