Field,Topic,Keyword,Related Word,Weight
環境,數位化驅動經濟與工作型態轉變,數位經濟,數位經濟,1.0
環境,數位化驅動經濟與工作型態轉變,數位經濟,發展,0.846992
環境,數位化驅動經濟與工作型態轉變,數位經濟,理事長,0.84686
環境,數位化驅動經濟與工作型態轉變,數位經濟,金獎,0.842098
環境,數位化驅動經濟與工作型態轉變,數位經濟,議題,0.798413
環境,數位化驅動經濟與工作型態轉變,數位經濟,報酬,0.772218
環境,數位化驅動經濟與工作型態轉變,數位經濟,多頭,0.76845
環境,數位化驅動經濟與工作型態轉變,數位經濟,群益,0.75833
環境,數位化驅動經濟與工作型態轉變,數位經濟,看好,0.747603
環境,數位化驅動經濟與工作型態轉變,數位經濟,車聯網,0.745935
環境,數位化驅動經濟與工作型態轉變,數位經濟,加碼,0.745928
環境,數位化驅動經濟與工作型態轉變,數位經濟,生技,0.74371
環境,數位化驅動經濟與工作型態轉變,數位經濟,中小板,0.74051
環境,數位化驅動經濟與工作型態轉變,數位經濟,華電,0.740434
環境,數位化驅動經濟與工作型態轉變,數位經濟,中心,0.733671
環境,數位化驅動經濟與工作型態轉變,數位經濟,檔台,0.727958
環境,數位化驅動經濟與工作型態轉變,數位經濟,Gartner,0.721719
環境,數位化驅動經濟與工作型態轉變,數位經濟,裝置,0.720923
環境,數位化驅動經濟與工作型態轉變,數位經濟,大獎,0.71623
環境,數位化驅動經濟與工作型態轉變,數位經濟,城市,0.708055
環境,數位化驅動經濟與工作型態轉變,數位經濟,元大,0.704497
環境,數位化驅動經濟與工作型態轉變,數位經濟,震盪,0.700509
環境,數位化驅動經濟與工作型態轉變,數位經濟,印度,0.699137
環境,數位化驅動經濟與工作型態轉變,數位經濟,公司,0.698864
環境,數位化驅動經濟與工作型態轉變,數位經濟,系列,0.69095
環境,數位化驅動經濟與工作型態轉變,數位經濟,法國,0.689596
環境,數位化驅動經濟與工作型態轉變,數位經濟,平均,0.682879
環境,數位化驅動經濟與工作型態轉變,數位經濟,搶錢,0.678473
環境,數位化驅動經濟與工作型態轉變,數位經濟,課稅,0.676507
環境,數位化驅動經濟與工作型態轉變,數位經濟,雲端,0.675861
環境,數位化驅動經濟與工作型態轉變,數位經濟,電子,0.673185
環境,數位化驅動經濟與工作型態轉變,數位經濟,NCC,0.670724
環境,數位化驅動經濟與工作型態轉變,數位經濟,創投,0.669916
環境,數位化驅動經濟與工作型態轉變,數位經濟,創新,0.669604
環境,數位化驅動經濟與工作型態轉變,數位經濟,林全,0.666249
環境,數位化驅動經濟與工作型態轉變,數位經濟,熱門,0.658933
環境,數位化驅動經濟與工作型態轉變,數位經濟,保德信,0.653426
環境,數位化驅動經濟與工作型態轉變,數位經濟,影響,0.652928
環境,數位化驅動經濟與工作型態轉變,數位經濟,景順,0.647627
環境,數位化驅動經濟與工作型態轉變,數位經濟,大盤,0.643466
環境,數位化驅動經濟與工作型態轉變,數位經濟,第一,0.639157
環境,數位化驅動經濟與工作型態轉變,數位經濟,機會,0.636458
環境,數位化驅動經濟與工作型態轉變,數位經濟,上證,0.63222
環境,數位化驅動經濟與工作型態轉變,數位經濟,政治,0.625585
環境,數位化驅動經濟與工作型態轉變,數位經濟,指數,0.61987
環境,數位化驅動經濟與工作型態轉變,數位經濟,我思,0.618122
環境,數位化驅動經濟與工作型態轉變,數位經濟,戰略,0.617066
環境,數位化驅動經濟與工作型態轉變,數位經濟,型基金,0.616583
環境,數位化驅動經濟與工作型態轉變,數位經濟,觀念,0.612985
環境,數位化驅動經濟與工作型態轉變,數位經濟,事業,0.612185
環境,數位化驅動經濟與工作型態轉變,數位經濟,內容,0.611356
環境,數位化驅動經濟與工作型態轉變,數位經濟,今年,0.609778
環境,數位化驅動經濟與工作型態轉變,數位經濟,要求,0.606329
環境,數位化驅動經濟與工作型態轉變,數位經濟,蘋果,0.605553
環境,數位化驅動經濟與工作型態轉變,數位經濟,服務,0.603185
環境,數位化驅動經濟與工作型態轉變,數位經濟,不能,0.60148
環境,數位化驅動經濟與工作型態轉變,數位經濟,報告,0.601086
環境,數位化驅動經濟與工作型態轉變,數位經濟,研究,0.599454
環境,數位化驅動經濟與工作型態轉變,數位經濟,資金,0.597664
環境,數位化驅動經濟與工作型態轉變,數位經濟,推動,0.59451
環境,數位化驅動經濟與工作型態轉變,數位經濟,外資,0.590154
環境,數位化驅動經濟與工作型態轉變,數位經濟,買超,0.586357
環境,數位化驅動經濟與工作型態轉變,數位經濟,銀行,0.582038
環境,數位化驅動經濟與工作型態轉變,數位經濟,績效,0.581098
環境,數位化驅動經濟與工作型態轉變,數位經濟,新創,0.578376
環境,數位化驅動經濟與工作型態轉變,數位經濟,交易,0.576857
環境,數位化驅動經濟與工作型態轉變,數位經濟,文創,0.574914
環境,數位化驅動經濟與工作型態轉變,數位經濟,專欄,0.574798
環境,數位化驅動經濟與工作型態轉變,數位經濟,高科技,0.574279
環境,數位化驅動經濟與工作型態轉變,數位經濟,啟動,0.571774
環境,數位化驅動經濟與工作型態轉變,數位經濟,我見,0.568512
環境,數位化驅動經濟與工作型態轉變,數位經濟,要聞,0.56583
環境,數位化驅動經濟與工作型態轉變,數位經濟,風險,0.565705
環境,數位化驅動經濟與工作型態轉變,數位經濟,生活,0.559263
環境,數位化驅動經濟與工作型態轉變,數位經濟,打造,0.557407
環境,數位化驅動經濟與工作型態轉變,數位經濟,智慧,0.554982
環境,數位化驅動經濟與工作型態轉變,數位經濟,多元,0.549997
環境,數位化驅動經濟與工作型態轉變,數位經濟,攜手,0.548714
環境,數位化驅動經濟與工作型態轉變,數位經濟,永豐,0.544577
環境,數位化驅動經濟與工作型態轉變,數位經濟,林之晨,0.543009
環境,數位化驅動經濟與工作型態轉變,數位經濟,技術,0.542315
環境,數位化驅動經濟與工作型態轉變,數位經濟,學生,0.541625
環境,數位化驅動經濟與工作型態轉變,數位經濟,規模,0.539915
環境,數位化驅動經濟與工作型態轉變,數位經濟,成長,0.538672
環境,數位化驅動經濟與工作型態轉變,數位經濟,中小型,0.537819
環境,數位化驅動經濟與工作型態轉變,數位經濟,族群,0.536424
環境,數位化驅動經濟與工作型態轉變,數位經濟,專家,0.532169
環境,數位化驅動經濟與工作型態轉變,數位經濟,名家,0.526204
環境,數位化驅動經濟與工作型態轉變,數位經濟,國際,0.520471
環境,數位化驅動經濟與工作型態轉變,數位經濟,之初,0.519687
環境,數位化驅動經濟與工作型態轉變,數位經濟,新高,0.518736
環境,數位化驅動經濟與工作型態轉變,數位經濟,去年,0.516965
環境,數位化驅動經濟與工作型態轉變,數位經濟,復華,0.516894
環境,數位化驅動經濟與工作型態轉變,數位經濟,數位,0.516851
環境,數位化驅動經濟與工作型態轉變,數位經濟,布局,0.515822
環境,數位化驅動經濟與工作型態轉變,數位經濟,全方位,0.513556
環境,數位化驅動經濟與工作型態轉變,數位經濟,能源,0.511685
環境,數位化驅動經濟與工作型態轉變,數位經濟,各報,0.509675
