Field,Topic,Keyword,Related Word,Weight
其他,文化創意經濟,創意,傳承,0.831011
其他,文化創意經濟,創意,展現,0.828097
其他,文化創意經濟,創意,分享,0.805045
其他,文化創意經濟,創意,生命,0.802692
其他,文化創意經濟,創意,美學,0.794241
其他,文化創意經濟,創意,活力,0.789911
其他,文化創意經濟,創意,什麼,0.785039
其他,文化創意經濟,創意,一種,0.784402
其他,文化創意經濟,創意,報名,0.781211
其他,文化創意經濟,創意,開講,0.781015
其他,文化創意經濟,創意,城鄉,0.781003
其他,文化創意經濟,創意,元素,0.77731
其他,文化創意經濟,創意,風格,0.777245
其他,文化創意經濟,創意,小調,0.777026
其他,文化創意經濟,創意,結合,0.776223
其他,文化創意經濟,創意,時代,0.775151
其他,文化創意經濟,創意,特色,0.773028
其他,文化創意經濟,創意,街區,0.771511
其他,文化創意經濟,創意,文學,0.771374
其他,文化創意經濟,創意,市集,0.769988
其他,文化創意經濟,創意,管理,0.769971
其他,文化創意經濟,創意,文化,0.767907
其他,文化創意經濟,創意,產品,0.767401
其他,文化創意經濟,創意,改變,0.767347
其他,文化創意經濟,創意,情報,0.765857
其他,文化創意經濟,創意,精緻,0.764903
其他,文化創意經濟,創意,傳統,0.763582
其他,文化創意經濟,創意,觀點,0.762964
其他,文化創意經濟,創意,頒獎,0.760704
其他,文化創意經濟,創意,可以,0.759868
其他,文化創意經濟,創意,華人,0.759448
其他,文化創意經濟,創意,推廣,0.759156
其他,文化創意經濟,創意,加值,0.758005
其他,文化創意經濟,創意,大賽,0.756192
其他,文化創意經濟,創意,大師,0.755713
其他,文化創意經濟,創意,驚豔,0.754929
其他,文化創意經濟,創意,融合,0.754227
其他,文化創意經濟,創意,才能,0.752592
其他,文化創意經濟,創意,宜蘭,0.752541
其他,文化創意經濟,創意,myfone,0.751996
其他,文化創意經濟,創意,達人,0.751483
其他,文化創意經濟,創意,再造,0.751011
其他,文化創意經濟,創意,美食,0.750834
其他,文化創意經濟,創意,培養,0.750805
其他,文化創意經濟,創意,人生,0.750613
其他,文化創意經濟,創意,立國,0.750268
其他,文化創意經濟,創意,融入,0.74955
其他,文化創意經濟,創意,開鑼,0.749451
其他,文化創意經濟,創意,幸福,0.748881
其他,文化創意經濟,創意,舞台,0.747732
其他,文化創意經濟,創意,綠色,0.747469
其他,文化創意經濟,創意,獨特,0.747248
其他,文化創意經濟,創意,不能,0.74702
其他,文化創意經濟,創意,還是,0.746995
其他,文化創意經濟,創意,技巧,0.746949
其他,文化創意經濟,創意,原民,0.746154
其他,文化創意經濟,創意,授權,0.744784
其他,文化創意經濟,創意,研討會,0.744426
其他,文化創意經濟,創意,走廊,0.744256
其他,文化創意經濟,創意,產業化,0.743979
其他,文化創意經濟,創意,歷史,0.743779
其他,文化創意經濟,創意,紅樓,0.74355
其他,文化創意經濟,創意,產業園,0.743049
其他,文化創意經濟,創意,空間,0.742544
其他,文化創意經濟,創意,之旅,0.742464
其他,文化創意經濟,創意,主題,0.741926
其他,文化創意經濟,創意,部落,0.741549
其他,文化創意經濟,創意,成為,0.741178
其他,文化創意經濟,創意,復興,0.741028
其他,文化創意經濟,創意,泰國,0.740613
其他,文化創意經濟,創意,巧思,0.739103
其他,文化創意經濟,創意,沒有,0.738659
其他,文化創意經濟,創意,台泰,0.737409
其他,文化創意經濟,創意,賦予,0.736257
其他,文化創意經濟,創意,追求,0.736146
其他,文化創意經濟,創意,美麗,0.735894
其他,文化創意經濟,創意,發光,0.735598
其他,文化創意經濟,創意,意象,0.735376
其他,文化創意經濟,創意,行動,0.734931
其他,文化創意經濟,創意,美感,0.734515
其他,文化創意經濟,創意,台中市,0.734208
其他,文化創意經濟,創意,開啟,0.73415
其他,文化創意經濟,創意,霍金斯,0.733939
其他,文化創意經濟,創意,體驗,0.733878
其他,文化創意經濟,創意,豪宅,0.733693
其他,文化創意經濟,創意,核心,0.733376
其他,文化創意經濟,創意,改版,0.732753
其他,文化創意經濟,創意,定位,0.732203
其他,文化創意經濟,創意,節慶,0.731845
其他,文化創意經濟,創意,新書,0.731184
其他,文化創意經濟,創意,找回,0.731125
其他,文化創意經濟,創意,年度,0.731034
其他,文化創意經濟,創意,從速,0.73058
其他,文化創意經濟,創意,領導力,0.730437
其他,文化創意經濟,創意,多元,0.730132
其他,文化創意經濟,創意,作家,0.730039
其他,文化創意經濟,創意,調查,0.729373
其他,文化創意經濟,創意,種子,0.729163
其他,文化創意經濟,創意,三峽,0.729084
其他,文化創意經濟,創意,內涵,0.729024
其他,文化創意經濟,創意,媽祖,0.7289
其他,文化創意經濟,創意,博物館,0.728591
其他,文化創意經濟,創意,全球化,0.728514
其他,文化創意經濟,創意,尋找,0.727694
其他,文化創意經濟,創意,開拓,0.727255
其他,文化創意經濟,創意,提升,0.726997
其他,文化創意經濟,創意,智財,0.726933
其他,文化創意經濟,創意,學學,0.726839
其他,文化創意經濟,創意,研討,0.726674
其他,文化創意經濟,創意,智慧,0.72617
其他,文化創意經濟,創意,神明,0.72477
其他,文化創意經濟,創意,盛宴,0.724655
其他,文化創意經濟,創意,理財,0.724648
其他,文化創意經濟,創意,工業,0.724514
其他,文化創意經濟,創意,西門,0.724454
其他,文化創意經濟,創意,積極,0.724088
其他,文化創意經濟,創意,魅力,0.723953
其他,文化創意經濟,創意,課程,0.723798
其他,文化創意經濟,創意,農業,0.723451
其他,文化創意經濟,創意,媒合,0.723417
其他,文化創意經濟,創意,重建,0.722977
其他,文化創意經濟,創意,花博,0.722423
其他,文化創意經濟,創意,原住民,0.722274
其他,文化創意經濟,經濟,雙贏,0.862234
其他,文化創意經濟,經濟,文化產業,0.848211
其他,文化創意經濟,經濟,對接,0.834963
其他,文化創意經濟,經濟,王國,0.829085
其他,文化創意經濟,經濟,高峰,0.829047
其他,文化創意經濟,經濟,談判,0.822537
其他,文化創意經濟,經濟,議題,0.82238
其他,文化創意經濟,經濟,機遇,0.81711
其他,文化創意經濟,經濟,契機,0.802841
其他,文化創意經濟,經濟,經營者,0.799236
其他,文化創意經濟,經濟,簽訂,0.797251
其他,文化創意經濟,經濟,挑戰,0.797147
其他,文化創意經濟,經濟,共創,0.79692
其他,文化創意經濟,經濟,一路,0.785474
其他,文化創意經濟,經濟,機制,0.783415
其他,文化創意經濟,經濟,掌握,0.781844
其他,文化創意經濟,經濟,聚焦,0.779505
其他,文化創意經濟,經濟,俱樂部,0.779083
其他,文化創意經濟,經濟,競爭力,0.775978
其他,文化創意經濟,經濟,業者,0.774169
