Field,Topic,Keyword,Related Word,Weight
環境,核能安全問題,核一,不延役,0.869287
環境,核能安全問題,核一,廢料,0.853757
環境,核能安全問題,核一,核一廠,0.850331
環境,核能安全問題,核一,延壽,0.849184
環境,核能安全問題,核一,燃料,0.846327
環境,核能安全問題,核一,環團,0.841694
環境,核能安全問題,核一,錄音,0.826297
環境,核能安全問題,核一,措施,0.824113
環境,核能安全問題,核一,錄影,0.817922
環境,核能安全問題,核一,波瀾,0.817215
環境,核能安全問題,核一,訴願,0.806158
環境,核能安全問題,核一,斷層,0.80419
環境,核能安全問題,核一,現有,0.803809
環境,核能安全問題,核一,前提,0.802689
環境,核能安全問題,核一,民國,0.794529
環境,核能安全問題,核一,成核,0.79398
環境,核能安全問題,核一,無法,0.790419
環境,核能安全問題,核一,強烈,0.787877
環境,核能安全問題,核一,停機,0.787471
環境,核能安全問題,核一,確定,0.783593
環境,核能安全問題,核一,二號機,0.781814
環境,核能安全問題,核一,考慮,0.781132
環境,核能安全問題,核一,送往,0.780703
環境,核能安全問題,核一,體檢,0.780404
環境,核能安全問題,核一,委屈,0.776858
環境,核能安全問題,核一,核二核,0.775916
環境,核能安全問題,核一,乾式,0.775845
環境,核能安全問題,核一,選址,0.773567
環境,核能安全問題,核一,台電,0.772681
環境,核能安全問題,核一,重球,0.771181
環境,核能安全問題,核一,電纜,0.770528
環境,核能安全問題,核一,設施,0.770065
環境,核能安全問題,核一,無人島,0.769316
環境,核能安全問題,核一,台電未,0.768092
環境,核能安全問題,核一,核燃料,0.766275
環境,核能安全問題,核一,申請,0.765669
環境,核能安全問題,核一,場址,0.765405
環境,核能安全問題,核一,一廠,0.760716
環境,核能安全問題,核一,奏效,0.759864
環境,核能安全問題,核一,確保安全,0.759396
環境,核能安全問題,核一,提早,0.757634
環境,核能安全問題,核一,背書,0.754912
環境,核能安全問題,核一,全程,0.752635
環境,核能安全問題,核一,暫停,0.7521
環境,核能安全問題,核一,爆核災,0.749587
環境,核能安全問題,核一,延宕,0.748728
環境,核能安全問題,核一,爐心,0.748382
環境,核能安全問題,核一,絕不,0.747937
環境,核能安全問題,核一,縣府,0.747204
環境,核能安全問題,核一,原能,0.745308
環境,核能安全問題,核一,一切,0.745082
環境,核能安全問題,核一,參訪,0.745058
環境,核能安全問題,核一,通電,0.744764
環境,核能安全問題,核一,施工,0.744732
環境,核能安全問題,核一,國外,0.74432
環境,核能安全問題,核一,生活報,0.744058
環境,核能安全問題,核一,周錫瑋,0.742314
環境,核能安全問題,核一,台電擬,0.741669
環境,核能安全問題,核一,必要,0.74165
環境,核能安全問題,核一,澄清,0.740587
環境,核能安全問題,核一,成本低,0.737581
環境,核能安全問題,核一,運往,0.737276
環境,核能安全問題,核一,北車,0.733987
環境,核能安全問題,核一,宣布,0.733914
環境,核能安全問題,核一,老鼠,0.733497
環境,核能安全問題,核一,小組,0.733434
環境,核能安全問題,核一,裁判,0.732708
環境,核能安全問題,核一,球員,0.731947
環境,核能安全問題,核一,核一核,0.729756
環境,核能安全問題,核一,棘手,0.728571
環境,核能安全問題,核一,一號,0.728326
環境,核能安全問題,核一,方案,0.726321
環境,核能安全問題,核一,檔案,0.725878
環境,核能安全問題,核一,菅直,0.723989
環境,核能安全問題,核一,人訪,0.722357
環境,核能安全問題,核一,改善,0.722298
環境,核能安全問題,核一,深澳,0.721977
環境,核能安全問題,核一,小時,0.720688
環境,核能安全問題,核一,實測,0.719589
環境,核能安全問題,核一,重啟,0.719271
環境,核能安全問題,核一,預定,0.718827
環境,核能安全問題,核一,放射性,0.718278
環境,核能安全問題,核一,禁止,0.717956
環境,核能安全問題,核一,貯存,0.716639
環境,核能安全問題,核一,可能,0.716564
環境,核能安全問題,核一,絕沒,0.713897
環境,核能安全問題,核一,關廠,0.7135
環境,核能安全問題,核一,號機,0.713457
環境,核能安全問題,核一,最終,0.713271
環境,核能安全問題,核一,境外,0.712683
環境,核能安全問題,核一,廢場,0.712148
環境,核能安全問題,核一,商榷,0.711451
環境,核能安全問題,核一,專責,0.710169
環境,核能安全問題,核一,低估,0.709401
環境,核能安全問題,核一,點頭,0.708434
環境,核能安全問題,核一,承諾,0.707874
環境,核能安全問題,核一,每天,0.707684
環境,核能安全問題,核一,核四商轉,0.707332
環境,核能安全問題,核一,千人,0.707322
環境,核能安全問題,核一,小調,0.706265
環境,核能安全問題,核一,海底,0.706213
環境,核能安全問題,核一,從不,0.705553
環境,核能安全問題,核一,去核,0.705365
環境,核能安全問題,核一,處分,0.704799
環境,核能安全問題,核一,停擺,0.703514
環境,核能安全問題,核一,危險,0.703121
環境,核能安全問題,核一,核三廠,0.701495
環境,核能安全問題,核一,台電核,0.701205
環境,核能安全問題,核一,核四有,0.701205
環境,核能安全問題,核一,月底,0.700071
環境,核能安全問題,核一,龍潭,0.698569
環境,核能安全問題,核一,大修,0.698124
環境,核能安全問題,核一,跳票,0.697822
環境,核能安全問題,核一,時程,0.696871
環境,核能安全問題,核一,全過,0.695478
環境,核能安全問題,核一,反應爐,0.694685
環境,核能安全問題,核一,變低,0.694239
環境,核能安全問題,核一,四商轉,0.693922
環境,核能安全問題,核一,招標,0.692972
環境,核能安全問題,核一,執照,0.69295
環境,核能安全問題,核一,城鄉,0.692752
環境,核能安全問題,核一,尚未,0.692508
環境,核能安全問題,核一,出包,0.692211
環境,核能安全問題,核一,期間,0.691276
環境,核能安全問題,核一,擬延役,0.689715
環境,核能安全問題,核一,處置,0.689667
環境,核能安全問題,核一,原能會,0.688006
環境,核能安全問題,核一,耐震,0.687508
環境,核能安全問題,核一,不得,0.687439
環境,核能安全問題,核一,絕對,0.687082
環境,核能安全問題,核一,痛苦,0.686487
環境,核能安全問題,核一,爆滿,0.684491
環境,核能安全問題,核一,保證,0.684439
環境,核能安全問題,核一,疑慮,0.683204
環境,核能安全問題,核一,北海岸,0.682577
環境,核能安全問題,核一,分時,0.681932
環境,核能安全問題,核一,誤導,0.681879
環境,核能安全問題,核一,找到,0.681792
環境,核能安全問題,核一,同意,0.680702
環境,核能安全問題,核一,vs,0.680542
環境,核能安全問題,核一,違規,0.680434
環境,核能安全問題,核一,監院,0.679899
環境,核能安全問題,核一,測試,0.678478
環境,核能安全問題,核一,趕工,0.678256
環境,核能安全問題,核一,結果,0.678248
環境,核能安全問題,核一,南澳,0.676881
環境,核能安全問題,核一,發現,0.676879
環境,核能安全問題,核一,商會,0.676282
環境,核能安全問題,核一,高階,0.675578
環境,核能安全問題,核四,如果,0.59679
環境,核能安全問題,核四,vs,0.593982
環境,核能安全問題,核四,不得,0.59084
環境,核能安全問題,核四,點頭,0.587504
環境,核能安全問題,核四,同意,0.570392
環境,核能安全問題,核四,確保安全,0.567851
環境,核能安全問題,核四,跳票,0.564578
環境,核能安全問題,核四,月底,0.556531
環境,核能安全問題,核四,尊重,0.55461
環境,核能安全問題,核四,背書,0.551727
環境,核能安全問題,核四,台電核,0.55146
環境,核能安全問題,核四,核一核,0.551253
環境,核能安全問題,核四,宣布,0.54812
環境,核能安全問題,核四,全過,0.547297
環境,核能安全問題,核四,最快,0.547191
環境,核能安全問題,核四,千人,0.54529
環境,核能安全問題,核廢料,處置,0.794275
環境,核能安全問題,核廢料,國外,0.783001
環境,核能安全問題,核廢料,專責,0.777764
環境,核能安全問題,核廢料,境外,0.771807
環境,核能安全問題,核廢料,招標,0.768099
環境,核能安全問題,核廢料,貯存,0.755535
環境,核能安全問題,核廢料,機構,0.753129
環境,核能安全問題,核廢料,棘手,0.74841
環境,核能安全問題,核廢料,最終,0.740797
環境,核能安全問題,核廢料,縣府,0.735905
環境,核能安全問題,核廢料,選址,0.72474
環境,核能安全問題,核廢料,擔心,0.723883
環境,核能安全問題,核廢料,廢料,0.717089
環境,核能安全問題,核廢料,星雲,0.715523
環境,核能安全問題,核廢料,爆核災,0.711232
環境,核能安全問題,核廢料,乾式,0.709131
環境,核能安全問題,核廢料,設施,0.707894
環境,核能安全問題,核廢料,承諾,0.702323
環境,核能安全問題,核廢料,無人島,0.696989
環境,核能安全問題,核廢料,運回,0.691756
環境,核能安全問題,核廢料,汙染,0.69101
環境,核能安全問題,核廢料,龍潭,0.687769
環境,核能安全問題,核廢料,過頭,0.685172
環境,核能安全問題,核廢料,議員,0.680005
環境,核能安全問題,核廢料,每天,0.677234
環境,核能安全問題,核廢料,去核,0.673056
環境,核能安全問題,核廢料,波瀾,0.668187
環境,核能安全問題,核廢料,南澳,0.667262
環境,核能安全問題,核廢料,暫停,0.666063
環境,核能安全問題,核廢料,核研,0.663739
環境,核能安全問題,核廢料,環團,0.661636
環境,核能安全問題,核廢料,場址,0.659135
環境,核能安全問題,核廢料,方案,0.657332
環境,核能安全問題,核廢料,小組,0.649549
環境,核能安全問題,核廢料,裁判,0.628335
環境,核能安全問題,核廢料,送往,0.623335
環境,核能安全問題,核廢料,球員,0.614571
環境,核能安全問題,核廢料,擴建,0.61184
環境,核能安全問題,核廢料,台電未,0.61138
環境,核能安全問題,核廢料,尚未,0.61079
環境,核能安全問題,核廢料,核燃料,0.610655
環境,核能安全問題,核廢料,變低,0.60534
環境,核能安全問題,核廢料,放射,0.603599
環境,核能安全問題,核廢料,找到,0.598927
環境,核能安全問題,核廢料,質疑,0.597782
環境,核能安全問題,核廢料,成核,0.596565
環境,核能安全問題,核廢料,時程,0.595931
環境,核能安全問題,核廢料,儲存,0.585985
環境,核能安全問題,核廢料,原能,0.583988
環境,核能安全問題,核廢料,延宕,0.575937
環境,核能安全問題,核廢料,無輻射,0.574987
環境,核能安全問題,核廢料,運送,0.574876
環境,核能安全問題,核廢料,法國,0.574042
環境,核能安全問題,核廢料,放射性,0.572032
環境,核能安全問題,核廢料,小調,0.569131
環境,核能安全問題,核廢料,運往,0.568036
環境,核能安全問題,核廢料,城鄉,0.565862
環境,核能安全問題,核廢料,坦承,0.565488
環境,核能安全問題,核廢料,北海岸,0.565138
環境,核能安全問題,核廢料,痛苦,0.561732
環境,核能安全問題,核廢料,檔案,0.560973
環境,核能安全問題,核廢料,恐外,0.555853
環境,核能安全問題,核廢料,廢水,0.553913
環境,核能安全問題,核廢料,廢場,0.552389
環境,核能安全問題,核廢料,健康,0.549994
環境,核能安全問題,核廢料,絕不,0.54753
