Field,Topic,Keyword,Related Word,Weight
政治,與鄰國的領土糾紛,中國崛起,中國崛起,1.0
政治,與鄰國的領土糾紛,中國崛起,大陸,0.979941
政治,與鄰國的領土糾紛,中國崛起,中國,0.977852
政治,與鄰國的領土糾紛,中國崛起,政治,0.976907
政治,與鄰國的領土糾紛,中國崛起,爭議,0.975964
政治,與鄰國的領土糾紛,中國崛起,社評,0.973164
政治,與鄰國的領土糾紛,中國崛起,發展,0.971906
政治,與鄰國的領土糾紛,中國崛起,關係,0.971678
政治,與鄰國的領土糾紛,中國崛起,崛起,0.970282
政治,與鄰國的領土糾紛,中國崛起,論壇,0.969675
政治,與鄰國的領土糾紛,中國崛起,積極,0.969124
政治,與鄰國的領土糾紛,中國崛起,開講,0.967554
政治,與鄰國的領土糾紛,中國崛起,旺報,0.966924
政治,與鄰國的領土糾紛,中國崛起,傳產,0.966575
政治,與鄰國的領土糾紛,中國崛起,和平,0.966433
政治,與鄰國的領土糾紛,中國崛起,業者,0.966384
政治,與鄰國的領土糾紛,中國崛起,世界,0.965794
政治,與鄰國的領土糾紛,中國崛起,兩岸,0.965341
政治,與鄰國的領土糾紛,中國崛起,戰略,0.963802
政治,與鄰國的領土糾紛,中國崛起,問題,0.963746
政治,與鄰國的領土糾紛,中國崛起,學者,0.963663
政治,與鄰國的領土糾紛,中國崛起,餐飲,0.962218
政治,與鄰國的領土糾紛,中國崛起,時代,0.960212
政治,與鄰國的領土糾紛,中國崛起,名家,0.959327
政治,與鄰國的領土糾紛,中國崛起,如何,0.958137
政治,與鄰國的領土糾紛,中國崛起,文化,0.956914
政治,與鄰國的領土糾紛,中國崛起,社論,0.956285
政治,與鄰國的領土糾紛,中國崛起,北京,0.95521
政治,與鄰國的領土糾紛,中國崛起,價值,0.95503
政治,與鄰國的領土糾紛,中國崛起,社會,0.954144
政治,與鄰國的領土糾紛,中國崛起,產業外移,0.952999
政治,與鄰國的領土糾紛,中國崛起,西方,0.952561
政治,與鄰國的領土糾紛,中國崛起,黃海,0.951843
政治,與鄰國的領土糾紛,中國崛起,主權,0.951508
政治,與鄰國的領土糾紛,中國崛起,協商,0.950762
政治,與鄰國的領土糾紛,中國崛起,核心,0.950627
政治,與鄰國的領土糾紛,中國崛起,對話,0.950192
政治,與鄰國的領土糾紛,中國崛起,巴馬,0.949977
政治,與鄰國的領土糾紛,中國崛起,面對,0.949938
政治,與鄰國的領土糾紛,中國崛起,爭端,0.949002
政治,與鄰國的領土糾紛,中國崛起,服務,0.948941
政治,與鄰國的領土糾紛,中國崛起,利益,0.947482
政治,與鄰國的領土糾紛,中國崛起,服務業,0.947345
政治,與鄰國的領土糾紛,中國崛起,設備,0.947029
政治,與鄰國的領土糾紛,中國崛起,準備,0.945802
政治,與鄰國的領土糾紛,中國崛起,民進黨,0.945549
政治,與鄰國的領土糾紛,中國崛起,創業,0.945212
政治,與鄰國的領土糾紛,中國崛起,中心,0.943409
政治,與鄰國的領土糾紛,中國崛起,印度,0.942107
政治,與鄰國的領土糾紛,中國崛起,產值,0.942
政治,與鄰國的領土糾紛,中國崛起,軍演,0.941585
政治,與鄰國的領土糾紛,中國崛起,議題,0.941062
政治,與鄰國的領土糾紛,中國崛起,升溫,0.939944
政治,與鄰國的領土糾紛,中國崛起,產業,0.939077
政治,與鄰國的領土糾紛,中國崛起,機會,0.938906
政治,與鄰國的領土糾紛,中國崛起,通路,0.937923
政治,與鄰國的領土糾紛,中國崛起,品牌,0.937905
政治,與鄰國的領土糾紛,中國崛起,專欄,0.936648
