Field,Topic,Keyword,Related Word,Weight
其他,跨國金融防弊,金融交易,金融交易,1.0
其他,跨國金融防弊,金融交易,高點,0.995755
其他,跨國金融防弊,金融交易,債券,0.995648
其他,跨國金融防弊,金融交易,商品,0.995419
其他,跨國金融防弊,金融交易,亞洲,0.995102
其他,跨國金融防弊,金融交易,團隊,0.995026
其他,跨國金融防弊,金融交易,理財,0.994921
其他,跨國金融防弊,金融交易,高盛,0.994454
其他,跨國金融防弊,金融交易,傳產,0.994424
其他,跨國金融防弊,金融交易,巴馬,0.994387
其他,跨國金融防弊,金融交易,價格,0.994303
其他,跨國金融防弊,金融交易,財金,0.994281
其他,跨國金融防弊,金融交易,董事長,0.994269
其他,跨國金融防弊,金融交易,挑戰,0.994226
其他,跨國金融防弊,金融交易,課稅,0.994179
其他,跨國金融防弊,金融交易,國泰,0.994117
其他,跨國金融防弊,金融交易,風暴,0.993982
其他,跨國金融防弊,金融交易,過關,0.993937
其他,跨國金融防弊,金融交易,私募,0.993927
其他,跨國金融防弊,金融交易,中小企業,0.993911
其他,跨國金融防弊,金融交易,看好,0.993827
其他,跨國金融防弊,金融交易,歐洲,0.993802
其他,跨國金融防弊,金融交易,永豐,0.993779
其他,跨國金融防弊,金融交易,參與,0.993762
其他,跨國金融防弊,金融交易,電子,0.993733
其他,跨國金融防弊,金融交易,推出,0.99364
其他,跨國金融防弊,金融交易,投信,0.993627
其他,跨國金融防弊,金融交易,講座,0.993608
其他,跨國金融防弊,金融交易,旗下,0.993452
其他,跨國金融防弊,金融交易,IMF,0.993432
其他,跨國金融防弊,金融交易,概念股,0.993406
其他,跨國金融防弊,金融交易,熱錢,0.993382
其他,跨國金融防弊,金融交易,__,0.993336
其他,跨國金融防弊,金融交易,指數,0.993279
其他,跨國金融防弊,金融交易,大眾,0.993265
其他,跨國金融防弊,金融交易,改革,0.993226
其他,跨國金融防弊,金融交易,鎖定,0.993222
其他,跨國金融防弊,金融交易,手機,0.99316
其他,跨國金融防弊,金融交易,加碼,0.993077
其他,跨國金融防弊,金融交易,後市,0.99304
其他,跨國金融防弊,金融交易,熱門,0.993016
其他,跨國金融防弊,金融交易,特區,0.992992
其他,跨國金融防弊,金融交易,國際化,0.992988
其他,跨國金融防弊,金融交易,現金,0.992956
其他,跨國金融防弊,金融交易,表現,0.992923
其他,跨國金融防弊,金融交易,成功,0.992912
其他,跨國金融防弊,金融交易,高峰,0.99283
其他,跨國金融防弊,金融交易,成長,0.992784
其他,跨國金融防弊,金融交易,升高,0.992746
其他,跨國金融防弊,金融交易,商辦,0.992726
其他,跨國金融防弊,金融交易,中信,0.992716
其他,跨國金融防弊,金融交易,吸引,0.992698
其他,跨國金融防弊,金融交易,元大,0.99269
其他,跨國金融防弊,金融交易,上路,0.992649
其他,跨國金融防弊,金融交易,內需,0.992619
其他,跨國金融防弊,金融交易,月線,0.992576
其他,跨國金融防弊,金融交易,專欄,0.992535
其他,跨國金融防弊,金融交易,衰退,0.992517
其他,跨國金融防弊,金融交易,衍生,0.992515
其他,跨國金融防弊,金融交易,帶動,0.992509
其他,跨國金融防弊,金融交易,政府,0.992458
其他,跨國金融防弊,金融交易,股權,0.99244
其他,跨國金融防弊,金融交易,新高,0.992364
其他,跨國金融防弊,金融交易,健全,0.992288
其他,跨國金融防弊,金融交易,EPS,0.992235
其他,跨國金融防弊,金融交易,華爾街,0.992197
其他,跨國金融防弊,金融交易,美股,0.992194
其他,跨國金融防弊,金融交易,票選,0.992186
其他,跨國金融防弊,金融交易,盈餘,0.992145
其他,跨國金融防弊,金融交易,成為,0.992124
其他,跨國金融防弊,金融交易,解析,0.992043
其他,跨國金融防弊,金融交易,必須,0.992017
其他,跨國金融防弊,金融交易,克魯曼,0.992003
其他,跨國金融防弊,金融交易,金流,0.991941
其他,跨國金融防弊,金融交易,大漲,0.991919
其他,跨國金融防弊,金融交易,名家,0.991904
其他,跨國金融防弊,金融交易,金融類,0.991903
其他,跨國金融防弊,金融交易,跨境,0.991882
其他,跨國金融防弊,金融交易,關注,0.991879
其他,跨國金融防弊,金融交易,環境,0.991877
其他,跨國金融防弊,金融交易,技術,0.991871
其他,跨國金融防弊,金融交易,族群,0.991767
其他,跨國金融防弊,金融交易,IBM,0.991763
其他,跨國金融防弊,金融交易,利率,0.991713
其他,跨國金融防弊,金融交易,維持,0.991696
其他,跨國金融防弊,金融交易,利用,0.991696
其他,跨國金融防弊,金融交易,信心,0.991661
其他,跨國金融防弊,金融交易,影響,0.991647
其他,跨國金融防弊,金融交易,同步,0.991632
其他,跨國金融防弊,金融交易,億美元,0.991609
其他,跨國金融防弊,金融交易,前景,0.991605
其他,跨國金融防弊,金融交易,面對,0.991529
其他,跨國金融防弊,金融交易,資金,0.99152
其他,跨國金融防弊,金融交易,賣壓,0.991479
其他,跨國金融防弊,金融交易,焦點,0.99146
其他,跨國金融防弊,金融交易,不同,0.991449
其他,跨國金融防弊,金融交易,行情,0.991431
其他,跨國金融防弊,金融交易,透過,0.991413
其他,跨國金融防弊,金融交易,倫敦,0.991387
其他,跨國金融防弊,金融交易,效果,0.991339
其他,跨國金融防弊,金融交易,期貨,0.9913
其他,跨國金融防弊,金融交易,方式,0.991297
其他,跨國金融防弊,金融交易,內線交易,0.991245
其他,跨國金融防弊,金融交易,操作,0.991093
其他,跨國金融防弊,金融交易,去年,0.991092
其他,跨國金融防弊,金融交易,個股,0.991071
其他,跨國金融防弊,金融交易,下滑,0.991063
其他,跨國金融防弊,金融交易,規模,0.991003
其他,跨國金融防弊,金融交易,獲利,0.991
其他,跨國金融防弊,金融交易,激勵,0.990923
其他,跨國金融防弊,金融交易,有助,0.990795
其他,跨國金融防弊,金融交易,機會,0.990748
其他,跨國金融防弊,金融交易,報酬率,0.990706
其他,跨國金融防弊,金融交易,各國,0.990703
其他,跨國金融防弊,金融交易,利益,0.99069
其他,跨國金融防弊,金融交易,台新金,0.990683
其他,跨國金融防弊,金融交易,震盪,0.990657
其他,跨國金融防弊,金融交易,佈局,0.990638
其他,跨國金融防弊,金融交易,壓力,0.99058
其他,跨國金融防弊,金融交易,北韓,0.990559
其他,跨國金融防弊,金融交易,轉向,0.990533
其他,跨國金融防弊,金融交易,交易所,0.990491
其他,跨國金融防弊,金融交易,打造,0.990402
其他,跨國金融防弊,金融交易,短期,0.990385
其他,跨國金融防弊,金融交易,第一,0.990366
其他,跨國金融防弊,金融交易,買超,0.9903
其他,跨國金融防弊,金融交易,軟體,0.990287
其他,跨國金融防弊,金融交易,交易平台,0.990284
其他,跨國金融防弊,金融交易,力量,0.990134
其他,跨國金融防弊,金融交易,調查,0.990019
其他,跨國金融防弊,金融交易,範圍,0.990017
其他,跨國金融防弊,金融交易,高手,0.989757
其他,跨國金融防弊,金融交易,盤中,0.989685
其他,跨國金融防弊,金融交易,上攻,0.989662
其他,跨國金融防弊,金融交易,加持,0.989605
其他,跨國金融防弊,金融交易,投資人,0.989597
其他,跨國金融防弊,金融交易,寶來,0.989392
其他,跨國金融防弊,金融交易,研究,0.989225
其他,跨國金融防弊,金融交易,法案,0.989174
其他,跨國金融防弊,金融交易,華信,0.98913
其他,跨國金融防弊,金融交易,擴大,0.9891
其他,跨國金融防弊,金融交易,通過,0.989088
其他,跨國金融防弊,金融交易,漲停,0.988987
其他,跨國金融防弊,金融交易,不易,0.988983
其他,跨國金融防弊,金融交易,萬元,0.988919
其他,跨國金融防弊,金融交易,金控,0.988897
其他,跨國金融防弊,金融交易,規範,0.988896
其他,跨國金融防弊,金融交易,掛牌,0.988761
其他,跨國金融防弊,金融交易,產品,0.988368
其他,跨國金融防弊,金融交易,利多,0.988263
其他,跨國金融防弊,金融交易,三大,0.988259
其他,跨國金融防弊,監理,監理,1.0
其他,跨國金融防弊,監理,金融,0.985265
其他,跨國金融防弊,監理,合作,0.976103
其他,跨國金融防弊,監理,兩岸,0.965205
其他,跨國金融防弊,監理,簽署,0.953919
其他,跨國金融防弊,監理,金管會,0.947555
其他,跨國金融防弊,監理,MOU,0.944044
其他,跨國金融防弊,監理,協商,0.942354
其他,跨國金融防弊,監理,開放,0.942344
其他,跨國金融防弊,監理,ECFA,0.941311
其他,跨國金融防弊,監理,大陸,0.936913
其他,跨國金融防弊,監理,登陸,0.935727
其他,跨國金融防弊,監理,機制,0.935597
其他,跨國金融防弊,監理,銀監會,0.924119
其他,跨國金融防弊,監理,準備,0.922014
其他,跨國金融防弊,監理,金融業,0.916245
其他,跨國金融防弊,監理,陸委會,0.915581
其他,跨國金融防弊,監理,陳沖,0.914667
其他,跨國金融防弊,監理,江陳會,0.913854
其他,跨國金融防弊,監理,貨幣,0.910428
其他,跨國金融防弊,監理,銀行,0.907899
其他,跨國金融防弊,監理,協議,0.903976
其他,跨國金融防弊,監理,北京,0.903706
其他,跨國金融防弊,監理,辦事處,0.899295
其他,跨國金融防弊,監理,隨時,0.898747
其他,跨國金融防弊,監理,共同,0.898722
其他,跨國金融防弊,監理,吳揆,0.896846
其他,跨國金融防弊,監理,李紀珠,0.896399
其他,跨國金融防弊,監理,賴幸媛,0.894981
其他,跨國金融防弊,監理,政治,0.893235
其他,跨國金融防弊,監理,分行,0.886815
其他,跨國金融防弊,監理,王毅,0.886131
其他,跨國金融防弊,監理,先簽,0.88605
其他,跨國金融防弊,監理,陸銀,0.885226
其他,跨國金融防弊,監理,加強,0.883988
其他,跨國金融防弊,監理,台灣,0.8791
其他,跨國金融防弊,監理,清算,0.877459
其他,跨國金融防弊,監理,納入,0.876891
其他,跨國金融防弊,監理,江丙坤,0.875917
其他,跨國金融防弊,監理,簽訂,0.875802
其他,跨國金融防弊,監理,參股,0.875798
其他,跨國金融防弊,監理,建立,0.873809
其他,跨國金融防弊,監理,登台,0.869649
其他,跨國金融防弊,監理,要求,0.868543
其他,跨國金融防弊,監理,台資,0.868487
其他,跨國金融防弊,監理,備忘錄,0.866639
其他,跨國金融防弊,監理,報告,0.862662
其他,跨國金融防弊,監理,協定,0.860423
其他,跨國金融防弊,監理,共識,0.856457
其他,跨國金融防弊,監理,會談,0.85638
其他,跨國金融防弊,監理,人民幣,0.854738
其他,跨國金融防弊,監理,爭取,0.852212
其他,跨國金融防弊,監理,談判,0.851895
其他,跨國金融防弊,監理,服務業,0.851693
其他,跨國金融防弊,監理,善意,0.851568
其他,跨國金融防弊,監理,最快,0.850683
其他,跨國金融防弊,監理,保障,0.849882
其他,跨國金融防弊,監理,業務,0.849218
其他,跨國金融防弊,監理,獲准,0.849207
其他,跨國金融防弊,監理,公司,0.849089
其他,跨國金融防弊,監理,交流,0.848889
其他,跨國金融防弊,監理,雙方,0.84786
其他,跨國金融防弊,監理,中華,0.84715
其他,跨國金融防弊,監理,加速,0.846052
其他,跨國金融防弊,監理,台資銀,0.845977
其他,跨國金融防弊,監理,入股,0.845713
其他,跨國金融防弊,監理,無法,0.845469
其他,跨國金融防弊,監理,鬆綁,0.842432
其他,跨國金融防弊,監理,新聞分析,0.842251
其他,跨國金融防弊,監理,歡迎,0.841052
其他,跨國金融防弊,監理,原則,0.83955
其他,跨國金融防弊,監理,會簽,0.83943
其他,跨國金融防弊,監理,研討會,0.839049
其他,跨國金融防弊,監理,房貸,0.839025
其他,跨國金融防弊,監理,台銀,0.83694
其他,跨國金融防弊,監理,三次,0.835482
其他,跨國金融防弊,監理,存款,0.835447
其他,跨國金融防弊,監理,早期,0.835283
其他,跨國金融防弊,監理,胡曉煉,0.834875
其他,跨國金融防弊,監理,福建,0.834673
其他,跨國金融防弊,監理,條例,0.83441
其他,跨國金融防弊,監理,高層,0.834387
其他,跨國金融防弊,監理,陸銀來,0.834094
其他,跨國金融防弊,監理,海嘯,0.833656
其他,跨國金融防弊,監理,追求,0.833077
其他,跨國金融防弊,監理,清單,0.832462
其他,跨國金融防弊,監理,主委,0.832208
其他,跨國金融防弊,監理,人行,0.831989
其他,跨國金融防弊,監理,即可,0.830851
其他,跨國金融防弊,監理,金檢,0.830507
其他,跨國金融防弊,監理,敲定,0.829903
