Field,Topic,Keyword,Related Word,Weight
社會,傳統家族概念的轉變,婚姻觀,婚姻觀,1.0
社會,傳統家族概念的轉變,婚姻觀,希望,0.964161
社會,傳統家族概念的轉變,婚姻觀,人民,0.962455
社會,傳統家族概念的轉變,婚姻觀,台灣,0.960246
社會,傳統家族概念的轉變,婚姻觀,掌握,0.957369
社會,傳統家族概念的轉變,婚姻觀,空間,0.955018
社會,傳統家族概念的轉變,婚姻觀,投顧,0.953875
社會,傳統家族概念的轉變,婚姻觀,乾景,0.953596
社會,傳統家族概念的轉變,婚姻觀,晨間,0.950855
社會,傳統家族概念的轉變,婚姻觀,解盤,0.949468
社會,傳統家族概念的轉變,婚姻觀,提供,0.945767
社會,傳統家族概念的轉變,婚姻觀,公園,0.931884
社會,傳統家族概念的轉變,婚姻觀,環保,0.931414
社會,傳統家族概念的轉變,婚姻觀,未來,0.927068
社會,傳統家族概念的轉變,婚姻觀,數位,0.925321
社會,傳統家族概念的轉變,婚姻觀,億元,0.921518
社會,傳統家族概念的轉變,婚姻觀,商機,0.891246
社會,傳統家族概念的轉變,婚姻觀,時代,0.784182
社會,傳統家族概念的轉變,婚姻觀,族群,0.649643
社會,傳統家族概念的轉變,婚姻觀,打造,0.529648
社會,傳統家族概念的轉變,婚姻觀,沒有,0.235942
社會,傳統家族概念的轉變,婚姻觀,心聲,0.126165
社會,傳統家族概念的轉變,婚姻觀,住宅,0.0227033
社會,傳統家族概念的轉變,婚姻觀,遺產,-0.033606
社會,傳統家族概念的轉變,婚姻觀,彩券,-0.591963
社會,傳統家族概念的轉變,婚姻觀,理財,-0.85527
社會,傳統家族概念的轉變,婚姻觀,結合,-0.856645
社會,傳統家族概念的轉變,婚姻觀,大陸,-0.864386
社會,傳統家族概念的轉變,婚姻觀,結婚,-0.915224
社會,傳統家族概念的轉變,婚姻觀,家庭,-0.918759
社會,傳統家族概念的轉變,婚姻觀,挑戰,-0.930904
社會,傳統家族概念的轉變,婚姻觀,蘆洲,-0.931461
社會,傳統家族概念的轉變,婚姻觀,食堂,-0.93493
社會,傳統家族概念的轉變,婚姻觀,電視,-0.939321
社會,傳統家族概念的轉變,婚姻觀,熱線,-0.940718
社會,傳統家族概念的轉變,婚姻觀,公益,-0.942838
社會,傳統家族概念的轉變,婚姻觀,科技,-0.94376
社會,傳統家族概念的轉變,婚姻觀,老人家,-0.944071
社會,傳統家族概念的轉變,婚姻觀,送餐,-0.945901
社會,傳統家族概念的轉變,婚姻觀,集團,-0.946011
社會,傳統家族概念的轉變,婚姻觀,市長,-0.946666
社會,傳統家族概念的轉變,婚姻觀,服務,-0.947769
社會,傳統家族概念的轉變,婚姻觀,友訊,-0.947895
