Field,Topic,Keyword,Related Word,Weight
其他,地方永續發展,企業社會責任,企業社會責任,1.0
其他,地方永續發展,企業社會責任,CSR,0.9279
其他,地方永續發展,企業社會責任,善盡,0.904024
其他,地方永續發展,企業社會責任,誠信,0.898119
其他,地方永續發展,企業社會責任,慈善,0.896696
其他,地方永續發展,企業社會責任,中信,0.893702
其他,地方永續發展,企業社會責任,責任,0.891131
其他,地方永續發展,企業社會責任,治理,0.891121
其他,地方永續發展,企業社會責任,遠見,0.889038
其他,地方永續發展,企業社會責任,公益,0.880764
其他,地方永續發展,企業社會責任,基金會,0.866661
其他,地方永續發展,企業社會責任,愛心,0.857102
其他,地方永續發展,企業社會責任,點將,0.855315
其他,地方永續發展,企業社會責任,股份,0.848128
其他,地方永續發展,企業社會責任,有限公司,0.845015
其他,地方永續發展,企業社會責任,落實,0.842635
其他,地方永續發展,企業社會責任,公民,0.842447
其他,地方永續發展,企業社會責任,授旗,0.836131
其他,地方永續發展,企業社會責任,致力,0.834037
其他,地方永續發展,企業社會責任,作為,0.832718
其他,地方永續發展,企業社會責任,集團,0.832513
其他,地方永續發展,企業社會責任,理念,0.831475
其他,地方永續發展,企業社會責任,報告,0.830215
其他,地方永續發展,企業社會責任,企業,0.829539
其他,地方永續發展,企業社會責任,社會,0.825744
其他,地方永續發展,企業社會責任,最佳,0.821727
其他,地方永續發展,企業社會責任,高手,0.817235
其他,地方永續發展,企業社會責任,公司,0.815938
其他,地方永續發展,企業社會責任,文化,0.815026
其他,地方永續發展,企業社會責任,卓越,0.809336
其他,地方永續發展,企業社會責任,大學,0.804654
其他,地方永續發展,企業社會責任,管理,0.800294
其他,地方永續發展,企業社會責任,永續,0.797768
其他,地方永續發展,企業社會責任,免費,0.794646
其他,地方永續發展,企業社會責任,捐贈,0.79301
其他,地方永續發展,企業社會責任,報告書,0.792017
其他,地方永續發展,企業社會責任,台積,0.790915
其他,地方永續發展,企業社會責任,弱勢,0.789321
其他,地方永續發展,企業社會責任,關懷,0.788775
其他,地方永續發展,企業社會責任,經營,0.784025
其他,地方永續發展,企業社會責任,稅務,0.782093
其他,地方永續發展,企業社會責任,關係人,0.777185
其他,地方永續發展,企業社會責任,捐款,0.77682
其他,地方永續發展,企業社會責任,精神,0.775396
其他,地方永續發展,企業社會責任,人壽,0.773612
其他,地方永續發展,企業社會責任,報導,0.773566
其他,地方永續發展,企業社會責任,重視,0.772166
其他,地方永續發展,企業社會責任,優質,0.771466
其他,地方永續發展,企業社會責任,連年,0.768589
其他,地方永續發展,企業社會責任,績效,0.765207
其他,地方永續發展,企業社會責任,競爭力,0.764667
其他,地方永續發展,企業社會責任,信託,0.757471
其他,地方永續發展,企業社會責任,綠化,0.756975
其他,地方永續發展,企業社會責任,理財,0.753953
其他,地方永續發展,企業社會責任,發燒,0.753133
其他,地方永續發展,企業社會責任,捐助,0.751647
其他,地方永續發展,企業社會責任,資誠,0.750975
其他,地方永續發展,企業社會責任,局辦,0.750016
其他,地方永續發展,企業社會責任,開募,0.749526
其他,地方永續發展,企業社會責任,獲台灣,0.749213
其他,地方永續發展,企業社會責任,推手,0.748534
其他,地方永續發展,企業社會責任,募款,0.748431
其他,地方永續發展,企業社會責任,國家,0.744595
其他,地方永續發展,企業社會責任,面對,0.744037
其他,地方永續發展,企業社會責任,邁向,0.743657
其他,地方永續發展,企業社會責任,獲頒,0.73911
其他,地方永續發展,企業社會責任,關係,0.738444
其他,地方永續發展,企業社會責任,危機,0.737277
其他,地方永續發展,企業社會責任,基礎,0.73643
