Field,Topic,Keyword,Related Word,Weight
經濟,失業或就業不穩定,失業,失業,1.0
經濟,失業或就業不穩定,失業,請領,0.620482
經濟,失業或就業不穩定,失業,救濟金,0.613837
經濟,失業或就業不穩定,失業,自殺,0.604992
經濟,失業或就業不穩定,失業,美上,0.580063
經濟,失業或就業不穩定,失業,凶嫌,0.579112
經濟,失業或就業不穩定,失業,增多,0.571265
經濟,失業或就業不穩定,失業,報考,0.569164
經濟,失業或就業不穩定,失業,尋短,0.569137
經濟,失業或就業不穩定,失業,老年,0.568881
經濟,失業或就業不穩定,失業,燒炭,0.560993
經濟,失業或就業不穩定,失業,男子,0.55967
經濟,失業或就業不穩定,失業,傳捷報,0.558472
經濟,失業或就業不穩定,失業,美初領,0.555562
經濟,失業或就業不穩定,失業,救濟,0.551052
經濟,失業或就業不穩定,失業,大盜,0.549821
經濟,失業或就業不穩定,失業,借貸,0.548625
經濟,失業或就業不穩定,失業,通緝,0.545826
經濟,失業或就業不穩定,失業,溫暖,0.544716
經濟,失業或就業不穩定,失業,落網,0.543822
經濟,失業或就業不穩定,失業,驚魂,0.535419
經濟,失業或就業不穩定,失業,夫妻,0.53451
經濟,失業或就業不穩定,失業,父母,0.534361
經濟,失業或就業不穩定,失業,獎學金,0.532237
經濟,失業或就業不穩定,失業,流浪,0.532158
經濟,失業或就業不穩定,失業,初次,0.532099
經濟,失業或就業不穩定,失業,飛車,0.531871
經濟,失業或就業不穩定,失業,搶奪,0.531766
經濟,失業或就業不穩定,失業,判刑,0.530782
經濟,失業或就業不穩定,失業,申請,0.530618
經濟,失業或就業不穩定,失業,撫養,0.53036
經濟,失業或就業不穩定,失業,首日,0.529871
經濟,失業或就業不穩定,失業,派出所,0.529594
經濟,失業或就業不穩定,失業,友人,0.529453
經濟,失業或就業不穩定,失業,育嬰,0.5288
經濟,失業或就業不穩定,失業,領取,0.528376
經濟,失業或就業不穩定,失業,求償,0.528286
經濟,失業或就業不穩定,失業,農藥,0.527805
經濟,失業或就業不穩定,失業,監獄,0.527448
經濟,失業或就業不穩定,失業,給付,0.526641
經濟,失業或就業不穩定,失業,留下,0.525216
經濟,失業或就業不穩定,失業,交保,0.524702
經濟,失業或就業不穩定,失業,弟弟,0.524671
經濟,失業或就業不穩定,失業,藏毒,0.524606
經濟,失業或就業不穩定,失業,國教,0.524279
經濟,失業或就業不穩定,失業,警方,0.524135
經濟,失業或就業不穩定,失業,公帑,0.524033
經濟,失業或就業不穩定,失業,公斤,0.522856
經濟,失業或就業不穩定,失業,金者,0.522237
經濟,失業或就業不穩定,失業,陪伴,0.519098
經濟,失業或就業不穩定,失業,五萬,0.518843
經濟,失業或就業不穩定,失業,無業,0.51854
經濟,失業或就業不穩定,失業,妻兒,0.518003
經濟,失業或就業不穩定,失業,老母,0.517301
經濟,失業或就業不穩定,失業,怪客,0.516881
經濟,失業或就業不穩定,失業,當場,0.516805
經濟,失業或就業不穩定,失業,久病,0.5168
經濟,失業或就業不穩定,失業,超商,0.516724
經濟,失業或就業不穩定,失業,老農,0.515764
經濟,失業或就業不穩定,失業,行竊,0.5151
經濟,失業或就業不穩定,失業,破萬,0.514479
經濟,失業或就業不穩定,失業,性侵,0.514094
經濟,失業或就業不穩定,失業,阿嬤,0.513716
經濟,失業或就業不穩定,失業,午餐費,0.512509
經濟,失業或就業不穩定,失業,得手,0.51195
經濟,失業或就業不穩定,失業,暴增,0.511398
經濟,失業或就業不穩定,失業,想不開,0.511282
經濟,失業或就業不穩定,失業,情人,0.510892
經濟,失業或就業不穩定,失業,報名費,0.510336
經濟,失業或就業不穩定,失業,借錢,0.510103
經濟,失業或就業不穩定,失業,天天,0.509423
經濟,失業或就業不穩定,失業,考生,0.509388
經濟,失業或就業不穩定,失業,錢關,0.50917
經濟,失業或就業不穩定,失業,強盜,0.508753
經濟,失業或就業不穩定,失業,救回,0.507958
經濟,失業或就業不穩定,失業,獲救,0.507747
經濟,失業或就業不穩定,失業,農村,0.5077
經濟,失業或就業不穩定,失業,口角,0.507431
經濟,失業或就業不穩定,失業,父子,0.5074
經濟,失業或就業不穩定,失業,失蹤,0.507142
經濟,失業或就業不穩定,失業,短打,0.507036
經濟,失業或就業不穩定,失業,成年,0.506804
經濟,失業或就業不穩定,失業,火燒,0.506716
經濟,失業或就業不穩定,失業,身亡,0.505754
經濟,失業或就業不穩定,失業,露餡,0.505667
經濟,失業或就業不穩定,失業,萬件,0.505265
經濟,失業或就業不穩定,失業,報警,0.504949
經濟,失業或就業不穩定,失業,夫人,0.504012
經濟,失業或就業不穩定,失業,懷孕,0.503297
經濟,失業或就業不穩定,失業,義工,0.502959
經濟,失業或就業不穩定,失業,大量,0.502758
經濟,失業或就業不穩定,失業,搶匪,0.502729
經濟,失業或就業不穩定,失業,還債,0.502527
經濟,失業或就業不穩定,失業,絕路,0.502468
經濟,失業或就業不穩定,失業,減班,0.501997
經濟,失業或就業不穩定,失業,獲獎,0.501365
經濟,失業或就業不穩定,失業,輕生,0.501128
經濟,失業或就業不穩定,失業,東京,0.500988
經濟,失業或就業不穩定,失業,初領,0.500813
經濟,失業或就業不穩定,失業,割腕,0.500612
經濟,失業或就業不穩定,失業,搶錢,0.500453
經濟,失業或就業不穩定,失業,少子化,0.500402
經濟,失業或就業不穩定,失業,燒死,0.500291
經濟,失業或就業不穩定,失業,主嫌,0.500094
經濟,失業或就業不穩定,失業,普考,0.499793
經濟,失業或就業不穩定,失業,連戰,0.49973
經濟,失業或就業不穩定,失業,被訴,0.499617
經濟,失業或就業不穩定,失業,男度,0.499555
經濟,失業或就業不穩定,失業,坐牢,0.499445
經濟,失業或就業不穩定,失業,失業人數,0.499161
經濟,失業或就業不穩定,失業,酒駕,0.498565
經濟,失業或就業不穩定,失業,女子,0.497783
經濟,失業或就業不穩定,失業,失風,0.497698
經濟,失業或就業不穩定,失業,錄取率,0.49746
經濟,失業或就業不穩定,失業,移動,0.497432
經濟,失業或就業不穩定,失業,減至,0.497353
經濟,失業或就業不穩定,失業,檢察官,0.496845
經濟,失業或就業不穩定,失業,道路,0.49559
經濟,失業或就業不穩定,失業,拚命,0.495026
經濟,失業或就業不穩定,失業,男友,0.495022
經濟,失業或就業不穩定,失業,何去何從,0.494908
經濟,失業或就業不穩定,失業,戶籍,0.494481
經濟,失業或就業不穩定,失業,上吊,0.494043
經濟,失業或就業不穩定,失業,警局,0.493674
經濟,失業或就業不穩定,失業,降至個,0.49286
經濟,失業或就業不穩定,失業,夜市,0.492541
經濟,失業或就業不穩定,失業,PO,0.492512
經濟,失業或就業不穩定,失業,男遭,0.492177
經濟,失業或就業不穩定,失業,逆子,0.492085
經濟,失業或就業不穩定,失業,家人,0.492051
經濟,失業或就業不穩定,失業,補償,0.492004
經濟,失業或就業不穩定,失業,不成,0.491946
經濟,失業或就業不穩定,失業,萬戶,0.491586
經濟,失業或就業不穩定,失業,房客,0.49136
經濟,失業或就業不穩定,失業,簡訊,0.490509
經濟,失業或就業不穩定,失業,專偷,0.490128
經濟,失業或就業不穩定,失業,遠通,0.489874
經濟,失業或就業不穩定,失業,詐財,0.489834
經濟,失業或就業不穩定,失業,遭竊,0.48982
經濟,失業或就業不穩定,失業,發現,0.489541
經濟,失業或就業不穩定,失業,罰金,0.489395
經濟,失業或就業不穩定,失業,攜子,0.489391
經濟,失業或就業不穩定,失業,感人,0.48927
經濟,失業或就業不穩定,失業,拾荒,0.48919
經濟,失業或就業不穩定,失業,遺書,0.489143
經濟,失業或就業不穩定,失業,創世,0.48882
經濟,失業或就業不穩定,失業,悶死,0.48879
經濟,失業或就業不穩定,失業,猝死,0.48853
經濟,失業或就業不穩定,失業,送醫,0.488375
經濟,失業或就業不穩定,失業,攜女,0.488057
經濟,失業或就業不穩定,失業,裙底,0.487698
經濟,失業或就業不穩定,失業,建中,0.487573
經濟,失業或就業不穩定,失業,離婚,0.487516
經濟,失業或就業不穩定,失業,生命線,0.486914
經濟,失業或就業不穩定,失業,第周,0.486877
經濟,失業或就業不穩定,失業,給錢,0.486462
經濟,失業或就業不穩定,失業,難過,0.48601
經濟,失業或就業不穩定,失業,點子,0.48573
經濟,失業或就業不穩定,失業,公司員工,0.485625
經濟,失業或就業不穩定,失業,救助,0.485182
經濟,失業或就業不穩定,失業,外配,0.485088
經濟,失業或就業不穩定,失業,要錢,0.484977
經濟,失業或就業不穩定,失業,大減,0.48488
經濟,失業或就業不穩定,失業,士氣,0.484659
經濟,失業或就業不穩定,失業,哥哥,0.484636
經濟,失業或就業不穩定,失業,區里,0.484611
經濟,失業或就業不穩定,失業,小偷,0.48428
經濟,失業或就業不穩定,失業,七萬,0.484084
經濟,失業或就業不穩定,失業,偏遠,0.48378
經濟,失業或就業不穩定,失業,單親,0.483645
經濟,失業或就業不穩定,失業,換來,0.482724
經濟,失業或就業不穩定,失業,收留,0.4826
經濟,失業或就業不穩定,失業,勞保,0.482356
經濟,失業或就業不穩定,失業,卡債,0.482185
經濟,失業或就業不穩定,失業,師生,0.482163
經濟,失業或就業不穩定,失業,上學,0.481778
經濟,失業或就業不穩定,失業,持刀,0.481612
經濟,失業或就業不穩定,失業,就醫,0.481611
經濟,失業或就業不穩定,失業,解僱,0.481343
經濟,失業或就業不穩定,失業,苦情,0.480895
經濟,失業或就業不穩定,失業,黑道,0.480778
經濟,失業或就業不穩定,失業,瓦斯,0.480696
經濟,失業或就業不穩定,失業,跑腿,0.480686
經濟,失業或就業不穩定,失業,大學生,0.480572
經濟,失業或就業不穩定,失業,公里,0.480442
經濟,失業或就業不穩定,失業,周來,0.480289
經濟,失業或就業不穩定,失業,善款,0.480238
經濟,失業或就業不穩定,失業,民宅,0.480197
經濟,失業或就業不穩定,失業,鴛鴦,0.48002
經濟,失業或就業不穩定,失業,沒錢,0.479577
經濟,失業或就業不穩定,失業,丟飯碗,0.479243
經濟,失業或就業不穩定,失業,連連,0.479221
經濟,失業或就業不穩定,失業,分鐘,0.479205
經濟,失業或就業不穩定,失業,自殘,0.479143
經濟,失業或就業不穩定,失業,求救,0.478772
經濟,失業或就業不穩定,失業,送辦,0.478578
經濟,失業或就業不穩定,失業,房租,0.478532
經濟,失業或就業不穩定,失業,困頓,0.477219
經濟,失業或就業不穩定,失業,年資,0.477065
經濟,失業或就業不穩定,失業,減少,0.476685
經濟,失業或就業不穩定,就業不穩定,帶頭,0.57682
經濟,失業或就業不穩定,就業不穩定,eBay,0.570381
經濟,失業或就業不穩定,就業不穩定,周末,0.557087
經濟,失業或就業不穩定,就業不穩定,雷曼,0.557049
經濟,失業或就業不穩定,就業不穩定,角逐,0.547936
經濟,失業或就業不穩定,就業不穩定,點將,0.547707
經濟,失業或就業不穩定,就業不穩定,平庸,0.547702
經濟,失業或就業不穩定,就業不穩定,地標,0.546346
經濟,失業或就業不穩定,就業不穩定,豐收,0.544211
經濟,失業或就業不穩定,就業不穩定,藍天,0.543598
經濟,失業或就業不穩定,就業不穩定,大富翁,0.543512
經濟,失業或就業不穩定,就業不穩定,不平,0.541829
經濟,失業或就業不穩定,就業不穩定,地主,0.538315
經濟,失業或就業不穩定,就業不穩定,顏色,0.536495
經濟,失業或就業不穩定,就業不穩定,明基,0.53635
經濟,失業或就業不穩定,就業不穩定,風光,0.533987
經濟,失業或就業不穩定,就業不穩定,苦戰,0.533271
經濟,失業或就業不穩定,就業不穩定,遠離,0.532699
經濟,失業或就業不穩定,就業不穩定,貪腐,0.532387
經濟,失業或就業不穩定,就業不穩定,等等,0.531805
經濟,失業或就業不穩定,就業不穩定,西門子,0.531209
