Field,Topic,Keyword,Related Word,Weight
社會,少子化與超高齡化社會,少子化,少子化,1.0
社會,少子化與超高齡化社會,少子化,考試,0.842171
社會,少子化與超高齡化社會,少子化,減少,0.839686
社會,少子化與超高齡化社會,少子化,人數,0.834913
社會,少子化與超高齡化社會,少子化,大戰,0.83299
社會,少子化與超高齡化社會,少子化,效應,0.825792
社會,少子化與超高齡化社會,少子化,教育部,0.821008
社會,少子化與超高齡化社會,少子化,裁併,0.820661
社會,少子化與超高齡化社會,少子化,減招,0.820245
社會,少子化與超高齡化社會,少子化,逆勢,0.820029
社會,少子化與超高齡化社會,少子化,小一,0.81919
社會,少子化與超高齡化社會,少子化,建中,0.818623
社會,少子化與超高齡化社會,少子化,萬人,0.818014
社會,少子化與超高齡化社會,少子化,僅人,0.812937
社會,少子化與超高齡化社會,少子化,高職,0.812838
社會,少子化與超高齡化社會,少子化,嚴重,0.810852
社會,少子化與超高齡化社會,少子化,解決,0.808414
社會,少子化與超高齡化社會,少子化,衝擊,0.805156
社會,少子化與超高齡化社會,少子化,不到,0.804864
社會,少子化與超高齡化社會,少子化,虎年,0.804154
社會,少子化與超高齡化社會,少子化,每班,0.802517
社會,少子化與超高齡化社會,少子化,迷你,0.800584
社會,少子化與超高齡化社會,少子化,關門,0.799485
社會,少子化與超高齡化社會,少子化,升學,0.798985
社會,少子化與超高齡化社會,少子化,私立,0.797985
社會,少子化與超高齡化社會,少子化,工作,0.797187
社會,少子化與超高齡化社會,少子化,各校,0.796797
社會,少子化與超高齡化社會,少子化,小校,0.794365
社會,少子化與超高齡化社會,少子化,掛零,0.793867
社會,少子化與超高齡化社會,少子化,學校,0.793827
社會,少子化與超高齡化社會,少子化,驟減,0.793322
社會,少子化與超高齡化社會,少子化,銳減,0.793148
社會,少子化與超高齡化社會,少子化,影響,0.792111
社會,少子化與超高齡化社會,少子化,公立,0.791696
社會,少子化與超高齡化社會,少子化,新生,0.790701
社會,少子化與超高齡化社會,少子化,修法,0.790343
社會,少子化與超高齡化社會,少子化,指考,0.790154
社會,少子化與超高齡化社會,少子化,減班,0.790133
社會,少子化與超高齡化社會,少子化,增班,0.789929
社會,少子化與超高齡化社會,少子化,暴增,0.788922
社會,少子化與超高齡化社會,少子化,供過於求,0.788285
社會,少子化與超高齡化社會,少子化,面臨,0.788015
社會,少子化與超高齡化社會,少子化,大減,0.786452
社會,少子化與超高齡化社會,少子化,學費,0.786214
社會,少子化與超高齡化社會,少子化,下去,0.785973
社會,少子化與超高齡化社會,少子化,國小,0.785495
社會,少子化與超高齡化社會,少子化,開學,0.785241
社會,少子化與超高齡化社會,少子化,國教,0.783348
社會,少子化與超高齡化社會,少子化,國中,0.781122
社會,少子化與超高齡化社會,少子化,北市,0.778902
社會,少子化與超高齡化社會,少子化,家長,0.778601
社會,少子化與超高齡化社會,少子化,倒閉,0.778513
社會,少子化與超高齡化社會,少子化,班級,0.777193
社會,少子化與超高齡化社會,少子化,危機,0.777146
社會,少子化與超高齡化社會,少子化,逐年,0.77696
社會,少子化與超高齡化社會,少子化,教育局,0.776532
社會,少子化與超高齡化社會,少子化,中學,0.776165
社會,少子化與超高齡化社會,少子化,迎新生,0.773038
社會,少子化與超高齡化社會,少子化,免試,0.772038
社會,少子化與超高齡化社會,少子化,放榜,0.770677
社會,少子化與超高齡化社會,少子化,錄取,0.770167
