Field,Topic,Keyword,Related Word,Weight
社會,重視生活品質的生活型態,休閒,休閒,1.0
社會,重視生活品質的生活型態,休閒,娛樂,0.760701
社會,重視生活品質的生活型態,休閒,無限,0.662896
社會,重視生活品質的生活型態,休閒,線上,0.657245
社會,重視生活品質的生活型態,休閒,餐飲,0.656618
社會,重視生活品質的生活型態,休閒,遊戲,0.655112
社會,重視生活品質的生活型態,休閒,食品,0.64341
社會,重視生活品質的生活型態,休閒,農場,0.640208
社會,重視生活品質的生活型態,休閒,健身,0.631375
社會,重視生活品質的生活型態,休閒,升級,0.62516
社會,重視生活品質的生活型態,休閒,按摩,0.622211
社會,重視生活品質的生活型態,休閒,推廣,0.620721
社會,重視生活品質的生活型態,休閒,運動,0.619975
社會,重視生活品質的生活型態,休閒,商機,0.613882
社會,重視生活品質的生活型態,休閒,合作,0.612769
社會,重視生活品質的生活型態,休閒,集團,0.610625
社會,重視生活品質的生活型態,休閒,熱烈,0.61054
社會,重視生活品質的生活型態,休閒,養生,0.61029
社會,重視生活品質的生活型態,休閒,OK,0.60759
社會,重視生活品質的生活型態,休閒,結合,0.604739
社會,重視生活品質的生活型態,休閒,跨足,0.604145
社會,重視生活品質的生活型態,休閒,推手,0.603455
社會,重視生活品質的生活型態,休閒,之旅,0.600268
社會,重視生活品質的生活型態,休閒,潮流,0.59787
社會,重視生活品質的生活型態,休閒,媒合,0.597482
社會,重視生活品質的生活型態,休閒,外衣,0.596673
社會,重視生活品質的生活型態,休閒,活潑,0.596414
社會,重視生活品質的生活型態,休閒,月餅,0.591588
社會,重視生活品質的生活型態,休閒,針織,0.591329
社會,重視生活品質的生活型態,休閒,購物,0.590374
社會,重視生活品質的生活型態,休閒,轉型,0.589496
社會,重視生活品質的生活型態,休閒,Lifestyle,0.588749
社會,重視生活品質的生活型態,休閒,觀測,0.5841
社會,重視生活品質的生活型態,休閒,搶攻,0.58369
社會,重視生活品質的生活型態,休閒,電玩,0.583642
社會,重視生活品質的生活型態,休閒,渡假,0.582741
社會,重視生活品質的生活型態,休閒,各式,0.582681
社會,重視生活品質的生活型態,休閒,特色,0.582547
社會,重視生活品質的生活型態,休閒,推出,0.582421
社會,重視生活品質的生活型態,休閒,貿協,0.581253
社會,重視生活品質的生活型態,休閒,開辦,0.579129
社會,重視生活品質的生活型態,休閒,卡拉,0.578805
社會,重視生活品質的生活型態,休閒,競技,0.57876
社會,重視生活品質的生活型態,休閒,影城,0.578266
社會,重視生活品質的生活型態,休閒,娛樂業,0.577103
社會,重視生活品質的生活型態,休閒,發表,0.575967
社會,重視生活品質的生活型態,休閒,冠軍,0.575388
社會,重視生活品質的生活型態,休閒,度假,0.575095
社會,重視生活品質的生活型態,休閒,工業局,0.57456
社會,重視生活品質的生活型態,休閒,通路,0.574212
社會,重視生活品質的生活型態,休閒,俱樂部,0.572883
社會,重視生活品質的生活型態,休閒,有機,0.572769
社會,重視生活品質的生活型態,休閒,相關,0.570238
社會,重視生活品質的生活型態,休閒,價格,0.569809
社會,重視生活品質的生活型態,休閒,下載,0.569341
社會,重視生活品質的生活型態,休閒,周年,0.569208
社會,重視生活品質的生活型態,休閒,競逐,0.569155
社會,重視生活品質的生活型態,休閒,綠能,0.568955
社會,重視生活品質的生活型態,休閒,一條龍,0.568684
社會,重視生活品質的生活型態,休閒,氛圍,0.568145
