Field,Topic,Keyword,Related Word,Weight
社會,不均等問題,不公平,結果,0.769478
社會,不均等問題,不公平,不符,0.768019
社會,不均等問題,不公平,擔心,0.75135
社會,不均等問題,不公平,逐年,0.75
社會,不均等問題,不公平,疑慮,0.743344
社會,不均等問題,不公平,手段,0.733604
社會,不均等問題,不公平,大戶,0.731489
社會,不均等問題,不公平,工程,0.728445
社會,不均等問題,不公平,否則,0.72796
社會,不均等問題,不均,不均,1.0
社會,不均等問題,不均,南北,0.841962
社會,不均等問題,不均,惡化,0.825226
社會,不均等問題,不均,人口,0.817366
社會,不均等問題,不均,均衡,0.773032
社會,不均等問題,不均,收入,0.761869
社會,不均等問題,不均,差距,0.753819
社會,不均等問題,不均,比率,0.748626
社會,不均等問題,不均,資源分配,0.742689
社會,不均等問題,不均,嚴重,0.740229
社會,不均等問題,不均,平均,0.737248
社會,不均等問題,不均,每戶,0.736548
社會,不均等問題,不均,教育資源,0.734071
社會,不均等問題,不均,可支配,0.733765
社會,不均等問題,不均,老子,0.731059
社會,不均等問題,不均,面積,0.727393
社會,不均等問題,不均,遺失,0.725854
社會,不均等問題,不均,重點,0.72583
社會,不均等問題,不均,真是,0.723632
社會,不均等問題,不均,除了,0.721885
社會,不均等問題,不均,家戶,0.721083
社會,不均等問題,不均,所得,0.720631
社會,不均等問題,不均,有效,0.719343
社會,不均等問題,不均,明顯,0.719109
社會,不均等問題,不均,患寡,0.716211
社會,不均等問題,不均,降至,0.713529
社會,不均等問題,不均,失衡,0.713384
社會,不均等問題,不均,亟待,0.712073
社會,不均等問題,不均,房子,0.710205
社會,不均等問題,不均,原因,0.709742
社會,不均等問題,不均,一章,0.709302
社會,不均等問題,不均,財富分配,0.704815
社會,不均等問題,不均,指標,0.702695
社會,不均等問題,不均,非僅,0.698953
社會,不均等問題,不均,狀況,0.698827
社會,不均等問題,不均,數據,0.697306
社會,不均等問題,不均,當心,0.695574
社會,不均等問題,不均,不患,0.695219
社會,不均等問題,不均,財產,0.694248
社會,不均等問題,不均,升至,0.689961
社會,不均等問題,不均,資料,0.687202
社會,不均等問題,不均,完全,0.685675
社會,不均等問題,不均,擴大內需,0.68543
社會,不均等問題,不均,流動性,0.684715
社會,不均等問題,不均,下滑,0.684022
社會,不均等問題,不均,低估,0.683306
社會,不均等問題,不均,統計,0.682158
社會,不均等問題,不均,高教,0.681629
社會,不均等問題,不均,寡而患,0.681586
社會,不均等問題,不均,現行,0.681432
社會,不均等問題,不均,家庭收入,0.681082
社會,不均等問題,不均,新高,0.680164
社會,不均等問題,不均,失血,0.67987
社會,不均等問題,不均,新低,0.679556
社會,不均等問題,不均,一路,0.679066
社會,不均等問題,不均,年前,0.677504
社會,不均等問題,不均,兩者,0.677104
社會,不均等問題,不均,愈來愈,0.676668
