Field,Topic,Keyword,Related Word,Weight
其他,地方永續發展,企業社會責任,期貨,0.708764
其他,地方永續發展,企業社會責任,證交所,0.702176
其他,地方永續發展,企業社會責任,企銀,0.67874
其他,地方永續發展,企業社會責任,會計師,0.675327
其他,地方永續發展,企業社會責任,金管會,0.674355
其他,地方永續發展,企業社會責任,KPMG,0.673572
其他,地方永續發展,企業社會責任,房產,0.666414
其他,地方永續發展,企業社會責任,一銀,0.661173
其他,地方永續發展,企業社會責任,建業,0.658738
其他,地方永續發展,企業社會責任,外塑,0.652533
其他,地方永續發展,企業社會責任,期交所,0.652273
其他,地方永續發展,企業社會責任,關係人,0.649698
其他,地方永續發展,企業社會責任,利害,0.643657
其他,地方永續發展,企業社會責任,保經,0.642905
其他,地方永續發展,企業社會責任,學刊,0.64263
其他,地方永續發展,企業社會責任,分行,0.64091
其他,地方永續發展,企業社會責任,國壽,0.637711
其他,地方永續發展,企業社會責任,永慶,0.633745
其他,地方永續發展,企業社會責任,保險業,0.632557
其他,地方永續發展,企業社會責任,安永,0.631531
其他,地方永續發展,企業社會責任,稅務,0.631362
其他,地方永續發展,企業社會責任,送愛到,0.631195
其他,地方永續發展,企業社會責任,電影,0.630742
其他,地方永續發展,企業社會責任,公關,0.630499
其他,地方永續發展,企業社會責任,勤業,0.628104
其他,地方永續發展,企業社會責任,捧場,0.6275
其他,地方永續發展,企業社會責任,中壽,0.626178
其他,地方永續發展,企業社會責任,事務所,0.625337
其他,地方永續發展,企業社會責任,匯豐,0.625082
其他,地方永續發展,企業社會責任,上線,0.624547
其他,地方永續發展,企業社會責任,企業倫理,0.619725
其他,地方永續發展,企業社會責任,華南,0.619096
其他,地方永續發展,企業社會責任,旺旺,0.617398
其他,地方永續發展,企業社會責任,經濟社會,0.616612
其他,地方永續發展,企業社會責任,永達,0.616395
其他,地方永續發展,企業社會責任,高齡,0.615819
其他,地方永續發展,企業社會責任,眾信,0.615707
其他,地方永續發展,企業社會責任,捐萬,0.615078
其他,地方永續發展,企業社會責任,更名,0.615015
其他,地方永續發展,企業社會責任,金投信,0.613915
其他,地方永續發展,企業社會責任,公勝,0.613602
其他,地方永續發展,企業社會責任,豐金,0.612125
其他,地方永續發展,企業社會責任,溫暖,0.611443
其他,地方永續發展,企業社會責任,中銀,0.611229
其他,地方永續發展,企業社會責任,元大,0.610899
其他,地方永續發展,企業社會責任,長期,0.61018
其他,地方永續發展,企業社會責任,SOGO,0.610122
其他,地方永續發展,企業社會責任,南山人壽,0.609414
其他,地方永續發展,企業社會責任,薪酬,0.609367
其他,地方永續發展,企業社會責任,獎助學金,0.608259
其他,地方永續發展,企業社會責任,退休,0.60823
其他,地方永續發展,企業社會責任,商銀,0.607823
其他,地方永續發展,企業社會責任,傳播,0.60774
其他,地方永續發展,企業社會責任,貢獻獎,0.607672
其他,地方永續發展,企業社會責任,各項,0.606577
其他,地方永續發展,企業社會責任,周俊吉,0.605959
其他,地方永續發展,企業社會責任,泰安,0.605775
其他,地方永續發展,企業社會責任,土銀,0.605774
其他,地方永續發展,企業社會責任,守則,0.60558
其他,地方永續發展,企業社會責任,第一本,0.605324
其他,地方永續發展,企業社會責任,本屆,0.604591
其他,地方永續發展,企業社會責任,新訊,0.604525
其他,地方永續發展,企業社會責任,台新,0.60407
其他,地方永續發展,企業社會責任,磊山,0.603168
其他,地方永續發展,企業社會責任,清寒,0.603055
其他,地方永續發展,企業社會責任,富蘭克林,0.602218
其他,地方永續發展,企業社會責任,豐金控,0.602049
其他,地方永續發展,企業社會責任,集保,0.601314
其他,地方永續發展,企業社會責任,財務,0.600269
其他,地方永續發展,企業社會責任,GRI,0.599808
其他,地方永續發展,企業社會責任,透明,0.598197
其他,地方永續發展,企業社會責任,股東,0.597878
其他,地方永續發展,企業社會責任,發揮,0.597739
其他,地方永續發展,企業社會責任,內造,0.597705
其他,地方永續發展,企業社會責任,南山,0.597369
其他,地方永續發展,企業社會責任,拋磚引玉,0.597237
其他,地方永續發展,企業社會責任,形象,0.597081
其他,地方永續發展,企業社會責任,星展,0.596578
其他,地方永續發展,企業社會責任,財資,0.595019
其他,地方永續發展,企業社會責任,獲最佳,0.594989
其他,地方永續發展,企業社會責任,樹德,0.594969
其他,地方永續發展,企業社會責任,財管,0.594775
其他,地方永續發展,企業社會責任,新年,0.594105
其他,地方永續發展,企業社會責任,NB,0.593871
其他,地方永續發展,企業社會責任,保單,0.593729
其他,地方永續發展,企業社會責任,啟示錄,0.593531
其他,地方永續發展,企業社會責任,安養,0.59223
其他,地方永續發展,企業社會責任,國泰人壽,0.592131
其他,地方永續發展,企業社會責任,欣賞,0.592106
其他,地方永續發展,企業社會責任,房仲業,0.591592
其他,地方永續發展,企業社會責任,外部,0.591402
其他,地方永續發展,企業社會責任,負責人,0.59128
其他,地方永續發展,企業社會責任,摘下,0.591279
其他,地方永續發展,企業社會責任,資誠,0.591194
其他,地方永續發展,企業社會責任,獨居,0.591055
其他,地方永續發展,企業社會責任,環境保護,0.591028
其他,地方永續發展,企業社會責任,老人,0.59098
其他,地方永續發展,企業社會責任,領袖,0.590804
其他,地方永續發展,企業社會責任,優秀,0.590459
其他,地方永續發展,企業社會責任,山隆,0.590102
其他,地方永續發展,企業社會責任,保戶,0.589163
其他,地方永續發展,企業社會責任,金聯,0.588928
其他,地方永續發展,企業社會責任,捐助,0.588738
其他,地方永續發展,企業社會責任,UNK,0.588377
其他,地方永續發展,企業社會責任,不景氣,0.588318
其他,地方永續發展,企業社會責任,弱勢族群,0.587986
其他,地方永續發展,企業社會責任,頒發,0.587939
其他,地方永續發展,企業社會責任,捐出,0.587045
其他,地方永續發展,企業社會責任,Asset,0.586159
其他,地方永續發展,企業社會責任,經理,0.585695
其他,地方永續發展,企業社會責任,子女,0.585116
其他,地方永續發展,企業社會責任,名列,0.584535
其他,地方永續發展,企業社會責任,精神,0.584316
其他,地方永續發展,企業社會責任,恆昌,0.584232
其他,地方永續發展,企業社會責任,行庫,0.584053
其他,地方永續發展,企業社會責任,蔡明忠,0.583684
其他,地方永續發展,企業社會責任,整體,0.583222
其他,地方永續發展,企業社會責任,安侯,0.582895
其他,地方永續發展,企業社會責任,雙喜臨門,0.58277
其他,地方永續發展,企業社會責任,楷模,0.582613
其他,地方永續發展,企業社會責任,金融服務,0.580796
其他,地方永續發展,企業社會責任,國寶,0.580382
其他,地方永續發展,企業社會責任,散播,0.580287
其他,地方永續發展,企業社會責任,提醒,0.580206
其他,地方永續發展,企業社會責任,保險公司,0.58004
其他,地方永續發展,企業社會責任,創業楷模,0.578878
其他,地方永續發展,企業社會責任,選擇權,0.578762
其他,地方永續發展,企業社會責任,雙冠,0.578703
其他,地方永續發展,企業社會責任,資助,0.578647
其他,地方永續發展,企業社會責任,新壽,0.578589
其他,地方永續發展,企業社會責任,大寶,0.577661
其他,地方永續發展,企業社會責任,撰寫,0.577191
其他,地方永續發展,企業社會責任,編制,0.577082
其他,地方永續發展,企業社會責任,扶輪,0.574291
其他,地方永續發展,企業社會責任,祝福,0.573925
其他,地方永續發展,企業社會責任,The,0.573479
其他,地方永續發展,企業社會責任,繪畫,0.573444
其他,地方永續發展,企業社會責任,門票,0.57274
其他,地方永續發展,企業社會責任,重視,0.572722
其他,地方永續發展,企業社會責任,原則,0.572652
其他,地方永續發展,企業社會責任,建商,0.572458
