Field,Topic,Keyword,Related Word,Weight
社會,多元文化擴散,多元文化,多元文化,1.0
社會,多元文化擴散,多元文化,肯定,0.994962
社會,多元文化擴散,多元文化,母親節,0.993388
社會,多元文化擴散,多元文化,有人,0.993387
社會,多元文化擴散,多元文化,考慮,0.993141
社會,多元文化擴散,多元文化,熱鬧,0.992304
社會,多元文化擴散,多元文化,長榮,0.992121
社會,多元文化擴散,多元文化,目的,0.99208
社會,多元文化擴散,多元文化,合法,0.992048
社會,多元文化擴散,多元文化,陸娘,0.991956
社會,多元文化擴散,多元文化,台東,0.991862
社會,多元文化擴散,多元文化,七月,0.991835
社會,多元文化擴散,多元文化,空間,0.991818
社會,多元文化擴散,多元文化,今起,0.991766
社會,多元文化擴散,多元文化,男子,0.991761
社會,多元文化擴散,多元文化,目標,0.991761
社會,多元文化擴散,多元文化,依親,0.991676
社會,多元文化擴散,多元文化,行程,0.991623
社會,多元文化擴散,多元文化,收押,0.991342
社會,多元文化擴散,多元文化,應召,0.991229
社會,多元文化擴散,多元文化,保留,0.991115
社會,多元文化擴散,多元文化,逾期,0.991103
社會,多元文化擴散,多元文化,代辦,0.991096
社會,多元文化擴散,多元文化,博覽會,0.991023
社會,多元文化擴散,多元文化,上路,0.990098
社會,多元文化擴散,多元文化,每坪,0.98963
社會,多元文化擴散,多元文化,台南,0.989545
社會,多元文化擴散,多元文化,周末,0.989258
社會,多元文化擴散,多元文化,正視,0.989092
社會,多元文化擴散,多元文化,高雄,0.989071
社會,多元文化擴散,多元文化,還是,0.98874
社會,多元文化擴散,多元文化,案例,0.988666
社會,多元文化擴散,多元文化,一把,0.988215
社會,多元文化擴散,多元文化,幽默,0.988079
社會,多元文化擴散,多元文化,大家,0.988071
社會,多元文化擴散,多元文化,揭牌,0.987991
社會,多元文化擴散,多元文化,規畫,0.987927
社會,多元文化擴散,多元文化,家屬,0.987728
社會,多元文化擴散,多元文化,感動,0.987591
社會,多元文化擴散,多元文化,核准,0.987544
社會,多元文化擴散,多元文化,不准,0.987532
社會,多元文化擴散,多元文化,分享,0.987363
社會,多元文化擴散,多元文化,中僑,0.987208
社會,多元文化擴散,多元文化,聚落,0.98703
社會,多元文化擴散,多元文化,財力,0.986858
社會,多元文化擴散,多元文化,遊戲,0.986752
社會,多元文化擴散,多元文化,王金世英,0.98673
社會,多元文化擴散,多元文化,板橋,0.986596
社會,多元文化擴散,新住民,學習,0.971142
社會,多元文化擴散,新住民,家庭,0.965983
社會,多元文化擴散,新住民,中心,0.948514
社會,多元文化擴散,新住民,關懷,0.934331
社會,多元文化擴散,新住民,越南,0.932032
社會,多元文化擴散,新住民,教育,0.923495
社會,多元文化擴散,新住民,聯誼,0.92152
社會,多元文化擴散,新住民,新娘,0.919866
社會,多元文化擴散,新住民,弱勢,0.915274
社會,多元文化擴散,新住民,服務,0.915214
社會,多元文化擴散,新住民,國泰,0.908995
社會,多元文化擴散,新住民,協助,0.908232
社會,多元文化擴散,新住民,嘉年華,0.905236
社會,多元文化擴散,新住民,活動,0.901153
社會,多元文化擴散,新住民,表揚,0.895862
社會,多元文化擴散,新住民,專勤隊,0.88682
社會,多元文化擴散,新住民,收容所,0.883305
社會,多元文化擴散,新住民,越語,0.880987
社會,多元文化擴散,新住民,輔導,0.87909
社會,多元文化擴散,新住民,成長,0.871778
社會,多元文化擴散,新住民,培訓,0.87071
社會,多元文化擴散,新住民,警方,0.867888
