Field,Topic,Keyword,Related Word,Weight
社會,少子化與超高齡化社會,少子化,工作,0.797187
社會,少子化與超高齡化社會,少子化,危機,0.777146
社會,少子化與超高齡化社會,少子化,熱門話題,0.748259
社會,少子化與超高齡化社會,少子化,生育率,0.740897
社會,少子化與超高齡化社會,少子化,外籍,0.739718
社會,少子化與超高齡化社會,少子化,現象,0.738643
社會,少子化與超高齡化社會,少子化,人口老化,0.733086
社會,少子化與超高齡化社會,少子化,報告,0.726427
社會,少子化與超高齡化社會,少子化,開打,0.719876
社會,少子化與超高齡化社會,少子化,勞動力,0.719624
社會,少子化與超高齡化社會,高齡化,現象,0.669006
社會,少子化與超高齡化社會,高齡化,勞動力,0.657727
社會,少子化與超高齡化社會,高齡化,人口老化,0.651711
社會,少子化與超高齡化社會,高齡化,生育率,0.622066
社會,少子化與超高齡化社會,高齡化,外籍,0.616152
社會,少子化與超高齡化社會,高齡化,開打,0.57268
社會,少子化與超高齡化社會,高齡化,危機,0.56319
社會,少子化與超高齡化社會,高齡化,工作,0.559592
社會,少子化與超高齡化社會,高齡化,報告,0.548222
社會,少子化與超高齡化社會,高齡化,熱門話題,0.544311
