Field,Topic,Keyword,Related Word,Weight
社會,少子化與高齡化社會,國民年金,過關,0.865174
社會,少子化與高齡化社會,國民年金,修正,0.850516
社會,少子化與高齡化社會,國民年金,修正案,0.838516
社會,少子化與高齡化社會,國民年金,財源,0.833654
社會,少子化與高齡化社會,國民年金,三讀,0.829932
社會,少子化與高齡化社會,國民年金,研擬,0.823486
社會,少子化與高齡化社會,國民年金,劃法,0.822698
社會,少子化與高齡化社會,國民年金,保險法,0.822207
社會,少子化與高齡化社會,國民年金,本周,0.819203
社會,少子化與高齡化社會,國民年金,能源,0.818567
社會,少子化與高齡化社會,國民年金,政院,0.818196
社會,少子化與高齡化社會,國民年金,稅收,0.814562
社會,少子化與高齡化社會,國民年金,二代,0.81246
社會,少子化與高齡化社會,國民年金,衛生署,0.809156
社會,少子化與高齡化社會,國民年金,衛署,0.803572
社會,少子化與高齡化社會,國民年金,調升,0.797592
社會,少子化與高齡化社會,國民年金,元旦,0.795452
社會,少子化與高齡化社會,國民年金,條例,0.795194
社會,少子化與高齡化社會,國民年金,財部,0.794114
社會,少子化與高齡化社會,國民年金,要求,0.793721
社會,少子化與高齡化社會,國民年金,同意,0.792866
社會,少子化與高齡化社會,國民年金,增億,0.792353
社會,少子化與高齡化社會,國民年金,量表,0.790029
社會,少子化與高齡化社會,國民年金,觀測站,0.787895
社會,少子化與高齡化社會,國民年金,巴氏,0.786667
社會,少子化與高齡化社會,國民年金,繳元,0.784644
社會,少子化與高齡化社會,國民年金,綠營,0.782845
社會,少子化與高齡化社會,國民年金,雇主,0.780421
社會,少子化與高齡化社會,國民年金,監督,0.779958
社會,少子化與高齡化社會,國民年金,萬億,0.775342
社會,少子化與高齡化社會,國民年金,財政部,0.772761
社會,少子化與高齡化社會,國民年金,年底,0.770201
社會,少子化與高齡化社會,國民年金,吳揆,0.764778
社會,少子化與高齡化社會,國民年金,部分,0.763969
社會,少子化與高齡化社會,國民年金,公平,0.761704
社會,少子化與高齡化社會,國民年金,開徵,0.756992
社會,少子化與高齡化社會,國民年金,提案,0.754407
社會,少子化與高齡化社會,國民年金,增稅,0.754033
社會,少子化與高齡化社會,教養問題,UNK,1.0
社會,少子化與高齡化社會,教養問題,選戰,0.83826
社會,少子化與高齡化社會,教養問題,點將,0.820971
社會,少子化與高齡化社會,教養問題,連任,0.817467
社會,少子化與高齡化社會,教養問題,議會,0.814963
社會,少子化與高齡化社會,教養問題,提名,0.81489
社會,少子化與高齡化社會,教養問題,候選人,0.811705
社會,少子化與高齡化社會,教養問題,參選,0.811486
社會,少子化與高齡化社會,教養問題,選區,0.810857
社會,少子化與高齡化社會,教養問題,周報,0.806966
社會,少子化與高齡化社會,教養問題,總統,0.805708
社會,少子化與高齡化社會,教養問題,滿意度,0.800145
社會,少子化與高齡化社會,教養問題,質疑,0.797861
社會,少子化與高齡化社會,教養問題,選情,0.794972
社會,少子化與高齡化社會,教養問題,竹市,0.793093
社會,少子化與高齡化社會,教養問題,台灣館,0.790647
社會,少子化與高齡化社會,教養問題,鄭文燦,0.789852
社會,少子化與高齡化社會,教養問題,憨兒,0.78899
社會,少子化與高齡化社會,教養問題,初選,0.78457
社會,少子化與高齡化社會,教養問題,世博,0.784183
社會,少子化與高齡化社會,教養問題,台塑,0.78385
社會,少子化與高齡化社會,教養問題,大選,0.782696
社會,少子化與高齡化社會,教養問題,出爐,0.777239
社會,少子化與高齡化社會,教養問題,議員,0.776057
社會,少子化與高齡化社會,教養問題,大台,0.775928
社會,少子化與高齡化社會,教養問題,災民,0.775628
