Field,Topic,Keyword,Related Word,Weight
社會,不均等問題,不公平,坦承,0.954196
社會,不均等問題,不公平,駁回,0.953811
社會,不均等問題,不公平,宣示,0.953203
社會,不均等問題,不公平,財金,0.950226
社會,不均等問題,不公平,鎖國,0.949967
社會,不均等問題,不公平,迴避,0.948948
社會,不均等問題,不公平,集體,0.947987
社會,不均等問題,不公平,想想,0.947603
社會,不均等問題,不公平,黑金,0.947562
社會,不均等問題,不公平,符合,0.947351
社會,不均等問題,不公平,軍方,0.947138
社會,不均等問題,不公平,干預,0.946857
社會,不均等問題,不公平,便宜,0.94664
社會,不均等問題,不公平,秘書長,0.946116
社會,不均等問題,不公平,防堵,0.946049
社會,不均等問題,不公平,下台,0.9456
社會,不均等問題,不公平,徵證,0.945201
社會,不均等問題,不公平,民怨,0.944843
社會,不均等問題,不公平,金牌,0.944739
社會,不均等問題,不公平,怎樣,0.943664
社會,不均等問題,不公平,助長,0.943437
社會,不均等問題,不公平,朱立倫,0.943318
社會,不均等問題,不公平,他山之石,0.943206
社會,不均等問題,不公平,反應,0.942978
社會,不均等問題,不公平,陸生,0.942871
社會,不均等問題,不公平,引爆,0.942772
社會,不均等問題,不公平,配套,0.942346
社會,不均等問題,不公平,理由,0.942316
社會,不均等問題,不公平,保證金,0.941927
社會,不均等問題,不公平,有人,0.940776
社會,不均等問題,不公平,考績,0.940322
社會,不均等問題,不公平,居住,0.940048
社會,不均等問題,不公平,何志欽,0.93951
社會,不均等問題,不公平,六成,0.939297
社會,不均等問題,不公平,引發,0.939065
社會,不均等問題,不公平,縱容,0.938556
社會,不均等問題,不公平,眼睛,0.937958
社會,不均等問題,不公平,奇蹟,0.937928
社會,不均等問題,不公平,反制,0.937924
社會,不均等問題,不公平,債務,0.937804
社會,不均等問題,不公平,令人,0.937245
社會,不均等問題,不公平,因為,0.936867
社會,不均等問題,不公平,一種,0.936659
社會,不均等問題,不公平,蔣經國,0.936567
社會,不均等問題,不公平,投休,0.935902
社會,不均等問題,不公平,鄉下,0.935719
社會,不均等問題,不公平,不應,0.935572
社會,不均等問題,不公平,正名,0.935403
社會,不均等問題,不公平,鴻海,0.935365
社會,不均等問題,不公平,監理,0.935332
社會,不均等問題,不公平,真正,0.9351
社會,不均等問題,不公平,警惕,0.935031
社會,不均等問題,不公平,執政,0.935027
社會,不均等問題,不公平,體制,0.934916
社會,不均等問題,不公平,張忠謀,0.934809
社會,不均等問題,不公平,傾向,0.934502
社會,不均等問題,不公平,泰國,0.934358
社會,不均等問題,不公平,釋出,0.934299
社會,不均等問題,不公平,光靠,0.934101
社會,不均等問題,不公平,大軍,0.934059
社會,不均等問題,不公平,圖利,0.934055
社會,不均等問題,不公平,何以,0.933795
社會,不均等問題,不公平,李述,0.933786
社會,不均等問題,不公平,程序,0.93377
社會,不均等問題,不公平,授權,0.933616
社會,不均等問題,不公平,當局,0.933607
社會,不均等問題,不公平,懲罰,0.933432
社會,不均等問題,不公平,關切,0.933015
社會,不均等問題,不均,不均,1.0
社會,不均等問題,不均,惡化,0.940937
社會,不均等問題,不均,解決,0.93594
社會,不均等問題,不均,陳沖,0.933995
社會,不均等問題,不均,租稅,0.924948
社會,不均等問題,不均,老子,0.919513
社會,不均等問題,不均,收入,0.916585
社會,不均等問題,不均,新聞分析,0.915969
社會,不均等問題,不均,課稅,0.911929
社會,不均等問題,不均,財政部,0.908827
社會,不均等問題,不均,無為,0.908048
社會,不均等問題,不均,適當,0.907842
社會,不均等問題,不均,非僅,0.90577
社會,不均等問題,不均,貧富,0.900552
社會,不均等問題,不均,貧窮,0.898087
社會,不均等問題,不均,分配,0.888225
社會,不均等問題,不均,最低,0.88786
社會,不均等問題,不均,享受,0.883547
社會,不均等問題,不均,去年,0.880625
社會,不均等問題,不均,每戶,0.878926
社會,不均等問題,不均,帶來,0.877157
社會,不均等問題,不均,主計處,0.870948
社會,不均等問題,不均,下滑,0.869187
社會,不均等問題,不均,申報,0.869002
社會,不均等問題,不均,完全,0.868037
社會,不均等問題,不均,一章,0.867525
社會,不均等問題,不均,嚴重,0.867285
社會,不均等問題,不均,經濟學,0.865699
社會,不均等問題,不均,正義,0.865633
社會,不均等問題,不均,中產階級,0.86535
社會,不均等問題,不均,稅後,0.861529
社會,不均等問題,不均,加劇,0.860942
社會,不均等問題,不均,現象,0.860349
社會,不均等問題,不均,海外,0.858792
社會,不均等問題,不均,拉大,0.85874
社會,不均等問題,不均,明顯,0.857241
社會,不均等問題,不均,薪資,0.856824
社會,不均等問題,不均,協議,0.852366
社會,不均等問題,不均,利益,0.851176
社會,不均等問題,不均,增長,0.850481
社會,不均等問題,不均,免稅,0.845631
社會,不均等問題,不均,直接稅,0.845202
社會,不均等問題,不均,低估,0.845192
社會,不均等問題,不均,資本,0.843218
社會,不均等問題,不均,差距,0.842684
社會,不均等問題,不均,整體,0.84139
社會,不均等問題,不均,趨緩,0.840588
社會,不均等問題,不均,遺產稅,0.839799
社會,不均等問題,不均,認為,0.838704
社會,不均等問題,不均,余範英,0.835327
社會,不均等問題,不均,交易所,0.834917
社會,不均等問題,不均,利得,0.833921
社會,不均等問題,不均,失衡,0.833421
社會,不均等問題,不均,今天,0.831278
社會,不均等問題,不均,不是,0.83103
社會,不均等問題,不均,患寡,0.8305
社會,不均等問題,不均,南北,0.829581
社會,不均等問題,不均,改革,0.829361
社會,不均等問題,不均,貧富懸殊,0.828771
社會,不均等問題,不均,才能,0.828564
社會,不均等問題,不均,問題,0.827759
社會,不均等問題,不均,加速,0.825214
社會,不均等問題,不均,遺產,0.824726
社會,不均等問題,不均,現行,0.82299
社會,不均等問題,不均,寡而患,0.821267
社會,不均等問題,不均,施政,0.82089
社會,不均等問題,不均,縮小,0.820464
社會,不均等問題,不均,導致,0.819542
社會,不均等問題,不均,稅負,0.819131
社會,不均等問題,不均,公平,0.816562
社會,不均等問題,不均,缺席,0.816386
社會,不均等問題,不均,真是,0.816091
社會,不均等問題,不均,統籌,0.816028
社會,不均等問題,不均,史上,0.81601
社會,不均等問題,不均,飆至,0.815458
社會,不均等問題,不均,終結,0.815317
社會,不均等問題,不均,新低,0.815016
