Field,Topic,Keyword,Related Word,Weight
社會,不均等問題,不公平,投訴,0.745768
社會,不均等問題,不公平,席次,0.72376
社會,不均等問題,不公平,淹水,0.709921
社會,不均等問題,不公平,擔心,0.707697
社會,不均等問題,不公平,證明,0.704753
社會,不均等問題,不公平,變相漲價,0.704682
社會,不均等問題,不公平,否則,0.70345
社會,不均等問題,不公平,黑箱,0.703261
社會,不均等問題,不公平,題目,0.700995
社會,不均等問題,不公平,擬採,0.698038
社會,不均等問題,不公平,炮轟,0.69724
社會,不均等問題,不公平,受損,0.695068
社會,不均等問題,不公平,縣市長,0.691393
社會,不均等問題,不公平,調降,0.691313
社會,不均等問題,不公平,拆屋,0.690208
社會,不均等問題,不公平,施工,0.690012
社會,不均等問題,不公平,二次,0.687504
社會,不均等問題,不公平,議長,0.687025
社會,不均等問題,不公平,縣議員,0.686118
社會,不均等問題,不均,不均,1.0
社會,不均等問題,不均,南北,0.797627
社會,不均等問題,不均,惡化,0.786287
社會,不均等問題,不均,不患,0.762842
社會,不均等問題,不均,亟待,0.755154
社會,不均等問題,不均,均衡,0.74001
社會,不均等問題,不均,寡而患,0.729069
社會,不均等問題,不均,患寡,0.727578
社會,不均等問題,不均,財產,0.726702
社會,不均等問題,不均,差倍,0.721666
社會,不均等問題,不均,有效,0.719216
社會,不均等問題,不均,失衡,0.718671
社會,不均等問題,不均,資源分配,0.715037
社會,不均等問題,不均,分配不公,0.709897
社會,不均等問題,不均,老子,0.706319
社會,不均等問題,不均,真是,0.703843
社會,不均等問題,不均,分位,0.702434
社會,不均等問題,不均,比率,0.700782
社會,不均等問題,不均,寡患,0.700477
社會,不均等問題,不均,面積,0.699529
社會,不均等問題,不均,中等,0.692792
社會,不均等問題,不均,嚴重,0.688908
社會,不均等問題,不均,收入,0.684321
社會,不均等問題,不均,人口,0.683956
社會,不均等問題,不均,差距,0.683262
社會,不均等問題,不均,除了,0.68249
社會,不均等問題,不均,一套,0.680729
社會,不均等問題,不均,六年,0.680695
社會,不均等問題,不均,可支配,0.677643
社會,不均等問題,不均,貧富懸殊,0.677553
社會,不均等問題,不均,流動性,0.677424
社會,不均等問題,不均,警告,0.676552
社會,不均等問題,不均,降至,0.676372
