Field,Topic,Keyword,Related Word,Weight
政治,中國大陸與國安.統一問題,一個中國,一個中國,1.0
政治,中國大陸與國安.統一問題,一個中國,底線,0.988948
政治,中國大陸與國安.統一問題,一個中國,WHA,0.986756
政治,中國大陸與國安.統一問題,一個中國,事實,0.985102
政治,中國大陸與國安.統一問題,一個中國,回應,0.983717
政治,中國大陸與國安.統一問題,一個中國,承認,0.983337
政治,中國大陸與國安.統一問題,一個中國,互不,0.982688
政治,中國大陸與國安.統一問題,一個中國,李登輝,0.982112
政治,中國大陸與國安.統一問題,一個中國,一國,0.982025
政治,中國大陸與國安.統一問題,一個中國,維持現狀,0.981111
政治,中國大陸與國安.統一問題,一個中國,結果,0.980445
政治,中國大陸與國安.統一問題,一個中國,否認,0.98031
政治,中國大陸與國安.統一問題,一個中國,不得,0.980162
政治,中國大陸與國安.統一問題,一個中國,絕不,0.979326
政治,中國大陸與國安.統一問題,一個中國,改變,0.977477
政治,中國大陸與國安.統一問題,一個中國,軍售,0.977468
政治,中國大陸與國安.統一問題,一個中國,同屬,0.977281
政治,中國大陸與國安.統一問題,一個中國,海基會,0.977086
政治,中國大陸與國安.統一問題,一個中國,小英,0.976723
政治,中國大陸與國安.統一問題,一個中國,放棄,0.976448
政治,中國大陸與國安.統一問題,一個中國,表述,0.976423
政治,中國大陸與國安.統一問題,一個中國,立場,0.976132
政治,中國大陸與國安.統一問題,一個中國,張顯耀,0.975809
政治,中國大陸與國安.統一問題,一個中國,台獨,0.975732
政治,中國大陸與國安.統一問題,一個中國,兩區,0.975513
政治,中國大陸與國安.統一問題,一個中國,交鋒,0.975203
政治,中國大陸與國安.統一問題,一個中國,分裂,0.974901
政治,中國大陸與國安.統一問題,一個中國,當選,0.973918
政治,中國大陸與國安.統一問題,一個中國,歐習,0.973763
政治,中國大陸與國安.統一問題,一個中國,解讀,0.972758
政治,中國大陸與國安.統一問題,一個中國,任內,0.972684
政治,中國大陸與國安.統一問題,一個中國,反台,0.972609
政治,中國大陸與國安.統一問題,一個中國,統獨,0.972516
政治,中國大陸與國安.統一問題,一個中國,獨派,0.972134
政治,中國大陸與國安.統一問題,一個中國,批馬,0.971834
政治,中國大陸與國安.統一問題,一個中國,演說,0.971455
政治,中國大陸與國安.統一問題,一個中國,難以,0.970573
政治,中國大陸與國安.統一問題,一個中國,沒有,0.970431
政治,中國大陸與國安.統一問題,一個中國,憲法,0.970105
政治,中國大陸與國安.統一問題,一個中國,楊毅,0.968968
政治,中國大陸與國安.統一問題,一個中國,民調,0.968517
政治,中國大陸與國安.統一問題,一個中國,否定,0.968017
政治,中國大陸與國安.統一問題,一個中國,黨綱,0.967765
政治,中國大陸與國安.統一問題,一個中國,海基,0.967705
政治,中國大陸與國安.統一問題,一個中國,入聯,0.967273
政治,中國大陸與國安.統一問題,一個中國,平等,0.967003
政治,中國大陸與國安.統一問題,一個中國,中華民國,0.966954
政治,中國大陸與國安.統一問題,一個中國,改變現狀,0.966897
政治,中國大陸與國安.統一問題,一個中國,回到,0.966843
政治,中國大陸與國安.統一問題,一個中國,立言,0.966743
政治,中國大陸與國安.統一問題,一個中國,反對,0.966634
政治,中國大陸與國安.統一問題,一個中國,抗議,0.966258
政治,中國大陸與國安.統一問題,一個中國,論述,0.966221
政治,中國大陸與國安.統一問題,一個中國,撤彈,0.966104
政治,中國大陸與國安.統一問題,一個中國,清楚,0.965671
政治,中國大陸與國安.統一問題,一個中國,孫亞夫,0.965557
政治,中國大陸與國安.統一問題,一個中國,一國兩制,0.965301
政治,中國大陸與國安.統一問題,一個中國,堅決,0.965181
政治,中國大陸與國安.統一問題,一個中國,蘇起,0.964974
政治,中國大陸與國安.統一問題,一個中國,符合,0.964421
政治,中國大陸與國安.統一問題,一個中國,專訪,0.964394
政治,中國大陸與國安.統一問題,一個中國,各自,0.964324
政治,中國大陸與國安.統一問題,一個中國,藍綠,0.963974
政治,中國大陸與國安.統一問題,一個中國,存在,0.963829
政治,中國大陸與國安.統一問題,一個中國,決定,0.963076
政治,中國大陸與國安.統一問題,一個中國,危險,0.96306
政治,中國大陸與國安.統一問題,一個中國,海協會,0.963005
政治,中國大陸與國安.統一問題,一個中國,表態,0.962946
政治,中國大陸與國安.統一問題,一個中國,中共,0.962778
政治,中國大陸與國安.統一問題,一個中國,破壞,0.962691
政治,中國大陸與國安.統一問題,一個中國,中斷,0.962272
政治,中國大陸與國安.統一問題,一個中國,抹黑,0.961844
政治,中國大陸與國安.統一問題,一個中國,萊斯,0.961631
政治,中國大陸與國安.統一問題,一個中國,求同,0.961405
政治,中國大陸與國安.統一問題,一個中國,無法,0.961279
