Field,Topic,Keyword,Related Word,Weight
社會,傳統家族概念的轉變,婚姻觀,婚姻觀,1.0
社會,傳統家族概念的轉變,婚姻觀,離婚率,0.995839
社會,傳統家族概念的轉變,婚姻觀,生子,0.992492
社會,傳統家族概念的轉變,婚姻觀,結婚,0.991857
社會,傳統家族概念的轉變,婚姻觀,兩岸,0.991108
社會,傳統家族概念的轉變,婚姻觀,女性,0.989849
社會,傳統家族概念的轉變,婚姻觀,台灣,0.985463
社會,傳統家族概念的轉變,婚姻觀,設計,0.985326
社會,傳統家族概念的轉變,婚姻觀,單身,0.983266
社會,傳統家族概念的轉變,婚姻觀,半導體,0.982169
社會,傳統家族概念的轉變,婚姻觀,智慧家庭,0.980141
社會,傳統家族概念的轉變,婚姻觀,時代,0.979571
社會,傳統家族概念的轉變,婚姻觀,智慧,0.97933
社會,傳統家族概念的轉變,婚姻觀,行動,0.978078
社會,傳統家族概念的轉變,婚姻觀,台北,0.977007
社會,傳統家族概念的轉變,婚姻觀,第一,0.9767
社會,傳統家族概念的轉變,婚姻觀,女友,0.976291
社會,傳統家族概念的轉變,婚姻觀,物聯網,0.975936
社會,傳統家族概念的轉變,婚姻觀,友訊,0.975125
社會,傳統家族概念的轉變,婚姻觀,產業,0.975064
社會,傳統家族概念的轉變,婚姻觀,電視,0.974329
社會,傳統家族概念的轉變,婚姻觀,趨勢,0.974025
社會,傳統家族概念的轉變,婚姻觀,通信網,0.973316
社會,傳統家族概念的轉變,婚姻觀,商機,0.971821
社會,傳統家族概念的轉變,婚姻觀,網路,0.971027
社會,傳統家族概念的轉變,婚姻觀,家庭,0.971019
社會,傳統家族概念的轉變,婚姻觀,離婚,0.970929
社會,傳統家族概念的轉變,婚姻觀,創意,0.970909
社會,傳統家族概念的轉變,婚姻觀,科技,0.970414
社會,傳統家族概念的轉變,婚姻觀,機器人,0.969557
社會,傳統家族概念的轉變,婚姻觀,市場,0.968761
社會,傳統家族概念的轉變,婚姻觀,熱門,0.96646
社會,傳統家族概念的轉變,婚姻觀,專欄,0.965768
社會,傳統家族概念的轉變,婚姻觀,希望,0.965208
社會,傳統家族概念的轉變,婚姻觀,布局,0.964067
社會,傳統家族概念的轉變,婚姻觀,夫妻,0.963742
社會,傳統家族概念的轉變,婚姻觀,世界,0.96247
社會,傳統家族概念的轉變,婚姻觀,城市,0.961755
社會,傳統家族概念的轉變,婚姻觀,終身,0.961396
社會,傳統家族概念的轉變,婚姻觀,機會,0.960695
社會,傳統家族概念的轉變,婚姻觀,工作,0.959659
社會,傳統家族概念的轉變,婚姻觀,推出,0.959442
社會,傳統家族概念的轉變,婚姻觀,環保,0.958708
社會,傳統家族概念的轉變,婚姻觀,青年,0.958108
社會,傳統家族概念的轉變,婚姻觀,掌握,0.956821
社會,傳統家族概念的轉變,婚姻觀,婚禮,0.955132
社會,傳統家族概念的轉變,婚姻觀,競賽,0.954637
社會,傳統家族概念的轉變,婚姻觀,持續,0.954558
社會,傳統家族概念的轉變,婚姻觀,教育,0.954416
社會,傳統家族概念的轉變,婚姻觀,保險,0.954178
社會,傳統家族概念的轉變,婚姻觀,老翁,0.953629
