Field,Topic,Keyword,Related Word,Weight
政治,全球治理,TPP,TPP,1.0
政治,全球治理,TPP,台星,0.998331
政治,全球治理,TPP,經合,0.998228
政治,全球治理,TPP,洽簽,0.998175
政治,全球治理,TPP,簽訂,0.998074
政治,全球治理,TPP,強調,0.998036
政治,全球治理,TPP,最快,0.997929
政治,全球治理,TPP,美牛,0.997866
政治,全球治理,TPP,區域,0.997851
政治,全球治理,TPP,觀念,0.997801
政治,全球治理,TPP,社評,0.997777
政治,全球治理,TPP,規則,0.997768
政治,全球治理,TPP,架構,0.997752
政治,全球治理,TPP,總統,0.997731
政治,全球治理,TPP,有助,0.997696
政治,全球治理,TPP,胡錦濤,0.997677
政治,全球治理,TPP,議題,0.997676
政治,全球治理,TPP,正式,0.997669
政治,全球治理,TPP,違反,0.997665
政治,全球治理,TPP,生效,0.997653
政治,全球治理,TPP,承諾,0.9976
政治,全球治理,TPP,二次,0.997597
政治,全球治理,TPP,展開,0.99759
政治,全球治理,TPP,邊緣化,0.997581
政治,全球治理,TPP,時代,0.997568
政治,全球治理,TPP,早期,0.997559
政治,全球治理,TPP,戰略,0.997549
政治,全球治理,TPP,政院,0.997549
政治,全球治理,TPP,摩擦,0.997549
政治,全球治理,TPP,經貿,0.997544
政治,全球治理,TPP,目前,0.997511
政治,全球治理,TPP,讓利,0.997511
政治,全球治理,TPP,連結,0.997465
政治,全球治理,TPP,月底,0.997445
政治,全球治理,TPP,自由化,0.997439
政治,全球治理,TPP,峰會,0.99742
政治,全球治理,TPP,因應,0.997416
政治,全球治理,TPP,區域經濟,0.997406
政治,全球治理,TPP,高層,0.997395
政治,全球治理,TPP,會議,0.997389
政治,全球治理,TPP,攜手,0.997386
政治,全球治理,TPP,雙方,0.99735
政治,全球治理,TPP,GPA,0.997339
政治,全球治理,TPP,收穫,0.997335
政治,全球治理,TPP,對話,0.997333
政治,全球治理,TPP,半年,0.997322
政治,全球治理,TPP,協定,0.99732
政治,全球治理,TPP,希望,0.997304
政治,全球治理,TPP,MOU,0.997281
政治,全球治理,TPP,立院,0.997278
政治,全球治理,TPP,英文,0.997262
政治,全球治理,TPP,自貿,0.997254
政治,全球治理,TPP,宣布,0.997252
政治,全球治理,TPP,取得,0.997246
政治,全球治理,TPP,不會,0.997226
政治,全球治理,TPP,大戰,0.997222
政治,全球治理,TPP,補貼,0.997215
政治,全球治理,TPP,平台,0.997209
政治,全球治理,TPP,馬英九,0.997208
政治,全球治理,TPP,千億,0.997206
政治,全球治理,TPP,不可,0.997203
政治,全球治理,TPP,利益,0.99719
政治,全球治理,TPP,呼籲,0.997186
政治,全球治理,TPP,貿易戰,0.997154
政治,全球治理,TPP,簽署,0.997126
政治,全球治理,TPP,尊重,0.997117
政治,全球治理,TPP,財經,0.997106
政治,全球治理,TPP,鋼鐵,0.997106
政治,全球治理,TPP,兩岸關係,0.997079
政治,全球治理,TPP,高手,0.997075
政治,全球治理,TPP,財權,0.997049
政治,全球治理,TPP,不要,0.997046
政治,全球治理,TPP,歷史,0.997046
政治,全球治理,TPP,如何,0.99701
政治,全球治理,TPP,行動,0.997009
政治,全球治理,TPP,採購,0.997005
政治,全球治理,TPP,名單,0.997001
政治,全球治理,TPP,江陳會,0.996996
政治,全球治理,TPP,主權,0.996975
政治,全球治理,TPP,反傾銷稅,0.996972
政治,全球治理,TPP,安全,0.996951
政治,全球治理,TPP,貿易協定,0.996931
政治,全球治理,TPP,大會,0.996918
政治,全球治理,TPP,模式,0.996908
政治,全球治理,TPP,陸以,0.996906
政治,全球治理,TPP,北京,0.996905
政治,全球治理,TPP,機制,0.9969
政治,全球治理,TPP,障礙,0.996897
政治,全球治理,TPP,外貿,0.99688
政治,全球治理,TPP,支持,0.996856
政治,全球治理,TPP,不能,0.996833
政治,全球治理,TPP,首次,0.996829
政治,全球治理,TPP,進行,0.996824
政治,全球治理,TPP,排名,0.996819
政治,全球治理,TPP,關切,0.996814
政治,全球治理,TPP,商務部,0.996808
政治,全球治理,TPP,東協,0.996802
政治,全球治理,TPP,標準,0.996783
