Field,Topic,Keyword,Related Word,Weight
其他,共享經濟,Airbnb,Airbnb,1.0
其他,共享經濟,Airbnb,市值,0.975801
其他,共享經濟,Airbnb,滴滴,0.971299
其他,共享經濟,Airbnb,投資,0.970598
其他,共享經濟,Airbnb,融資,0.970482
其他,共享經濟,Airbnb,優步,0.970478
其他,共享經濟,Airbnb,估值,0.961403
其他,共享經濟,Airbnb,Uber,0.961212
其他,共享經濟,Airbnb,中國,0.961123
其他,共享經濟,Airbnb,金服,0.95571
其他,共享經濟,Airbnb,億美元,0.954391
其他,共享經濟,Airbnb,叫車,0.953105
其他,共享經濟,Airbnb,螞蟻,0.95177
其他,共享經濟,Airbnb,駕駛,0.950727
其他,共享經濟,Airbnb,公司,0.950121
其他,共享經濟,Airbnb,今年,0.948254
其他,共享經濟,Airbnb,去年,0.947215
其他,共享經濟,Airbnb,交部,0.945046
其他,共享經濟,Airbnb,專車,0.943083
其他,共享經濟,Airbnb,基金,0.942576
其他,共享經濟,Airbnb,市場,0.942194
其他,共享經濟,Airbnb,計程車,0.941781
其他,共享經濟,Airbnb,超越,0.941116
其他,共享經濟,Airbnb,進軍,0.939939
其他,共享經濟,Airbnb,勒令,0.939387
其他,共享經濟,Airbnb,百度,0.938817
其他,共享經濟,Airbnb,名家,0.938658
其他,共享經濟,Airbnb,載客,0.938193
其他,共享經濟,Airbnb,募資,0.938122
其他,共享經濟,Airbnb,合法,0.938068
其他,共享經濟,Airbnb,汽車,0.934358
其他,共享經濟,Airbnb,小米,0.933099
其他,共享經濟,Airbnb,IPO,0.93172
其他,共享經濟,Airbnb,谷歌,0.931607
其他,共享經濟,Airbnb,完成,0.931135
其他,共享經濟,Airbnb,停業,0.931135
其他,共享經濟,Airbnb,媒體,0.929821
其他,共享經濟,Airbnb,重罰,0.929259
其他,共享經濟,Airbnb,觀點,0.92825
其他,共享經濟,Airbnb,租屋,0.928052
其他,共享經濟,Airbnb,籌資,0.926771
其他,共享經濟,Airbnb,小黃,0.925203
其他,共享經濟,Airbnb,規模,0.924989
其他,共享經濟,Airbnb,營業,0.924946
其他,共享經濟,Airbnb,全球,0.924711
其他,共享經濟,Airbnb,違法,0.924345
其他,共享經濟,Airbnb,印度,0.924218
其他,共享經濟,Airbnb,爭議,0.923889
其他,共享經濟,Airbnb,蘋果,0.923459
其他,共享經濟,Airbnb,分享經濟,0.922159
其他,共享經濟,Airbnb,司機,0.921779
其他,共享經濟,Airbnb,檢舉,0.92115
其他,共享經濟,Airbnb,超過,0.92084
其他,共享經濟,Airbnb,運將,0.920303
其他,共享經濟,Airbnb,共享,0.919689
其他,共享經濟,Airbnb,挨罰,0.919661
其他,共享經濟,Airbnb,持續,0.918908
其他,共享經濟,Airbnb,搶客,0.91745
其他,共享經濟,Airbnb,身價,0.915364
其他,共享經濟,Airbnb,歐洲,0.914902
其他,共享經濟,Airbnb,崛起,0.914796
其他,共享經濟,Airbnb,Snapchat,0.914472
其他,共享經濟,Airbnb,搶市,0.914144
其他,共享經濟,Airbnb,攀升,0.913942
其他,共享經濟,Airbnb,手機,0.912586
其他,共享經濟,Airbnb,百萬,0.912203
其他,共享經濟,Airbnb,注資,0.910891
其他,共享經濟,Airbnb,新興,0.910569
其他,共享經濟,Airbnb,撤資,0.910536
其他,共享經濟,Airbnb,法規,0.9101
其他,共享經濟,Airbnb,執行長,0.909636
其他,共享經濟,Airbnb,獨角獸,0.909166
其他,共享經濟,Airbnb,員工,0.908929
其他,共享經濟,Airbnb,創投,0.908628
其他,共享經濟,Airbnb,吸引,0.908352
其他,共享經濟,Airbnb,競爭,0.908337
其他,共享經濟,Airbnb,功能,0.908336
其他,共享經濟,Airbnb,快遞,0.907958
其他,共享經濟,Airbnb,Lyft,0.907435
其他,共享經濟,Airbnb,資金,0.907322
其他,共享經濟,Airbnb,東南亞,0.907321
其他,共享經濟,Airbnb,新創,0.907294
其他,共享經濟,Airbnb,不是,0.907182
其他,共享經濟,Airbnb,商業,0.907118
其他,共享經濟,Airbnb,什麼,0.906792
其他,共享經濟,Airbnb,小時,0.906272
其他,共享經濟,Airbnb,調查,0.906026
其他,共享經濟,Airbnb,社論,0.905569
其他,共享經濟,Airbnb,集團,0.905395
其他,共享經濟,Airbnb,共乘,0.905188
其他,共享經濟,Airbnb,強化,0.905034
其他,共享經濟,Airbnb,評論,0.904388
其他,共享經濟,Airbnb,通用,0.904241
其他,共享經濟,Airbnb,App,0.903898
其他,共享經濟,Airbnb,加碼,0.9037
其他,共享經濟,Airbnb,合法化,0.903372
其他,共享經濟,Airbnb,我見,0.902797
其他,共享經濟,Airbnb,特斯拉,0.902085
其他,共享經濟,Airbnb,共享經濟,0.901915
其他,共享經濟,Airbnb,自動,0.90158
其他,共享經濟,Airbnb,人民幣,0.901006
其他,共享經濟,Airbnb,私家車,0.900794
其他,共享經濟,Airbnb,發燒,0.900491
其他,共享經濟,Airbnb,擴張,0.900299
其他,共享經濟,Airbnb,Apple,0.900251
其他,共享經濟,Airbnb,阿里,0.899931
其他,共享經濟,Airbnb,app,0.899663
其他,共享經濟,Airbnb,經營,0.899593
其他,共享經濟,Airbnb,電子商務,0.898844
其他,共享經濟,Airbnb,內需,0.898256
其他,共享經濟,Airbnb,我思,0.897863
其他,共享經濟,Airbnb,要求,0.897628
