Field,Topic,Keyword,Related Word,Weight
社會,嚴重社會動盪,社會,社會,1.0
社會,嚴重社會動盪,社會,成長,0.99716
社會,嚴重社會動盪,社會,威脅,0.997089
社會,嚴重社會動盪,社會,影響,0.997073
社會,嚴重社會動盪,社會,衝擊,0.997003
社會,嚴重社會動盪,社會,造成,0.996996
社會,嚴重社會動盪,社會,恐怖,0.996856
社會,嚴重社會動盪,社會,矛盾,0.996848
社會,嚴重社會動盪,社會,趨勢,0.99677
社會,嚴重社會動盪,社會,攻擊,0.996726
社會,嚴重社會動盪,社會,瞭望,0.996724
社會,嚴重社會動盪,社會,正視,0.996682
社會,嚴重社會動盪,社會,和平,0.996668
社會,嚴重社會動盪,社會,再起,0.996667
社會,嚴重社會動盪,社會,台灣,0.996647
社會,嚴重社會動盪,社會,糧食,0.996638
社會,嚴重社會動盪,社會,轉型,0.996633
社會,嚴重社會動盪,社會,增長,0.996613
社會,嚴重社會動盪,社會,媒體,0.996565
社會,嚴重社會動盪,社會,企業,0.996554
社會,嚴重社會動盪,社會,政局,0.996489
社會,嚴重社會動盪,社會,安全,0.99647
社會,嚴重社會動盪,社會,崛起,0.996447
社會,嚴重社會動盪,社會,農民,0.996443
社會,嚴重社會動盪,社會,重要,0.996437
社會,嚴重社會動盪,社會,共同,0.996411
社會,嚴重社會動盪,社會,貧富差距,0.996376
社會,嚴重社會動盪,社會,問題,0.996354
社會,嚴重社會動盪,社會,學者,0.996326
社會,嚴重社會動盪,社會,民主,0.996325
社會,嚴重社會動盪,社會,死刑,0.996315
社會,嚴重社會動盪,社會,發展,0.996315
社會,嚴重社會動盪,社會,金融,0.996297
社會,嚴重社會動盪,社會,價值,0.996254
社會,嚴重社會動盪,社會,銀行,0.996236
社會,嚴重社會動盪,社會,地方,0.996211
社會,嚴重社會動盪,社會,遊行,0.996192
社會,嚴重社會動盪,社會,不是,0.996187
社會,嚴重社會動盪,社會,政策,0.996187
社會,嚴重社會動盪,社會,社評,0.996185
社會,嚴重社會動盪,社會,調查,0.996171
社會,嚴重社會動盪,社會,提供,0.99614
社會,嚴重社會動盪,社會,英文,0.996138
社會,嚴重社會動盪,社會,未來,0.996129
社會,嚴重社會動盪,社會,北京,0.996108
社會,嚴重社會動盪,社會,歐債,0.996104
社會,嚴重社會動盪,社會,公民,0.996087
社會,嚴重社會動盪,社會,經驗,0.996075
社會,嚴重社會動盪,社會,歐盟,0.996074
社會,嚴重社會動盪,社會,成為,0.996073
社會,嚴重社會動盪,社會,真相,0.996024
社會,嚴重社會動盪,社會,衰退,0.996012
社會,嚴重社會動盪,社會,人民幣,0.996004
社會,嚴重社會動盪,社會,工作,0.995988
社會,嚴重社會動盪,社會,油價,0.995948
社會,嚴重社會動盪,社會,希望,0.995944
社會,嚴重社會動盪,社會,指數,0.995942
社會,嚴重社會動盪,社會,產業,0.995935
社會,嚴重社會動盪,社會,論壇,0.995921
社會,嚴重社會動盪,社會,公司,0.995921
社會,嚴重社會動盪,社會,風險,0.995919
社會,嚴重社會動盪,社會,外資,0.995912
社會,嚴重社會動盪,社會,挑戰,0.995895
社會,嚴重社會動盪,社會,商機,0.995869
社會,嚴重社會動盪,社會,國家,0.995855
社會,嚴重社會動盪,社會,加劇,0.995849
社會,嚴重社會動盪,社會,文化,0.995841
社會,嚴重社會動盪,社會,新聞,0.99584
社會,嚴重社會動盪,社會,美國,0.995817
社會,嚴重社會動盪,社會,國企,0.995814
社會,嚴重社會動盪,社會,面對,0.995758
社會,嚴重社會動盪,社會,最大,0.995743
社會,嚴重社會動盪,社會,收入,0.995727
社會,嚴重社會動盪,社會,香港,0.995725
社會,嚴重社會動盪,社會,馬英九,0.995716
社會,嚴重社會動盪,社會,擴大,0.995711
社會,嚴重社會動盪,社會,財政,0.995703
社會,嚴重社會動盪,社會,司法,0.9957
社會,嚴重社會動盪,社會,對策,0.99564
社會,嚴重社會動盪,社會,關鍵,0.995632
社會,嚴重社會動盪,社會,短評,0.995608
社會,嚴重社會動盪,社會,緊縮,0.995596
社會,嚴重社會動盪,社會,台北,0.995588
社會,嚴重社會動盪,社會,避免,0.995586
社會,嚴重社會動盪,社會,關注,0.995586
社會,嚴重社會動盪,社會,歐元區,0.995581
社會,嚴重社會動盪,社會,中國,0.99558
社會,嚴重社會動盪,社會,創造,0.995565
社會,嚴重社會動盪,社會,注意,0.995563
社會,嚴重社會動盪,社會,運動,0.995563
社會,嚴重社會動盪,社會,專論,0.995553
社會,嚴重社會動盪,社會,科技,0.995551
社會,嚴重社會動盪,社會,制度,0.99555
社會,嚴重社會動盪,社會,資產,0.995535
社會,嚴重社會動盪,社會,歷史,0.995535
社會,嚴重社會動盪,社會,債務,0.995519
社會,嚴重社會動盪,社會,大選,0.995502
社會,嚴重社會動盪,社會,擺脫,0.995492
社會,嚴重社會動盪,社會,失業,0.995475
社會,嚴重社會動盪,社會,引發,0.995467
社會,嚴重社會動盪,社會,時代,0.995459
社會,嚴重社會動盪,社會,泰國,0.995457
社會,嚴重社會動盪,社會,不均,0.995456
社會,嚴重社會動盪,社會,我思,0.995435
社會,嚴重社會動盪,社會,物價,0.995429
社會,嚴重社會動盪,社會,城鎮化,0.995424
社會,嚴重社會動盪,社會,機會,0.995419
社會,嚴重社會動盪,社會,觀點,0.995404
社會,嚴重社會動盪,社會,角色,0.995378
社會,嚴重社會動盪,社會,美元,0.99537
社會,嚴重社會動盪,社會,考驗,0.995364
社會,嚴重社會動盪,社會,策略,0.99536
社會,嚴重社會動盪,社會,景氣,0.995357
社會,嚴重社會動盪,社會,上海,0.995352
社會,嚴重社會動盪,社會,焦慮,0.995338
社會,嚴重社會動盪,社會,學習,0.995315
社會,嚴重社會動盪,社會,投資人,0.9953
社會,嚴重社會動盪,社會,重建,0.995298
社會,嚴重社會動盪,社會,國會,0.995278
社會,嚴重社會動盪,社會,系列,0.99527
社會,嚴重社會動盪,社會,解決,0.995269
社會,嚴重社會動盪,社會,投資,0.995247
社會,嚴重社會動盪,社會,我們,0.995244
社會,嚴重社會動盪,社會,對立,0.995242
社會,嚴重社會動盪,社會,不安,0.995216
社會,嚴重社會動盪,社會,改革,0.995211
社會,嚴重社會動盪,社會,不會,0.995204
社會,嚴重社會動盪,社會,民進黨,0.995204
社會,嚴重社會動盪,社會,需要,0.995189
社會,嚴重社會動盪,社會,明年,0.995188
社會,嚴重社會動盪,社會,報告,0.995178
社會,嚴重社會動盪,社會,西班牙,0.995149
社會,嚴重社會動盪,社會,限制,0.995133
社會,嚴重社會動盪,社會,街頭,0.995119
社會,嚴重社會動盪,社會,官員,0.995117
社會,嚴重社會動盪,社會,啟動,0.995071
社會,嚴重社會動盪,社會,專欄,0.995053
社會,嚴重社會動盪,社會,現象,0.995028
社會,嚴重社會動盪,社會,能源,0.995028
社會,嚴重社會動盪,社會,傷害,0.995014
社會,嚴重社會動盪,社會,GDP,0.994985
社會,嚴重社會動盪,社會,措施,0.994974
社會,嚴重社會動盪,社會,預期,0.994964
社會,嚴重社會動盪,社會,沒有,0.994958
社會,嚴重社會動盪,社會,正義,0.99495
社會,嚴重社會動盪,社會,伊拉克,0.994945
社會,嚴重社會動盪,社會,習近平,0.994942
社會,嚴重社會動盪,社會,罷免,0.994922
社會,嚴重社會動盪,社會,歐元,0.994916
社會,嚴重社會動盪,社會,動盪,0.994874
社會,嚴重社會動盪,社會,我見,0.994827
社會,嚴重社會動盪,社會,年輕人,0.994819
社會,嚴重社會動盪,社會,糧價,0.994799
社會,嚴重社會動盪,社會,計畫,0.994798
社會,嚴重社會動盪,社會,一個,0.994794
社會,嚴重社會動盪,社會,壓力,0.994789
社會,嚴重社會動盪,社會,歐洲,0.994786
社會,嚴重社會動盪,社會,就業,0.994732
社會,嚴重社會動盪,社會,埃及,0.994722
社會,嚴重社會動盪,社會,堅持,0.994715
社會,嚴重社會動盪,社會,溫家寶,0.994709
社會,嚴重社會動盪,社會,學生,0.994689
社會,嚴重社會動盪,社會,革命,0.994683
社會,嚴重社會動盪,社會,動亂,0.994683
社會,嚴重社會動盪,社會,世銀,0.994656
社會,嚴重社會動盪,社會,災難,0.994638
