Field,Topic,Keyword,Related Word,Weight
環境,國家間環境影響增加,環境影響,環境影響,1.0
環境,國家間環境影響增加,環境影響,不是,0.997158
環境,國家間環境影響增加,環境影響,解決,0.996002
環境,國家間環境影響增加,環境影響,專區,0.995887
環境,國家間環境影響增加,環境影響,道路,0.995502
環境,國家間環境影響增加,環境影響,法院,0.995169
環境,國家間環境影響增加,環境影響,彰濱,0.994724
環境,國家間環境影響增加,環境影響,東勢,0.994631
環境,國家間環境影響增加,環境影響,輕軌,0.993995
環境,國家間環境影響增加,環境影響,民間,0.993973
環境,國家間環境影響增加,環境影響,新聞分析,0.993814
環境,國家間環境影響增加,環境影響,環差,0.993535
環境,國家間環境影響增加,環境影響,預計,0.992812
環境,國家間環境影響增加,環境影響,中油,0.992715
環境,國家間環境影響增加,環境影響,延伸,0.992497
環境,國家間環境影響增加,環境影響,墾丁,0.99202
環境,國家間環境影響增加,環境影響,掩埋場,0.991934
環境,國家間環境影響增加,環境影響,鄉民,0.99185
環境,國家間環境影響增加,環境影響,推動,0.991845
環境,國家間環境影響增加,環境影響,南星,0.99177
環境,國家間環境影響增加,環境影響,廠商,0.991665
環境,國家間環境影響增加,環境影響,三期,0.99163
環境,國家間環境影響增加,環境影響,招商,0.991607
環境,國家間環境影響增加,環境影響,不滿,0.99139
環境,國家間環境影響增加,環境影響,申請,0.991256
環境,國家間環境影響增加,環境影響,台電,0.991038
環境,國家間環境影響增加,環境影響,拓寬,0.990986
環境,國家間環境影響增加,環境影響,國道,0.990918
環境,國家間環境影響增加,環境影響,連署,0.990911
環境,國家間環境影響增加,環境影響,規畫,0.990417
環境,國家間環境影響增加,環境影響,鐵路,0.9904
環境,國家間環境影響增加,環境影響,勒令,0.990334
環境,國家間環境影響增加,環境影響,檢討,0.990255
環境,國家間環境影響增加,環境影響,桃縣,0.989888
環境,國家間環境影響增加,環境影響,溫泉,0.989789
環境,國家間環境影響增加,環境影響,路線,0.989744
環境,國家間環境影響增加,環境影響,修正,0.989728
環境,國家間環境影響增加,環境影響,BOT,0.989711
環境,國家間環境影響增加,環境影響,進駐,0.989591
環境,國家間環境影響增加,環境影響,永續,0.989582
環境,國家間環境影響增加,環境影響,規避,0.989382
環境,國家間環境影響增加,環境影響,重建,0.989361
環境,國家間環境影響增加,環境影響,政策,0.989316
環境,國家間環境影響增加,環境影響,規定,0.989287
環境,國家間環境影響增加,環境影響,碼頭,0.989064
環境,國家間環境影響增加,環境影響,台鋼,0.988899
環境,國家間環境影響增加,環境影響,完工,0.988493
環境,國家間環境影響增加,環境影響,預估,0.988187
環境,國家間環境影響增加,環境影響,大會,0.988154
環境,國家間環境影響增加,環境影響,纜車,0.988138
環境,國家間環境影響增加,環境影響,政院,0.988019
環境,國家間環境影響增加,環境影響,敗訴,0.987995
環境,國家間環境影響增加,環境影響,直鐵,0.987863
環境,國家間環境影響增加,環境影響,營運,0.987858
環境,國家間環境影響增加,環境影響,巨蛋,0.987791
環境,國家間環境影響增加,環境影響,送審,0.987589
環境,國家間環境影響增加,環境影響,城南,0.987586
環境,國家間環境影響增加,環境影響,賽車場,0.987513
環境,國家間環境影響增加,環境影響,漳州,0.987408
