Field,Topic,Keyword,Related Word,Weight
政治,國家間衝突.非政府行動者權力增加,民主化,民主化,1.0
政治,國家間衝突.非政府行動者權力增加,民主化,困境,0.973749
政治,國家間衝突.非政府行動者權力增加,民主化,中共,0.969861
政治,國家間衝突.非政府行動者權力增加,民主化,崛起,0.968374
政治,國家間衝突.非政府行動者權力增加,民主化,領導,0.967657
政治,國家間衝突.非政府行動者權力增加,民主化,認同,0.966946
政治,國家間衝突.非政府行動者權力增加,民主化,觀察,0.965646
政治,國家間衝突.非政府行動者權力增加,民主化,如何,0.964654
政治,國家間衝突.非政府行動者權力增加,民主化,挑戰,0.96079
政治,國家間衝突.非政府行動者權力增加,民主化,日本,0.95982
政治,國家間衝突.非政府行動者權力增加,民主化,走向,0.957918
政治,國家間衝突.非政府行動者權力增加,民主化,核心,0.956757
政治,國家間衝突.非政府行動者權力增加,民主化,主義,0.953884
政治,國家間衝突.非政府行動者權力增加,民主化,翁山,0.953405
政治,國家間衝突.非政府行動者權力增加,民主化,選擇,0.948584
政治,國家間衝突.非政府行動者權力增加,民主化,香港,0.947933
政治,國家間衝突.非政府行動者權力增加,民主化,重要,0.947257
政治,國家間衝突.非政府行動者權力增加,民主化,北京,0.94284
政治,國家間衝突.非政府行動者權力增加,民主化,法治,0.94266
政治,國家間衝突.非政府行動者權力增加,民主化,戰略,0.942482
政治,國家間衝突.非政府行動者權力增加,民主化,緬甸,0.942107
政治,國家間衝突.非政府行動者權力增加,民主化,政權,0.941775
政治,國家間衝突.非政府行動者權力增加,民主化,意識,0.940977
政治,國家間衝突.非政府行動者權力增加,民主化,胡錦濤,0.94056
政治,國家間衝突.非政府行動者權力增加,民主化,亞洲,0.939994
政治,國家間衝突.非政府行動者權力增加,民主化,世代,0.939174
政治,國家間衝突.非政府行動者權力增加,民主化,自由,0.938871
政治,國家間衝突.非政府行動者權力增加,民主化,中國,0.938599
政治,國家間衝突.非政府行動者權力增加,民主化,趨勢,0.937807
政治,國家間衝突.非政府行動者權力增加,民主化,迷思,0.932639
政治,國家間衝突.非政府行動者權力增加,民主化,外交,0.931557
