Field,Topic,Keyword,Related Word,Weight
其他,地方永續發展,企業社會責任,企業社會責任,1.0
其他,地方永續發展,企業社會責任,CSR,0.743558
其他,地方永續發展,企業社會責任,責任,0.729043
其他,地方永續發展,企業社會責任,報告書,0.696298
其他,地方永續發展,企業社會責任,遠見,0.691049
其他,地方永續發展,企業社會責任,期交所,0.670077
其他,地方永續發展,企業社會責任,財務,0.669909
其他,地方永續發展,企業社會責任,KPMG,0.669309
其他,地方永續發展,企業社會責任,建業,0.664873
其他,地方永續發展,企業社會責任,證交所,0.661902
其他,地方永續發展,企業社會責任,保經,0.659904
其他,地方永續發展,企業社會責任,企銀,0.658179
其他,地方永續發展,企業社會責任,合庫,0.657762
其他,地方永續發展,企業社會責任,會計師,0.656109
其他,地方永續發展,企業社會責任,永達,0.655388
其他,地方永續發展,企業社會責任,三商,0.65538
其他,地方永續發展,企業社會責任,善盡,0.654751
其他,地方永續發展,企業社會責任,企業倫理,0.651986
其他,地方永續發展,企業社會責任,中銀,0.651056
其他,地方永續發展,企業社會責任,永慶,0.649426
其他,地方永續發展,企業社會責任,台新,0.648026
其他,地方永續發展,企業社會責任,關係人,0.647927
其他,地方永續發展,企業社會責任,更名,0.646935
其他,地方永續發展,企業社會責任,理財,0.645215
其他,地方永續發展,企業社會責任,薪酬,0.64367
其他,地方永續發展,企業社會責任,主動,0.642602
其他,地方永續發展,企業社會責任,關懷,0.641066
其他,地方永續發展,企業社會責任,美邦,0.640547
其他,地方永續發展,企業社會責任,經濟社會,0.64029
其他,地方永續發展,企業社會責任,周俊吉,0.639578
其他,地方永續發展,企業社會責任,行善,0.638272
其他,地方永續發展,企業社會責任,楷模,0.638182
其他,地方永續發展,企業社會責任,金管會,0.637643
其他,地方永續發展,企業社會責任,SOGO,0.63718
其他,地方永續發展,企業社會責任,利害,0.636645
其他,地方永續發展,企業社會責任,期貨,0.636152
其他,地方永續發展,企業社會責任,拋磚引玉,0.63615
其他,地方永續發展,企業社會責任,GRI,0.635874
其他,地方永續發展,企業社會責任,龍鳳,0.633157
其他,地方永續發展,企業社會責任,台壽,0.633039
其他,地方永續發展,企業社會責任,富邦,0.632199
其他,地方永續發展,企業社會責任,第一本,0.630992
其他,地方永續發展,企業社會責任,愛獎,0.629805
其他,地方永續發展,企業社會責任,一銀,0.62868
其他,地方永續發展,企業社會責任,房仲業,0.626013
其他,地方永續發展,企業社會責任,豐金,0.625776
其他,地方永續發展,企業社會責任,平等,0.624417
其他,地方永續發展,企業社會責任,兆豐,0.624331
其他,地方永續發展,企業社會責任,保戶,0.623815
其他,地方永續發展,企業社會責任,募集,0.622576
其他,地方永續發展,企業社會責任,金獲,0.622162
其他,地方永續發展,企業社會責任,赤道,0.622014
其他,地方永續發展,企業社會責任,上榜,0.620857
其他,地方永續發展,企業社會責任,公勝,0.620412
其他,地方永續發展,企業社會責任,山隆,0.620118
其他,地方永續發展,企業社會責任,經理,0.619629
其他,地方永續發展,企業社會責任,大獲,0.619245
其他,地方永續發展,企業社會責任,安聯,0.618721
其他,地方永續發展,企業社會責任,保險業,0.618013
其他,地方永續發展,企業社會責任,影響力,0.617637
其他,地方永續發展,企業社會責任,大寶,0.617491
其他,地方永續發展,企業社會責任,發行,0.617437
其他,地方永續發展,企業社會責任,土銀,0.617298
其他,地方永續發展,企業社會責任,歷程,0.61693
其他,地方永續發展,企業社會責任,學刊,0.616799
其他,地方永續發展,企業社會責任,透明,0.615763
其他,地方永續發展,企業社會責任,南山人壽,0.615176
其他,地方永續發展,企業社會責任,元大金控,0.615029
其他,地方永續發展,企業社會責任,中壽,0.614957
其他,地方永續發展,企業社會責任,事務所,0.61481
其他,地方永續發展,企業社會責任,商銀,0.614422
其他,地方永續發展,企業社會責任,獎助學金,0.613794
其他,地方永續發展,企業社會責任,NB,0.61371
其他,地方永續發展,企業社會責任,產險,0.613171
其他,地方永續發展,企業社會責任,事務,0.612615
其他,地方永續發展,企業社會責任,正面,0.612459
其他,地方永續發展,企業社會責任,證券,0.612278
其他,地方永續發展,企業社會責任,名列,0.612262
其他,地方永續發展,企業社會責任,公關,0.612034
其他,地方永續發展,企業社會責任,送愛到,0.611881
