Field,Topic,Keyword,Related Word,Weight
社會,多元文化擴散,保護主義,保護主義,1.0
社會,多元文化擴散,保護主義,調查,0.908813
社會,多元文化擴散,保護主義,保護,0.89882
社會,多元文化擴散,保護主義,APEC,0.892485
社會,多元文化擴散,保護主義,WTO,0.882067
社會,多元文化擴散,保護主義,反對,0.875086
社會,多元文化擴散,保護主義,摩擦,0.873594
社會,多元文化擴散,保護主義,峰會,0.871438
社會,多元文化擴散,保護主義,胡錦濤,0.869473
社會,多元文化擴散,保護主義,匯率,0.864758
社會,多元文化擴散,保護主義,反傾銷,0.861376
社會,多元文化擴散,保護主義,大戰,0.859326
社會,多元文化擴散,保護主義,歐債,0.853369
社會,多元文化擴散,保護主義,解決,0.851968
社會,多元文化擴散,保護主義,太陽能,0.851611
社會,多元文化擴散,保護主義,反補貼,0.847776
社會,多元文化擴散,保護主義,面臨,0.847149
社會,多元文化擴散,保護主義,各國,0.846471
社會,多元文化擴散,保護主義,復甦,0.846434
社會,多元文化擴散,保護主義,關稅,0.846222
社會,多元文化擴散,保護主義,合作,0.842654
社會,多元文化擴散,保護主義,雙反,0.842279
社會,多元文化擴散,保護主義,自由貿易,0.835231
社會,多元文化擴散,保護主義,商務部,0.834298
社會,多元文化擴散,保護主義,領袖,0.833983
社會,多元文化擴散,保護主義,溫家寶,0.832255
社會,多元文化擴散,保護主義,措施,0.831572
社會,多元文化擴散,保護主義,出席,0.831254
社會,多元文化擴散,保護主義,亞太,0.830943
社會,多元文化擴散,保護主義,共識,0.830245
社會,多元文化擴散,保護主義,IMF,0.828775
社會,多元文化擴散,保護主義,抬頭,0.828136
社會,多元文化擴散,保護主義,景氣,0.826928
社會,多元文化擴散,保護主義,壓力,0.826771
社會,多元文化擴散,保護主義,對抗,0.825917
社會,多元文化擴散,保護主義,出口,0.825198
社會,多元文化擴散,保護主義,雙方,0.823471
社會,多元文化擴散,保護主義,貨幣,0.822676
社會,多元文化擴散,保護主義,貿易戰,0.821846
社會,多元文化擴散,保護主義,鋼鐵,0.820379
社會,多元文化擴散,保護主義,因應,0.820118
社會,多元文化擴散,保護主義,加劇,0.81984
社會,多元文化擴散,保護主義,華為,0.817609
社會,多元文化擴散,保護主義,中歐,0.817379
社會,多元文化擴散,保護主義,升值,0.816584
社會,多元文化擴散,保護主義,談判,0.813817
社會,多元文化擴散,保護主義,對陸,0.813714
社會,多元文化擴散,保護主義,新聞分析,0.813701
社會,多元文化擴散,保護主義,世銀,0.813465
社會,多元文化擴散,保護主義,自貿區,0.810272
社會,多元文化擴散,保護主義,人民幣,0.81008
社會,多元文化擴散,保護主義,制裁,0.807705
社會,多元文化擴散,保護主義,反傾銷稅,0.80741
社會,多元文化擴散,保護主義,產品,0.806957
社會,多元文化擴散,保護主義,旺報,0.806821
社會,多元文化擴散,保護主義,過剩,0.80669
社會,多元文化擴散,保護主義,簽署,0.805782
社會,多元文化擴散,保護主義,機制,0.804726
社會,多元文化擴散,保護主義,李克強,0.80469
社會,多元文化擴散,保護主義,產能,0.803763
社會,多元文化擴散,保護主義,會議,0.802884
社會,多元文化擴散,保護主義,威脅,0.802248
社會,多元文化擴散,保護主義,輪胎,0.800779
社會,多元文化擴散,保護主義,承諾,0.80034
社會,多元文化擴散,保護主義,聚焦,0.800211
社會,多元文化擴散,保護主義,議題,0.798129
社會,多元文化擴散,保護主義,目標,0.797668
社會,多元文化擴散,保護主義,國貨,0.797618
社會,多元文化擴散,保護主義,加強,0.797044
社會,多元文化擴散,保護主義,財長,0.796991
社會,多元文化擴散,保護主義,因素,0.796114
社會,多元文化擴散,保護主義,GDP,0.795712
社會,多元文化擴散,保護主義,能源,0.795593
社會,多元文化擴散,保護主義,反擊,0.7922
社會,多元文化擴散,保護主義,FTA,0.791529
社會,多元文化擴散,保護主義,規則,0.791391
社會,多元文化擴散,保護主義,補貼,0.790856
社會,多元文化擴散,保護主義,美對,0.790662
社會,多元文化擴散,保護主義,主要,0.790473
社會,多元文化擴散,保護主義,施壓,0.790413
社會,多元文化擴散,保護主義,升高,0.790274
社會,多元文化擴散,保護主義,可能,0.789901
社會,多元文化擴散,保護主義,懲罰,0.789043
社會,多元文化擴散,保護主義,人行,0.786447
社會,多元文化擴散,保護主義,風險,0.78563
社會,多元文化擴散,保護主義,鋼管,0.785594
社會,多元文化擴散,保護主義,引發,0.785517
社會,多元文化擴散,保護主義,經濟體,0.783361
社會,多元文化擴散,保護主義,增長,0.782418
社會,多元文化擴散,保護主義,TPP,0.78214
社會,多元文化擴散,保護主義,進行,0.781595
社會,多元文化擴散,保護主義,利益,0.78109
社會,多元文化擴散,保護主義,進口,0.781085
社會,多元文化擴散,保護主義,對話,0.780757
社會,多元文化擴散,保護主義,改革,0.780725
社會,多元文化擴散,保護主義,減緩,0.780575
社會,多元文化擴散,保護主義,裁定,0.779214
社會,多元文化擴散,保護主義,習近平,0.779111
社會,多元文化擴散,保護主義,中方,0.779106
社會,多元文化擴散,保護主義,穩定,0.778372
社會,多元文化擴散,保護主義,億美元,0.778342
社會,多元文化擴散,保護主義,傾銷,0.777387
社會,多元文化擴散,保護主義,協定,0.77679
社會,多元文化擴散,保護主義,歐元,0.776654
社會,多元文化擴散,保護主義,併購,0.776584
社會,多元文化擴散,保護主義,閉幕,0.776169
社會,多元文化擴散,保護主義,阻礙,0.7758
社會,多元文化擴散,保護主義,擴大,0.775794
社會,多元文化擴散,保護主義,區域,0.775357
社會,多元文化擴散,保護主義,貿易壁壘,0.775139
社會,多元文化擴散,保護主義,警告,0.775063
社會,多元文化擴散,保護主義,採購,0.774781
社會,多元文化擴散,保護主義,展開,0.774404
社會,多元文化擴散,保護主義,影響,0.773141
社會,多元文化擴散,保護主義,喊話,0.77219
社會,多元文化擴散,保護主義,關係,0.771307
社會,多元文化擴散,保護主義,東協,0.770982
社會,多元文化擴散,保護主義,部長,0.770457
社會,多元文化擴散,保護主義,支持,0.770071
社會,多元文化擴散,保護主義,寬鬆,0.769926
社會,多元文化擴散,保護主義,社評,0.769768
社會,多元文化擴散,保護主義,報復,0.769313
社會,多元文化擴散,保護主義,梅克爾,0.768773
社會,多元文化擴散,保護主義,預期,0.767027
社會,多元文化擴散,保護主義,市場經濟,0.76586
社會,多元文化擴散,保護主義,央行,0.765378
社會,多元文化擴散,保護主義,堅決,0.765184
社會,多元文化擴散,保護主義,平衡,0.764734
社會,多元文化擴散,保護主義,中美,0.764217
社會,多元文化擴散,保護主義,避免,0.763946
社會,多元文化擴散,保護主義,有助,0.763931
社會,多元文化擴散,保護主義,抵制,0.763236
社會,多元文化擴散,保護主義,人幣,0.763173
社會,多元文化擴散,保護主義,主導,0.762993
社會,多元文化擴散,保護主義,保持,0.762868
社會,多元文化擴散,保護主義,經貿,0.762161
社會,多元文化擴散,保護主義,連年,0.762047
社會,多元文化擴散,保護主義,要求,0.761454
社會,多元文化擴散,保護主義,基金,0.761205
社會,多元文化擴散,保護主義,ECFA,0.760545
社會,多元文化擴散,保護主義,示警,0.76032
社會,多元文化擴散,保護主義,競爭,0.760161
社會,多元文化擴散,保護主義,預測,0.759999
社會,多元文化擴散,保護主義,下半年,0.759599
社會,多元文化擴散,保護主義,萎縮,0.759326
社會,多元文化擴散,保護主義,不利,0.758898
社會,多元文化擴散,保護主義,治理,0.757349
社會,多元文化擴散,保護主義,法案,0.757293
社會,多元文化擴散,保護主義,進出口,0.757154
社會,多元文化擴散,保護主義,破壞,0.756695
