Field,Topic,Keyword,Related Word,Weight
社會,多元社會的歸屬感與獨特性,創造力,大獎,0.785326
社會,多元社會的歸屬感與獨特性,創造力,美學,0.783095
社會,多元社會的歸屬感與獨特性,創造力,報名,0.781018
社會,多元社會的歸屬感與獨特性,創造力,組織,0.76165
社會,多元社會的歸屬感與獨特性,創造力,嘉年華,0.752281
社會,多元社會的歸屬感與獨特性,歸屬感,歸屬感,1.0
社會,多元社會的歸屬感與獨特性,歸屬感,之一,0.993826
社會,多元社會的歸屬感與獨特性,歸屬感,政黨,0.993445
社會,多元社會的歸屬感與獨特性,歸屬感,解構,0.99242
社會,多元社會的歸屬感與獨特性,歸屬感,讀者,0.992054
社會,多元社會的歸屬感與獨特性,歸屬感,看法,0.99199
社會,多元社會的歸屬感與獨特性,歸屬感,命運,0.991581
社會,多元社會的歸屬感與獨特性,歸屬感,抗議,0.991192
社會,多元社會的歸屬感與獨特性,歸屬感,民意,0.991059
社會,多元社會的歸屬感與獨特性,歸屬感,立院,0.991026
社會,多元社會的歸屬感與獨特性,歸屬感,國旗,0.990947
社會,多元社會的歸屬感與獨特性,歸屬感,王郁琦,0.990887
社會,多元社會的歸屬感與獨特性,歸屬感,資深,0.990201
社會,多元社會的歸屬感與獨特性,歸屬感,失業,0.990074
社會,多元社會的歸屬感與獨特性,歸屬感,國民黨,0.989854
社會,多元社會的歸屬感與獨特性,歸屬感,造成,0.989851
社會,多元社會的歸屬感與獨特性,歸屬感,民粹,0.989775
社會,多元社會的歸屬感與獨特性,歸屬感,官方,0.989675
社會,多元社會的歸屬感與獨特性,歸屬感,兩岸關係,0.98954
社會,多元社會的歸屬感與獨特性,歸屬感,學運,0.989509
社會,多元社會的歸屬感與獨特性,歸屬感,中時,0.989449
社會,多元社會的歸屬感與獨特性,歸屬感,理性,0.989417
社會,多元社會的歸屬感與獨特性,歸屬感,提名,0.989335
社會,多元社會的歸屬感與獨特性,歸屬感,巴馬,0.989181
社會,多元社會的歸屬感與獨特性,歸屬感,孤獨,0.989092
社會,多元社會的歸屬感與獨特性,歸屬感,一中,0.989056
社會,多元社會的歸屬感與獨特性,歸屬感,綠營,0.988926
社會,多元社會的歸屬感與獨特性,歸屬感,最美,0.988827
社會,多元社會的歸屬感與獨特性,歸屬感,投書,0.988802
社會,多元社會的歸屬感與獨特性,歸屬感,國會,0.988519
社會,多元社會的歸屬感與獨特性,歸屬感,反思,0.988433
社會,多元社會的歸屬感與獨特性,歸屬感,進步,0.988366
社會,多元社會的歸屬感與獨特性,歸屬感,訪台,0.988334
社會,多元社會的歸屬感與獨特性,歸屬感,三太子,0.987922
社會,多元社會的歸屬感與獨特性,歸屬感,不會,0.987908
社會,多元社會的歸屬感與獨特性,歸屬感,機制,0.987875
