Field,Topic,Keyword,Related Word,Weight
經濟,失業或就業不穩定,失業,申請,0.660101
經濟,失業或就業不穩定,失業,暴增,0.603888
經濟,失業或就業不穩定,失業,給付,0.597642
經濟,失業或就業不穩定,失業,貧窮,0.585427
經濟,失業或就業不穩定,失業,不到,0.581507
經濟,失業或就業不穩定,失業,開工,0.573563
經濟,失業或就業不穩定,失業,勞動力,0.572768
經濟,失業或就業不穩定,失業,報考,0.56798
經濟,失業或就業不穩定,失業,首日,0.567941
經濟,失業或就業不穩定,失業,勞保,0.565486
經濟,失業或就業不穩定,失業,低收入,0.559013
經濟,失業或就業不穩定,失業,延長,0.558585
經濟,失業或就業不穩定,失業,普考,0.55739
經濟,失業或就業不穩定,失業,錄取率,0.554706
經濟,失業或就業不穩定,失業,貧戶,0.552494
經濟,失業或就業不穩定,失業,破萬,0.552246
經濟,失業或就業不穩定,失業,投保,0.55059
經濟,失業或就業不穩定,失業,七萬,0.549963
經濟,失業或就業不穩定,失業,倍增,0.547136
經濟,失業或就業不穩定,失業,師生,0.545185
經濟,失業或就業不穩定,失業,延繳,0.543015
經濟,失業或就業不穩定,失業,萬戶,0.541397
經濟,失業或就業不穩定,失業,萬件,0.538544
經濟,失業或就業不穩定,失業,街頭,0.533349
經濟,失業或就業不穩定,失業,急難,0.527492
經濟,失業或就業不穩定,失業,臨時,0.526766
經濟,失業或就業不穩定,失業,公職,0.526284
經濟,失業或就業不穩定,失業,學歷,0.525644
經濟,失業或就業不穩定,失業,就業率,0.524939
經濟,失業或就業不穩定,失業,八月,0.523187
經濟,失業或就業不穩定,失業,歇業,0.523003
經濟,失業或就業不穩定,失業,輕生,0.52247
經濟,失業或就業不穩定,失業,重症,0.521381
經濟,失業或就業不穩定,失業,所得稅,0.520718
經濟,失業或就業不穩定,失業,增多,0.520584
經濟,失業或就業不穩定,失業,臨時工,0.5204
經濟,失業或就業不穩定,失業,酒駕,0.520382
經濟,失業或就業不穩定,失業,判刑,0.520002
經濟,失業或就業不穩定,失業,日起,0.519494
經濟,失業或就業不穩定,失業,新制,0.519178
經濟,失業或就業不穩定,失業,取代,0.51897
經濟,失業或就業不穩定,失業,賣場,0.518762
經濟,失業或就業不穩定,失業,公務員,0.518555
經濟,失業或就業不穩定,失業,關廠,0.517479
經濟,失業或就業不穩定,失業,房租,0.517406
經濟,失業或就業不穩定,失業,契約,0.517308
經濟,失業或就業不穩定,失業,溫暖,0.516442
經濟,失業或就業不穩定,失業,貧生,0.514244
經濟,失業或就業不穩定,失業,貧族,0.512576
經濟,失業或就業不穩定,失業,失蹤,0.511707
經濟,失業或就業不穩定,失業,台東,0.511597
經濟,失業或就業不穩定,失業,教師,0.511537
經濟,失業或就業不穩定,失業,午餐費,0.511486
經濟,失業或就業不穩定,失業,國民年金,0.510221
經濟,失業或就業不穩定,失業,驟升,0.509215
經濟,失業或就業不穩定,失業,五月,0.509003
經濟,失業或就業不穩定,失業,流浪,0.508599
經濟,失業或就業不穩定,失業,期限,0.508358
經濟,失業或就業不穩定,失業,性侵,0.507813
經濟,失業或就業不穩定,失業,登記,0.507269
經濟,失業或就業不穩定,失業,中市,0.506691
經濟,失業或就業不穩定,失業,比例,0.506656
經濟,失業或就業不穩定,失業,求救,0.506307
經濟,失業或就業不穩定,失業,逆子,0.505017
經濟,失業或就業不穩定,失業,過年,0.504824
經濟,失業或就業不穩定,失業,騎士,0.504189
經濟,失業或就業不穩定,失業,詐財,0.503582
經濟,失業或就業不穩定,失業,爭議,0.503461
經濟,失業或就業不穩定,失業,薪水,0.503385
經濟,失業或就業不穩定,失業,費率,0.503332
經濟,失業或就業不穩定,失業,全台,0.503094
經濟,失業或就業不穩定,失業,一萬,0.502775
經濟,失業或就業不穩定,失業,解雇,0.502601
經濟,失業或就業不穩定,失業,將破,0.502235
經濟,失業或就業不穩定,失業,公所,0.50219
經濟,失業或就業不穩定,失業,年資,0.502108
經濟,失業或就業不穩定,失業,安置,0.501877
經濟,失業或就業不穩定,失業,納保,0.501701
經濟,失業或就業不穩定,失業,放寬,0.501656
經濟,失業或就業不穩定,失業,想不開,0.501153
經濟,失業或就業不穩定,失業,攜女,0.500479
經濟,失業或就業不穩定,失業,資格,0.500264
經濟,失業或就業不穩定,失業,僱用,0.500214
經濟,失業或就業不穩定,失業,學費,0.499878
經濟,失業或就業不穩定,失業,受雇,0.499694
經濟,失業或就業不穩定,失業,勞委會,0.499548
經濟,失業或就業不穩定,失業,審查,0.499521
經濟,失業或就業不穩定,失業,企業主,0.499384
經濟,失業或就業不穩定,失業,公家,0.499301
經濟,失業或就業不穩定,失業,條件,0.499285
經濟,失業或就業不穩定,失業,送暖,0.499126
經濟,失業或就業不穩定,失業,法辦,0.498853
經濟,失業或就業不穩定,失業,高齡,0.497765
經濟,失業或就業不穩定,失業,羅志明,0.497725
經濟,失業或就業不穩定,失業,喘息,0.497165
經濟,失業或就業不穩定,失業,喊停,0.497073
經濟,失業或就業不穩定,失業,上課,0.496822
經濟,失業或就業不穩定,失業,無業,0.496702
經濟,失業或就業不穩定,失業,生命線,0.496549
經濟,失業或就業不穩定,失業,保費,0.495781
經濟,失業或就業不穩定,失業,飛車,0.495741
經濟,失業或就業不穩定,失業,待業,0.495715
