Field,Topic,Keyword,Related Word,Weight
社會,少子化與超高齡,國民年金,國民年金,1.0
社會,少子化與超高齡,國民年金,遺贈,0.866189
社會,少子化與超高齡,國民年金,爭議,0.865756
社會,少子化與超高齡,國民年金,勞委會,0.846545
社會,少子化與超高齡,國民年金,下周一,0.841772
社會,少子化與超高齡,國民年金,國保,0.840612
社會,少子化與超高齡,國民年金,年資,0.83509
社會,少子化與超高齡,國民年金,納保,0.832985
社會,少子化與超高齡,國民年金,表決,0.828782
社會,少子化與超高齡,國民年金,納稅人,0.826011
社會,少子化與超高齡,國民年金,綜所稅,0.824106
社會,少子化與超高齡,國民年金,費率,0.820412
社會,少子化與超高齡,國民年金,營業稅,0.81771
社會,少子化與超高齡,國民年金,月領,0.816771
社會,少子化與超高齡,國民年金,不得,0.816426
社會,少子化與超高齡,國民年金,扣押,0.816349
社會,少子化與超高齡,國民年金,免稅額,0.810023
社會,少子化與超高齡,國民年金,新制,0.801495
社會,少子化與超高齡,國民年金,替代,0.801109
社會,少子化與超高齡,國民年金,觀測站,0.800516
社會,少子化與超高齡,國民年金,退職,0.798765
社會,少子化與超高齡,國民年金,勞保局,0.795554
社會,少子化與超高齡,國民年金,農保脫,0.793413
社會,少子化與超高齡,國民年金,滿年,0.790503
社會,少子化與超高齡,國民年金,引發,0.790079
社會,少子化與超高齡,國民年金,財金,0.784117
社會,少子化與超高齡,國民年金,計算,0.782053
社會,少子化與超高齡,國民年金,文達,0.78186
社會,少子化與超高齡,國民年金,兩部,0.781275
社會,少子化與超高齡,國民年金,欠費,0.780158
社會,少子化與超高齡,國民年金,可能,0.77826
社會,少子化與超高齡,國民年金,不會,0.777616
社會,少子化與超高齡,國民年金,專戶,0.774403
社會,少子化與超高齡,國民年金,宣示,0.774017
社會,少子化與超高齡,國民年金,公保,0.770597
社會,少子化與超高齡,國民年金,月繳,0.76714
社會,少子化與超高齡,國民年金,財源,0.766495
社會,少子化與超高齡,國民年金,請領,0.765152
社會,少子化與超高齡,國民年金,公務員,0.762917
社會,少子化與超高齡,國民年金,勞團,0.761677
社會,少子化與超高齡,國民年金,擠兌,0.761079
社會,少子化與超高齡,國民年金,王榮璋,0.759121
社會,少子化與超高齡,國民年金,未達,0.755598
社會,少子化與超高齡,國民年金,項目,0.754853
社會,少子化與超高齡,國民年金,大禮,0.754033
社會,少子化與超高齡,國民年金,基本工資,0.753065
社會,少子化與超高齡,國民年金,王如玄,0.752398
社會,少子化與超高齡,國民年金,本周,0.752333
社會,少子化與超高齡,國民年金,勞保,0.75151
社會,少子化與超高齡,國民年金,多少,0.746997
社會,少子化與超高齡,國民年金,稅制,0.746145
社會,少子化與超高齡,國民年金,列舉,0.746098
社會,少子化與超高齡,國民年金,強制,0.74563
社會,少子化與超高齡,國民年金,列入,0.745193
社會,少子化與超高齡,國民年金,第胎,0.744576
社會,少子化與超高齡,國民年金,領取,0.74437
社會,少子化與超高齡,國民年金,股民,0.744056
社會,少子化與超高齡,國民年金,編列,0.741015
社會,少子化與超高齡,國民年金,健保,0.740811
社會,少子化與超高齡,國民年金,一併,0.740299
社會,少子化與超高齡,國民年金,被迫,0.739497
社會,少子化與超高齡,國民年金,動支,0.738504
社會,少子化與超高齡,國民年金,合理,0.737934
社會,少子化與超高齡,國民年金,富人,0.73765
社會,少子化與超高齡,國民年金,審議,0.736963
社會,少子化與超高齡,國民年金,一定,0.736882
社會,少子化與超高齡,國民年金,賦稅,0.736094
社會,少子化與超高齡,國民年金,衛生署,0.735373
社會,少子化與超高齡,國民年金,選票,0.734571
社會,少子化與超高齡,國民年金,黨團,0.734319
社會,少子化與超高齡,國民年金,周四,0.733175
社會,少子化與超高齡,國民年金,兩年,0.730962
社會,少子化與超高齡,國民年金,利息,0.730039
社會,少子化與超高齡,國民年金,臨時,0.729265
社會,少子化與超高齡,國民年金,總統大選,0.728902
社會,少子化與超高齡,國民年金,汙名,0.728897
社會,少子化與超高齡,國民年金,前提,0.728694
社會,少子化與超高齡,國民年金,劃法,0.728522
社會,少子化與超高齡,少子化,衝擊,0.691572
社會,少子化與超高齡,少子化,少子,0.664168
社會,少子化與超高齡,少子化,因應,0.6463
社會,少子化與超高齡,少子化,嚴重,0.619003
社會,少子化與超高齡,少子化,國中,0.618136
社會,少子化與超高齡,少子化,僅人,0.610544
社會,少子化與超高齡,少子化,無奈,0.604419
社會,少子化與超高齡,少子化,面臨,0.600489
社會,少子化與超高齡,少子化,公私,0.599993
社會,少子化與超高齡,少子化,迎新生,0.598543
社會,少子化與超高齡,少子化,搶人,0.598113
社會,少子化與超高齡,少子化,升學,0.596758
社會,少子化與超高齡,少子化,名校,0.595533
社會,少子化與超高齡,少子化,減招,0.594014
社會,少子化與超高齡,少子化,勞動力,0.589336
社會,少子化與超高齡,少子化,家長,0.587819
社會,少子化與超高齡,少子化,悄悄,0.586534
社會,少子化與超高齡,少子化,裁併,0.584311
社會,少子化與超高齡,少子化,放榜,0.582923
社會,少子化與超高齡,少子化,關門,0.577704
社會,少子化與超高齡,少子化,人口老化,0.575817
社會,少子化與超高齡,少子化,私立,0.57492
社會,少子化與超高齡,少子化,都市,0.574446
社會,少子化與超高齡,少子化,發現,0.573873
社會,少子化與超高齡,少子化,解決,0.573817
社會,少子化與超高齡,少子化,補習班,0.572534
社會,少子化與超高齡,少子化,畢業生,0.569634
社會,少子化與超高齡,少子化,院士,0.56871
社會,少子化與超高齡,少子化,轉機,0.567367
社會,少子化與超高齡,少子化,五專,0.566993
社會,少子化與超高齡,少子化,迷你,0.563805
社會,少子化與超高齡,少子化,東京,0.563591
社會,少子化與超高齡,少子化,出現,0.560354
社會,少子化與超高齡,少子化,倒閉,0.55907
社會,少子化與超高齡,少子化,上演,0.557525
社會,少子化與超高齡,少子化,孤獨,0.556959
社會,少子化與超高齡,少子化,下去,0.555865
社會,少子化與超高齡,少子化,裁撤,0.55483
社會,少子化與超高齡,少子化,斷層,0.551604
社會,少子化與超高齡,少子化,錄取,0.551489
社會,少子化與超高齡,少子化,茫茫,0.551375
社會,少子化與超高齡,少子化,時代,0.550279
社會,少子化與超高齡,少子化,附幼,0.54969
社會,少子化與超高齡,少子化,新台灣,0.549322
社會,少子化與超高齡,少子化,教長,0.549211
社會,少子化與超高齡,少子化,治本,0.548965
社會,少子化與超高齡,少子化,選校,0.54766
社會,少子化與超高齡,少子化,考生,0.54736
社會,少子化與超高齡,少子化,內外,0.547255
社會,少子化與超高齡,少子化,考試,0.546988
社會,少子化與超高齡,少子化,素質,0.546201
社會,少子化與超高齡,少子化,辦法,0.545785
社會,少子化與超高齡,少子化,私中,0.5433
社會,少子化與超高齡,少子化,不看,0.543151
社會,少子化與超高齡,少子化,瘦身,0.543047
社會,少子化與超高齡,少子化,紛紛,0.542682
社會,少子化與超高齡,少子化,首見,0.542054
社會,少子化與超高齡,少子化,佛光,0.541946
社會,少子化與超高齡,少子化,人口,0.54185
社會,少子化與超高齡,少子化,外移,0.541643
社會,少子化與超高齡,少子化,裁員,0.541308
社會,少子化與超高齡,少子化,各國,0.540433
社會,少子化與超高齡,少子化,富國,0.540122
社會,少子化與超高齡,少子化,攀升,0.539981
社會,少子化與超高齡,少子化,歐債,0.539738
社會,少子化與超高齡,少子化,近人,0.538651
社會,少子化與超高齡,少子化,薛承泰,0.538175
社會,少子化與超高齡,少子化,過程,0.537787
社會,少子化與超高齡,少子化,兒科,0.537663
社會,少子化與超高齡,少子化,房市,0.537029
社會,少子化與超高齡,少子化,導致,0.534513
社會,少子化與超高齡,少子化,托育托,0.532242
社會,少子化與超高齡,少子化,短缺,0.53218
社會,少子化與超高齡,少子化,造鎮,0.530907
社會,少子化與超高齡,少子化,本土,0.530798
社會,少子化與超高齡,少子化,莫忘,0.530432
社會,少子化與超高齡,少子化,生育率,0.529805
社會,少子化與超高齡,少子化,當前,0.529489
社會,少子化與超高齡,少子化,專班,0.529175
社會,少子化與超高齡,少子化,直落,0.52886
社會,少子化與超高齡,少子化,董事會,0.528717
社會,少子化與超高齡,少子化,思華,0.527605
社會,少子化與超高齡,少子化,班級,0.526882
社會,少子化與超高齡,少子化,男人,0.525709
社會,少子化與超高齡,少子化,高學歷,0.525266
社會,少子化與超高齡,少子化,窘境,0.525256
社會,少子化與超高齡,少子化,生子,0.524799
社會,少子化與超高齡,少子化,生小孩,0.524437
