Field,Topic,Keyword,Related Word,Weight
社會,性別問題加劇,重男輕女,重男輕女,1.0
社會,性別問題加劇,重男輕女,投保,0.995811
社會,性別問題加劇,重男輕女,父母,0.995609
社會,性別問題加劇,重男輕女,女兒,0.99546
社會,性別問題加劇,重男輕女,一胎化,0.994722
社會,性別問題加劇,重男輕女,經濟,0.994403
社會,性別問題加劇,重男輕女,男性,0.994396
社會,性別問題加劇,重男輕女,英雄,0.99434
社會,性別問題加劇,重男輕女,光棍,0.994336
社會,性別問題加劇,重男輕女,母親,0.994294
社會,性別問題加劇,重男輕女,社會,0.994211
社會,性別問題加劇,重男輕女,出生,0.99417
社會,性別問題加劇,重男輕女,大陸,0.994001
社會,性別問題加劇,重男輕女,觀念,0.99375
社會,性別問題加劇,重男輕女,危機,0.993682
社會,性別問題加劇,重男輕女,全球,0.993671
社會,性別問題加劇,重男輕女,什麼,0.99365
社會,性別問題加劇,重男輕女,集團,0.993622
社會,性別問題加劇,重男輕女,三少,0.993524
社會,性別問題加劇,重男輕女,兩岸,0.993487
社會,性別問題加劇,重男輕女,老婆,0.993465
社會,性別問題加劇,重男輕女,故事,0.993423
社會,性別問題加劇,重男輕女,挑戰,0.993337
社會,性別問題加劇,重男輕女,嚴重,0.993328
社會,性別問題加劇,重男輕女,孕婦,0.993319
社會,性別問題加劇,重男輕女,男人,0.993204
社會,性別問題加劇,重男輕女,人口,0.993188
社會,性別問題加劇,重男輕女,女孩,0.993157
社會,性別問題加劇,重男輕女,老爸,0.993131
社會,性別問題加劇,重男輕女,四壯集,0.993113
社會,性別問題加劇,重男輕女,觀點,0.992956
社會,性別問題加劇,重男輕女,中國,0.99288
社會,性別問題加劇,重男輕女,篩檢,0.992832
社會,性別問題加劇,重男輕女,上學,0.992816
社會,性別問題加劇,重男輕女,研究所,0.992805
社會,性別問題加劇,重男輕女,女性,0.992803
社會,性別問題加劇,重男輕女,男女,0.992793
社會,性別問題加劇,重男輕女,人生,0.992667
社會,性別問題加劇,重男輕女,年輕,0.99263
社會,性別問題加劇,重男輕女,教育,0.99261
社會,性別問題加劇,重男輕女,他們,0.992599
社會,性別問題加劇,重男輕女,女生,0.992589
社會,性別問題加劇,重男輕女,短評,0.992503
社會,性別問題加劇,重男輕女,百年,0.992473
社會,性別問題加劇,重男輕女,年前,0.99238
社會,性別問題加劇,重男輕女,企業,0.992376
社會,性別問題加劇,重男輕女,成長,0.99236
社會,性別問題加劇,重男輕女,工作,0.99235
社會,性別問題加劇,重男輕女,網友,0.992105
社會,性別問題加劇,重男輕女,職場,0.992096
社會,性別問題加劇,重男輕女,問題,0.992039
社會,性別問題加劇,重男輕女,國際,0.992022
社會,性別問題加劇,重男輕女,媽媽,0.991989
社會,性別問題加劇,重男輕女,家庭,0.99196
社會,性別問題加劇,重男輕女,奧斯卡,0.99189
社會,性別問題加劇,重男輕女,女人,0.991875
社會,性別問題加劇,重男輕女,日本,0.991769
社會,性別問題加劇,重男輕女,世界,0.991715
社會,性別問題加劇,重男輕女,台灣,0.991703
社會,性別問題加劇,重男輕女,總統,0.99169
社會,性別問題加劇,重男輕女,人物,0.991626
社會,性別問題加劇,重男輕女,歧視,0.991611
社會,性別問題加劇,重男輕女,國家,0.991479
社會,性別問題加劇,重男輕女,政策,0.991437
社會,性別問題加劇,重男輕女,卡卡,0.991314
社會,性別問題加劇,重男輕女,萬人,0.991302
社會,性別問題加劇,重男輕女,產業,0.991257
社會,性別問題加劇,重男輕女,娛樂,0.991178
社會,性別問題加劇,重男輕女,我們,0.991169
社會,性別問題加劇,重男輕女,學生,0.99112
社會,性別問題加劇,重男輕女,變性人,0.991098
社會,性別問題加劇,重男輕女,服務,0.990947
社會,性別問題加劇,重男輕女,設計,0.990653
社會,性別問題加劇,重男輕女,平等,0.990609
社會,性別問題加劇,重男輕女,自己,0.990585
社會,性別問題加劇,重男輕女,男女比例,0.99055
社會,性別問題加劇,重男輕女,平權,0.99002
社會,性別問題加劇,重男輕女,年代,0.989696
社會,性別問題加劇,重男輕女,巴馬,0.989459
社會,性別問題加劇,重男輕女,民國,0.989364
社會,性別問題加劇,重男輕女,第一,0.988746
社會,性別問題加劇,重男輕女,人權,0.988695
社會,性別問題加劇,重男輕女,文化,0.988537
社會,性別問題加劇,重男輕女,多元,0.988353
社會,性別問題加劇,重男輕女,婚姻,0.987825
社會,性別問題加劇,重男輕女,變性,0.987739
社會,性別問題加劇,重男輕女,議題,0.987374
社會,性別問題加劇,重男輕女,校園,0.987101
社會,性別問題加劇,重男輕女,同性戀,0.986693
社會,性別問題加劇,重男輕女,保障,0.986656
社會,性別問題加劇,重男輕女,失衡,0.986275
社會,性別問題加劇,重男輕女,同志,0.985706
社會,性別問題加劇,重男輕女,醫療險,0.985527
社會,性別問題加劇,重男輕女,廁所,0.985313
社會,性別問題加劇,重男輕女,久久,0.984977
社會,性別問題加劇,重男輕女,友善,0.984954
社會,性別問題加劇,重男輕女,同性,0.983718
社會,性別問題加劇,重男輕女,性別,0.979378
社會,性別問題加劇,重男輕女,醫師,0.962415
社會,性別問題加劇,重男輕女,性器官,0.887802
社會,性別問題加劇,重男輕女,電影,0.167731
社會,性別問題加劇,社會,社會,1.0
社會,性別問題加劇,社會,男性,0.998335
社會,性別問題加劇,社會,經濟,0.998282
社會,性別問題加劇,社會,什麼,0.998242
社會,性別問題加劇,社會,年輕,0.998211
社會,性別問題加劇,社會,女孩,0.998096
社會,性別問題加劇,社會,觀念,0.998091
社會,性別問題加劇,社會,男人,0.998071
社會,性別問題加劇,社會,女兒,0.998021
社會,性別問題加劇,社會,老婆,0.997981
社會,性別問題加劇,社會,上學,0.997955
社會,性別問題加劇,社會,奧斯卡,0.997866
社會,性別問題加劇,社會,女性,0.997854
社會,性別問題加劇,社會,一胎化,0.997839
社會,性別問題加劇,社會,女生,0.997838
社會,性別問題加劇,社會,人生,0.99783
社會,性別問題加劇,社會,挑戰,0.997766
社會,性別問題加劇,社會,國際,0.997707
社會,性別問題加劇,社會,女人,0.997672
社會,性別問題加劇,社會,光棍,0.997667
社會,性別問題加劇,社會,教育,0.997664
社會,性別問題加劇,社會,問題,0.997653
社會,性別問題加劇,社會,世界,0.997557
社會,性別問題加劇,社會,人口,0.997554
社會,性別問題加劇,社會,百年,0.997553
社會,性別問題加劇,社會,歧視,0.997544
社會,性別問題加劇,社會,母親,0.997524
社會,性別問題加劇,社會,工作,0.997511
社會,性別問題加劇,社會,年前,0.99751
社會,性別問題加劇,社會,危機,0.997508
社會,性別問題加劇,社會,全球,0.997484
社會,性別問題加劇,社會,娛樂,0.997452
社會,性別問題加劇,社會,日本,0.997436
社會,性別問題加劇,社會,企業,0.997427
社會,性別問題加劇,社會,兩岸,0.997405
社會,性別問題加劇,社會,網友,0.997386
社會,性別問題加劇,社會,老爸,0.997365
社會,性別問題加劇,社會,三少,0.997356
社會,性別問題加劇,社會,四壯集,0.997353
社會,性別問題加劇,社會,英雄,0.997343
社會,性別問題加劇,社會,男女,0.997323
社會,性別問題加劇,社會,短評,0.997322
社會,性別問題加劇,社會,研究所,0.997287
社會,性別問題加劇,社會,成長,0.997266
社會,性別問題加劇,社會,職場,0.997255
社會,性別問題加劇,社會,故事,0.9972
社會,性別問題加劇,社會,總統,0.997183
社會,性別問題加劇,社會,集團,0.99715
社會,性別問題加劇,社會,觀點,0.99712
社會,性別問題加劇,社會,我們,0.997072
社會,性別問題加劇,社會,人物,0.997069
社會,性別問題加劇,社會,中國,0.997067
社會,性別問題加劇,社會,平權,0.996997
社會,性別問題加劇,社會,大陸,0.996963
社會,性別問題加劇,社會,父母,0.99692
社會,性別問題加劇,社會,服務,0.99691
社會,性別問題加劇,社會,他們,0.996869
