Field,Topic,Keyword,Related Word,Weight
環境,數位化驅動經濟與工作型態轉變,數位經濟,數位經濟,1.0
環境,數位化驅動經濟與工作型態轉變,數位經濟,每年,0.906541
環境,數位化驅動經濟與工作型態轉變,數位經濟,參與,0.904667
環境,數位化驅動經濟與工作型態轉變,數位經濟,復華,0.899376
環境,數位化驅動經濟與工作型態轉變,數位經濟,台股,0.895166
環境,數位化驅動經濟與工作型態轉變,數位經濟,參展,0.89341
環境,數位化驅動經濟與工作型態轉變,數位經濟,就是,0.889702
環境,數位化驅動經濟與工作型態轉變,數位經濟,可望,0.888905
環境,數位化驅動經濟與工作型態轉變,數位經濟,ADOC,0.88861
環境,數位化驅動經濟與工作型態轉變,數位經濟,校長,0.887406
環境,數位化驅動經濟與工作型態轉變,數位經濟,帶動,0.886785
環境,數位化驅動經濟與工作型態轉變,數位經濟,以及,0.886147
環境,數位化驅動經濟與工作型態轉變,數位經濟,效益,0.88578
環境,數位化驅動經濟與工作型態轉變,數位經濟,線上,0.884889
環境,數位化驅動經濟與工作型態轉變,數位經濟,外資,0.883133
環境,數位化驅動經濟與工作型態轉變,數位經濟,股市,0.881822
環境,數位化驅動經濟與工作型態轉變,數位經濟,開鑼,0.879265
環境,數位化驅動經濟與工作型態轉變,數位經濟,精神,0.879238
環境,數位化驅動經濟與工作型態轉變,數位經濟,景氣,0.878558
環境,數位化驅動經濟與工作型態轉變,數位經濟,現代,0.878329
環境,數位化驅動經濟與工作型態轉變,數位經濟,抗跌,0.876847
環境,數位化驅動經濟與工作型態轉變,數位經濟,經理人,0.872908
環境,數位化驅動經濟與工作型態轉變,數位經濟,共同,0.87001
環境,數位化驅動經濟與工作型態轉變,數位經濟,郵局,0.869256
環境,數位化驅動經濟與工作型態轉變,數位經濟,開幕,0.867884
環境,數位化驅動經濟與工作型態轉變,數位經濟,上海,0.866926
環境,數位化驅動經濟與工作型態轉變,數位經濟,奪冠,0.866743
環境,數位化驅動經濟與工作型態轉變,數位經濟,價格,0.866205
環境,數位化驅動經濟與工作型態轉變,數位經濟,大事,0.865403
環境,數位化驅動經濟與工作型態轉變,數位經濟,升值,0.864633
環境,數位化驅動經濟與工作型態轉變,數位經濟,高峰,0.863785
環境,數位化驅動經濟與工作型態轉變,數位經濟,去年,0.863645
環境,數位化驅動經濟與工作型態轉變,數位經濟,連線,0.862857
環境,數位化驅動經濟與工作型態轉變,數位經濟,相對,0.862297
環境,數位化驅動經濟與工作型態轉變,數位經濟,合作,0.861333
環境,數位化驅動經濟與工作型態轉變,數位經濟,內容,0.85909
環境,數位化驅動經濟與工作型態轉變,數位經濟,台北,0.858381
環境,數位化驅動經濟與工作型態轉變,數位經濟,海嘯,0.858343
環境,數位化驅動經濟與工作型態轉變,數位經濟,邀請,0.858241
環境,數位化驅動經濟與工作型態轉變,數位經濟,基金,0.857738
環境,數位化驅動經濟與工作型態轉變,數位經濟,新品,0.857246
環境,數位化驅動經濟與工作型態轉變,數位經濟,金獎,0.856542
環境,數位化驅動經濟與工作型態轉變,數位經濟,幸福,0.853966
環境,數位化驅動經濟與工作型態轉變,數位經濟,兩岸,0.853493
環境,數位化驅動經濟與工作型態轉變,數位經濟,需要,0.852122
環境,數位化驅動經濟與工作型態轉變,數位經濟,進駐,0.851569
環境,數位化驅動經濟與工作型態轉變,數位經濟,業者,0.851111
環境,數位化驅動經濟與工作型態轉變,數位經濟,訂單,0.850996
環境,數位化驅動經濟與工作型態轉變,數位經濟,億元,0.848411
環境,數位化驅動經濟與工作型態轉變,數位經濟,集團,0.848289
環境,數位化驅動經濟與工作型態轉變,數位經濟,自我,0.848225
環境,數位化驅動經濟與工作型態轉變,數位經濟,聯盟,0.848177
環境,數位化驅動經濟與工作型態轉變,數位經濟,利茗,0.848001
環境,數位化驅動經濟與工作型態轉變,數位經濟,政策,0.846276
環境,數位化驅動經濟與工作型態轉變,數位經濟,社論,0.844773
環境,數位化驅動經濟與工作型態轉變,數位經濟,精密,0.844635
環境,數位化驅動經濟與工作型態轉變,數位經濟,治安,0.844186
環境,數位化驅動經濟與工作型態轉變,數位經濟,政府,0.843702
環境,數位化驅動經濟與工作型態轉變,數位經濟,風險,0.842215
環境,數位化驅動經濟與工作型態轉變,數位經濟,十年,0.841088
環境,數位化驅動經濟與工作型態轉變,數位經濟,減速機,0.839525
環境,數位化驅動經濟與工作型態轉變,數位經濟,年內,0.838209
環境,數位化驅動經濟與工作型態轉變,數位經濟,網通,0.837681
環境,數位化驅動經濟與工作型態轉變,數位經濟,學子,0.836764
環境,數位化驅動經濟與工作型態轉變,數位經濟,電子書,0.836691
環境,數位化驅動經濟與工作型態轉變,數位經濟,理事長,0.834262
環境,數位化驅動經濟與工作型態轉變,數位經濟,ECFA,0.834154
環境,數位化驅動經濟與工作型態轉變,數位經濟,連年,0.834058
環境,數位化驅動經濟與工作型態轉變,數位經濟,影響,0.833868
環境,數位化驅動經濟與工作型態轉變,數位經濟,建設,0.832522
環境,數位化驅動經濟與工作型態轉變,數位經濟,公會,0.832254
環境,數位化驅動經濟與工作型態轉變,數位經濟,相關,0.832035
環境,數位化驅動經濟與工作型態轉變,數位經濟,春虹京,0.831508
環境,數位化驅動經濟與工作型態轉變,數位經濟,人民幣,0.829574
環境,數位化驅動經濟與工作型態轉變,數位經濟,平均,0.829421
環境,數位化驅動經濟與工作型態轉變,數位經濟,花博,0.827583
環境,數位化驅動經濟與工作型態轉變,數位經濟,大華,0.827553
環境,數位化驅動經濟與工作型態轉變,數位經濟,首度,0.827298
環境,數位化驅動經濟與工作型態轉變,數位經濟,生產,0.826613
環境,數位化驅動經濟與工作型態轉變,數位經濟,網友,0.8263
環境,數位化驅動經濟與工作型態轉變,數位經濟,典範,0.825884
環境,數位化驅動經濟與工作型態轉變,數位經濟,戰略,0.825345
環境,數位化驅動經濟與工作型態轉變,數位經濟,香港,0.824789
環境,數位化驅動經濟與工作型態轉變,數位經濟,登月,0.823956
環境,數位化驅動經濟與工作型態轉變,數位經濟,展出,0.82326
環境,數位化驅動經濟與工作型態轉變,數位經濟,萬元,0.82298
環境,數位化驅動經濟與工作型態轉變,數位經濟,專欄,0.821479
環境,數位化驅動經濟與工作型態轉變,數位經濟,住宅,0.820593
環境,數位化驅動經濟與工作型態轉變,數位經濟,工具,0.820421
環境,數位化驅動經濟與工作型態轉變,數位經濟,中州,0.82017
環境,數位化驅動經濟與工作型態轉變,數位經濟,交通,0.819818
環境,數位化驅動經濟與工作型態轉變,數位經濟,創業板,0.819132
環境,數位化驅動經濟與工作型態轉變,數位經濟,資金,0.818301
環境,數位化驅動經濟與工作型態轉變,數位經濟,參訪,0.817221
環境,數位化驅動經濟與工作型態轉變,數位經濟,上市,0.81711
環境,數位化驅動經濟與工作型態轉變,數位經濟,服務業,0.816936
環境,數位化驅動經濟與工作型態轉變,數位經濟,投入,0.816141
環境,數位化驅動經濟與工作型態轉變,數位經濟,消費,0.814906
環境,數位化驅動經濟與工作型態轉變,數位經濟,格斯,0.813893
環境,數位化驅動經濟與工作型態轉變,數位經濟,作品,0.813385
環境,數位化驅動經濟與工作型態轉變,數位經濟,社會,0.813269
環境,數位化驅動經濟與工作型態轉變,數位經濟,中正,0.812603
環境,數位化驅動經濟與工作型態轉變,數位經濟,悠遊,0.811769
環境,數位化驅動經濟與工作型態轉變,數位經濟,聰明,0.811642
環境,數位化驅動經濟與工作型態轉變,數位經濟,項目,0.810255
環境,數位化驅動經濟與工作型態轉變,數位經濟,校園,0.809635
環境,數位化驅動經濟與工作型態轉變,數位經濟,生產力,0.808477
環境,數位化驅動經濟與工作型態轉變,數位經濟,第二,0.808469
環境,數位化驅動經濟與工作型態轉變,數位經濟,技職,0.80744
環境,數位化驅動經濟與工作型態轉變,數位經濟,本土,0.806849
環境,數位化驅動經濟與工作型態轉變,數位經濟,短波,0.805601
環境,數位化驅動經濟與工作型態轉變,數位經濟,獲獎,0.804972
環境,數位化驅動經濟與工作型態轉變,數位經濟,機器,0.804587
環境,數位化驅動經濟與工作型態轉變,數位經濟,團隊,0.804564
環境,數位化驅動經濟與工作型態轉變,數位經濟,設計,0.803831
環境,數位化驅動經濟與工作型態轉變,數位經濟,越南,0.80158
環境,數位化驅動經濟與工作型態轉變,數位經濟,教師,0.801342
環境,數位化驅動經濟與工作型態轉變,數位經濟,開講,0.800995
環境,數位化驅動經濟與工作型態轉變,數位經濟,問題,0.800398
環境,數位化驅動經濟與工作型態轉變,數位經濟,協會,0.798491
環境,數位化驅動經濟與工作型態轉變,數位經濟,有效,0.798116
環境,數位化驅動經濟與工作型態轉變,數位經濟,家數,0.798019
環境,數位化驅動經濟與工作型態轉變,數位經濟,華碩,0.797802
環境,數位化驅動經濟與工作型態轉變,數位經濟,啟動,0.795751
環境,數位化驅動經濟與工作型態轉變,數位經濟,Google,0.79567
環境,數位化驅動經濟與工作型態轉變,數位經濟,標準,0.795552
環境,數位化驅動經濟與工作型態轉變,數位經濟,園區,0.795156
環境,數位化驅動經濟與工作型態轉變,數位經濟,關懷,0.795006
環境,數位化驅動經濟與工作型態轉變,數位經濟,創意,0.79491
環境,數位化驅動經濟與工作型態轉變,數位經濟,投資,0.794679
環境,數位化驅動經濟與工作型態轉變,數位經濟,互動,0.794587
環境,數位化驅動經濟與工作型態轉變,數位經濟,工具機,0.794539
環境,數位化驅動經濟與工作型態轉變,數位經濟,傳統產業,0.794402
環境,數位化驅動經濟與工作型態轉變,數位經濟,遠距,0.79439
環境,數位化驅動經濟與工作型態轉變,數位經濟,亞洲,0.793397
環境,數位化驅動經濟與工作型態轉變,數位經濟,連鎖,0.792868
環境,數位化驅動經濟與工作型態轉變,數位經濟,拓展,0.79284
環境,數位化驅動經濟與工作型態轉變,數位經濟,鋼鐵,0.79234
環境,數位化驅動經濟與工作型態轉變,數位經濟,標竿,0.791539
環境,數位化驅動經濟與工作型態轉變,數位經濟,表現,0.790993
環境,數位化驅動經濟與工作型態轉變,數位經濟,參加,0.790432
環境,數位化驅動經濟與工作型態轉變,數位經濟,設備,0.790247
環境,數位化驅動經濟與工作型態轉變,數位經濟,部落,0.788904
環境,數位化驅動經濟與工作型態轉變,數位經濟,永豐,0.788294
環境,數位化驅動經濟與工作型態轉變,數位經濟,零件,0.788195
環境,數位化驅動經濟與工作型態轉變,數位經濟,營收,0.787736
環境,數位化驅動經濟與工作型態轉變,數位經濟,免費,0.787086
環境,數位化驅動經濟與工作型態轉變,數位經濟,搞定,0.786017
環境,數位化驅動經濟與工作型態轉變,數位經濟,PC,0.785175
環境,數位化驅動經濟與工作型態轉變,數位經濟,顧問,0.785116
環境,數位化驅動經濟與工作型態轉變,數位經濟,票選,0.784014
環境,數位化驅動經濟與工作型態轉變,數位經濟,獲得,0.78372
環境,數位化驅動經濟與工作型態轉變,數位經濟,重要,0.783085
環境,數位化驅動經濟與工作型態轉變,數位經濟,教育,0.782611
環境,數位化驅動經濟與工作型態轉變,數位經濟,改變,0.782384
環境,數位化驅動經濟與工作型態轉變,數位經濟,促進,0.781789
環境,數位化驅動經濟與工作型態轉變,數位經濟,廠商,0.781494
環境,數位化驅動經濟與工作型態轉變,數位經濟,掌握,0.7812
環境,數位化驅動經濟與工作型態轉變,數位經濟,來臨,0.780546
環境,數位化驅動經濟與工作型態轉變,數位經濟,效應,0.779288
環境,數位化驅動經濟與工作型態轉變,數位經濟,雜誌,0.778007
環境,數位化驅動經濟與工作型態轉變,數位經濟,加入,0.77793
環境,數位化驅動經濟與工作型態轉變,數位經濟,特區,0.776409
環境,數位化驅動經濟與工作型態轉變,數位經濟,獲利,0.774572
環境,數位化驅動經濟與工作型態轉變,數位經濟,走向,0.774487
環境,數位化驅動經濟與工作型態轉變,數位經濟,美國,0.773984
環境,數位化驅動經濟與工作型態轉變,數位經濟,規畫,0.773206
環境,數位化驅動經濟與工作型態轉變,數位經濟,遠雄,0.773181
環境,數位化驅動經濟與工作型態轉變,數位經濟,爭取,0.773171
環境,數位化驅動經濟與工作型態轉變,數位經濟,高雄,0.772993
環境,數位化驅動經濟與工作型態轉變,數位經濟,不再,0.772864
環境,數位化驅動經濟與工作型態轉變,數位經濟,馬達,0.771714
環境,數位化驅動經濟與工作型態轉變,數位經濟,機械,0.769839
環境,數位化驅動經濟與工作型態轉變,數位經濟,可能,0.769207
環境,數位化驅動經濟與工作型態轉變,數位經濟,中心,0.768899
環境,數位化驅動經濟與工作型態轉變,數位經濟,解決,0.768634
環境,數位化驅動經濟與工作型態轉變,數位經濟,研究,0.768305
環境,數位化驅動經濟與工作型態轉變,數位經濟,手機,0.767538
環境,數位化驅動經濟與工作型態轉變,數位經濟,加強,0.767518
環境,數位化驅動經濟與工作型態轉變,數位經濟,全國,0.767219
環境,數位化驅動經濟與工作型態轉變,數位經濟,創新獎,0.766388
環境,數位化驅動經濟與工作型態轉變,數位經濟,高檔,0.766362
環境,數位化驅動經濟與工作型態轉變,數位經濟,業界,0.765456
環境,數位化驅動經濟與工作型態轉變,數位經濟,智慧型,0.765334
環境,數位化驅動經濟與工作型態轉變,數位經濟,績效,0.764906
環境,數位化驅動經濟與工作型態轉變,數位經濟,參觀,0.764762
環境,數位化驅動經濟與工作型態轉變,數位經濟,董事長,0.763866
環境,數位化驅動經濟與工作型態轉變,數位經濟,第一,0.763813
環境,數位化驅動經濟與工作型態轉變,數位經濟,優勢,0.763294
環境,數位化驅動經濟與工作型態轉變,數位經濟,世博,0.762937
環境,數位化驅動經濟與工作型態轉變,數位經濟,完整,0.761451
環境,數位化驅動經濟與工作型態轉變,數位經濟,領域,0.760219
環境,數位化驅動經濟與工作型態轉變,數位經濟,不能,0.759758
環境,數位化驅動經濟與工作型態轉變,數位經濟,專家,0.759233
環境,數位化驅動經濟與工作型態轉變,數位經濟,只要,0.759105
環境,數位化驅動經濟與工作型態轉變,數位經濟,以上,0.759015
環境,數位化驅動經濟與工作型態轉變,數位經濟,建築,0.758825
環境,數位化驅動經濟與工作型態轉變,數位經濟,最高,0.75853
環境,數位化驅動經濟與工作型態轉變,數位經濟,競賽,0.757936
環境,數位化驅動經濟與工作型態轉變,機器人,世博,0.868269
環境,數位化驅動經濟與工作型態轉變,機器人,全國,0.851319
環境,數位化驅動經濟與工作型態轉變,機器人,大賽,0.843007
環境,數位化驅動經濟與工作型態轉變,機器人,參加,0.797205
環境,數位化驅動經濟與工作型態轉變,機器人,機械,0.718158
環境,數位化驅動經濟與工作型態轉變,機器人,競賽,0.694156
環境,數位化驅動經濟與工作型態轉變,機器人,大陸,0.691857
環境,數位化驅動經濟與工作型態轉變,機器人,掃描,0.678604
環境,數位化驅動經濟與工作型態轉變,機器人,第一,0.666875
環境,數位化驅動經濟與工作型態轉變,機器人,花博,0.664948
環境,數位化驅動經濟與工作型態轉變,機器人,學生,0.653528
環境,數位化驅動經濟與工作型態轉變,機器人,上市,0.64924
環境,數位化驅動經濟與工作型態轉變,機器人,科大,0.640682
環境,數位化驅動經濟與工作型態轉變,機器人,作品,0.639752
環境,數位化驅動經濟與工作型態轉變,機器人,一次,0.639641
環境,數位化驅動經濟與工作型態轉變,機器人,冠軍,0.639517
環境,數位化驅動經濟與工作型態轉變,機器人,合作,0.628302
環境,數位化驅動經濟與工作型態轉變,機器人,智慧型,0.62714
環境,數位化驅動經濟與工作型態轉變,機器人,華碩,0.625462
環境,數位化驅動經濟與工作型態轉變,機器人,創意,0.619506
環境,數位化驅動經濟與工作型態轉變,機器人,亞洲,0.618106
環境,數位化驅動經濟與工作型態轉變,機器人,精密,0.618083
環境,數位化驅動經濟與工作型態轉變,機器人,協會,0.617582
環境,數位化驅動經濟與工作型態轉變,機器人,設計,0.617581
環境,數位化驅動經濟與工作型態轉變,機器人,保全,0.608089
環境,數位化驅動經濟與工作型態轉變,機器人,教育,0.607344
環境,數位化驅動經濟與工作型態轉變,機器人,技職,0.607162
環境,數位化驅動經濟與工作型態轉變,機器人,校園,0.606638
環境,數位化驅動經濟與工作型態轉變,機器人,廠商,0.604324
環境,數位化驅動經濟與工作型態轉變,機器人,登場,0.602933
環境,數位化驅動經濟與工作型態轉變,機器人,中心,0.60254
環境,數位化驅動經濟與工作型態轉變,機器人,問題,0.599366
環境,數位化驅動經濟與工作型態轉變,機器人,中州,0.599146
環境,數位化驅動經濟與工作型態轉變,機器人,現代,0.590133
環境,數位化驅動經濟與工作型態轉變,機器人,工業,0.589527
環境,數位化驅動經濟與工作型態轉變,機器人,格斯,0.579975
環境,數位化驅動經濟與工作型態轉變,機器人,項目,0.579957
環境,數位化驅動經濟與工作型態轉變,機器人,團隊,0.579482
環境,數位化驅動經濟與工作型態轉變,機器人,解決,0.578658
環境,數位化驅動經濟與工作型態轉變,機器人,機器,0.576022
環境,數位化驅動經濟與工作型態轉變,機器人,登月,0.574816
環境,數位化驅動經濟與工作型態轉變,機器人,相關,0.574284
環境,數位化驅動經濟與工作型態轉變,機器人,開幕,0.573323
環境,數位化驅動經濟與工作型態轉變,機器人,台北,0.572692
環境,數位化驅動經濟與工作型態轉變,機器人,設備,0.570303
環境,數位化驅動經濟與工作型態轉變,機器人,課程,0.565983
環境,數位化驅動經濟與工作型態轉變,機器人,公會,0.563341
環境,數位化驅動經濟與工作型態轉變,機器人,創業板,0.560581
環境,數位化驅動經濟與工作型態轉變,機器人,節能,0.560379
環境,數位化驅動經濟與工作型態轉變,機器人,推出,0.555259
環境,數位化驅動經濟與工作型態轉變,機器人,世界,0.553706
環境,數位化驅動經濟與工作型態轉變,機器人,幸福,0.551298
環境,數位化驅動經濟與工作型態轉變,機器人,關懷,0.550072
環境,數位化驅動經濟與工作型態轉變,機器人,上海,0.545755
環境,數位化驅動經濟與工作型態轉變,機器人,中正,0.543877
環境,數位化驅動經濟與工作型態轉變,機器人,理事長,0.543752
環境,數位化驅動經濟與工作型態轉變,機器人,來臨,0.542739
環境,數位化驅動經濟與工作型態轉變,機器人,研究,0.54268
環境,數位化驅動經濟與工作型態轉變,機器人,進駐,0.542057
環境,數位化驅動經濟與工作型態轉變,機器人,觀光,0.532986
環境,數位化驅動經濟與工作型態轉變,機器人,開發,0.532307
環境,數位化驅動經濟與工作型態轉變,機器人,領先,0.528724
環境,數位化驅動經濟與工作型態轉變,機器人,專業,0.52859
環境,數位化驅動經濟與工作型態轉變,機器人,加入,0.527561
環境,數位化驅動經濟與工作型態轉變,機器人,顧問,0.525295
環境,數位化驅動經濟與工作型態轉變,機器人,帶動,0.524401
環境,數位化驅動經濟與工作型態轉變,機器人,單位,0.516979
環境,數位化驅動經濟與工作型態轉變,機器人,Google,0.515599
環境,數位化驅動經濟與工作型態轉變,機器人,展出,0.514281
環境,數位化驅動經濟與工作型態轉變,機器人,研討,0.512993
環境,數位化驅動經濟與工作型態轉變,機器人,產學,0.511634
環境,數位化驅動經濟與工作型態轉變,機器人,邀請,0.510319
環境,數位化驅動經濟與工作型態轉變,機器人,PC,0.507957
環境,數位化驅動經濟與工作型態轉變,機器人,完整,0.507123
環境,數位化驅動經濟與工作型態轉變,機器人,社論,0.505249
環境,數位化驅動經濟與工作型態轉變,機器人,參展,0.504936
環境,數位化驅動經濟與工作型態轉變,機器人,電子書,0.503949
環境,數位化驅動經濟與工作型態轉變,機器人,聯盟,0.502716
環境,數位化驅動經濟與工作型態轉變,機器人,工具機,0.502421
環境,數位化驅動經濟與工作型態轉變,機器人,治安,0.501691
環境,數位化驅動經濟與工作型態轉變,機器人,人民幣,0.501313
環境,數位化驅動經濟與工作型態轉變,機器人,資訊,0.500585
環境,數位化驅動經濟與工作型態轉變,機器人,高檔,0.495721
環境,數位化驅動經濟與工作型態轉變,機器人,零件,0.495034
環境,數位化驅動經濟與工作型態轉變,機器人,專家,0.494274
環境,數位化驅動經濟與工作型態轉變,機器人,利茗,0.49274
環境,數位化驅動經濟與工作型態轉變,機器人,拓展,0.491914
環境,數位化驅動經濟與工作型態轉變,機器人,社會,0.491333
環境,數位化驅動經濟與工作型態轉變,機器人,園區,0.490414
環境,數位化驅動經濟與工作型態轉變,機器人,月底,0.487995
環境,數位化驅動經濟與工作型態轉變,機器人,功能,0.486369
環境,數位化驅動經濟與工作型態轉變,機器人,最大,0.485106
環境,數位化驅動經濟與工作型態轉變,機器人,印刷,0.484241
環境,數位化驅動經濟與工作型態轉變,機器人,柏瑞,0.483916
環境,數位化驅動經濟與工作型態轉變,機器人,進軍,0.483496
環境,數位化驅動經濟與工作型態轉變,機器人,積極,0.481396
環境,數位化驅動經濟與工作型態轉變,機器人,創新獎,0.480948
環境,數位化驅動經濟與工作型態轉變,機器人,參訪,0.480789
環境,數位化驅動經濟與工作型態轉變,機器人,快速,0.480336
環境,數位化驅動經濟與工作型態轉變,機器人,爭取,0.479037
環境,數位化驅動經濟與工作型態轉變,機器人,開講,0.478959
環境,數位化驅動經濟與工作型態轉變,機器人,可以,0.478928
