Field,Topic,Keyword,Related Word,Weight
經濟,數位經濟發展,物聯網,物聯網,1.0
經濟,數位經濟發展,物聯網,商機,0.989832
經濟,數位經濟發展,物聯網,兩岸,0.988419
經濟,數位經濟發展,物聯網,新興產業,0.982334
經濟,數位經濟發展,物聯網,台商,0.980273
經濟,數位經濟發展,物聯網,擴大,0.979711
經濟,數位經濟發展,物聯網,論壇,0.978582
經濟,數位經濟發展,物聯網,通訊,0.9771
經濟,數位經濟發展,物聯網,交流,0.976623
經濟,數位經濟發展,物聯網,登場,0.97617
經濟,數位經濟發展,物聯網,提升,0.975774
經濟,數位經濟發展,物聯網,積極,0.975212
經濟,數位經濟發展,物聯網,合作,0.975101
經濟,數位經濟發展,物聯網,未來,0.974429
經濟,數位經濟發展,物聯網,ICT,0.974074
經濟,數位經濟發展,物聯網,推動,0.972824
經濟,數位經濟發展,物聯網,移動,0.972552
經濟,數位經濟發展,物聯網,智慧,0.972279
經濟,數位經濟發展,物聯網,中華,0.972191
經濟,數位經濟發展,物聯網,業者,0.971861
經濟,數位經濟發展,物聯網,文創,0.971092
經濟,數位經濟發展,物聯網,競爭力,0.970282
經濟,數位經濟發展,物聯網,電信,0.970192
經濟,數位經濟發展,物聯網,聚焦,0.969977
經濟,數位經濟發展,物聯網,應用,0.969619
經濟,數位經濟發展,物聯網,能源,0.969585
經濟,數位經濟發展,物聯網,十二五,0.96958
經濟,數位經濟發展,物聯網,開講,0.968996
經濟,數位經濟發展,物聯網,資安,0.968921
經濟,數位經濟發展,物聯網,內容,0.968761
經濟,數位經濟發展,物聯網,雲端,0.968435
經濟,數位經濟發展,物聯網,縮減,0.968314
經濟,數位經濟發展,物聯網,物流,0.968163
經濟,數位經濟發展,物聯網,領域,0.967949
經濟,數位經濟發展,物聯網,資策,0.96781
經濟,數位經濟發展,物聯網,多元化,0.967797
經濟,數位經濟發展,物聯網,國際,0.967691
經濟,數位經濟發展,物聯網,經濟部,0.967674
經濟,數位經濟發展,物聯網,趨勢,0.967656
經濟,數位經濟發展,物聯網,空間,0.967517
經濟,數位經濟發展,物聯網,成果,0.967379
經濟,數位經濟發展,物聯網,開始,0.967335
經濟,數位經濟發展,物聯網,寬頻,0.967314
經濟,數位經濟發展,物聯網,服務業,0.967312
經濟,數位經濟發展,物聯網,聯盟,0.966523
經濟,數位經濟發展,物聯網,受惠,0.966515
經濟,數位經濟發展,物聯網,帶來,0.966513
經濟,數位經濟發展,物聯網,技術,0.966503
經濟,數位經濟發展,物聯網,專家,0.966443
經濟,數位經濟發展,物聯網,網住,0.966402
經濟,數位經濟發展,物聯網,透過,0.966349
經濟,數位經濟發展,物聯網,協助,0.966291
經濟,數位經濟發展,物聯網,群聚,0.966233
經濟,數位經濟發展,物聯網,匯流,0.966209
經濟,數位經濟發展,物聯網,麥可,0.966091
經濟,數位經濟發展,物聯網,觀測,0.966033
經濟,數位經濟發展,物聯網,IT,0.96589
經濟,數位經濟發展,物聯網,青島,0.965709
經濟,數位經濟發展,物聯網,攜手,0.965689
經濟,數位經濟發展,物聯網,顧客,0.965602
經濟,數位經濟發展,物聯網,分享,0.965572
經濟,數位經濟發展,物聯網,特色,0.965189
經濟,數位經濟發展,物聯網,前瞻,0.965077
經濟,數位經濟發展,物聯網,主辦,0.964951
經濟,數位經濟發展,物聯網,互聯網,0.964886
經濟,數位經濟發展,物聯網,建築,0.964875
經濟,數位經濟發展,物聯網,波特,0.964838
經濟,數位經濟發展,物聯網,學習,0.964832
經濟,數位經濟發展,物聯網,開創,0.964829
經濟,數位經濟發展,物聯網,動畫,0.964704
經濟,數位經濟發展,物聯網,啟動,0.964677
經濟,數位經濟發展,物聯網,發表,0.964632
經濟,數位經濟發展,物聯網,觀光,0.964505
經濟,數位經濟發展,物聯網,再造,0.964479
經濟,數位經濟發展,物聯網,PKI,0.964242
經濟,數位經濟發展,物聯網,動力,0.964155
經濟,數位經濟發展,物聯網,MIT,0.964091
經濟,數位經濟發展,物聯網,創新,0.963998
經濟,數位經濟發展,物聯網,資訊月,0.963889
經濟,數位經濟發展,物聯網,研華,0.963827
經濟,數位經濟發展,物聯網,進行,0.963805
經濟,數位經濟發展,物聯網,年度,0.963781
經濟,數位經濟發展,物聯網,意願,0.963671
