Field,Topic,Keyword,Related Word,Weight
經濟,文化創意經濟,創意,創意,1.0
經濟,文化創意經濟,創意,行動,0.832374
經濟,文化創意經濟,創意,生命,0.829085
經濟,文化創意經濟,創意,行銷,0.827578
經濟,文化創意經濟,創意,展現,0.821041
經濟,文化創意經濟,創意,產品,0.819917
經濟,文化創意經濟,創意,城鄉,0.813511
經濟,文化創意經濟,創意,開講,0.808032
經濟,文化創意經濟,創意,特色,0.805595
經濟,文化創意經濟,創意,小調,0.802546
經濟,文化創意經濟,創意,活力,0.800478
經濟,文化創意經濟,創意,傳承,0.793985
經濟,文化創意經濟,創意,結合,0.791473
經濟,文化創意經濟,創意,部落,0.787337
經濟,文化創意經濟,創意,加值,0.786157
經濟,文化創意經濟,創意,元素,0.785716
經濟,文化創意經濟,創意,美學,0.779986
經濟,文化創意經濟,創意,發明,0.774591
經濟,文化創意經濟,創意,再造,0.773501
經濟,文化創意經濟,創意,風格,0.772332
經濟,文化創意經濟,創意,產業園,0.771665
經濟,文化創意經濟,創意,一種,0.770819
經濟,文化創意經濟,創意,來自,0.770402
經濟,文化創意經濟,創意,文學,0.769575
經濟,文化創意經濟,創意,推廣,0.767736
經濟,文化創意經濟,創意,全國,0.765494
經濟,文化創意經濟,創意,分享,0.765476
經濟,文化創意經濟,創意,精緻,0.764619
經濟,文化創意經濟,創意,融入,0.764472
經濟,文化創意經濟,創意,改變,0.763111
經濟,文化創意經濟,創意,音樂,0.762395
經濟,文化創意經濟,創意,生活,0.761946
經濟,文化創意經濟,創意,世界,0.76157
經濟,文化創意經濟,創意,玻璃,0.761447
經濟,文化創意經濟,創意,獨特,0.759151
經濟,文化創意經濟,創意,媽祖,0.758334
經濟,文化創意經濟,創意,原住民,0.756942
經濟,文化創意經濟,創意,可以,0.755603
經濟,文化創意經濟,創意,時代,0.754387
經濟,文化創意經濟,創意,定位,0.753927
經濟,文化創意經濟,創意,陶瓷,0.753718
經濟,文化創意經濟,創意,走廊,0.753377
經濟,文化創意經濟,創意,高應,0.751055
