Field,Topic,Keyword,Related Word,Weight
環境,核能安全問題,核一,核一,1.0
環境,核能安全問題,核一,無虞,0.889222
環境,核能安全問題,核一,燃料,0.865193
環境,核能安全問題,核一,縣府,0.860387
環境,核能安全問題,核一,要求,0.858256
環境,核能安全問題,核一,廢料,0.856819
環境,核能安全問題,核一,波瀾,0.841766
環境,核能安全問題,核一,環團,0.838835
環境,核能安全問題,核一,提前,0.837148
環境,核能安全問題,核一,裁判,0.835164
環境,核能安全問題,核一,啟用,0.833892
環境,核能安全問題,核一,澄清,0.832643
環境,核能安全問題,核一,核二廠,0.832556
環境,核能安全問題,核一,確保安全,0.832498
環境,核能安全問題,核一,核一廠,0.832263
環境,核能安全問題,核一,小組,0.829696
環境,核能安全問題,核一,暫停,0.825007
環境,核能安全問題,核一,無人島,0.822268
環境,核能安全問題,核一,無法,0.820181
環境,核能安全問題,核一,球員,0.814503
環境,核能安全問題,核一,核燃料,0.812135
環境,核能安全問題,核一,奏效,0.809754
環境,核能安全問題,核一,老鼠,0.808519
環境,核能安全問題,核一,訴願,0.807063
環境,核能安全問題,核一,千人,0.806747
環境,核能安全問題,核一,場址,0.804516
環境,核能安全問題,核一,不延役,0.80308
環境,核能安全問題,核一,總體,0.799569
環境,核能安全問題,核一,國外,0.797461
環境,核能安全問題,核一,定時炸彈,0.797334
環境,核能安全問題,核一,確定,0.797238
環境,核能安全問題,核一,飛機,0.789731
環境,核能安全問題,核一,不得,0.789656
環境,核能安全問題,核一,爆核災,0.789587
環境,核能安全問題,核一,同意,0.787843
環境,核能安全問題,核一,最終,0.787632
環境,核能安全問題,核一,林佳龍,0.78762
環境,核能安全問題,核一,全程,0.78606
環境,核能安全問題,核一,核研,0.7857
環境,核能安全問題,核一,委屈,0.785304
環境,核能安全問題,核一,選址,0.784796
環境,核能安全問題,核一,乾式,0.783582
環境,核能安全問題,核一,痛批,0.783294
環境,核能安全問題,核一,結辯,0.78281
環境,核能安全問題,核一,痛苦,0.78226
環境,核能安全問題,核一,通電,0.780871
環境,核能安全問題,核一,專責,0.779904
環境,核能安全問題,核一,撤銷,0.779663
環境,核能安全問題,核一,核四廠,0.778726
環境,核能安全問題,核一,預定,0.77793
環境,核能安全問題,核一,商榷,0.776859
環境,核能安全問題,核一,機關,0.776743
環境,核能安全問題,核一,監院,0.776665
環境,核能安全問題,核一,斷層,0.776554
環境,核能安全問題,核一,停機,0.776003
環境,核能安全問題,核一,延宕,0.775514
環境,核能安全問題,核一,貯場,0.774736
環境,核能安全問題,核一,每天,0.773963
環境,核能安全問題,核一,核廢乾,0.773038
環境,核能安全問題,核一,原能會,0.772575
環境,核能安全問題,核一,現有,0.772234
環境,核能安全問題,核一,一切,0.771514
環境,核能安全問題,核一,vs,0.771247
環境,核能安全問題,核一,儲放,0.770185
環境,核能安全問題,核一,唯一,0.770081
環境,核能安全問題,核一,台電,0.76959
環境,核能安全問題,核一,送往,0.768805
環境,核能安全問題,核一,否認,0.768065
環境,核能安全問題,核一,拼裝車,0.768064
環境,核能安全問題,核一,小時,0.767874
環境,核能安全問題,核一,探勘,0.767752
環境,核能安全問題,核一,綠委,0.767594
環境,核能安全問題,核一,透明化,0.7675
環境,核能安全問題,核一,龍潭,0.766866
環境,核能安全問題,核一,一二三,0.765586
環境,核能安全問題,核一,疑慮,0.765125
環境,核能安全問題,核一,奢談,0.764468
環境,核能安全問題,核一,發現,0.764445
環境,核能安全問題,核一,民國,0.76378
環境,核能安全問題,核一,尚未,0.76334
環境,核能安全問題,核一,絕沒,0.762901
環境,核能安全問題,核一,媽媽,0.762326
環境,核能安全問題,核一,結果,0.761492
環境,核能安全問題,核一,境外,0.761139
環境,核能安全問題,核一,檢測,0.760774
環境,核能安全問題,核一,成本低,0.760491
環境,核能安全問題,核一,考慮,0.760075
環境,核能安全問題,核一,核四有,0.75883
環境,核能安全問題,核一,不好,0.758539
環境,核能安全問題,核一,商轉,0.758504
環境,核能安全問題,核一,鄉民,0.756779
環境,核能安全問題,核一,設施,0.756593
環境,核能安全問題,核一,核三廠,0.756238
環境,核能安全問題,核一,疏失,0.754344
環境,核能安全問題,核一,去核,0.754266
環境,核能安全問題,核一,月底,0.754008
環境,核能安全問題,核一,擔心,0.753767
環境,核能安全問題,核一,核二核,0.753767
環境,核能安全問題,核一,大武,0.752278
環境,核能安全問題,核一,棘手,0.751894
環境,核能安全問題,核一,龍門,0.751392
環境,核能安全問題,核一,運送,0.751124
環境,核能安全問題,核一,縣長,0.751103
環境,核能安全問題,核一,小調,0.751037
環境,核能安全問題,核一,深澳,0.750937
環境,核能安全問題,核一,廠要,0.750844
環境,核能安全問題,核一,核四若,0.749939
環境,核能安全問題,核一,實測,0.74983
環境,核能安全問題,核一,成核,0.748344
環境,核能安全問題,核一,北車,0.747634
環境,核能安全問題,核一,南澳,0.747482
環境,核能安全問題,核一,貯存,0.745768
環境,核能安全問題,核一,林宗堯,0.745618
環境,核能安全問題,核一,台電未,0.744087
環境,核能安全問題,核一,前提,0.744053
環境,核能安全問題,核一,金門,0.743424
環境,核能安全問題,核一,一樣,0.743238
環境,核能安全問題,核一,跳票,0.743138
環境,核能安全問題,核一,認同,0.743104
環境,核能安全問題,核一,人訪,0.742445
環境,核能安全問題,核一,重球,0.74244
環境,核能安全問題,核一,招標,0.742409
環境,核能安全問題,核一,廢場,0.742335
環境,核能安全問題,核一,承諾,0.742091
環境,核能安全問題,核一,處分,0.741529
環境,核能安全問題,核一,碼頭,0.741356
環境,核能安全問題,核一,表示,0.741094
環境,核能安全問題,核一,處置,0.740684
環境,核能安全問題,核一,作業,0.74063
環境,核能安全問題,核一,運轉,0.74053
環境,核能安全問題,核一,低估,0.740202
環境,核能安全問題,核一,辦法,0.739855
環境,核能安全問題,核一,城鄉,0.738868
環境,核能安全問題,核一,設計,0.738607
環境,核能安全問題,核一,生活報,0.738596
環境,核能安全問題,核一,點頭,0.737871
環境,核能安全問題,核一,儲存,0.737356
環境,核能安全問題,核一,暴露,0.736458
環境,核能安全問題,核一,立即,0.735692
環境,核能安全問題,核一,確認,0.734469
環境,核能安全問題,核一,原能,0.734329
環境,核能安全問題,核一,周五,0.734204
環境,核能安全問題,核一,接受,0.734067
環境,核能安全問題,核一,圍剿,0.733969
環境,核能安全問題,核一,放射性,0.73388
環境,核能安全問題,核一,提早,0.732953
環境,核能安全問題,核一,安檢,0.732683
環境,核能安全問題,核一,菅直,0.731866
環境,核能安全問題,核一,禁止,0.731536
環境,核能安全問題,核一,批台電,0.730774
環境,核能安全問題,核一,決議,0.730536
環境,核能安全問題,核一,核廢終,0.73047
環境,核能安全問題,核一,齊唱,0.730445
環境,核能安全問題,核一,從不,0.729722
環境,核能安全問題,核一,改善,0.729571
環境,核能安全問題,核一,李卓翰,0.729267
環境,核能安全問題,核一,議員,0.729265
環境,核能安全問題,核一,撤案,0.729131
環境,核能安全問題,核一,一號,0.728694
環境,核能安全問題,核四,林宗堯,0.717553
環境,核能安全問題,核四,核四廠,0.706202
環境,核能安全問題,核四,結辯,0.673886
環境,核能安全問題,核四,立即,0.666462
環境,核能安全問題,核四,運轉,0.657503
環境,核能安全問題,核四,vs,0.650375
環境,核能安全問題,核四,齊唱,0.649231
環境,核能安全問題,核四,確保安全,0.648347
環境,核能安全問題,核四,核廢終,0.64176
環境,核能安全問題,核四,無法,0.634473
環境,核能安全問題,核四,同意,0.63291
環境,核能安全問題,核四,認同,0.630372
環境,核能安全問題,核四,不得,0.629769
環境,核能安全問題,核四,安檢,0.625842
環境,核能安全問題,核四,飛機,0.624713
環境,核能安全問題,核四,點頭,0.620842
環境,核能安全問題,核四,機關,0.620503
環境,核能安全問題,核四,月底,0.614806
環境,核能安全問題,核四,老鼠,0.604699
環境,核能安全問題,核四,核四若,0.599384
環境,核能安全問題,核四,定時炸彈,0.599213
環境,核能安全問題,核四,周五,0.598754
環境,核能安全問題,核四,唯一,0.594921
環境,核能安全問題,核四,尊重,0.591419
環境,核能安全問題,核四,決議,0.591343
環境,核能安全問題,核四,撤案,0.590956
環境,核能安全問題,核四,延宕,0.588683
環境,核能安全問題,核四,最快,0.588356
環境,核能安全問題,核四,拼裝車,0.587799
環境,核能安全問題,核四,跳票,0.585402
環境,核能安全問題,核廢料,處置,0.753712
環境,核能安全問題,核廢料,國外,0.753604
環境,核能安全問題,核廢料,專責,0.739495
環境,核能安全問題,核廢料,貯存,0.738861
環境,核能安全問題,核廢料,境外,0.734926
環境,核能安全問題,核廢料,招標,0.712318
環境,核能安全問題,核廢料,廢料,0.703816
環境,核能安全問題,核廢料,乾式,0.703082
環境,核能安全問題,核廢料,最終,0.686971
環境,核能安全問題,核廢料,縣府,0.686569
環境,核能安全問題,核廢料,設施,0.680929
環境,核能安全問題,核廢料,核燃料,0.679162
環境,核能安全問題,核廢料,選址,0.66682
環境,核能安全問題,核廢料,不好,0.661145
環境,核能安全問題,核廢料,無人島,0.651368
環境,核能安全問題,核廢料,小組,0.642943
環境,核能安全問題,核廢料,議員,0.637231
環境,核能安全問題,核廢料,南澳,0.63672
環境,核能安全問題,核廢料,去核,0.63276
環境,核能安全問題,核廢料,一樣,0.62902
環境,核能安全問題,核廢料,龍潭,0.62901
環境,核能安全問題,核廢料,每天,0.625495
環境,核能安全問題,核廢料,場址,0.624663
環境,核能安全問題,核廢料,棘手,0.624055
環境,核能安全問題,核廢料,放射,0.622525
環境,核能安全問題,核廢料,環團,0.620431
環境,核能安全問題,核廢料,圍剿,0.619731
