Field,Topic,Keyword,Related Word,Weight
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,社會轉型,1.0
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,改革,0.997592
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,投書,0.997592
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,挑戰,0.997456
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,不能,0.997447
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,轉型,0.99744
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,國際,0.997407
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,南方,0.997396
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,影響,0.997329
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,學者,0.997322
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,周報,0.997285
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,合作,0.997249
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,民間,0.997179
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,巴馬,0.997165
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,博弈,0.997118
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,媒體,0.997087
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,模式,0.997066
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,年代,0.997038
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,論壇,0.99697
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,支持,0.996968
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,政府,0.99696
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,全面,0.996952
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,思考,0.996945
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,系列,0.996915
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,條例,0.996913
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,價值,0.996899
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,精神,0.99688
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,房市,0.996867
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,東協,0.996862
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,策略,0.996858
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,司法,0.996831
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,人民,0.996824
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,關鍵,0.996747
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,專訪,0.996744
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,競爭力,0.996704
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,名家,0.996677
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,成立,0.996648
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,金融,0.996569
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,上海,0.996563
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,區域,0.99654
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,歷史,0.996529
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,企業,0.996506
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,解決,0.996495
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,治理,0.996484
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,主軸,0.996472
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,北京,0.996417
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,管理,0.996405
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,開講,0.996396
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,商機,0.996391
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,弱勢,0.996343
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,申請,0.996338
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,問題,0.996338
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,紀錄,0.996332
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,歐洲,0.996316
社會,民眾作為研究與創新系統中的參與行動者,社會轉型,危機,0.996303
