Field,Topic,Keyword,Related Word,Weight
技術,氣候變遷與自然災害,救災,救災,1.0
技術,氣候變遷與自然災害,救災,土石,0.992929
技術,氣候變遷與自然災害,救災,國軍,0.991485
技術,氣候變遷與自然災害,救災,災區,0.989862
技術,氣候變遷與自然災害,救災,失蹤,0.989778
技術,氣候變遷與自然災害,救災,水災,0.984948
技術,氣候變遷與自然災害,救災,撤離,0.98328
技術,氣候變遷與自然災害,救災,災情,0.982562
技術,氣候變遷與自然災害,救災,風災,0.980958
技術,氣候變遷與自然災害,救災,總動員,0.980785
技術,氣候變遷與自然災害,救災,指揮,0.978405
技術,氣候變遷與自然災害,救災,府院,0.978276
技術,氣候變遷與自然災害,救災,廬山,0.977593
技術,氣候變遷與自然災害,救災,軍方,0.975691
技術,氣候變遷與自然災害,救災,停電,0.975655
技術,氣候變遷與自然災害,救災,防災,0.975174
技術,氣候變遷與自然災害,救災,災民,0.974964
技術,氣候變遷與自然災害,救災,八八,0.973392
技術,氣候變遷與自然災害,救災,警戒,0.972799
技術,氣候變遷與自然災害,救災,待命,0.97163
技術,氣候變遷與自然災害,救災,公路,0.971114
技術,氣候變遷與自然災害,救災,颱風,0.966826
技術,氣候變遷與自然災害,救災,坐鎮,0.965851
技術,氣候變遷與自然災害,救災,演練,0.964731
技術,氣候變遷與自然災害,救災,勘災,0.964054
技術,氣候變遷與自然災害,救災,消防,0.963667
技術,氣候變遷與自然災害,救災,動員,0.961451
技術,氣候變遷與自然災害,救災,鳳凰,0.958724
技術,氣候變遷與自然災害,救災,豪雨,0.956945
技術,氣候變遷與自然災害,救災,通報,0.953823
技術,氣候變遷與自然災害,救災,防颱,0.950839
技術,氣候變遷與自然災害,救災,之過,0.949799
技術,氣候變遷與自然災害,救災,停班,0.945105
技術,氣候變遷與自然災害,救災,逼真,0.944694
技術,氣候變遷與自然災害,救災,大雨,0.944082
技術,氣候變遷與自然災害,救災,演習,0.943967
技術,氣候變遷與自然災害,救災,嚴防,0.943561
技術,氣候變遷與自然災害,救災,重建,0.943391
技術,氣候變遷與自然災害,救災,淹水,0.939951
技術,氣候變遷與自然災害,救災,內閣,0.938919
技術,氣候變遷與自然災害,救災,救援,0.938583
技術,氣候變遷與自然災害,救災,總辭,0.934738
技術,氣候變遷與自然災害,救災,風雨,0.933546
技術,氣候變遷與自然災害,救災,熱門話題,0.932573
技術,氣候變遷與自然災害,救災,市長,0.932104
技術,氣候變遷與自然災害,救災,搜救,0.931605
