Field,Topic,Keyword,Related Word,Weight
環境,災難危險,事故,事故,1.0
環境,災難危險,事故,滿地,0.903069
環境,災難危險,事故,廠房,0.882351
環境,災難危險,事故,那瑪夏,0.880902
環境,災難危險,事故,溪流,0.880453
環境,災難危險,事故,警報器,0.879274
環境,災難危險,事故,燒燙傷,0.878164
環境,災難危險,事故,傷患,0.874442
環境,災難危險,事故,避難所,0.871154
環境,災難危險,事故,勸募,0.869021
環境,災難危險,事故,桃源,0.868582
環境,災難危險,事故,年限,0.868469
環境,災難危險,事故,中橫,0.867522
環境,災難危險,事故,建物,0.867519
環境,災難危險,事故,竊盜,0.867518
環境,災難危險,事故,鷹架,0.866232
環境,災難危險,事故,愛車,0.86576
環境,災難危險,事故,車主,0.86546
環境,災難危險,事故,倉庫,0.864971
環境,災難危險,事故,工務局,0.863084
環境,災難危險,事故,中小學,0.861834
環境,災難危險,事故,危樓,0.861731
環境,災難危險,事故,仁愛,0.860503
環境,災難危險,事故,掉落,0.859381
環境,災難危險,事故,下山,0.858893
環境,災難危險,事故,烏日,0.858342
環境,災難危險,事故,毒化,0.856205
環境,災難危險,事故,槽車,0.855373
環境,災難危險,事故,麥德姆,0.854867
環境,災難危險,事故,鏽蝕,0.854432
環境,災難危險,事故,濁水溪,0.851486
環境,災難危險,事故,報廢,0.851408
環境,災難危險,事故,桃機,0.851125
環境,災難危險,事故,新店,0.85077
環境,災難危險,事故,權責,0.850643
環境,災難危險,事故,濫墾,0.850556
環境,災難危險,事故,八卦山,0.84951
環境,災難危險,事故,恆春,0.848307
環境,災難危險,事故,勘查,0.848203
環境,災難危險,事故,傾倒,0.848069
環境,災難危險,事故,蘇迪勒,0.847332
環境,災難危險,事故,菜農,0.847206
環境,災難危險,事故,丙烯,0.847006
環境,災難危險,事故,山坡地,0.846923
環境,災難危險,事故,新中橫,0.846765
環境,災難危險,事故,搜救,0.845177
環境,災難危險,事故,老農,0.844904
環境,災難危險,事故,投縣,0.844697
環境,災難危險,事故,瓜農,0.844044
環境,災難危險,事故,紅豆,0.843625
環境,災難危險,事故,香瓜,0.843508
環境,災難危險,事故,旗山,0.842943
環境,災難危險,事故,發電機,0.842375
環境,災難危險,事故,時段,0.84147
環境,災難危險,事故,殘留,0.841381
環境,災難危險,事故,茶村,0.840838
環境,災難危險,事故,夜宿,0.840242
環境,災難危險,事故,未設,0.840133
環境,災難危險,事故,縱火,0.840011
環境,災難危險,事故,復原,0.839124
環境,災難危險,事故,汛期,0.838493
環境,災難危險,事故,水保,0.83844
環境,災難危險,事故,閘門,0.837481
環境,災難危險,事故,水域,0.837206
環境,災難危險,事故,復建,0.837117
環境,災難危險,事故,颱風季,0.837093
環境,災難危險,事故,氣爆,0.836856
環境,災難危險,事故,河床,0.835078
環境,災難危險,事故,區公所,0.834986
環境,災難危險,事故,車廂,0.834787
環境,災難危險,事故,消防隊,0.834277
環境,災難危險,事故,台線,0.834118
環境,災難危險,事故,農業局,0.834083
環境,災難危險,事故,活埋,0.83244
環境,災難危險,事故,柚農,0.832387
環境,災難危險,事故,逃過一劫,0.831726
環境,災難危險,事故,蘇花,0.831654
環境,災難危險,事故,美濃,0.831395
環境,災難危險,事故,宜縣,0.831295
環境,災難危險,事故,遊樂區,0.831218
環境,災難危險,事故,排水,0.831199
環境,災難危險,事故,住戶,0.831112
環境,災難危險,事故,林聰賢,0.830762
環境,災難危險,事故,文山,0.830752
環境,災難危險,事故,抵達,0.830429
環境,災難危險,事故,流域,0.830392
環境,災難危險,事故,停車場,0.82962
環境,災難危險,事故,整修,0.828246
環境,災難危險,事故,埔里,0.827467
環境,災難危險,事故,停班課,0.826824
環境,災難危險,事故,中山,0.825673
環境,災難危險,傳染病,傳染病,1.0
環境,災難危險,傳染病,病毒,0.887653
環境,災難危險,傳染病,波拉,0.853584
環境,災難危險,傳染病,登革熱,0.846966
環境,災難危險,傳染病,傳染,0.843151
環境,災難危險,傳染病,治療,0.840553
環境,災難危險,傳染病,感染,0.833491
環境,災難危險,傳染病,染病,0.830798
環境,災難危險,傳染病,肺結核,0.830381
環境,災難危險,傳染病,HN,0.825269
環境,災難危險,傳染病,疫區,0.824396
環境,災難危險,傳染病,隔離,0.82436
環境,災難危險,傳染病,結核病,0.817371
環境,災難危險,傳染病,首例,0.816156
環境,災難危險,傳染病,諾瓦克,0.81138
環境,災難危險,傳染病,禽流感,0.810779
環境,災難危險,傳染病,醫院,0.807412
環境,災難危險,傳染病,疫情,0.806671
環境,災難危險,傳染病,小兒,0.806588
環境,災難危險,傳染病,奪命,0.805899
環境,災難危險,傳染病,患者,0.805388
環境,災難危險,傳染病,疾管局,0.801763
環境,災難危險,傳染病,愛滋,0.80159
環境,災難危險,傳染病,暴斃,0.798554
環境,災難危險,傳染病,防治,0.797214
環境,災難危險,傳染病,呼吸道,0.794493
環境,災難危險,傳染病,咳嗽,0.793315
環境,災難危險,傳染病,高中生,0.791702
環境,災難危險,傳染病,胎兒,0.79141
環境,災難危險,傳染病,勤洗手,0.79133
環境,災難危險,傳染病,人畜,0.790646
環境,災難危險,傳染病,病毒感染,0.789717
環境,災難危險,傳染病,症狀,0.787478
環境,災難危險,傳染病,SARS,0.786966
環境,災難危險,傳染病,諾羅,0.78661
環境,災難危險,傳染病,愛滋病,0.786361
環境,災難危險,傳染病,病患,0.786348
環境,災難危險,傳染病,接種,0.784423
環境,災難危險,傳染病,疾病,0.782984
環境,災難危險,傳染病,中風,0.782898
環境,災難危險,傳染病,抗藥性,0.782337
環境,災難危險,傳染病,嘔吐,0.781485
環境,災難危險,傳染病,撲殺,0.780326
環境,災難危險,傳染病,流感疫苗,0.778567
環境,災難危險,傳染病,親愛,0.777168
