Field,Topic,Keyword,Related Word,Weight
環境,生物多樣性的危機,廢水,農民,0.967552
環境,生物多樣性的危機,廢水,工廠,0.967044
環境,生物多樣性的危機,廢水,業者,0.966519
環境,生物多樣性的危機,廢水,嚴重,0.965945
環境,生物多樣性的危機,廢水,石場,0.965669
環境,生物多樣性的危機,廢水,告發,0.957962
環境,生物多樣性的危機,廢水,居民,0.957087
環境,生物多樣性的危機,廢水,檢舉,0.956703
環境,生物多樣性的危機,廢水,環署,0.955664
環境,生物多樣性的危機,廢水,縣府,0.949167
環境,生物多樣性的危機,廢水,畜牧業,0.947808
環境,生物多樣性的危機,廢水,說明會,0.947441
環境,生物多樣性的危機,廢水,河川,0.946727
環境,生物多樣性的危機,廢水,暴斃,0.945661
環境,生物多樣性的危機,廢水,違規,0.942992
環境,生物多樣性的危機,廢水,環局,0.94188
環境,生物多樣性的危機,廢水,取締,0.941146
環境,生物多樣性的危機,廢水,議員,0.938583
環境,生物多樣性的危機,廢水,元凶,0.938055
環境,生物多樣性的危機,廢水,抗議,0.937844
環境,生物多樣性的危機,廢水,魚群,0.937562
環境,生物多樣性的危機,廢水,污染,0.935933
環境,生物多樣性的危機,廢水,補助,0.935901
環境,生物多樣性的危機,廢水,工業區,0.9355
環境,生物多樣性的危機,廢水,違法,0.934797
環境,生物多樣性的危機,廢水,社會,0.93187
環境,生物多樣性的危機,廢水,皮革廠,0.931406
環境,生物多樣性的危機,廢水,下水道,0.930351
環境,生物多樣性的危機,廢水,電鍍,0.930038
環境,生物多樣性的危機,廢水,梧棲,0.928583
環境,生物多樣性的危機,廢水,二仁溪,0.928421
環境,生物多樣性的危機,廢水,惡臭,0.928175
環境,生物多樣性的危機,廢水,排水,0.927488
環境,生物多樣性的危機,廢水,勒令,0.927031
環境,生物多樣性的危機,廢水,魚屍,0.926354
環境,生物多樣性的危機,廢水,教育,0.92589
環境,生物多樣性的危機,廢水,防治,0.925494
環境,生物多樣性的危機,廢水,處理,0.924797
環境,生物多樣性的危機,廢水,嘉南大圳,0.924231
環境,生物多樣性的危機,廢水,回饋,0.924031
環境,生物多樣性的危機,廢水,開罰,0.923188
環境,生物多樣性的危機,廢水,發現,0.922726
環境,生物多樣性的危機,廢水,社區,0.922413
環境,生物多樣性的危機,廢水,平台,0.92185
環境,生物多樣性的危機,廢水,環保局,0.921633
環境,生物多樣性的危機,廢水,解決,0.921604
環境,生物多樣性的危機,廢水,風力,0.920197
環境,生物多樣性的危機,廢水,強酸,0.920094
環境,生物多樣性的危機,廢水,重罰,0.918999
環境,生物多樣性的危機,廢水,餐廳,0.918545
環境,生物多樣性的危機,廢水,垃圾,0.918298
環境,生物多樣性的危機,廢水,鄉鎮,0.918142
環境,生物多樣性的危機,廢水,停工,0.918006
環境,生物多樣性的危機,廢水,單車,0.917995
環境,生物多樣性的危機,廢水,空污費,0.917899
環境,生物多樣性的危機,廢水,水溝,0.917618
環境,生物多樣性的危機,廢水,台北,0.917543
環境,生物多樣性的危機,廢水,田寮,0.917486
環境,生物多樣性的危機,廢水,品牌,0.916938
環境,生物多樣性的危機,廢水,空氣污染,0.916478
環境,生物多樣性的危機,廢水,檢測,0.916207
環境,生物多樣性的危機,廢水,成效,0.91619
環境,生物多樣性的危機,廢水,廢棄物,0.916
環境,生物多樣性的危機,廢水,電鍍廠,0.915937
環境,生物多樣性的危機,廢水,新聞分析,0.915603
環境,生物多樣性的危機,廢水,奇蹟,0.915392
環境,生物多樣性的危機,廢水,爭議,0.91512
環境,生物多樣性的危機,廢水,農地,0.914871
環境,生物多樣性的危機,廢水,每日,0.914695
環境,生物多樣性的危機,廢水,住戶,0.914693
環境,生物多樣性的危機,廢水,減碳,0.914552
環境,生物多樣性的危機,廢水,自然,0.914524
環境,生物多樣性的危機,廢水,改善,0.914456
環境,生物多樣性的危機,廢水,海域,0.914402
環境,生物多樣性的危機,廢水,公司,0.914258
環境,生物多樣性的危機,廢水,電廠,0.914054
環境,生物多樣性的危機,廢水,放流,0.9138
環境,生物多樣性的危機,廢水,衝擊,0.913597
環境,生物多樣性的危機,廢水,影響,0.913271
環境,生物多樣性的危機,廢水,縣市,0.913228
環境,生物多樣性的危機,廢水,效益,0.913181
環境,生物多樣性的危機,廢水,海岸,0.913136
環境,生物多樣性的危機,廢水,非法,0.912126
環境,生物多樣性的危機,廢水,局長,0.911666
環境,生物多樣性的危機,廢水,加強,0.911604
環境,生物多樣性的危機,廢水,品質,0.91145
環境,生物多樣性的危機,廢水,空氣,0.911421
環境,生物多樣性的危機,廢水,支持,0.911363
環境,生物多樣性的危機,廢水,淨化,0.911199
環境,生物多樣性的危機,廢水,招商,0.911018
環境,生物多樣性的危機,廢水,上游,0.910703
環境,生物多樣性的危機,廢水,查緝,0.910631
環境,生物多樣性的危機,廢水,案例,0.910376
環境,生物多樣性的危機,廢水,疏濬,0.910188
環境,生物多樣性的危機,廢水,沙灘,0.909864
環境,生物多樣性的危機,廢水,標準,0.909833
環境,生物多樣性的危機,廢水,三爺,0.909808
環境,生物多樣性的危機,廢水,學者,0.909723
環境,生物多樣性的危機,廢水,未來,0.909275
環境,生物多樣性的危機,廢水,萬噸,0.90908
環境,生物多樣性的危機,廢水,磁能,0.908794
環境,生物多樣性的危機,廢水,質疑,0.908318
環境,生物多樣性的危機,廢水,遊客,0.908101
環境,生物多樣性的危機,廢水,桃園,0.907916
環境,生物多樣性的危機,廢水,北京,0.907528
環境,生物多樣性的危機,廢水,安全,0.907466
環境,生物多樣性的危機,廢水,抗爭,0.906496
環境,生物多樣性的危機,廢水,公園,0.906402
環境,生物多樣性的危機,廢水,鹽水,0.906014
環境,生物多樣性的危機,廢水,淨水,0.905861
環境,生物多樣性的危機,廢水,基地,0.905812
環境,生物多樣性的危機,廢水,功能,0.905465
環境,生物多樣性的危機,廢水,萬元,0.905359
環境,生物多樣性的危機,廢水,綠島,0.904876
環境,生物多樣性的危機,廢水,沿海,0.90477
環境,生物多樣性的危機,廢水,彰濱,0.904636
環境,生物多樣性的危機,廢水,就是,0.904476
環境,生物多樣性的危機,廢水,提升,0.904398
環境,生物多樣性的危機,廢水,才能,0.904389
環境,生物多樣性的危機,廢水,都市,0.904372
環境,生物多樣性的危機,廢水,懿鋒,0.904256
環境,生物多樣性的危機,廢水,空污,0.903932
環境,生物多樣性的危機,廢水,汙泥,0.903903
環境,生物多樣性的危機,廢水,引進,0.903842
環境,生物多樣性的危機,廢水,破壞,0.903723
環境,生物多樣性的危機,廢水,重生,0.903616
環境,生物多樣性的危機,廢水,工業廢水,0.903575
環境,生物多樣性的危機,廢水,重金屬,0.903111
環境,生物多樣性的危機,廢水,轉型,0.903054
環境,生物多樣性的危機,廢水,響應,0.903013
環境,生物多樣性的危機,廢水,變色,0.902693
環境,生物多樣性的危機,廢水,彰化,0.902466
環境,生物多樣性的危機,廢水,縣長,0.902458
環境,生物多樣性的危機,廢水,鄉民,0.90231
環境,生物多樣性的危機,廢水,管理,0.902064
環境,生物多樣性的危機,廢水,設廠,0.901937
環境,生物多樣性的危機,廢水,效果,0.901827
環境,生物多樣性的危機,廢水,上市,0.901723
環境,生物多樣性的危機,廢水,時論,0.90157
環境,生物多樣性的危機,廢水,肯定,0.901056
環境,生物多樣性的危機,廢水,養豬,0.901007
環境,生物多樣性的危機,廢水,千萬,0.900917
環境,生物多樣性的危機,廢水,反對,0.900835
環境,生物多樣性的危機,廢水,歷史,0.900825
環境,生物多樣性的危機,廢水,墾丁,0.90081
環境,生物多樣性的危機,廢水,掩埋場,0.900803
環境,生物多樣性的危機,廢水,爭取,0.900693
環境,生物多樣性的危機,廢水,花蓮,0.900613
環境,生物多樣性的危機,廢水,溫泉,0.900541
環境,生物多樣性的危機,廢水,大量,0.900207
環境,生物多樣性的危機,廢水,施工,0.900105
環境,生物多樣性的危機,廢水,機會,0.899757
環境,生物多樣性的危機,廢水,整合,0.899734
環境,生物多樣性的危機,廢水,進駐,0.89964
環境,生物多樣性的危機,廢水,台糖,0.899633
環境,生物多樣性的危機,廢水,減量,0.899583
環境,生物多樣性的危機,廢水,金屬,0.899375
環境,生物多樣性的危機,廢水,說明,0.899251
環境,生物多樣性的危機,廢水,美國,0.899136
環境,生物多樣性的危機,廢水,義工,0.899086
環境,生物多樣性的危機,廢水,動工,0.898944
環境,生物多樣性的危機,廢水,漏油,0.898887
環境,生物多樣性的危機,廢水,電池,0.898859
環境,生物多樣性的危機,廢水,百合,0.898817
環境,生物多樣性的危機,廢水,浩劫,0.898808
環境,生物多樣性的危機,廢水,旅遊,0.898802
環境,生物多樣性的危機,廢水,水質,0.898697
環境,生物多樣性的危機,廢水,水庫,0.898432
環境,生物多樣性的危機,廢水,美麗,0.898271
環境,生物多樣性的危機,廢水,排入,0.898041
環境,生物多樣性的危機,廢水,現象,0.897998
環境,生物多樣性的危機,廢水,塗料,0.897944
環境,生物多樣性的危機,廢水,池魚,0.897854
環境,生物多樣性的危機,廢水,觀摩,0.897743
環境,生物多樣性的危機,廢水,動物園,0.897547
環境,生物多樣性的危機,廢水,發電,0.897373
環境,生物多樣性的危機,廢水,世界,0.897127
環境,生物多樣性的危機,廢水,礦業,0.897098
環境,生物多樣性的危機,廢水,造成,0.896698
環境,生物多樣性的危機,廢水,珊瑚,0.89627
環境,生物多樣性的危機,廢水,專區,0.896219
環境,生物多樣性的危機,廢水,新書,0.896148
環境,生物多樣性的危機,廢水,檔案,0.896073
環境,生物多樣性的危機,廢水,進入,0.895964
環境,生物多樣性的危機,廢水,短波,0.895652
環境,生物多樣性的危機,廢水,困境,0.895162
環境,生物多樣性的危機,廢水,擴建,0.895142
環境,生物多樣性的危機,廢水,建設,0.895131
環境,生物多樣性的危機,廢水,情報,0.894796
環境,生物多樣性的危機,廢水,石油,0.894782
環境,生物多樣性的危機,生態浩劫,生態浩劫,1.0
環境,生物多樣性的危機,生態浩劫,國家,0.997658
環境,生物多樣性的危機,生態浩劫,日月潭,0.997402
環境,生物多樣性的危機,生態浩劫,選舉,0.996957
