Field,Topic,Keyword,Related Word,Weight
政治,糧食安全,全球暖化,全球暖化,1.0
政治,糧食安全,全球暖化,加速,0.993036
政治,糧食安全,全球暖化,可能,0.993033
政治,糧食安全,全球暖化,最佳,0.992864
政治,糧食安全,全球暖化,對抗,0.992767
政治,糧食安全,全球暖化,布告,0.992758
政治,糧食安全,全球暖化,報告,0.992728
政治,糧食安全,全球暖化,衝擊,0.99272
政治,糧食安全,全球暖化,高爾,0.992664
政治,糧食安全,全球暖化,聯合國,0.992632
政治,糧食安全,全球暖化,新書,0.992628
政治,糧食安全,全球暖化,沒有,0.992623
政治,糧食安全,全球暖化,探討,0.992325
政治,糧食安全,全球暖化,夏季,0.992307
政治,糧食安全,全球暖化,極端,0.992307
政治,糧食安全,全球暖化,威脅,0.992245
政治,糧食安全,全球暖化,談判,0.992214
政治,糧食安全,全球暖化,領袖,0.992205
政治,糧食安全,全球暖化,巴馬,0.992155
政治,糧食安全,全球暖化,調適,0.992114
政治,糧食安全,全球暖化,減緩,0.992091
政治,糧食安全,全球暖化,工作,0.992025
政治,糧食安全,全球暖化,高中,0.992023
政治,糧食安全,全球暖化,災難,0.991999
政治,糧食安全,全球暖化,成為,0.991972
政治,糧食安全,全球暖化,CO,0.991885
政治,糧食安全,全球暖化,協定,0.991852
政治,糧食安全,全球暖化,來臨,0.991836
政治,糧食安全,全球暖化,關注,0.991824
政治,糧食安全,全球暖化,預測,0.991778
政治,糧食安全,全球暖化,淹沒,0.991777
政治,糧食安全,全球暖化,活動,0.991766
政治,糧食安全,全球暖化,溫度,0.991762
政治,糧食安全,全球暖化,哥本哈根,0.991756
政治,糧食安全,全球暖化,打敗,0.991731
政治,糧食安全,全球暖化,人心,0.991714
政治,糧食安全,全球暖化,議題,0.991686
政治,糧食安全,全球暖化,不願,0.991657
政治,糧食安全,全球暖化,小時,0.991652
政治,糧食安全,全球暖化,關心,0.991627
政治,糧食安全,全球暖化,地球日,0.991622
政治,糧食安全,全球暖化,書訊,0.991605
政治,糧食安全,全球暖化,滅絕,0.991586
政治,糧食安全,全球暖化,重要,0.991571
政治,糧食安全,全球暖化,一周,0.991564
政治,糧食安全,全球暖化,影響,0.991549
政治,糧食安全,全球暖化,循環,0.99154
政治,糧食安全,全球暖化,氣候變化,0.991534
政治,糧食安全,全球暖化,北極,0.991528
政治,糧食安全,全球暖化,帶頭,0.991527
政治,糧食安全,全球暖化,城市,0.991517
政治,糧食安全,全球暖化,舉行,0.991511
政治,糧食安全,全球暖化,最熱,0.991507
政治,糧食安全,全球暖化,常態,0.991506
政治,糧食安全,全球暖化,發燒,0.991486
政治,糧食安全,全球暖化,公益,0.991483
政治,糧食安全,全球暖化,因應,0.991458
政治,糧食安全,全球暖化,雙贏,0.991455
政治,糧食安全,全球暖化,冰河,0.991448
政治,糧食安全,全球暖化,百年,0.99144
政治,糧食安全,全球暖化,運輸,0.991438
政治,糧食安全,全球暖化,處理,0.99143
政治,糧食安全,全球暖化,生存,0.991415
政治,糧食安全,全球暖化,名家,0.991391
政治,糧食安全,全球暖化,簡單,0.991384
政治,糧食安全,全球暖化,觀測,0.991349
政治,糧食安全,全球暖化,浩劫,0.991334
政治,糧食安全,全球暖化,課題,0.991333
政治,糧食安全,全球暖化,回收,0.991322
政治,糧食安全,全球暖化,天氣,0.991305
政治,糧食安全,全球暖化,決定,0.991298
政治,糧食安全,全球暖化,短評,0.991297
政治,糧食安全,全球暖化,潔淨,0.991291
政治,糧食安全,全球暖化,中油,0.991282
政治,糧食安全,全球暖化,效應,0.991278
政治,糧食安全,全球暖化,京都,0.991277
政治,糧食安全,全球暖化,話題,0.991273
政治,糧食安全,全球暖化,健康,0.991271
政治,糧食安全,全球暖化,鴻源,0.991269
政治,糧食安全,全球暖化,真正,0.991262
政治,糧食安全,全球暖化,概念股,0.991228
政治,糧食安全,全球暖化,拯救,0.991227
政治,糧食安全,全球暖化,一年,0.991219
政治,糧食安全,全球暖化,銀行,0.991216
政治,糧食安全,全球暖化,概念,0.991202
政治,糧食安全,全球暖化,史上,0.991193
政治,糧食安全,全球暖化,攜手,0.991187
政治,糧食安全,全球暖化,內閣,0.991178
政治,糧食安全,全球暖化,環保局,0.991158
政治,糧食安全,全球暖化,溫室效應,0.991155
政治,糧食安全,全球暖化,變化,0.991152
政治,糧食安全,全球暖化,降溫,0.991149
政治,糧食安全,全球暖化,對策,0.991139
政治,糧食安全,全球暖化,全民,0.991135
政治,糧食安全,全球暖化,責任,0.991116
政治,糧食安全,全球暖化,亞太,0.991097
政治,糧食安全,全球暖化,員工,0.991097
政治,糧食安全,全球暖化,點滴,0.991093
政治,糧食安全,全球暖化,凸顯,0.991083
政治,糧食安全,全球暖化,採用,0.991083
政治,糧食安全,全球暖化,挹注,0.991064
政治,糧食安全,全球暖化,基金會,0.991049
政治,糧食安全,全球暖化,建構,0.991047
政治,糧食安全,全球暖化,全球化,0.991026
政治,糧食安全,全球暖化,動力,0.990989
政治,糧食安全,全球暖化,氣象,0.990969
政治,糧食安全,全球暖化,研討,0.990968
政治,糧食安全,全球暖化,蔬食,0.990959
政治,糧食安全,全球暖化,紀錄片,0.990956
政治,糧食安全,全球暖化,加劇,0.990955
政治,糧食安全,全球暖化,氣溫,0.990936
政治,糧食安全,全球暖化,面臨,0.990932
政治,糧食安全,全球暖化,還是,0.990932
政治,糧食安全,全球暖化,準備,0.990929
政治,糧食安全,全球暖化,自然,0.990923
政治,糧食安全,全球暖化,議定書,0.990922
政治,糧食安全,全球暖化,前景,0.990919
政治,糧食安全,全球暖化,造成,0.990909
政治,糧食安全,全球暖化,工研院,0.990905
政治,糧食安全,全球暖化,中華,0.990902
政治,糧食安全,全球暖化,造林,0.990886
政治,糧食安全,全球暖化,科學,0.990876
政治,糧食安全,全球暖化,搶攻,0.990876
政治,糧食安全,全球暖化,事業,0.990874
政治,糧食安全,全球暖化,花旗,0.99087
政治,糧食安全,全球暖化,創新,0.990857
政治,糧食安全,全球暖化,召開,0.990852
政治,糧食安全,全球暖化,綠化,0.990849
政治,糧食安全,全球暖化,疫情,0.990839
政治,糧食安全,全球暖化,只有,0.990836
政治,糧食安全,全球暖化,每年,0.990824
政治,糧食安全,全球暖化,中研院,0.990822
政治,糧食安全,全球暖化,強調,0.990808
政治,糧食安全,全球暖化,規模,0.990808
政治,糧食安全,全球暖化,馬英九,0.990782
政治,糧食安全,全球暖化,熱浪,0.990771
政治,糧食安全,全球暖化,利用,0.990753
政治,糧食安全,全球暖化,獲頒,0.990748
政治,糧食安全,全球暖化,需要,0.990747
政治,糧食安全,全球暖化,低碳,0.990745
政治,糧食安全,全球暖化,規範,0.990741
政治,糧食安全,全球暖化,加溫,0.990739
政治,糧食安全,全球暖化,歐盟,0.990729
政治,糧食安全,全球暖化,年底,0.990726
政治,糧食安全,全球暖化,公噸,0.990718
政治,糧食安全,全球暖化,下半年,0.990714
政治,糧食安全,全球暖化,和平,0.990701
政治,糧食安全,全球暖化,食品,0.990701
政治,糧食安全,全球暖化,當道,0.990694
政治,糧食安全,全球暖化,基因,0.990668
政治,糧食安全,全球暖化,表現,0.990667
政治,糧食安全,全球暖化,實施,0.990664
政治,糧食安全,全球暖化,時尚,0.990662
政治,糧食安全,全球暖化,呼籲,0.990638
政治,糧食安全,全球暖化,電子,0.990632
政治,糧食安全,全球暖化,主張,0.990629
政治,糧食安全,全球暖化,亞洲,0.99062
政治,糧食安全,全球暖化,登場,0.990617
政治,糧食安全,全球暖化,將成,0.990616
政治,糧食安全,全球暖化,一個,0.990596
政治,糧食安全,全球暖化,行銷,0.990596
政治,糧食安全,全球暖化,特色,0.990594
政治,糧食安全,全球暖化,機會,0.99059
政治,糧食安全,全球暖化,協議,0.990589
政治,糧食安全,全球暖化,美元,0.990584
政治,糧食安全,全球暖化,種樹,0.990565
政治,糧食安全,全球暖化,觀點,0.990562
政治,糧食安全,全球暖化,水庫,0.990561
政治,糧食安全,全球暖化,金融,0.990554
政治,糧食安全,全球暖化,植樹,0.990548
政治,糧食安全,全球暖化,市府,0.990547
政治,糧食安全,全球暖化,變頻,0.990541
政治,糧食安全,糧食安全,糧食安全,1.0
政治,糧食安全,糧食安全,糧價,0.994445
政治,糧食安全,糧食安全,改變,0.994191
政治,糧食安全,糧食安全,體系,0.994127
政治,糧食安全,糧食安全,農糧,0.994016
政治,糧食安全,糧食安全,嚴重,0.994011
政治,糧食安全,糧食安全,生產,0.993971
政治,糧食安全,糧食安全,有錢,0.993925
政治,糧食安全,糧食安全,陸以,0.993711
政治,糧食安全,糧食安全,惡化,0.993707
政治,糧食安全,糧食安全,農產品,0.993693
政治,糧食安全,糧食安全,戰爭,0.993654
政治,糧食安全,糧食安全,改革,0.993595
政治,糧食安全,糧食安全,建立,0.993541
政治,糧食安全,糧食安全,非洲,0.993382
政治,糧食安全,糧食安全,缺水,0.993379
政治,糧食安全,糧食安全,警告,0.993379
政治,糧食安全,糧食安全,中共,0.993194
政治,糧食安全,糧食安全,糧倉,0.993101
政治,糧食安全,糧食安全,增加,0.993095
政治,糧食安全,糧食安全,復耕,0.99309
政治,糧食安全,糧食安全,調查,0.993083
政治,糧食安全,糧食安全,文化,0.993048
政治,糧食安全,糧食安全,財經,0.993025
政治,糧食安全,糧食安全,環評,0.993023
政治,糧食安全,糧食安全,討論,0.992935
政治,糧食安全,糧食安全,堅持,0.992901
政治,糧食安全,糧食安全,對策,0.99286
政治,糧食安全,糧食安全,願景,0.992839
政治,糧食安全,糧食安全,鼓勵,0.992832
政治,糧食安全,糧食安全,物價,0.992718
政治,糧食安全,糧食安全,加劇,0.992699
政治,糧食安全,糧食安全,凸顯,0.992682
政治,糧食安全,糧食安全,宜蘭,0.992668
政治,糧食安全,糧食安全,催生,0.992619
政治,糧食安全,糧食安全,糧荒,0.992607
政治,糧食安全,糧食安全,上路,0.992605
政治,糧食安全,糧食安全,不到,0.992603
政治,糧食安全,糧食安全,種子,0.992567
政治,糧食安全,糧食安全,利用,0.99256
政治,糧食安全,糧食安全,乾旱,0.992545
政治,糧食安全,糧食安全,開始,0.992528
政治,糧食安全,糧食安全,瞭望,0.992525
政治,糧食安全,糧食安全,了解,0.992524
政治,糧食安全,糧食安全,出現,0.992511
政治,糧食安全,糧食安全,價格,0.992472
政治,糧食安全,糧食安全,外交,0.99247
政治,糧食安全,糧食安全,穩定,0.99246
政治,糧食安全,糧食安全,警報,0.992454
政治,糧食安全,糧食安全,新政府,0.992454
政治,糧食安全,糧食安全,世銀,0.992449
政治,糧食安全,糧食安全,公布,0.992445
政治,糧食安全,糧食安全,大師,0.992436
政治,糧食安全,糧食安全,交易,0.992432
政治,糧食安全,糧食安全,民進黨,0.992431
政治,糧食安全,糧食安全,哥本哈根,0.992395
政治,糧食安全,糧食安全,才能,0.992388
政治,糧食安全,糧食安全,提高,0.99238
政治,糧食安全,糧食安全,行銷,0.992376
政治,糧食安全,糧食安全,正義,0.992373
政治,糧食安全,糧食安全,歐洲,0.992359
政治,糧食安全,糧食安全,有機,0.992356
政治,糧食安全,糧食安全,吳揆,0.992356
政治,糧食安全,糧食安全,因應,0.992349
政治,糧食安全,糧食安全,大聲,0.992348
政治,糧食安全,糧食安全,過關,0.992345
政治,糧食安全,糧食安全,農舍,0.992321
政治,糧食安全,糧食安全,民主,0.992291
政治,糧食安全,糧食安全,黃金,0.992289
政治,糧食安全,糧食安全,解決,0.992284
政治,糧食安全,糧食安全,總統,0.992267
政治,糧食安全,糧食安全,各國,0.992262
政治,糧食安全,糧食安全,限制,0.992259
政治,糧食安全,糧食安全,面臨,0.992259
政治,糧食安全,糧食安全,挹注,0.992255
政治,糧食安全,糧食安全,焦點,0.992243
政治,糧食安全,糧食安全,威脅,0.992222
政治,糧食安全,糧食安全,共同,0.992215
政治,糧食安全,糧食安全,APEC,0.992207
政治,糧食安全,糧食安全,超級,0.9922
政治,糧食安全,糧食安全,溫室效應,0.99218
政治,糧食安全,糧食安全,計劃,0.992165
政治,糧食安全,糧食安全,不是,0.992146
政治,糧食安全,糧食安全,補貼,0.992146
政治,糧食安全,糧食安全,食物,0.992145
政治,糧食安全,糧食安全,典範,0.99214
政治,糧食安全,糧食安全,興建,0.992117
政治,糧食安全,糧食安全,氣候變化,0.992096
