Field,Topic,Keyword,Related Word,Weight
技術,網路犯罪現象,網路犯罪,網路犯罪,1.0
技術,網路犯罪現象,網路犯罪,銀行,0.982925
技術,網路犯罪現象,網路犯罪,詐騙,0.980734
技術,網路犯罪現象,網路犯罪,木馬,0.980678
技術,網路犯罪現象,網路犯罪,駭客,0.979769
技術,網路犯罪現象,網路犯罪,病毒,0.979716
技術,網路犯罪現象,網路犯罪,網頁,0.979432
技術,網路犯罪現象,網路犯罪,遊戲,0.979059
技術,網路犯罪現象,網路犯罪,程式,0.978971
技術,網路犯罪現象,網路犯罪,線上,0.97893
技術,網路犯罪現象,網路犯罪,網路釣魚,0.978864
技術,網路犯罪現象,網路犯罪,小心,0.978493
技術,網路犯罪現象,網路犯罪,網路,0.978285
技術,網路犯罪現象,網路犯罪,網站,0.977929
技術,網路犯罪現象,網路犯罪,帳號,0.977925
技術,網路犯罪現象,網路犯罪,漏洞,0.977791
技術,網路犯罪現象,網路犯罪,惡意,0.977717
技術,網路犯罪現象,網路犯罪,上網,0.977554
技術,網路犯罪現象,網路犯罪,入侵,0.977114
技術,網路犯罪現象,網路犯罪,詐財,0.975075
技術,網路犯罪現象,網路犯罪,攻擊,0.974497
技術,網路犯罪現象,網路犯罪,防毒,0.974199
技術,網路犯罪現象,網路犯罪,被盜,0.974079
技術,網路犯罪現象,網路犯罪,釣魚,0.973753
技術,網路犯罪現象,網路犯罪,網友,0.973665
技術,網路犯罪現象,網路犯罪,連結,0.973546
技術,網路犯罪現象,網路犯罪,虛擬,0.973129
技術,網路犯罪現象,網路犯罪,被騙,0.973087
技術,網路犯罪現象,網路犯罪,手機,0.972564
技術,網路犯罪現象,網路犯罪,集團,0.972548
技術,網路犯罪現象,網路犯罪,生活,0.972438
技術,網路犯罪現象,網路犯罪,竊個資,0.972299
技術,網路犯罪現象,網路犯罪,巴馬,0.972213
技術,網路犯罪現象,網路犯罪,Linux,0.972008
技術,網路犯罪現象,網路犯罪,網購,0.971855
技術,網路犯罪現象,網路犯罪,警方,0.971841
技術,網路犯罪現象,網路犯罪,網軍,0.971571
技術,網路犯罪現象,網路犯罪,雅虎,0.971481
技術,網路犯罪現象,網路犯罪,下載,0.971351
技術,網路犯罪現象,網路犯罪,電腦病毒,0.971346
技術,網路犯罪現象,網路犯罪,去年,0.971321
技術,網路犯罪現象,網路犯罪,聯手,0.971296
技術,網路犯罪現象,網路犯罪,萬象,0.971278
技術,網路犯罪現象,網路犯罪,電話,0.970973
技術,網路犯罪現象,網路犯罪,機密,0.970952
技術,網路犯罪現象,網路犯罪,ATM,0.970659
技術,網路犯罪現象,網路犯罪,殭屍,0.97065
技術,網路犯罪現象,網路犯罪,賽門鐵克,0.970395
技術,網路犯罪現象,網路犯罪,用戶,0.970374
技術,網路犯罪現象,網路犯罪,情報,0.970279
技術,網路犯罪現象,網路犯罪,大陸,0.97026
技術,網路犯罪現象,網路犯罪,看好,0.970208
技術,網路犯罪現象,網路犯罪,治安,0.970202
技術,網路犯罪現象,網路犯罪,間諜,0.969761
技術,網路犯罪現象,網路犯罪,小型,0.969653
技術,網路犯罪現象,網路犯罪,兩岸,0.969329
技術,網路犯罪現象,網路犯罪,中國,0.969271
技術,網路犯罪現象,網路犯罪,規範,0.96924
技術,網路犯罪現象,網路犯罪,威脅,0.969191
技術,網路犯罪現象,網路犯罪,個資,0.969069
技術,網路犯罪現象,網路犯罪,顯示,0.969014
技術,網路犯罪現象,網路犯罪,政府,0.968948
技術,網路犯罪現象,網路犯罪,微軟,0.968908
技術,網路犯罪現象,網路犯罪,更新,0.968882
技術,網路犯罪現象,網路犯罪,防火牆,0.968615
技術,網路犯罪現象,網路犯罪,駭客攻擊,0.968575
技術,網路犯罪現象,網路犯罪,利用,0.968401
技術,網路犯罪現象,網路犯罪,Google,0.968151
技術,網路犯罪現象,網路犯罪,消費者,0.968123
技術,網路犯罪現象,網路犯罪,表示,0.967801
技術,網路犯罪現象,網路犯罪,遭駭,0.967758
技術,網路犯罪現象,網路犯罪,經濟,0.967671
技術,網路犯罪現象,網路犯罪,NCC,0.967637
技術,網路犯罪現象,網路犯罪,色情,0.967541
技術,網路犯罪現象,網路犯罪,社論,0.967489
技術,網路犯罪現象,網路犯罪,卡巴斯基,0.96739
技術,網路犯罪現象,網路犯罪,葉奇鑫,0.967063
技術,網路犯罪現象,網路犯罪,進行,0.967051
技術,網路犯罪現象,網路犯罪,奇摩,0.967027
技術,網路犯罪現象,網路犯罪,電腦,0.967017
技術,網路犯罪現象,網路犯罪,效能,0.966992
技術,網路犯罪現象,網路犯罪,問題,0.966795
技術,網路犯罪現象,網路犯罪,美國,0.966673
