Field,Topic,Keyword,Related Word,Weight
環境,能源與資源枯竭,能源危機,能源危機,1.0
環境,能源與資源枯竭,能源危機,油價,0.996664
環境,能源與資源枯竭,能源危機,生質,0.995783
環境,能源與資源枯竭,能源危機,開發,0.995662
環境,能源與資源枯竭,能源危機,世界,0.995262
環境,能源與資源枯竭,能源危機,投資,0.995202
環境,能源與資源枯竭,能源危機,政策,0.994767
環境,能源與資源枯竭,能源危機,危機,0.993962
環境,能源與資源枯竭,能源危機,太陽能,0.993944
環境,能源與資源枯竭,能源危機,時代,0.99372
環境,能源與資源枯竭,能源危機,趨勢,0.993401
環境,能源與資源枯竭,能源危機,市場,0.993396
環境,能源與資源枯竭,能源危機,永續,0.993113
環境,能源與資源枯竭,能源危機,研發,0.993067
環境,能源與資源枯竭,能源危機,石油,0.993035
環境,能源與資源枯竭,能源危機,衝擊,0.99288
環境,能源與資源枯竭,能源危機,替代,0.992648
環境,能源與資源枯竭,能源危機,成長,0.992518
環境,能源與資源枯竭,能源危機,短評,0.992317
環境,能源與資源枯竭,能源危機,設計,0.992012
環境,能源與資源枯竭,能源危機,發電,0.991552
環境,能源與資源枯竭,能源危機,經營,0.991529
環境,能源與資源枯竭,能源危機,再生能源,0.991314
環境,能源與資源枯竭,能源危機,基金,0.990987
環境,能源與資源枯竭,能源危機,今年,0.990895
環境,能源與資源枯竭,能源危機,企業,0.990671
環境,能源與資源枯竭,能源危機,地球,0.990638
環境,能源與資源枯竭,能源危機,必須,0.990489
環境,能源與資源枯竭,能源危機,柴油,0.990373
環境,能源與資源枯竭,能源危機,生技,0.99019
環境,能源與資源枯竭,能源危機,光電,0.990061
環境,能源與資源枯竭,能源危機,科技,0.989979
環境,能源與資源枯竭,能源危機,業者,0.989954
環境,能源與資源枯竭,能源危機,崛起,0.989725
環境,能源與資源枯竭,能源危機,如何,0.989669
環境,能源與資源枯竭,能源危機,國際,0.989559
環境,能源與資源枯竭,能源危機,啟示,0.989493
環境,能源與資源枯竭,能源危機,產品,0.989334
環境,能源與資源枯竭,能源危機,農業,0.989328
環境,能源與資源枯竭,能源危機,全球化,0.989074
環境,能源與資源枯竭,能源危機,減少,0.988996
環境,能源與資源枯竭,能源危機,高效率,0.988912
環境,能源與資源枯竭,能源危機,創造,0.988757
環境,能源與資源枯竭,能源危機,掌握,0.988706
環境,能源與資源枯竭,能源危機,規畫,0.988681
環境,能源與資源枯竭,能源危機,高達,0.988666
環境,能源與資源枯竭,能源危機,問題,0.988548
環境,能源與資源枯竭,能源危機,推出,0.988496
環境,能源與資源枯竭,能源危機,未來,0.988478
環境,能源與資源枯竭,能源危機,新聞,0.988451
環境,能源與資源枯竭,能源危機,布局,0.988429
環境,能源與資源枯竭,能源危機,正視,0.98835
環境,能源與資源枯竭,能源危機,工業,0.988336
環境,能源與資源枯竭,能源危機,帶動,0.988287
環境,能源與資源枯竭,能源危機,合作,0.988254
環境,能源與資源枯竭,能源危機,明年,0.988247
環境,能源與資源枯竭,能源危機,美國,0.988235
環境,能源與資源枯竭,能源危機,尋求,0.988182
環境,能源與資源枯竭,能源危機,高手,0.988161
環境,能源與資源枯竭,能源危機,預算,0.988116
環境,能源與資源枯竭,能源危機,面對,0.988102
環境,能源與資源枯竭,能源危機,領域,0.98805
環境,能源與資源枯竭,能源危機,可能,0.988048
環境,能源與資源枯竭,能源危機,主辦,0.98804
環境,能源與資源枯竭,能源危機,商品,0.988026
環境,能源與資源枯竭,能源危機,物價,0.988009
環境,能源與資源枯竭,能源危機,傳統,0.988002
環境,能源與資源枯竭,能源危機,亞洲,0.987952
環境,能源與資源枯竭,能源危機,潔淨,0.987894
環境,能源與資源枯竭,能源危機,總經理,0.98772
環境,能源與資源枯竭,能源危機,減碳,0.987707
環境,能源與資源枯竭,能源危機,大陸,0.987686
環境,能源與資源枯竭,能源危機,節能減碳,0.987602
環境,能源與資源枯竭,能源危機,策略,0.987584
環境,能源與資源枯竭,能源危機,照明,0.987548
環境,能源與資源枯竭,能源危機,因應,0.987545
環境,能源與資源枯竭,能源危機,創新,0.987474
環境,能源與資源枯竭,能源危機,報告,0.987411
環境,能源與資源枯竭,能源危機,觀察,0.98741
環境,能源與資源枯竭,能源危機,研討,0.987327
環境,能源與資源枯竭,能源危機,論壇,0.987319
環境,能源與資源枯竭,能源危機,商機,0.987318
環境,能源與資源枯竭,能源危機,文化,0.987219
環境,能源與資源枯竭,能源危機,中國,0.987187
環境,能源與資源枯竭,能源危機,正義,0.986929
環境,能源與資源枯竭,能源危機,挑戰,0.986916
環境,能源與資源枯竭,能源危機,強化,0.986813
環境,能源與資源枯竭,能源危機,迎接,0.986779
環境,能源與資源枯竭,能源危機,啟發,0.986759
環境,能源與資源枯竭,能源危機,改變,0.986718
環境,能源與資源枯竭,能源危機,引爆,0.98669
環境,能源與資源枯竭,能源危機,改善,0.98658
環境,能源與資源枯竭,能源危機,社論,0.986554
環境,能源與資源枯竭,能源危機,政府,0.986521
環境,能源與資源枯竭,能源危機,品牌,0.986491
環境,能源與資源枯竭,能源危機,世代,0.986409
環境,能源與資源枯竭,能源危機,聯盟,0.986331
環境,能源與資源枯竭,能源危機,省電,0.986302
環境,能源與資源枯竭,能源危機,國家,0.986274
環境,能源與資源枯竭,能源危機,中油,0.986259
環境,能源與資源枯竭,能源危機,競爭力,0.986251
環境,能源與資源枯竭,能源危機,面臨,0.986205
環境,能源與資源枯竭,能源危機,不能,0.986205
環境,能源與資源枯竭,能源危機,公司,0.986152
環境,能源與資源枯竭,能源危機,推動,0.986132
環境,能源與資源枯竭,能源危機,檢討,0.9861
環境,能源與資源枯竭,能源危機,民眾,0.98594
環境,能源與資源枯竭,能源危機,景氣,0.98589
環境,能源與資源枯竭,能源危機,技術,0.985883
環境,能源與資源枯竭,能源危機,水資源,0.985881
環境,能源與資源枯竭,能源危機,全球,0.985816
環境,能源與資源枯竭,能源危機,生態,0.985645
環境,能源與資源枯竭,能源危機,台灣,0.985599
環境,能源與資源枯竭,能源危機,作文,0.985583
環境,能源與資源枯竭,能源危機,目標,0.985492
環境,能源與資源枯竭,能源危機,轉型,0.985365
環境,能源與資源枯竭,能源危機,汙染,0.985282
