Field,Topic,Keyword,Related Word,Weight
技術,製造業的革命,工業革命,工業革命,1.0
技術,製造業的革命,工業革命,台商,0.949195
技術,製造業的革命,工業革命,名家,0.942666
技術,製造業的革命,工業革命,機遇,0.940837
技術,製造業的革命,工業革命,抓住,0.93766
技術,製造業的革命,工業革命,解析,0.93258
技術,製造業的革命,工業革命,危機,0.9318
技術,製造業的革命,工業革命,新春,0.926551
技術,製造業的革命,工業革命,能源,0.925292
技術,製造業的革命,工業革命,十三,0.922988
技術,製造業的革命,工業革命,規劃,0.917463
技術,製造業的革命,工業革命,西方,0.917404
技術,製造業的革命,工業革命,第三次,0.915991
技術,製造業的革命,工業革命,倡議,0.915077
技術,製造業的革命,工業革命,強國,0.914684
技術,製造業的革命,工業革命,專論,0.913977
技術,製造業的革命,工業革命,三招,0.912758
技術,製造業的革命,工業革命,不能,0.912222
技術,製造業的革命,工業革命,開創,0.912221
技術,製造業的革命,工業革命,英國,0.911995
技術,製造業的革命,工業革命,改變,0.91183
技術,製造業的革命,工業革命,沒有,0.911345
技術,製造業的革命,工業革命,台廠,0.91072
技術,製造業的革命,工業革命,電影,0.910499
技術,製造業的革命,工業革命,炒熱,0.91009
技術,製造業的革命,工業革命,改革,0.909801
技術,製造業的革命,工業革命,製造業,0.908912
技術,製造業的革命,工業革命,面對,0.90838
技術,製造業的革命,工業革命,照護,0.908284
技術,製造業的革命,工業革命,角色,0.907891
技術,製造業的革命,工業革命,翻轉,0.907336
技術,製造業的革命,工業革命,發展潛力,0.90685
技術,製造業的革命,工業革命,重點,0.906243
技術,製造業的革命,工業革命,鴻溝,0.903198
技術,製造業的革命,工業革命,網路,0.903049
技術,製造業的革命,工業革命,面臨,0.900707
技術,製造業的革命,工業革命,GO,0.898713
技術,製造業的革命,工業革命,產經,0.89758
技術,製造業的革命,工業革命,書摘,0.897397
技術,製造業的革命,工業革命,美國,0.896753
技術,製造業的革命,工業革命,之道,0.896644
技術,製造業的革命,工業革命,我見,0.89501
技術,製造業的革命,工業革命,關鍵,0.894957
技術,製造業的革命,工業革命,李遠哲,0.894075
技術,製造業的革命,工業革命,我思,0.892905
技術,製造業的革命,工業革命,我們,0.892137
技術,製造業的革命,工業革命,承諾,0.89154
技術,製造業的革命,工業革命,基礎,0.890467
技術,製造業的革命,工業革命,把握,0.889257
技術,製造業的革命,工業革命,迷思,0.889038
技術,製造業的革命,工業革命,已經,0.888748
技術,製造業的革命,工業革命,革命,0.887207
技術,製造業的革命,工業革命,消失,0.88687
技術,製造業的革命,工業革命,崛起,0.886588
技術,製造業的革命,工業革命,人類,0.885168
技術,製造業的革命,工業革命,議題,0.88479
技術,製造業的革命,工業革命,考驗,0.884525
技術,製造業的革命,工業革命,書房,0.884402
技術,製造業的革命,工業革命,思維,0.884337
技術,製造業的革命,工業革命,擺脫,0.883134
技術,製造業的革命,工業革命,長線,0.883017
技術,製造業的革命,工業革命,帶來,0.881636
技術,製造業的革命,工業革命,年輕人,0.880891
技術,製造業的革命,工業革命,新興,0.879468
技術,製造業的革命,工業革命,取代,0.878609
技術,製造業的革命,工業革命,何去何從,0.878422
技術,製造業的革命,工業革命,策略,0.878046
技術,製造業的革命,工業革命,地位,0.877279
技術,製造業的革命,工業革命,建設,0.876895
技術,製造業的革命,工業革命,衝擊,0.876694
技術,製造業的革命,工業革命,扮演,0.87659
技術,製造業的革命,工業革命,真正,0.875838
技術,製造業的革命,工業革命,王道,0.875809
技術,製造業的革命,工業革命,貿易,0.875798
技術,製造業的革命,工業革命,可以,0.874896
技術,製造業的革命,工業革命,領航,0.874749
技術,製造業的革命,工業革命,世紀,0.874337
技術,製造業的革命,工業革命,巨頭,0.874196
