Field,Topic,Keyword,Related Word,Weight
經濟,財政危機,財政危機,財政危機,1.0
經濟,財政危機,財政危機,愛爾蘭,0.793187
經濟,財政危機,財政危機,成下個,0.786039
經濟,財政危機,財政危機,僵局,0.775132
經濟,財政危機,財政危機,嚴峻,0.764647
經濟,財政危機,財政危機,減薪,0.746919
經濟,財政危機,財政危機,美將,0.735171
經濟,財政危機,財政危機,效應,0.727194
經濟,財政危機,財政危機,債限,0.726438
經濟,財政危機,財政危機,加劇,0.725581
經濟,財政危機,財政危機,解除,0.723195
經濟,財政危機,財政危機,朝野,0.719418
經濟,財政危機,財政危機,協議,0.71173
經濟,財政危機,財政危機,懸崖,0.711671
經濟,財政危機,財政危機,金融時報,0.709006
經濟,財政危機,財政危機,公務員,0.708765
經濟,財政危機,財政危機,延長,0.708341
經濟,財政危機,財政危機,危機,0.70542
經濟,財政危機,財政危機,破產,0.700269
經濟,財政危機,財政危機,岌岌可危,0.698346
經濟,財政危機,財政危機,我思,0.697735
經濟,財政危機,財政危機,希臘,0.696932
經濟,財政危機,財政危機,終止,0.695453
經濟,財政危機,財政危機,失落,0.692738
經濟,財政危機,財政危機,抗議,0.691225
經濟,財政危機,財政危機,取得,0.690804
經濟,財政危機,財政危機,尋求,0.688038
經濟,財政危機,財政危機,編列,0.685298
經濟,財政危機,財政危機,自救,0.679686
經濟,財政危機,財政危機,波及,0.679126
經濟,財政危機,財政危機,蔓延,0.678376
經濟,財政危機,財政危機,迫在眉睫,0.677049
經濟,財政危機,財政危機,我見,0.675129
經濟,財政危機,財政危機,IMF,0.673917
經濟,財政危機,財政危機,福利,0.673554
經濟,財政危機,財政危機,沒有,0.671884
經濟,財政危機,財政危機,匈牙利,0.67186
經濟,財政危機,財政危機,拖累,0.67031
經濟,財政危機,財政危機,迫近,0.669699
經濟,財政危機,財政危機,轉機,0.667945
經濟,財政危機,財政危機,美德,0.666864
經濟,財政危機,財政危機,支持,0.665804
經濟,財政危機,財政危機,內閣,0.662104
經濟,財政危機,財政危機,人民,0.662003
經濟,財政危機,財政危機,身上,0.661707
經濟,財政危機,財政危機,主席,0.661441
經濟,財政危機,財政危機,商業,0.661421
經濟,財政危機,財政危機,廠商,0.661321
經濟,財政危機,財政危機,教訓,0.661309
經濟,財政危機,財政危機,經濟衰退,0.657577
經濟,財政危機,財政危機,民主黨,0.65672
經濟,財政危機,財政危機,下個,0.655583
經濟,財政危機,財政危機,否認,0.655286
經濟,財政危機,財政危機,西班牙,0.655128
經濟,財政危機,財政危機,停止,0.655099
經濟,財政危機,財政危機,實力,0.65447
經濟,財政危機,財政危機,正視,0.653256
經濟,財政危機,財政危機,恐陷,0.652983
經濟,財政危機,財政危機,談判,0.65298
經濟,財政危機,財政危機,選擇,0.652964
經濟,財政危機,財政危機,協商,0.649891
經濟,財政危機,財政危機,連環,0.648293
經濟,財政危機,財政危機,社福,0.647798
經濟,財政危機,財政危機,行動,0.646648
經濟,財政危機,財政危機,美國政府,0.646187
經濟,財政危機,財政危機,拯救,0.646118
經濟,財政危機,財政危機,歐洲,0.645394
經濟,財政危機,財政危機,億英鎊,0.644958
經濟,財政危機,財政危機,艱困,0.644827
經濟,財政危機,財政危機,葡萄牙,0.643098
經濟,財政危機,財政危機,疾呼,0.641929
經濟,財政危機,財政危機,一個,0.641768
經濟,財政危機,財政危機,洛斯,0.640979
經濟,財政危機,財政危機,更大,0.640451
經濟,財政危機,財政危機,眾院,0.64042
經濟,財政危機,財政危機,法國,0.640354
經濟,財政危機,財政危機,美參院,0.639881
經濟,財政危機,財政危機,大跌,0.639739
經濟,財政危機,財政危機,已經,0.639737
經濟,財政危機,財政危機,唱反調,0.638951
經濟,財政危機,財政危機,異見,0.637662
經濟,財政危機,財政危機,人數,0.637649
經濟,財政危機,財政危機,因應,0.63715
經濟,財政危機,財政危機,下台,0.63458
經濟,財政危機,財政危機,阿諾,0.633699
經濟,財政危機,財政危機,稅率,0.632658
經濟,財政危機,財政危機,引發,0.63208
經濟,財政危機,財政危機,一場,0.631783
經濟,財政危機,財政危機,健保,0.631771
經濟,財政危機,財政危機,表決,0.631141
經濟,財政危機,財政危機,布朗,0.630385
經濟,財政危機,財政危機,義大利,0.629903
經濟,財政危機,財政危機,借貸,0.629549
經濟,財政危機,財政危機,軟化,0.629276
經濟,財政危機,財政危機,惡化,0.628363
經濟,財政危機,財政危機,民眾,0.628024
經濟,財政危機,財政危機,啟動,0.627826
經濟,財政危機,財政危機,荷蘭,0.627186
經濟,財政危機,財政危機,警訊,0.62717
經濟,財政危機,財政危機,立場,0.627056
經濟,財政危機,財政危機,在野黨,0.62693
經濟,財政危機,財政危機,執政黨,0.626867
經濟,財政危機,財政危機,點名,0.626701
經濟,財政危機,財政危機,引以,0.625965
經濟,財政危機,財政危機,背債,0.6259
經濟,財政危機,財政危機,需要,0.624791
經濟,財政危機,財政危機,最低,0.624573
經濟,財政危機,財政危機,通縮,0.624257
經濟,財政危機,財政危機,監獄,0.62394
經濟,財政危機,財政危機,注意,0.623729
經濟,財政危機,財政危機,闖關,0.623465
經濟,財政危機,財政危機,脫離,0.623161
經濟,財政危機,財政危機,參院,0.62306
經濟,財政危機,財政危機,不敢,0.62301
經濟,財政危機,財政危機,加稅,0.622864
經濟,財政危機,財政危機,二次,0.622816
經濟,財政危機,財政危機,部長,0.622463
經濟,財政危機,財政危機,社論,0.621662
經濟,財政危機,財政危機,爆發,0.621544
經濟,財政危機,財政危機,拍板,0.621427
經濟,財政危機,財政危機,永遠,0.621234
經濟,財政危機,財政危機,不致,0.620923
經濟,財政危機,財政危機,梅克爾,0.620894
經濟,財政危機,財政危機,二度,0.62083
經濟,財政危機,財政危機,援助,0.619644
經濟,財政危機,財政危機,挹注,0.619518
經濟,財政危機,財政危機,倒債,0.619331
經濟,財政危機,財政危機,優惠,0.61928
經濟,財政危機,財政危機,議題,0.619049
經濟,財政危機,財政危機,委員會,0.619037
經濟,財政危機,財政危機,候選人,0.618415
經濟,財政危機,財政危機,中東歐,0.618315
經濟,財政危機,財政危機,節流,0.616943
經濟,財政危機,財政危機,申報,0.616756
經濟,財政危機,財政危機,強制,0.616679
經濟,財政危機,財政危機,速度,0.615875
經濟,財政危機,財政危機,憂心,0.615387
經濟,財政危機,財政危機,認同,0.615327
經濟,財政危機,財政危機,撙節,0.615057
經濟,財政危機,財政危機,拉加,0.614964
經濟,財政危機,財政危機,執行長,0.614955
經濟,財政危機,財政危機,困案,0.614687
經濟,財政危機,財政危機,加入,0.613908
經濟,財政危機,財政危機,繳稅,0.613199
經濟,財政危機,財政危機,簽署,0.612561
經濟,財政危機,財政危機,歐債,0.61244
經濟,財政危機,財政危機,公教,0.612365
經濟,財政危機,財政危機,宣布,0.612016
經濟,財政危機,財政危機,貿易逆差,0.611676
經濟,財政危機,財政危機,不滿,0.611077
經濟,財政危機,財政危機,市長,0.610774
經濟,財政危機,財政危機,一定,0.610759
經濟,財政危機,財政危機,同意,0.60946
經濟,財政危機,財政危機,官員,0.608582
經濟,財政危機,財政危機,還要,0.607122
經濟,財政危機,預算赤字,預算赤字,1.0
經濟,財政危機,預算赤字,國外,0.903505
經濟,財政危機,預算赤字,年度,0.890062
經濟,財政危機,預算赤字,消息,0.890007
經濟,財政危機,預算赤字,盤前,0.887331
經濟,財政危機,預算赤字,聯邦,0.875705
經濟,財政危機,預算赤字,減半,0.864622
經濟,財政危機,預算赤字,歷史,0.859883
經濟,財政危機,預算赤字,減少,0.841535
經濟,財政危機,預算赤字,料將,0.841415
經濟,財政危機,預算赤字,赤字,0.83743
經濟,財政危機,預算赤字,增加,0.828637
經濟,財政危機,預算赤字,年內,0.813018
經濟,財政危機,預算赤字,失業率,0.810849
經濟,財政危機,預算赤字,承諾,0.799079
經濟,財政危機,預算赤字,預算案,0.799046
經濟,財政危機,預算赤字,計畫,0.796901
經濟,財政危機,預算赤字,高達,0.7964
經濟,財政危機,預算赤字,削減,0.795475
經濟,財政危機,預算赤字,減支,0.793722
經濟,財政危機,預算赤字,優惠,0.783594
經濟,財政危機,預算赤字,出招,0.778328
經濟,財政危機,預算赤字,目標,0.769264
經濟,財政危機,預算赤字,稅收,0.768616
經濟,財政危機,預算赤字,增稅,0.763002
經濟,財政危機,預算赤字,縮減,0.762218
經濟,財政危機,預算赤字,人數,0.760179
經濟,財政危機,預算赤字,大增,0.759964
經濟,財政危機,預算赤字,刪減,0.755618
經濟,財政危機,預算赤字,近兆,0.755607
經濟,財政危機,預算赤字,失業,0.755095
經濟,財政危機,預算赤字,各州,0.75335
經濟,財政危機,預算赤字,本周,0.7515
經濟,財政危機,預算赤字,支持,0.749216
經濟,財政危機,預算赤字,巴菲特,0.748167
經濟,財政危機,預算赤字,明年,0.747523
經濟,財政危機,預算赤字,億英鎊,0.746133
經濟,財政危機,預算赤字,財年,0.744794
經濟,財政危機,預算赤字,就職,0.744267
經濟,財政危機,預算赤字,僵局,0.743536
經濟,財政危機,預算赤字,提案,0.743441
經濟,財政危機,預算赤字,談判,0.741318
經濟,財政危機,預算赤字,任內,0.739643
經濟,財政危機,預算赤字,西國,0.738432
經濟,財政危機,預算赤字,簽署,0.734105
經濟,財政危機,預算赤字,成本,0.731039
