Field,Topic,Keyword,Related Word,Weight
經濟,超連結社會,全球,全球,1.0
經濟,超連結社會,全球,物聯網,0.948821
經濟,超連結社會,全球,市場,0.930173
經濟,超連結社會,全球,科技,0.922568
經濟,超連結社會,全球,布局,0.922137
經濟,超連結社會,全球,指數,0.902594
經濟,超連結社會,全球,科技股,0.900775
經濟,超連結社會,全球,英特爾,0.887448
經濟,超連結社會,全球,復華,0.885505
經濟,超連結社會,全球,華電,0.885051
經濟,超連結社會,全球,結盟,0.884189
經濟,超連結社會,全球,晶片,0.882138
經濟,超連結社會,全球,微軟,0.880892
經濟,超連結社會,全球,商機,0.878493
經濟,超連結社會,全球,通信網,0.878351
經濟,超連結社會,全球,聚焦,0.876564
經濟,超連結社會,全球,中保,0.875723
經濟,超連結社會,全球,通訊,0.87493
經濟,超連結社會,全球,新創,0.874141
經濟,超連結社會,全球,電腦設備,0.873894
經濟,超連結社會,全球,進軍,0.873526
經濟,超連結社會,全球,高通,0.873406
經濟,超連結社會,全球,遠傳,0.872531
經濟,超連結社會,全球,產品,0.872415
經濟,超連結社會,全球,穿戴,0.871853
經濟,超連結社會,全球,營運,0.869669
經濟,超連結社會,全球,MSCI,0.868974
經濟,超連結社會,全球,攜手,0.868367
經濟,超連結社會,全球,經理人,0.868238
經濟,超連結社會,全球,搶攻,0.867597
經濟,超連結社會,全球,裝置,0.867028
經濟,超連結社會,全球,報酬,0.867026
經濟,超連結社會,全球,台廠,0.865698
經濟,超連結社會,全球,智慧製造,0.864775
經濟,超連結社會,全球,策略,0.863701
經濟,超連結社會,全球,產值,0.862639
經濟,超連結社會,全球,EPS,0.861677
經濟,超連結社會,全球,引領,0.859902
經濟,超連結社會,全球,COMPUTEX,0.859344
經濟,超連結社會,全球,下半年,0.859219
經濟,超連結社會,全球,IBM,0.859054
經濟,超連結社會,全球,工業,0.858661
經濟,超連結社會,全球,研發,0.855692
經濟,超連結社會,全球,成功,0.855314
經濟,超連結社會,全球,研華,0.854788
經濟,超連結社會,全球,電商,0.854449
經濟,超連結社會,全球,消費,0.853968
經濟,超連結社會,全球,增成,0.853772
經濟,超連結社會,全球,聯手,0.852917
經濟,超連結社會,全球,推出,0.852441
經濟,超連結社會,全球,公司,0.852349
經濟,超連結社會,全球,中心,0.851355
經濟,超連結社會,全球,北電,0.850908
經濟,超連結社會,全球,億美元,0.850404
經濟,超連結社會,全球,貴州,0.849971
經濟,超連結社會,全球,聯發,0.849636
經濟,超連結社會,全球,VR,0.84962
經濟,超連結社會,全球,智邦,0.849361
經濟,超連結社會,全球,伺服器,0.848659
經濟,超連結社會,全球,瞄準,0.848639
經濟,超連結社會,全球,蘋果,0.848577
經濟,超連結社會,全球,玉山,0.847752
經濟,超連結社會,全球,技術,0.846993
經濟,超連結社會,全球,概念,0.846633
經濟,超連結社會,全球,正式,0.846202
經濟,超連結社會,全球,登場,0.845867
經濟,超連結社會,全球,題材,0.845862
經濟,超連結社會,全球,採用,0.845627
經濟,超連結社會,全球,半導體,0.844869
經濟,超連結社會,全球,投信,0.844769
經濟,超連結社會,全球,三星,0.844223
經濟,超連結社會,全球,易利信,0.844063
經濟,超連結社會,全球,無限,0.843911
經濟,超連結社會,全球,董座,0.843356
經濟,超連結社會,全球,健康,0.842967
經濟,超連結社會,全球,IoT,0.842281
經濟,超連結社會,全球,落後,0.841972
經濟,超連結社會,全球,通路,0.841831
經濟,超連結社會,全球,佳績,0.84156
經濟,超連結社會,全球,相關,0.840892
經濟,超連結社會,全球,醫療,0.840275
經濟,超連結社會,全球,CES,0.839572
經濟,超連結社會,全球,鎖定,0.837917
經濟,超連結社會,全球,管理,0.837848
經濟,超連結社會,全球,併購,0.837687
經濟,超連結社會,全球,阿里,0.837285
經濟,超連結社會,全球,百度,0.835643
經濟,超連結社會,全球,帶動,0.835331
經濟,超連結社會,全球,WiFi,0.835298
經濟,超連結社會,全球,創投,0.834852
經濟,超連結社會,全球,轉戰,0.834774
經濟,超連結社會,全球,IDC,0.833913
經濟,超連結社會,全球,電視,0.833804
經濟,超連結社會,全球,數據中心,0.833641
經濟,超連結社會,全球,自動化,0.833219
經濟,超連結社會,全球,爆發,0.833136
經濟,超連結社會,全球,股票,0.83307
經濟,超連結社會,全球,波動,0.8329
經濟,超連結社會,全球,亞太,0.832547
經濟,超連結社會,全球,宏達,0.832289
經濟,超連結社會,全球,主題,0.831704
經濟,超連結社會,全球,設計,0.831538
經濟,超連結社會,全球,搶進,0.830934
經濟,超連結社會,全球,事業,0.830782
經濟,超連結社會,全球,上市,0.830645
經濟,超連結社會,全球,預測,0.829592
經濟,超連結社會,全球,電信,0.829483
經濟,超連結社會,全球,股東會,0.829145
經濟,超連結社會,全球,融資,0.82912
經濟,超連結社會,全球,啟動,0.828799
經濟,超連結社會,全球,崛起,0.828533
經濟,超連結社會,全球,小米,0.82801
經濟,超連結社會,全球,阿里巴巴,0.827987
經濟,超連結社會,全球,解決方案,0.827958
經濟,超連結社會,全球,大戰,0.827251
經濟,超連結社會,全球,軟硬,0.826967
經濟,超連結社會,全球,用戶,0.826804
經濟,超連結社會,全球,新興,0.826281
經濟,超連結社會,全球,OO,0.826234
經濟,超連結社會,全球,導入,0.82555
經濟,超連結社會,全球,運算,0.825277
經濟,超連結社會,全球,工研院,0.825228
經濟,超連結社會,全球,WiMAX,0.824888
經濟,超連結社會,全球,創新,0.824826
經濟,超連結社會,全球,數據分析,0.824614
經濟,超連結社會,全球,系統,0.82456
經濟,超連結社會,全球,前景,0.824533
經濟,超連結社會,全球,青睞,0.824483
經濟,超連結社會,全球,兆元,0.824049
經濟,超連結社會,全球,手機,0.823938
經濟,超連結社會,全球,物流,0.823715
經濟,超連結社會,全球,品牌,0.823624
經濟,超連結社會,全球,家庭,0.823032
經濟,超連結社會,全球,加速,0.822886
經濟,超連結社會,全球,逆勢,0.822748
經濟,超連結社會,全球,領域,0.822736
經濟,超連結社會,全球,巨量,0.82269
經濟,超連結社會,全球,博通,0.822085
經濟,超連結社會,全球,其他,0.821661
經濟,超連結社會,全球,光電,0.820925
經濟,超連結社會,全球,百貨,0.820889
經濟,超連結社會,全球,解析,0.820861
經濟,超連結社會,全球,大廠,0.820808
經濟,超連結社會,全球,MWC,0.820231
經濟,超連結社會,全球,智慧型,0.819676
經濟,超連結社會,全球,潮流,0.819618
經濟,超連結社會,全球,發表,0.819529
經濟,超連結社會,全球,實現,0.81895
經濟,超連結社會,全球,Computex,0.818948
經濟,超連結社會,全球,製造業,0.818881
經濟,超連結社會,全球,車聯網,0.81796
經濟,超連結社會,全球,升級,0.817701
經濟,超連結社會,全球,設備,0.8177
經濟,超連結社會,全球,智能,0.817669
經濟,超連結社會,全球,業者,0.817432
經濟,超連結社會,全球,思科,0.817167
經濟,超連結社會,全球,效能,0.816664
經濟,超連結社會,全球,參與,0.816198
經濟,超連結社會,全球,聯網,0.815821
經濟,超連結社會,全球,模式,0.815463
經濟,超連結社會,全球,跨足,0.815222
經濟,超連結社會,全球,結合,0.815199
經濟,超連結社會,全球,開發,0.814992
經濟,超連結社會,全球,方案,0.814845
經濟,超連結社會,全球,積極,0.814271
經濟,超連結社會,全球,概念股,0.813997
經濟,超連結社會,全球,展示,0.812887
經濟,超連結社會,全球,台開,0.812538
經濟,超連結社會,全球,將成,0.812339
經濟,超連結社會,物聯網,物聯網,1.0
經濟,超連結社會,物聯網,全球,0.948821
經濟,超連結社會,物聯網,布局,0.940319
經濟,超連結社會,物聯網,商機,0.937751
經濟,超連結社會,物聯網,微軟,0.92964
經濟,超連結社會,物聯網,工業,0.926615
