Field,Topic,Keyword,Related Word,Weight
經濟,跨國金融防弊,金融交易,金融交易,1.0
經濟,跨國金融防弊,金融交易,企業,0.97968
經濟,跨國金融防弊,金融交易,新興,0.978835
經濟,跨國金融防弊,金融交易,債券,0.978122
經濟,跨國金融防弊,金融交易,衰退,0.976977
經濟,跨國金融防弊,金融交易,吸引,0.976916
經濟,跨國金融防弊,金融交易,利率,0.97623
經濟,跨國金融防弊,金融交易,看好,0.975295
經濟,跨國金融防弊,金融交易,需求,0.973983
經濟,跨國金融防弊,金融交易,前景,0.971429
經濟,跨國金融防弊,金融交易,元月,0.97081
經濟,跨國金融防弊,金融交易,多頭,0.969408
經濟,跨國金融防弊,金融交易,指數,0.969363
經濟,跨國金融防弊,金融交易,美股,0.968419
經濟,跨國金融防弊,金融交易,訂單,0.967872
經濟,跨國金融防弊,金融交易,手機,0.967635
經濟,跨國金融防弊,金融交易,物聯網,0.967124
經濟,跨國金融防弊,金融交易,理財,0.966563
經濟,跨國金融防弊,金融交易,股價,0.965981
經濟,跨國金融防弊,金融交易,同月,0.965799
經濟,跨國金融防弊,金融交易,亮眼,0.964969
經濟,跨國金融防弊,金融交易,營運,0.964886
經濟,跨國金融防弊,金融交易,當道,0.964561
經濟,跨國金融防弊,金融交易,減稅,0.963473
經濟,跨國金融防弊,金融交易,心法,0.962903
經濟,跨國金融防弊,金融交易,表現,0.9629
經濟,跨國金融防弊,金融交易,旗下,0.962661
經濟,跨國金融防弊,金融交易,元大,0.962447
經濟,跨國金融防弊,金融交易,操作,0.962211
經濟,跨國金融防弊,金融交易,競賽,0.961936
經濟,跨國金融防弊,金融交易,後市,0.961754
經濟,跨國金融防弊,金融交易,期貨,0.961668
經濟,跨國金融防弊,金融交易,蘋果,0.961582
經濟,跨國金融防弊,金融交易,加碼,0.961486
經濟,跨國金融防弊,金融交易,職場,0.961031
經濟,跨國金融防弊,金融交易,帶動,0.96086
經濟,跨國金融防弊,金融交易,脫歐,0.960658
經濟,跨國金融防弊,金融交易,反彈,0.960643
經濟,跨國金融防弊,金融交易,講座,0.960392
經濟,跨國金融防弊,金融交易,招生,0.959545
經濟,跨國金融防弊,金融交易,課稅,0.958904
經濟,跨國金融防弊,金融交易,所有,0.95886
經濟,跨國金融防弊,金融交易,操盤,0.958391
經濟,跨國金融防弊,金融交易,強勁,0.958378
經濟,跨國金融防弊,金融交易,成交量,0.958006
經濟,跨國金融防弊,金融交易,避險,0.957827
經濟,跨國金融防弊,金融交易,維持,0.957726
經濟,跨國金融防弊,金融交易,現金,0.957258
經濟,跨國金融防弊,金融交易,金融中心,0.957197
經濟,跨國金融防弊,金融交易,資金,0.957063
經濟,跨國金融防弊,金融交易,技術,0.957017
經濟,跨國金融防弊,金融交易,台積,0.95701
經濟,跨國金融防弊,金融交易,擴增,0.956519
經濟,跨國金融防弊,金融交易,下單,0.956316
經濟,跨國金融防弊,金融交易,ATM,0.95621
經濟,跨國金融防弊,金融交易,賣壓,0.955755
經濟,跨國金融防弊,金融交易,股利,0.955421
經濟,跨國金融防弊,金融交易,培訓班,0.955321
經濟,跨國金融防弊,金融交易,客戶,0.955139
經濟,跨國金融防弊,金融交易,留意,0.955031
經濟,跨國金融防弊,金融交易,舉辦,0.954453
經濟,跨國金融防弊,金融交易,稅後,0.95392
經濟,跨國金融防弊,金融交易,個人,0.953831
經濟,跨國金融防弊,金融交易,出列,0.95332
經濟,跨國金融防弊,金融交易,上市,0.953188
經濟,跨國金融防弊,金融交易,歐洲,0.953071
經濟,跨國金融防弊,金融交易,產品,0.952798
經濟,跨國金融防弊,金融交易,票選,0.952281
