Field,Topic,Keyword,Related Word,Weight
社會,重視生活品質的生活型態,休閒,特色,0.898442
社會,重視生活品質的生活型態,休閒,競爭力,0.890568
社會,重視生活品質的生活型態,休閒,六大,0.886997
社會,重視生活品質的生活型態,休閒,未來,0.885589
社會,重視生活品質的生活型態,休閒,觀念,0.882536
社會,重視生活品質的生活型態,休閒,經濟,0.880454
社會,重視生活品質的生活型態,休閒,內需,0.876721
社會,重視生活品質的生活型態,休閒,升級,0.872665
社會,重視生活品質的生活型態,休閒,提升,0.871324
社會,重視生活品質的生活型態,休閒,台商,0.870334
社會,重視生活品質的生活型態,休閒,競爭,0.867729
社會,重視生活品質的生活型態,休閒,基礎,0.865631
社會,重視生活品質的生活型態,休閒,中小企業,0.86443
社會,重視生活品質的生活型態,休閒,觀測,0.864108
社會,重視生活品質的生活型態,休閒,刺激,0.864027
社會,重視生活品質的生活型態,休閒,合作,0.863925
社會,重視生活品質的生活型態,休閒,聚焦,0.861348
社會,重視生活品質的生活型態,休閒,精緻,0.857794
社會,重視生活品質的生活型態,休閒,進軍,0.853586
社會,重視生活品質的生活型態,休閒,成為,0.847862
社會,重視生活品質的生活型態,休閒,亞洲,0.846501
社會,重視生活品質的生活型態,休閒,綠色,0.845242
社會,重視生活品質的生活型態,休閒,積極,0.836186
社會,重視生活品質的生活型態,休閒,強調,0.836072
社會,重視生活品質的生活型態,休閒,決定,0.833775
社會,重視生活品質的生活型態,休閒,農業,0.833002
社會,重視生活品質的生活型態,休閒,電子,0.831068
社會,重視生活品質的生活型態,休閒,帶動,0.827642
社會,重視生活品質的生活型態,休閒,貿協,0.82742
社會,重視生活品質的生活型態,休閒,產品,0.826304
社會,重視生活品質的生活型態,休閒,看好,0.823742
社會,重視生活品質的生活型態,休閒,人才,0.822072
社會,重視生活品質的生活型態,休閒,創業,0.821039
社會,重視生活品質的生活型態,休閒,新視野,0.820958
社會,重視生活品質的生活型態,休閒,經營,0.818562
社會,重視生活品質的生活型態,休閒,轉型,0.81829
社會,重視生活品質的生活型態,休閒,生活品質,0.816253
社會,重視生活品質的生活型態,休閒,名品,0.815259
社會,重視生活品質的生活型態,休閒,可以,0.81519
社會,重視生活品質的生活型態,休閒,掌握,0.813052
社會,重視生活品質的生活型態,休閒,展現,0.812853
社會,重視生活品質的生活型態,休閒,台開,0.808751
社會,重視生活品質的生活型態,休閒,主軸,0.808359
社會,重視生活品質的生活型態,休閒,開創,0.807901
社會,重視生活品質的生活型態,休閒,民國,0.807757
社會,重視生活品質的生活型態,休閒,數位,0.806609
社會,重視生活品質的生活型態,休閒,計畫,0.806396
社會,重視生活品質的生活型態,休閒,應用,0.806201
社會,重視生活品質的生活型態,休閒,內容,0.806165
社會,重視生活品質的生活型態,休閒,鄉民,0.805596
社會,重視生活品質的生活型態,休閒,協助,0.805508
社會,重視生活品質的生活型態,休閒,擴大,0.805003
社會,重視生活品質的生活型態,休閒,機器人,0.804646
社會,重視生活品質的生活型態,休閒,生活型態,0.802767
社會,重視生活品質的生活型態,休閒,結合,0.802726
社會,重視生活品質的生活型態,休閒,改善,0.802138
社會,重視生活品質的生活型態,休閒,信心,0.802049
社會,重視生活品質的生活型態,休閒,一般,0.801061
社會,重視生活品質的生活型態,休閒,綠能,0.80105
社會,重視生活品質的生活型態,休閒,周邊,0.800973
社會,重視生活品質的生活型態,休閒,科技,0.796954
社會,重視生活品質的生活型態,休閒,契機,0.796277
社會,重視生活品質的生活型態,休閒,全世界,0.795075
社會,重視生活品質的生活型態,休閒,產值,0.794048
社會,重視生活品質的生活型態,休閒,潛力,0.79394
社會,重視生活品質的生活型態,休閒,輔導,0.793243
社會,重視生活品質的生活型態,休閒,功能,0.792788
社會,重視生活品質的生活型態,休閒,政策,0.792484
社會,重視生活品質的生活型態,休閒,ICT,0.79103
社會,重視生活品質的生活型態,休閒,廠商,0.790135
社會,重視生活品質的生活型態,休閒,人民,0.789103
社會,重視生活品質的生活型態,休閒,成長,0.787978
社會,重視生活品質的生活型態,休閒,希望,0.785381
社會,重視生活品質的生活型態,休閒,不是,0.784108
社會,重視生活品質的生活型態,休閒,工廠,0.783255
社會,重視生活品質的生活型態,休閒,新天地,0.783247
社會,重視生活品質的生活型態,休閒,首次,0.782806
社會,重視生活品質的生活型態,休閒,歐洲,0.782409
社會,重視生活品質的生活型態,休閒,經驗,0.781712
社會,重視生活品質的生活型態,休閒,百貨公司,0.780292
社會,重視生活品質的生活型態,休閒,關鍵,0.779276
社會,重視生活品質的生活型態,休閒,高雄,0.778845
社會,重視生活品質的生活型態,休閒,十二五,0.776757
社會,重視生活品質的生活型態,休閒,總代理,0.77652
社會,重視生活品質的生活型態,休閒,動態,0.776069
社會,重視生活品質的生活型態,休閒,身影,0.774653
社會,重視生活品質的生活型態,休閒,保障,0.774578
社會,重視生活品質的生活型態,休閒,資源,0.774203
社會,重視生活品質的生活型態,休閒,龐大,0.774121
社會,重視生活品質的生活型態,休閒,零售,0.774099
社會,重視生活品質的生活型態,休閒,永續,0.773403
社會,重視生活品質的生活型態,休閒,不景氣,0.772443
社會,重視生活品質的生活型態,休閒,傳統,0.77195
社會,重視生活品質的生活型態,休閒,土地,0.771898
社會,重視生活品質的生活型態,休閒,堅持,0.771556
社會,重視生活品質的生活型態,休閒,MIT,0.769661
社會,重視生活品質的生活型態,休閒,拾荒老人,0.769636
社會,重視生活品質的生活型態,休閒,今年,0.768428
社會,重視生活品質的生活型態,休閒,能力,0.768331
社會,重視生活品質的生活型態,休閒,加持,0.767263
社會,重視生活品質的生活型態,休閒,角色,0.765488
社會,重視生活品質的生活型態,休閒,新加坡,0.765435
社會,重視生活品質的生活型態,休閒,優勢,0.764882
社會,重視生活品質的生活型態,休閒,群聚,0.764786
社會,重視生活品質的生活型態,休閒,新興,0.764102
社會,重視生活品質的生活型態,休閒,下半年,0.763581
社會,重視生活品質的生活型態,休閒,尖兵,0.763138
社會,重視生活品質的生活型態,休閒,主導,0.761802
社會,重視生活品質的生活型態,休閒,說話,0.76154
社會,重視生活品質的生活型態,休閒,杜拜,0.76086
社會,重視生活品質的生活型態,休閒,過去,0.76064
社會,重視生活品質的生活型態,休閒,事業,0.759993
社會,重視生活品質的生活型態,休閒,預計,0.759325
社會,重視生活品質的生活型態,休閒,信義,0.758794
社會,重視生活品質的生活型態,休閒,時代,0.758519
社會,重視生活品質的生活型態,休閒,民宿,0.758336
社會,重視生活品質的生活型態,休閒,預算,0.757954
社會,重視生活品質的生活型態,休閒,落實,0.757629
社會,重視生活品質的生活型態,休閒,進口,0.757486
社會,重視生活品質的生活型態,休閒,的話,0.757437
社會,重視生活品質的生活型態,休閒,退休金,0.755989
社會,重視生活品質的生活型態,休閒,推展,0.755938
社會,重視生活品質的生活型態,休閒,傳銷,0.755739
社會,重視生活品質的生活型態,休閒,夢想,0.755708
社會,重視生活品質的生活型態,休閒,玩家,0.755685
