Field,Topic,Keyword,Related Word,Weight
技術,食品安全,基改,基改,1.0
技術,食品安全,基改,科技,0.969647
技術,食品安全,基改,產業,0.962706
技術,食品安全,基改,行銷,0.957627
技術,食品安全,基改,國際,0.952711
技術,食品安全,基改,台商,0.948945
技術,食品安全,基改,台灣,0.947325
技術,食品安全,基改,全球,0.946409
技術,食品安全,基改,作物,0.94285
技術,食品安全,基改,企業,0.942517
技術,食品安全,基改,經濟,0.936445
技術,食品安全,基改,技術,0.930732
技術,食品安全,基改,開發,0.927588
技術,食品安全,基改,合作,0.926032
技術,食品安全,基改,商機,0.925941
技術,食品安全,基改,論壇,0.913224
技術,食品安全,基改,生產,0.912978
技術,食品安全,基改,聯盟,0.91069
技術,食品安全,基改,農委會,0.908771
技術,食品安全,基改,經營,0.905366
技術,食品安全,基改,採購,0.902672
技術,食品安全,基改,研發,0.902406
技術,食品安全,基改,通路,0.901339
技術,食品安全,基改,打造,0.900841
技術,食品安全,基改,糧荒,0.899929
技術,食品安全,基改,世界,0.899383
技術,食品安全,基改,一個,0.897653
技術,食品安全,基改,價值,0.897206
技術,食品安全,基改,生技,0.897172
技術,食品安全,基改,系列,0.896961
技術,食品安全,基改,整合,0.894758
技術,食品安全,基改,提升,0.894668
技術,食品安全,基改,創新,0.893338
技術,食品安全,基改,創業,0.892496
技術,食品安全,基改,推動,0.889631
技術,食品安全,基改,基因,0.887973
技術,食品安全,基改,成立,0.887908
技術,食品安全,基改,希望,0.887608
技術,食品安全,基改,農場,0.887605
技術,食品安全,基改,模式,0.886268
技術,食品安全,基改,精緻,0.886114
技術,食品安全,基改,進軍,0.886112
技術,食品安全,基改,成長,0.885973
技術,食品安全,基改,大成,0.885848
技術,食品安全,基改,工廠,0.884848
技術,食品安全,基改,實力,0.88379
技術,食品安全,基改,來台,0.882603
技術,食品安全,基改,農產品,0.881223
技術,食品安全,基改,製造,0.88107
技術,食品安全,基改,案例,0.879516
技術,食品安全,基改,環保,0.879103
技術,食品安全,基改,ECFA,0.878203
技術,食品安全,基改,經貿,0.876779
技術,食品安全,基改,結合,0.876531
技術,食品安全,基改,基金,0.876403
技術,食品安全,基改,資源,0.876116
技術,食品安全,基改,大陸,0.875929
技術,食品安全,基改,投書,0.875898
技術,食品安全,基改,人民幣,0.873632
技術,食品安全,基改,平台,0.873526
技術,食品安全,基改,競爭力,0.873165
技術,食品安全,基改,專區,0.873044
技術,食品安全,基改,首度,0.871249
技術,食品安全,基改,產品,0.870763
技術,食品安全,基改,管理,0.87045
技術,食品安全,基改,建構,0.870177
技術,食品安全,基改,藍藻,0.869566
技術,食品安全,基改,統一,0.868929
技術,食品安全,基改,日本,0.868421
技術,食品安全,基改,專業,0.868311
技術,食品安全,基改,中心,0.866955
技術,食品安全,基改,公司,0.866048
技術,食品安全,基改,透過,0.864636
技術,食品安全,基改,台北,0.864414
技術,食品安全,基改,關懷,0.863744
技術,食品安全,基改,薄膜,0.86335
技術,食品安全,基改,理性,0.862502
技術,食品安全,基改,投入,0.862283
技術,食品安全,基改,招商,0.861221
技術,食品安全,基改,億美元,0.861125
技術,食品安全,基改,趨勢,0.86025
技術,食品安全,基改,集團,0.860045
技術,食品安全,基改,危機,0.859766
技術,食品安全,基改,印度,0.85932
技術,食品安全,基改,貿易,0.859277
技術,食品安全,基改,受惠,0.858986
技術,食品安全,基改,價格,0.85895
技術,食品安全,基改,成果,0.858943
技術,食品安全,基改,人才,0.858032
技術,食品安全,基改,人性化,0.857627
技術,食品安全,基改,精耕,0.857299
技術,食品安全,基改,議題,0.857277
技術,食品安全,基改,推出,0.857009
技術,食品安全,基改,中國,0.857002
技術,食品安全,基改,可以,0.856793
技術,食品安全,基改,濟南,0.856726
技術,食品安全,基改,惠光,0.855588
技術,食品安全,基改,進行,0.855424
技術,食品安全,基改,農技,0.854975
技術,食品安全,基改,創造,0.854344
技術,食品安全,基改,策略,0.854316
技術,食品安全,基改,地球,0.854288
技術,食品安全,基改,總經理,0.85401
技術,食品安全,基改,產值,0.85399
技術,食品安全,基改,協會,0.853777
技術,食品安全,基改,領域,0.852553
技術,食品安全,基改,第一,0.852173
技術,食品安全,基改,亞洲,0.851839
技術,食品安全,基改,綠色,0.851545
技術,食品安全,基改,不可,0.851325
技術,食品安全,基改,鎖定,0.851228
技術,食品安全,基改,協助,0.851047
技術,食品安全,基改,聯合,0.850724
技術,食品安全,基改,提供,0.850434
技術,食品安全,基改,每年,0.850423
技術,食品安全,基改,全家,0.850287
技術,食品安全,基改,上海,0.849243
技術,食品安全,基改,中小企業,0.849193
技術,食品安全,基改,消費者,0.849
技術,食品安全,基改,中美洲,0.848928
技術,食品安全,基改,報名,0.848872
技術,食品安全,基改,工業,0.848853
技術,食品安全,基改,自有,0.848757
技術,食品安全,基改,高手,0.848566
技術,食品安全,基改,邁向,0.848488
技術,食品安全,基改,共同,0.848173
技術,食品安全,基改,投資,0.848137
技術,食品安全,基改,貿協,0.847771
技術,食品安全,基改,簽約,0.847688
技術,食品安全,基改,故事,0.847538
技術,食品安全,基改,GMP,0.847297
技術,食品安全,基改,餐飲業,0.846855
技術,食品安全,基改,關鍵,0.846719
技術,食品安全,基改,推手,0.846682
技術,食品安全,基改,成功,0.846457
技術,食品安全,基改,業績,0.845681
技術,食品安全,基改,聚落,0.845167
技術,食品安全,基改,績效,0.845107
技術,食品安全,基改,食品業,0.845095
技術,食品安全,基改,農夫,0.844921
技術,食品安全,基改,帶動,0.844591
技術,食品安全,基改,職棒,0.844191
技術,食品安全,基改,討論,0.843041
技術,食品安全,基改,一年,0.842319
技術,食品安全,基改,工業區,0.842043
技術,食品安全,基改,深層,0.841794
技術,食品安全,基改,話題,0.841455
技術,食品安全,基改,股市,0.841411
技術,食品安全,基改,大廠,0.841255
技術,食品安全,基改,咖啡,0.841055
技術,食品安全,基改,園區,0.840878
技術,食品安全,基改,持續,0.840697
技術,食品安全,基改,引進,0.840498
技術,食品安全,基改,百億,0.840473
技術,食品安全,基改,國家,0.840313
技術,食品安全,基改,擴大,0.84023
技術,食品安全,基改,天然,0.839809
技術,食品安全,基改,有機食品,0.839202
技術,食品安全,基改,宣示,0.839201
技術,食品安全,基改,舉行,0.838734
技術,食品安全,基改,糧食,0.838521
技術,食品安全,基改,謹慎,0.838094
技術,食品安全,基改,快速,0.837714
技術,食品安全,基改,競爭,0.83744
技術,食品安全,基改,今年,0.837406
技術,食品安全,基改,重建,0.837057
技術,食品安全,基改,轉型,0.837004
技術,食品安全,基改,世紀,0.836937
技術,食品安全,基改,樂活,0.836828
技術,食品安全,基改,研討,0.836784
技術,食品安全,基改,觀念,0.836102
技術,食品安全,基改,歐洲,0.83607
技術,食品安全,基改,背後,0.835801
技術,食品安全,基改,網路,0.835725
技術,食品安全,基改,錠劑,0.835674
技術,食品安全,基改,跨足,0.835569
技術,食品安全,基改,設備,0.835556
技術,食品安全,基改,南部,0.835062
技術,食品安全,基改,工商,0.834965
技術,食品安全,基改,科學,0.834869
技術,食品安全,基改,銷售,0.834796
技術,食品安全,基改,無限,0.834664
技術,食品安全,基改,舉辦,0.834391
技術,食品安全,基改,節能,0.833817
技術,食品安全,基改,供應鏈,0.833815
技術,食品安全,基改,金融,0.833171
技術,食品安全,基改,南僑,0.832895
技術,食品安全,基改,觀察,0.832578
技術,食品安全,基改,進入,0.832542
技術,食品安全,基改,機會,0.832442
技術,食品安全,基改,飲料,0.832029
技術,食品安全,基改,豐富,0.831995
技術,食品安全,基改,發表,0.831878
技術,食品安全,基改,搶攻,0.831853
技術,食品安全,基改,富含,0.83168
技術,食品安全,基改,處理,0.831219
技術,食品安全,有機食品,有機食品,1.0
技術,食品安全,有機食品,國家,0.998683
技術,食品安全,有機食品,展出,0.998487
技術,食品安全,有機食品,走向,0.998186
技術,食品安全,有機食品,研究所,0.998169
技術,食品安全,有機食品,食品飲料,0.998128
技術,食品安全,有機食品,豐富,0.998044
技術,食品安全,有機食品,研討,0.998041
技術,食品安全,有機食品,這個,0.998034
技術,食品安全,有機食品,大廠,0.998023
技術,食品安全,有機食品,舉行,0.997977
技術,食品安全,有機食品,推手,0.997956
技術,食品安全,有機食品,快速,0.997917
技術,食品安全,有機食品,鎖定,0.997913
技術,食品安全,有機食品,大幅,0.997854
技術,食品安全,有機食品,醬油,0.997816
技術,食品安全,有機食品,討論,0.997808
技術,食品安全,有機食品,搶攻,0.997765
技術,食品安全,有機食品,將成,0.99769
技術,食品安全,有機食品,觀測,0.997659
技術,食品安全,有機食品,特色,0.99758
技術,食品安全,有機食品,南部,0.997535
技術,食品安全,有機食品,逆勢,0.997528
技術,食品安全,有機食品,供應鏈,0.997515
技術,食品安全,有機食品,觀察,0.997495
技術,食品安全,有機食品,伴手禮,0.997494
技術,食品安全,有機食品,成金,0.99748
技術,食品安全,有機食品,節能,0.997461
技術,食品安全,有機食品,一年,0.997452
技術,食品安全,有機食品,不景氣,0.99741
技術,食品安全,有機食品,組織,0.997396
